edge,edge_betweenness,edge_length,edge_embedness,straightness
"(2939779601, 7537740584)",0.06858838880009718,0.37793763347901466,0.0,0.48691002748110834
"(2939779601, 7537740541)",0.013117680292063226,0.010073718987812529,0.0,0.982656085532082
"(2939779601, 7537740518)",0.11089532769723023,0.48749974654822525,0.0,0.3773828564602889
"(7537740584, 7537762485)",0.034157017622448396,0.1170636055234441,0.0,0.8130349990159205
"(7537740541, 7537740519)",0.02518403568216252,0.4877247434426899,0.0,0.37717128433663116
"(7537740518, 5298501543)",0.15910257612197734,0.4848318239978147,0.0,0.3798955241082168
"(7537740518, 7537740519)",0.04629175331776034,0.009511245606400183,0.0,0.9836177777159999
"(7537740518, 7537762521)",0.16347339298725122,0.21301365079696383,0.0,0.680521976649509
"(2939779634, 6711378563)",0.04908922071791908,0.009722910720147863,0.0,0.9832557894582854
"(2939779634, 7538189671)",0.03869662262549177,0.09904911573340715,0.0,0.8398553057756178
"(6711378563, 6714671846)",0.12435907405865126,0.2779648644434384,0.0,0.5996233698157333
"(6711378563, 6714671860)",0.0908890122794867,0.31495632533110707,0.0,0.5563509785493693
"(7538189671, 7537863297)",0.05758129234178525,0.3747315931441276,0.0,0.49032320068584045
"(2939779650, 5135054246)",0.029927680737017067,0.008859221070583512,0.0,0.984733568460116
"(2939779650, 6712327326)",0.1078775053968983,0.2599160076493624,0.0,0.6214534905011527
"(2939779650, 5135120097)",0.11529033985230373,0.2420101065600828,0.0,0.64359628941499
"(5135054246, 5135120096)",0.04539913621608517,0.24245570740512754,0.0,0.6430392522484119
"(6712327326, 7538213975)",0.08483648818977736,0.13431502007668703,0.0,0.787956278841196
"(6712327326, 7538213948)",0.004554813368618518,0.2047943960450241,0.0,0.6912375116857961
"(2939779679, 7538213968)",0.10788542933907416,0.2274243342468755,0.0,0.6620021670377313
"(2939779679, 7538213988)",0.061775275512620964,0.16197281575994932,0.0,0.7489347504884705
"(2939779679, 7538214028)",0.17471748907011364,0.14904062437934704,0.0,0.7670025207550144
"(2939779679, 7538214026)",0.30993268937919544,0.6518507683180119,0.0,0.23543584926644523
"(7538213968, 7538213967)",0.05035026914104478,0.2417413584915935,0.0,0.6439323959618791
"(7538213968, 7538213975)",0.07728426135412082,0.2020296742924863,0.0,0.6948672305029318
"(7538213968, 7538214033)",0.034157017622448396,0.178207269449246,0.0,0.7266829664202531
"(7538213988, 7538214029)",0.028304141778173374,0.1579039127293224,0.0,0.7545863202308156
"(7538214028, 7538213995)",0.11335374389029369,0.1282042345104007,0.0,0.7967732181721917
"(7538214028, 7538214029)",0.028304141778173367,0.18193670160758957,0.0,0.7216373285775052
"(7538214026, 7537762490)",0.30735704054488283,0.10170547940368162,0.0,0.8358589537917726
"(7538214026, 7538214025)",0.054799556297688526,0.2641709103361928,0.0,0.6162635144510014
"(2939779815, 2939780075)",0.06470611482869208,0.026115763638220834,0.0,0.9555562938016564
"(2939779815, 7537863324)",0.5956006426303279,0.15089511625944146,0.0,0.7643926041234284
"(2939779815, 5135054445)",0.6169102463617121,0.7321840728334515,0.0,0.17416166400415808
"(2939780075, 7537853378)",0.033069806077307064,0.056445578912358185,0.0,0.9059957015975126
"(2939780075, 7537863288)",0.026444820941968143,0.30947103661631187,0.0,0.562646656847091
"(7537863324, 6714671849)",0.5124487657885377,0.10148153863919768,0.0,0.8361953001424021
"(7537863324, 7537863314)",0.14535773501743435,0.3192290006650483,0.0,0.5514755332373629
"(5135054445, 2939779824)",0.4121699777971423,0.02928317476036812,0.0,0.9502794920801019
"(5135054445, 5135054447)",1.0,0.018235045041541612,0.0,0.9687904322683402
"(5135054445, 6714671769)",0.8483877103683246,0.1460287511153131,0.0,0.7712549585993639
"(2939779824, 7537863288)",0.06966816600663589,0.41346931711834045,0.0,0.4499082650932227
"(2939779824, 5135054449)",0.3425211432011106,0.01795609587367373,0.0,0.9692616440127126
"(2939779824, 7537853375)",0.20681927618335344,0.3977281625395308,0.0,0.4661162917998572
"(7537863288, 7537853377)",0.03468228643685979,0.06248115039997612,0.0,0.8963850950623191
"(2939779877, 7538567619)",0.1867012959094506,0.10755885889218254,1.0,0.8271038761747943
"(2939779877, 5298501533)",0.28854043197578527,0.012027081721727229,0.0,0.9793224290150009
"(2939779877, 5244731554)",0.18624588767198588,0.015166276955599467,0.0,0.973984818735116
"(2939779877, 7538567609)",0.08579533520178972,0.2696371810901678,1.0,0.6096356904342931
"(7538567619, 7538567609)",0.0448065631779441,0.3306890717378319,1.0,0.5385202988909168
"(7538567619, 7538567608)",0.2204879912868457,0.05828259933760586,0.0,0.9030619138041536
"(5298501533, 5298501532)",0.4767424654577117,0.015714490993258525,0.0,0.9730551795889043
"(5298501533, 7538567627)",0.34205029627895933,0.08520346407398655,1.0,0.8609229077822522
"(5298501533, 7538567620)",0.3225341770910707,0.08842032825408132,1.0,0.8559922340295348
"(2939779900, 6712327328)",0.5813685937417243,0.48783594934775365,0.0,0.37706673270522545
"(2939779900, 6712327329)",0.4009582121697721,0.060438477397564264,0.0,0.8996285665093213
"(2939779900, 2939780024)",0.25660328798233656,0.028050926050700135,0.0,0.9523295187213987
"(2939779900, 7537762487)",0.26851224322905826,0.48390655485335776,0.0,0.3807686455687702
"(6712327328, 5135054449)",0.5157871390908918,0.450292809306977,0.0,0.41309258813788324
"(6712327328, 6712327330)",0.35354211446084033,0.06113338016494061,0.0,0.8985241154090843
"(6712327328, 6712327343)",0.3579011598855325,0.027582636451137756,0.0,0.9531095409115192
"(6712327329, 7538213959)",0.06587435141229908,0.3640322889075597,0.0,0.5018055427298115
"(6712327329, 7537762486)",0.034157017622448396,0.2555859554359153,0.0,0.6267631694429574
"(6712327329, 7537762490)",0.35023994334862407,0.1182898090671378,0.0,0.8112331399868696
"(2939780024, 7537762488)",0.13815093678379586,0.4833613695923365,0.0,0.3812835145066375
"(2939780024, 7538567682)",0.2729376596871483,0.13975671455464073,0.0,0.7801651525000338
"(2939780024, 6712327345)",0.21187479488430758,0.2356362413984059,0.0,0.6515981567270692
"(2939780015, 6712327342)",0.17828118004527657,0.2583831347881725,0.0,0.6233299134042641
"(2939780015, 5298501543)",0.1916184054203812,0.2075518075132161,0.0,0.6876301302976491
"(2939780015, 7537762520)",0.057763675864244635,0.2527161087654439,0.0,0.6302979828870646
"(2939780015, 7537762522)",0.034157017622448396,0.18880755953671305,0.0,0.7124051372730259
"(6712327342, 6712327346)",0.1115749443112372,0.23481185011133512,0.0,0.6526377793583324
"(6712327342, 7538567684)",0.0536131297223199,0.14420479590639343,0.0,0.7738384555077841
"(6712327342, 7538567682)",0.2174768551551693,0.2582056856894299,0.0,0.6235473620528479
"(5298501543, 5159819077)",0.09793789123113611,0.01683250365526099,0.0,0.971161590760812
"(5298501543, 7537762511)",0.28567021592911407,0.48373363235208383,0.0,0.3809319193586429
"(7537762520, 7537762518)",0.03472441086243855,0.2564304253532549,0.0,0.6257254167337768
"(7537762520, 7537762519)",0.034157017622448396,0.19546491733947982,0.0,0.7035375405605945
"(7537762520, 7537762521)",0.017983341469073752,0.22844624995961746,0.0,0.660701604513378
"(7537762488, 7537740516)",0.2245132299006625,0.40272890174474085,0.0,0.4609358887004366
"(7537762488, 7537762487)",0.1444868728477702,0.02746029229235254,0.0,0.9533134141917652
"(7538567682, 7538567683)",0.058349971452077154,0.5057741879077178,0.0,0.3603648834718492
"(7537853378, 7537853377)",0.013671376667763356,0.3004452466327095,0.0,0.5730963514114115
"(5135054212, 7537762507)",0.07884997985014883,0.30779691648413104,0.0,0.5645763498050794
"(5135054212, 5135054215)",0.0655147835221939,0.020822376654141862,0.0,0.9644288734682698
"(5135054212, 7538567644)",0.07691989885939705,1.0,0.0,0.0
"(7537762507, 7538572507)",0.06053688004052288,0.4958695316631104,0.0,0.3695469778830436
"(5135054215, 7537762563)",0.034157017622448396,0.030805988870220975,0.0,0.9477510800065113
"(5135054215, 7538567609)",0.09905123953168891,0.8486245017865838,0.0,0.0932539221905124
"(5135120096, 5135120097)",0.09361365258941234,0.008860183997747116,0.0,0.9847319198478518
"(5135120096, 7537853373)",0.03873872199429488,0.22398063863132522,0.0,0.6663972021561442
"(5135120096, 7537853375)",0.14172272627421428,0.12341660514900504,0.0,0.8037317396394669
"(5135054438, 6714671768)",0.5546171993551191,0.25324841340583787,0.0,0.6296413898674249
"(5135054438, 7538572500)",0.15106975174126264,0.048090350104290955,0.0,0.9194357799107195
"(5135054438, 7538567627)",0.47099269660061954,0.3830767526764813,0.0,0.4814650546912589
"(6714671768, 5135054447)",0.6918331002056108,0.1441088621303457,0.0,0.773974511829472
"(6714671768, 7537762515)",0.18323046405093907,0.21524067014604426,0.0,0.6776378210086078
"(7538572500, 7538572498)",0.0823441861635652,0.044884819573998404,0.0,0.9246345252489827
"(7538572500, 7538572499)",0.034157017622448396,0.10621531499626946,0.0,0.8291072811655263
"(7538572500, 7538572501)",0.034157017622448396,0.08859746074956125,0.0,0.855721368229328
"(5135054447, 6712327343)",0.6251737645141725,0.44965291218118103,0.0,0.41371956878013927
"(5135054447, 5135054449)",0.5431782153554485,0.029236908885751964,0.0,0.9503563965211481
"(6714671769, 5244731553)",0.34966122341807804,0.25177640624175285,0.0,0.631458155115114
"(6714671769, 6714671770)",0.5258674567507373,0.21552653245273956,0.0,0.6772681979429905
"(6712327343, 6712327345)",0.2825129639281135,0.24925503243826672,0.0,0.6345777732641334
"(6712327343, 7538572492)",0.2225679558927292,0.06291288332864095,0.0,0.8957007559481145
"(5135054449, 6712327331)",0.41552832627292785,0.057569840592147696,0.0,0.9041993134289807
"(6712327331, 7538213954)",0.11995294902599916,0.22092222541417186,0.0,0.6703165562243419
"(6712327331, 5135120097)",0.29531583997138716,0.46547199392028216,0.0,0.3983485710893698
"(5135120056, 7537863270)",0.013086011360308066,0.13859006079213051,0.0,0.7818307448065154
"(5135120056, 7537863269)",0.02143681100240752,0.09877334906876899,0.0,0.8402710144384619
"(7537863270, 6714671850)",0.04165498052857072,0.1204058893454932,0.0,0.8081306540010038
"(7537863270, 7537863271)",0.009886254152325111,0.2822789584268393,0.0,0.5944764500887683
"(7537863269, 6714671844)",0.05495367032938833,0.20719277340090653,0.0,0.6880991182983004
"(5135120073, 6714671849)",0.31118827791076525,0.25777959516751925,0.0,0.6240696940377718
"(5135120073, 7537863252)",0.1639654639145533,0.13171537069805273,0.0,0.7916983603738772
"(5135120073, 6714671844)",0.21567642116879407,0.1803111639901182,0.0,0.723833556433601
"(6714671849, 7537863239)",0.20966419856266033,0.1825901269424255,0.0,0.7207558030027874
"(7537863252, 6714671846)",0.15401539682762658,0.13347075488366272,0.0,0.7891701347518355
"(7537863252, 7537863259)",0.05595556556890429,0.07098174246773234,0.0,0.8829867144340063
"(6714671844, 7537863253)",0.11081713149047523,0.12876530849433013,0.0,0.7959606587243401
"(6714671844, 7537863271)",0.037216767420912435,0.1401055900843788,0.0,0.7796675773168683
"(5135120097, 5135120098)",0.20884544703548297,0.2990632044681736,0.0,0.5747064521022879
"(7537853373, 6714671761)",0.005450490629981056,0.2005022180576547,0.0,0.6968780913157167
"(7537853375, 7537853376)",0.06209944516217709,0.41770077937019134,0.0,0.445600207707757
"(5135120098, 7538213978)",0.09212474184971049,0.07962888002290565,0.0,0.8695195166933557
"(5135120098, 7538213948)",0.09898832040132066,0.07502601273176225,0.0,0.8766679191880429
"(7538213978, 6712327327)",0.03920702332250052,0.16510237563265343,0.0,0.7446083926327256
"(7538213978, 7538213977)",0.06371433260681178,0.0949261412333172,0.0,0.8460869633729203
"(7538213948, 7538213976)",0.07091465738360721,0.13407172926361297,0.0,0.7883059335830971
"(5159819077, 7537740519)",0.0462635489260157,0.4847283976482745,0.0,0.37999307795982806
"(5159819077, 6714671963)",0.034157017622448396,0.350666179639229,0.0,0.5163514691262494
"(5159819077, 7537762512)",0.1065530233976047,0.48365660739288685,0.0,0.3810046563385831
"(5244731553, 7538567652)",0.19338737882571347,0.06802581139557741,0.0,0.8876276953250091
"(5244731553, 7538567657)",0.1535120277494835,0.11056675677536786,0.0,0.8226319525706581
"(7538567652, 7538567654)",0.15092054077030628,0.04008457838045551,0.0,0.9324640453066423
"(7538567652, 7538567656)",0.06093824445770216,0.1101568443904636,0.0,0.8232403046752281
"(7538567657, 7538567656)",0.061229804018399975,0.06765512884648411,0.0,0.8882110427436751
"(7538567657, 7538567661)",0.09732207288420433,0.04229708555151601,0.0,0.9288486436498077
"(5244731554, 7538567644)",0.08328555456279661,0.12103470770741803,1.0,0.8072104203435781
"(5244731554, 5298501532)",0.17090228405079966,0.012432775094404326,0.0,0.9786312515281189
"(5244731554, 7538567636)",0.14010916225412873,0.12439780018666846,1.0,0.8023019806343733
"(7538567644, 7538567636)",0.025459356699845597,0.2024198299334114,1.0,0.6943542293808818
"(5298501532, 7538567635)",0.22181012626457028,0.09730773931706234,1.0,0.8424830073504966
"(5298501532, 7538567628)",0.24032622716716742,0.08501231980931716,1.0,0.8612165758697949
"(7538567635, 7538567628)",0.07818552444775277,0.1502228064039235,1.0,0.7653380386113241
"(7538567635, 6714671764)",0.28108811819976304,0.29078237873548235,0.0,0.584410159588944
"(7538567627, 7538567620)",0.12521119197093458,0.13405374039163437,1.0,0.7883317914982283
"(7537762511, 6712327344)",0.2554487373758225,0.4683268088495191,0.0,0.39560292794338314
"(7537762511, 7538567620)",0.43613106855852213,0.3623910628192117,0.0,0.5035794913452106
"(7537762511, 7537762512)",0.20927225699145446,0.01454885875950824,0.0,0.9750326983258196
"(6714671846, 7537863260)",0.10154507992660049,0.06997152826263113,0.0,0.8845706527740952
"(6714671846, 6714671858)",0.12222315290970015,0.2257428260691024,0.0,0.664145818488492
"(7538213975, 7538213976)",0.011554647486257591,0.2195186381192446,0.0,0.6721203282675271
"(6712327327, 7538213951)",0.035764885833490204,0.11239826268077165,0.0,0.8199179429389312
"(6712327327, 7538213955)",0.013771954632195448,0.1140285223197816,0.0,0.8175078166811702
"(6712327327, 7538213965)",0.013414879323230088,0.06455416597539246,0.0,0.8931029433157776
"(7538213951, 7538213961)",0.07090595056519805,0.12758178356455752,0.0,0.7976753814903408
"(7538213951, 7538213956)",0.01354237325495456,0.11546077521998516,0.0,0.8153948077814083
"(7538213955, 7538213952)",0.023598978306486773,0.22403112622574947,1.0,0.6663326292007609
"(7538213955, 7538213956)",0.008786558600554092,0.11258845721009571,1.0,0.819636490460694
"(7538213965, 7538213964)",0.10171781280618705,0.24458115616986117,0.0,0.6403865221788579
"(7538213965, 7538213966)",0.07552050244727596,0.08138211321537374,0.0,0.8668086822898818
"(6712327330, 7538213961)",0.22788818506377626,0.04959083992166733,0.0,0.9170103933569078
"(6712327330, 7538213957)",0.06098310469918341,0.11584856882012116,0.0,0.814823398989889
"(6712327330, 7538213959)",0.08403803641506777,0.11889949361400189,0.0,0.8103383429308044
"(7538213959, 7538213960)",0.07941799557725529,0.04894993489864975,0.0,0.9180457187058179
"(7537762490, 7538214024)",0.03868946855318809,0.2646065781005781,0.0,0.6157336355027382
"(7538213961, 7538213962)",0.030652181080799378,0.11572759684305838,0.0,0.8150016174196094
"(7538213961, 7538213964)",0.1081025851723524,0.0625132569260353,0.0,0.8963341887825625
"(7538213957, 7538213954)",0.027420202758404077,0.11129279967702471,0.0,0.8215552613283732
"(7538213957, 7538213962)",0.034430069861120474,0.048990639067975385,0.0,0.917979936743987
"(7538213954, 7538213963)",0.07980288499767114,0.049764577449071506,0.0,0.9167298977536638
"(6712327346, 7538572491)",0.07781811502579541,0.1273704094108655,0.0,0.7979819129511
"(6712327346, 7538572487)",0.10897237044410378,0.12649742063579475,0.0,0.799248830017853
"(7538567684, 7538567683)",0.026357192717745392,0.09743327802446239,0.0,0.8422933621996054
"(7538567684, 7538572485)",0.034157017622448396,0.12184821518798604,0.0,0.8060210640234879
"(6712327345, 7538572493)",0.16385391852660824,0.06442425306451843,0.0,0.893308350782093
"(7538572492, 7537762513)",0.10402358544970448,0.07646249816247333,0.0,0.8744320984822488
