edge,edge_betweenness,edge_length,edge_embedness,straightness
"(25585083, 1414035094)",0.010479923286395413,0.030045100285943475,0.0,0.9528425889345395
"(25585083, 9378036229)",0.014659812136617793,0.14510091495138755,0.0,0.7866689833387654
"(25585083, 1737659086)",0.03079457708067417,0.29966464533009446,0.0,0.5939463873871754
"(1414035094, 9378036230)",0.0034073718376424053,0.12453171979013733,0.0,0.8148151886577255
"(1414035094, 5098449205)",0.002282181954988941,0.08871449228807124,0.0,0.8653950069203356
"(9378036229, 9378036228)",0.09070262054283287,0.019504270908343637,0.0,0.9691963306703978
"(9378036229, 9378036230)",0.03606338897590863,0.02227587376770963,0.0,0.9648765751940823
"(9378036229, 9378036221)",0.06254141536065613,0.026546870947588723,0.0,0.9582474833701035
"(25585092, 1414035092)",0.003581292620582325,0.0240768954105899,0.0,0.9620771083947338
"(25585092, 9378036241)",0.010521243040511248,0.002033303573543011,0.0,0.9967552489327238
"(1414035092, 1737672029)",0.0005078207059740322,0.01017461285460738,0.5,0.9838418632195419
"(1414035092, 9378036242)",0.003682042943670522,0.007904670270020887,0.5,0.9874297693354843
"(25585141, 733992941)",0.008071438964288356,0.08011080071231598,0.0,0.8778526980982329
"(25585141, 339290777)",0.003929195020312296,0.0702340646034132,0.0,0.8923053019581145
"(25585141, 533648958)",0.01662621488163334,0.1315285834221891,0.0,0.8051689000884078
"(733992941, 342791876)",0.0011512962317560057,0.04278448887750791,0.0,0.9333460356389885
"(339290777, 339290734)",0.009331047144256411,0.07595115954110991,0.0,0.8839195935128127
"(533648958, 342819177)",0.049933376625727346,0.3951751981893529,0.0,0.489256200192026
"(533648958, 1737659101)",0.02891853227064047,0.11981160057315592,0.0,0.8213651536541725
"(32061865, 9298151108)",0.044259512737910185,0.2900925570411376,0.0,0.6050001029730121
"(32061865, 3070068360)",0.014031863318315968,0.06939413498203663,0.0,0.8935419285142383
"(32061865, 124178220)",0.05565718457487779,0.06390778287263445,0.0,0.9016488940118261
"(9298151108, 9298151105)",0.05363623988845284,0.02756356077945497,0.0,0.9566743674987945
"(9298151108, 9298151109)",0.007913654079956135,0.013871562904279822,0.5,0.9780190774332277
"(9298151108, 1686969201)",0.004673221745814018,0.2530854648163285,0.5,0.6487688848986634
"(3070068360, 2048064124)",0.013910855874790792,0.032846453150340425,0.0,0.9485303786687338
"(3070068360, 9298151109)",0.00801962072615058,0.20440693791511244,0.0,0.7089693246572435
"(32062410, 4710639229)",0.09914845738944914,0.2592486289260135,0.0,0.641363269873868
"(32062410, 1950351384)",0.04739061366008139,0.01603257526348211,0.0,0.9746272355869284
"(32062410, 2048039875)",0.14069097635472796,0.004782627828741127,0.0,0.9923803770093185
"(4710639229, 4710639228)",0.008869158333612162,0.026790270801000764,0.0,0.9578707014290667
"(4710639229, 11059812358)",0.06252620320019978,0.027972756641235854,0.0,0.9560417528474172
"(4710639229, 4710639230)",0.041360673589708304,0.019045929476988,0.0,0.9699120545908968
"(1950351384, 2048039877)",0.04365769050395755,0.0039686810055766875,0.0,0.9936740779544394
"(1950351384, 2048039891)",0.04194334648257492,0.02271490235856665,0.0,0.9641936110793268
"(1950351384, 2048039879)",0.04253610015611883,0.09821597987890981,0.0,0.8517779867452698
"(77744963, 2574818590)",0.5524843541527694,0.5029807669878604,0.0,0.38213060539597554
"(77744963, 1231628419)",0.4928711764707157,0.20877447606865962,0.0,0.70344082706981
"(77744963, 734520183)",0.021385535394817943,0.045766619114039654,0.0,0.9288238851263122
"(77744963, 341237310)",0.12455109514055572,0.06963785579888904,0.0,0.8931829761162087
"(2574818590, 734520464)",0.5541069951241613,0.12020196444239055,0.0,0.8208221496850375
"(2574818590, 2574818592)",0.007363082058839497,0.059183943491677216,0.0,0.9086702698043193
"(1231628419, 341239567)",0.25658348265629527,0.07056238322032776,0.0,0.8918222430624705
"(1231628419, 11255102474)",0.2473538564221145,0.08829140458107455,0.0,0.8660047701622848
"(734520183, 340240853)",0.022889952092665037,0.4592304188911816,0.0,0.4242989465674966
"(734520183, 734520502)",0.019300258666145598,0.046214003174119986,0.0,0.9281468180563239
"(341237310, 341237120)",0.059384015458423846,0.08362339478576282,0.0,0.8727519064660884
"(341237310, 341239156)",0.059177903545671345,0.447564288807925,0.0,0.4358370817895292
"(341237310, 734169924)",0.053186200240285926,0.09961192259004449,0.0,0.849789696075089
"(77744964, 77746338)",0.2238448770852681,0.2083798226215873,0.0,0.7039393305968312
"(77744964, 1598459390)",0.26467325026022637,0.2965598866285199,0.0,0.5975199467566894
"(77744964, 11255102474)",0.24789365188322368,0.11924368881956339,0.0,0.822155552683435
"(77746338, 1231628455)",0.1201811549379999,0.0742699013835263,0.0,0.8863799296504519
"(77746338, 9298159155)",0.31131427362487735,0.22610071348000288,0.0,0.6817595429915245
"(77746337, 1231628482)",0.0383349684883834,0.045885264391142724,0.0,0.9286442940746812
"(77746337, 734169511)",0.0760101129870906,0.8061850069906388,0.0,0.1307889921756337
"(77746337, 9298159144)",0.11204054659847049,0.24452031907314303,0.0,0.659139756447298
"(1231628482, 734170127)",0.0883327656326867,0.13955842506591817,0.0,0.7941902664236435
"(1231628482, 9298159145)",0.06349750820010391,0.28660901634172176,0.0,0.6090496492513394
"(734169511, 734170185)",0.06943231162460312,0.035359629383386174,0.0,0.9446738028354407
"(1231628455, 341239567)",0.2814630862382176,0.24038268751719824,0.0,0.6641829551936481
"(1231628455, 9298159154)",0.18263052581944694,0.14960104564138116,0.0,0.7805958544023558
"(9298159155, 9298159154)",0.14189373132900743,0.01732015412000535,0.0,0.9726104245599174
"(9298159155, 9298159144)",0.19484327803361887,0.034487542575272985,0.0,0.9460107708959549
"(9298159155, 9298159156)",0.2854410123041856,0.021383916135203077,0.0,0.9662652173061499
"(77746341, 1598459393)",0.4607174060146499,0.012517707077532008,0.0,0.9801484687958674
"(77746341, 1598459390)",0.2495691962609222,0.12176971591968348,0.0,0.8186437552460974
"(77746341, 322121123)",0.6126713170049466,0.027008326837220747,0.0,0.957533243237254
"(77746341, 10276936408)",0.1098258669298864,0.019301297045900473,0.0,0.9695132370560932
"(1598459393, 1598459392)",0.06079330970793435,0.05141814978629299,0.0,0.9202967214297126
"(1598459393, 4720814585)",0.426575167229069,0.012772609351131753,0.5,0.9797472883015861
"(1598459393, 10276967809)",0.0752391269314271,0.019861915957709406,0.5,0.968638118576673
"(1598459390, 1598459392)",0.03802309449049593,0.0718275349682001,0.0,0.8899625109785924
"(124178220, 2047967901)",0.08259539280854823,0.18330207577539862,0.0,0.7360507787332211
"(124178220, 533651243)",0.18705429612885321,0.11870830980804788,0.0,0.8229011326567183
"(124178220, 9298159120)",0.524922253189236,0.030123832534595767,0.0,0.9527212001693866
"(124178220, 9378036217)",0.4040902465126446,0.5625844970933492,0.0,0.32733810311862155
"(2047967901, 1419898254)",0.015713263112980158,0.00843596318886572,0.0,0.9865891312234049
"(2047967901, 2048070264)",0.05584887923139105,0.1026399119782062,0.0,0.8454875690580468
"(2047967901, 2048070272)",0.020321016552180323,0.010322674329921226,0.0,0.9836081711541355
"(533651243, 339283192)",0.1281036613102343,0.8163223048603261,0.0,0.12344344231299967
"(533651243, 4710637455)",0.053554492784073794,0.08658887889512558,0.0,0.8684614515532776
"(245106221, 734520552)",0.021853161393669128,0.19131490640870022,0.0,0.7256966244903583
"(245106221, 12568274376)",0.03123514638632236,0.02574956506965967,0.0,0.9594824656297531
"(245106221, 734520284)",0.03898696903056845,0.14253558325114848,0.0,0.7901444872994745
"(734520552, 734520231)",0.0152672871059105,0.09191012112845384,0.0,0.8607988402557355
"(734520552, 734521168)",0.0386693146446726,0.0753675937456339,0.0,0.8847730416040923
"(12568274376, 12568274375)",0.007363082058839495,0.01134473364822404,0.0,0.9819961297989886
"(12568274376, 4720701783)",0.12322165483585704,0.027965313087730797,0.0,0.9560532578239374
"(12568274376, 12568274377)",0.08978228493372883,0.017910473086777994,0.0,0.9716867999232831
"(245107640, 2366958303)",0.014372309104010246,0.013562358338140658,0.5,0.9785051038539351
"(245107640, 12803812974)",0.006432144734676249,0.011665706860420427,0.0,0.9814902789355915
"(245107640, 12803828279)",0.02319369180778481,0.25592722351153385,0.0,0.6453483677095487
"(245107640, 2366958304)",0.009751098004498684,0.009375413595311357,0.5,0.9851039854991234
"(2366958303, 734520309)",0.02297984638842501,0.13936239141308987,0.0,0.7944571308164095
"(2366958303, 2383146336)",0.007363082058839495,0.0145558744033691,0.0,0.9769440685472941
"(2366958303, 2366958304)",0.0031838537457073634,0.02491501546427703,0.5,0.9607763787477261
"(12803812974, 12568185891)",0.022536645259724354,0.009078904382117213,0.0,0.9855725478253299
"(12803812974, 12803828278)",0.03425116362766819,0.2547896123167272,0.0,0.646716456698168
"(12803828279, 12803828276)",0.007363082058839495,0.017511950822431597,0.0,0.9723102649318183
"(12803828279, 12803828278)",0.010628378840018143,0.012737765440996335,0.0,0.9798021205792885
"(12803828279, 7824936281)",0.028467631690019646,0.01551333463297853,0.0,0.9754414232634893
"(269489736, 733967338)",0.038978167075192985,0.03620565275451155,0.0,0.9433780955835205
"(269489736, 534084512)",0.056018626853121076,0.8355269737918769,0.0,0.10969039261212532
"(269489736, 4710346452)",0.013367012102709281,0.2540471372793205,0.0,0.647610226876619
"(733967338, 2358535666)",0.035040898400582464,0.17775682283676741,0.0,0.7432688307087222
"(733967338, 4710346451)",0.006821348380963978,0.25713619697874024,0.0,0.6438962262330695
"(534084512, 4710347368)",0.03289119021767733,0.14814944934345947,0.0,0.7825515695993488
"(534084512, 6448207504)",0.02853678162213161,0.30127054203063136,0.0,0.5921024198980109
"(4710346452, 2048039902)",0.006032306542913617,0.016210274139976638,0.0,0.9743487124264859
"(4710346452, 4710346451)",0.0029292414188726097,0.03390675563633845,0.0,0.9469019144443049
"(4710346452, 8809676449)",0.009026974108609321,0.01282624528503463,0.0,0.9796628883002181
"(318265996, 734170248)",0.07992956403405106,0.08744636888535252,0.0,0.8672235313709854
"(318265996, 4710637455)",0.04672554050013825,0.010473263194442433,0.0,0.9833705321629069
"(318265996, 471099920)",0.03146165918858688,0.16782265672737656,0.0,0.7563085077560009
"(318265996, 339283192)",0.05164833938558313,0.684612857843137,0.0,0.2238023245215217
"(734170248, 340110178)",0.019947858976885308,0.3593420966627127,0.0,0.527379915872469
"(734170248, 5960542643)",0.05631959352451022,0.14624227982221,0.0,0.785125816195771
"(4710637455, 2048070278)",0.004796274404171141,0.16657969703326359,0.0,0.7579499411655393
"(4710637455, 4710637456)",0.007363082058839497,0.016469292220525563,0.0,0.973942835433725
"(471099920, 2048070246)",0.03365789224568221,0.15184178254325748,0.0,0.777583049721203
