edge,edge_betweenness,edge_length,edge_embedness,straightness
"(505201268, 728485613)",0.7826718429621452,0.5313244869932706,0.0,0.3677902199351852
"(505201268, 639617989)",0.3505101681096841,0.05209530171570747,0.0,0.9230787880539101
"(505201268, 1287210056)",0.53253781932783,0.24826008180737177,0.0,0.6663377034039281
"(505201268, 1379083913)",0.12153603374881079,0.2988404490502053,0.0,0.6074436604798301
"(728485613, 639617987)",0.8747405210657053,0.5248399169950245,0.0,0.3738611175887931
"(728485613, 728485490)",0.7433139826814543,0.6073995257818527,0.0,0.2988792315614728
"(728485613, 728485534)",1.0,0.4825607205713142,0.0,0.4142409153260922
"(639617989, 3957545950)",0.28104546167515837,0.18375633340028596,0.0,0.7455193010893939
"(639617989, 1287209869)",0.12543364449575103,0.29692268137966304,0.0,0.6096280014273748
"(639617989, 1287210100)",0.1456334382568058,0.2516368349496022,0.0,0.6623211295176725
"(1287210056, 1287210100)",0.09068959151903727,0.04867380757851831,0.0,0.9280069518760128
"(1287210056, 1379083914)",0.49974070927258557,0.23240729139794833,0.0,0.6853613931444811
"(505201297, 517622318)",0.046821843206967514,0.11319435344257593,0.5,0.8378440250928233
"(505201297, 1379083914)",0.18565072564606233,0.05027536131984925,0.0,0.9256980344918727
"(505201297, 517622317)",0.07678524819236543,0.1110118708421146,0.5,0.8408010587695834
"(505201297, 8009633747)",0.12877926599062614,0.011520652987766519,0.0,0.9826349841909563
"(517622318, 517622317)",0.04434182806060504,0.16713739716868767,0.5,0.7667063993128035
"(517622318, 1287210100)",0.12151747322193392,0.11476430723948376,0.0,0.8357207935594928
"(1379083914, 1294465118)",0.16575025755742426,0.10485204172518321,0.0,0.8491810757667534
"(1379083914, 1282359920)",0.3085341120590684,0.08990174839002635,0.0,0.8697317320921063
"(517622317, 643136958)",0.08004744921657918,0.24663985088242973,0.0,0.6682693427917177
"(517631977, 670805344)",0.22950234382029175,0.01566474841511502,0.0,0.9764387219478382
"(517631977, 639617987)",0.29454522063218536,0.5001220166981046,0.0,0.39729845422956295
"(517631977, 1294465134)",0.20085709781379354,0.24478706430767413,0.0,0.6704817511825306
"(517631977, 1282359923)",0.18393661214946974,0.08197333676805366,0.0,0.8807536159414232
"(670805344, 670805342)",0.3613899222394429,0.4995565203760684,0.0,0.39784021775808953
"(670805344, 748758720)",0.0866852466451329,0.12089224532344384,0.0,0.8274642692488732
"(670805344, 748758766)",0.36980768448657264,0.19234968167512662,0.0,0.7346935557261484
"(639617987, 1380800023)",0.3169108037353231,0.6072086869817317,0.0,0.29904694294955925
"(639617987, 670805342)",0.7492989726503247,0.029987289055747365,0.0,0.9552246718899593
"(1294465134, 728485534)",0.24111741054901262,0.28758430961183346,0.0,0.6203182430557682
"(1294465134, 1294465194)",0.23082717873949524,0.044808211756885624,0.0,0.9335952522054324
"(520146438, 728485767)",0.052917461696139416,0.5217438485131579,0.0,0.3767709718932985
"(520146438, 748758732)",0.07769730907557912,0.4876318778608323,0.0,0.4093232557232579
"(520146438, 3464968894)",0.04682833892661749,0.13261941731270716,0.0,0.8117998899482415
"(728485767, 748758774)",0.06682085363694404,0.48996674160547204,0.0,0.40706597469684574
"(748758732, 1294465422)",0.27280465493520445,0.24133668795811053,0.0,0.6746118683280697
"(748758732, 1282359923)",0.079780642433317,0.10953819103343379,0.0,0.842801306512303
"(748758732, 748758766)",0.3204148001196937,0.01551491925996909,0.0,0.976662288603721
"(639617985, 3048747711)",0.04682833892661749,0.3563147111416538,0.0,0.5436757222364643
