edge,edge_betweenness,edge_length,edge_embedness,straightness
"(857154343, 3662131196)",0.0023212173786026718,0.01983420645663991,1.0,0.9701530845467851
"(857154343, 3092400851)",0.08576041279157384,0.015238135227668802,0.0,0.9770149367210963
"(857154343, 3662131198)",0.2688959546811706,0.015488264252165521,0.5,0.9766406608121255
"(857154343, 3662131194)",0.3567287660944229,0.017035148103504625,0.5,0.974328155321925
"(3662131196, 3662131194)",0.3275393464471499,0.038581206064056316,0.5,0.9424974286668387
"(3662131196, 8401717833)",0.07829043378919306,0.10451430174972254,0.0,0.8492973947176732
"(3662131196, 3662131198)",0.29118800733460476,0.03913111557464113,0.5,0.9416941828839346
"(3092400851, 3662131193)",0.11611763348183005,0.014601011068485712,0.5,0.9779687224211783
"(3092400851, 3662131195)",0.0023185980039632592,0.020164871896525195,1.0,0.9696606594230602
"(3092400851, 3662131197)",0.1869982840628687,0.017934747965288475,0.5,0.9729849996732242
"(3662131198, 3662131197)",0.21576058124464562,0.015184169198549147,0.0,0.9770957004616192
"(3662131198, 3090169066)",0.40933091001484584,0.2457655005858194,0.0,0.668716164599756
"(868610029, 3116207659)",0.1757528733749361,0.19904109949915216,0.0,0.72578811159409
"(868610029, 3116207656)",0.1892671441865504,0.25868867300116466,0.0,0.6533628459449058
"(868610029, 12434884824)",0.2444189633298814,0.21485140013476445,0.0,0.7061970625438561
"(3116207659, 3116207658)",0.2614876190354293,0.2324374237801053,0.0,0.6847434854446427
"(3116207659, 5809007360)",0.26777540393171484,0.14804096839295577,0.0,0.7910238654471398
"(3116207656, 8401662906)",0.23175106498868722,0.05245658939872689,0.0,0.9223666337624165
"(3116207656, 3116207658)",0.2310299289243378,0.2888719803421812,0.0,0.6182029328077026
"(1480362462, 3105438704)",0.017827247633135455,0.1703293769866927,0.0,0.76212284980787
"(1480362462, 3105438694)",0.0018582365742514787,0.3384859430298845,0.0,0.5624490409551619
"(3105438704, 3105138554)",0.04367765782794676,0.17119104706578392,0.0,0.7610178947431472
"(3105438704, 5739186059)",0.01014485899975553,0.3075132451360704,0.0,0.5969636918843493
"(3105438694, 4952188615)",0.027114603718927228,0.3039261796145581,0.0,0.6010230322783313
"(3105438694, 3105438703)",0.00950554194790462,0.3789302613102284,0.0,0.5187786344453101
"(1480362553, 6238169810)",0.036117168756627335,0.01848195047009276,0.0,0.9721686032814326
"(1480362553, 3105138609)",0.014970774814904074,0.4460766635754042,0.0,0.4495705882621495
"(1480362553, 12756787325)",0.05323263574119327,0.2927551392697271,0.0,0.6137491051651609
"(6238169810, 12385839430)",0.03277536349068917,0.04011897557635911,0.0,0.9402523594371583
"(6238169810, 3105138610)",0.03967597630928182,0.5042209603653389,0.0,0.39273610480905524
"(3105138609, 12762936312)",0.01597570542630126,0.031132172136930647,0.0,0.9534227035405992
"(3105138609, 6238169802)",0.008187422972699922,0.03236503070518534,0.0,0.9516087549043593
"(1480362594, 12434884828)",0.06136702323536307,0.024113183680971387,0.0,0.9637937851627691
"(1480362594, 3105138560)",0.36195276690946504,0.5134643139205387,0.0,0.3839509943342827
"(1480362594, 3105138554)",0.17539423805698132,0.10525448255264996,0.0,0.8482855231844907
"(1480362594, 3105138576)",0.3960507146625022,0.49683157841519165,0.0,0.3998074524567168
"(12434884828, 3092398813)",0.06834106613765044,0.2633577158396635,0.0,0.6478604683211943
"(12434884828, 12434884838)",0.05747485353201833,0.4764508262135314,0.0,0.41953687032155457
"(3105138560, 3105138557)",0.04603499450232589,0.07282149694895787,0.0,0.8933278559978305
"(3105138560, 12756787328)",0.060141149527906265,0.3956734998771787,0.0,0.5011459802817133
"(3105138560, 3105138569)",0.28223329839188555,0.1882306505520461,0.0,0.7393526885837349
"(3105138554, 3105438707)",0.0926031471401083,0.33610905007583364,0.0,0.5650642034130937
"(3105138554, 4952188615)",0.03997294259841481,0.28394167850109747,0.0,0.6238803866761449
"(1480382611, 3095086475)",0.6351786061764519,0.017403700379080615,0.0,0.9737777343464676
"(1480382611, 3093619788)",0.1077318549489073,0.01693339538992334,0.0,0.9744801565930127
"(1480382611, 4932714320)",0.6453109557521348,0.08511942395020355,0.0,0.8760773679453651
"(3095086475, 4937845151)",0.6567764253353288,0.36219658265072563,0.0,0.5366595203911736
"(3095086475, 3095086476)",0.1077716669988172,0.017146736209357513,0.0,0.9741614799867275
"(1480382810, 12454293841)",0.016622729456685977,0.013451515218331022,1.0,0.9796911259246623
"(1480382810, 12454293839)",0.006344397118724466,0.014145629958266659,1.0,0.9786508203994941
"(1480382810, 12454293838)",0.0056713457216464435,0.017120384428988847,1.0,0.9742008390089677
"(1480382810, 12454293843)",0.00044356133581256485,0.0184998853367643,1.0,0.9721418532289307
"(12454293841, 7825228679)",0.0743752592171667,0.06758040785048583,0.0,0.9007444269860406
