edge,edge_betweenness,edge_length,edge_embedness,straightness
"(26041235, 5197857960)",0.8802193295202968,0.29554311093642904,0.0,0.5806709042366082
"(26041235, 5301504005)",0.867150912716787,0.010118212069658898,0.0,0.9827096346586318
"(5197857960, 26041236)",0.8048341824003071,0.37722829954915454,0.0,0.4895627993109183
"(5197857960, 5197857962)",0.26505106391728783,0.06988349034207797,0.0,0.8854815961618595
"(5301504005, 3866674839)",0.13246428293995338,0.18641746904872974,0.0,0.717151249661576
"(5301504005, 5301504004)",0.5493312019986093,0.19221427207260117,0.0,0.7094267988048832
"(5301504005, 8943241519)",0.2586452092872038,0.09783981267466411,0.0,0.8426893966857418
"(26041236, 5034020842)",0.6254284504306229,0.015753780265239974,0.0,0.9731875749189217
"(26041236, 27271948)",1.0,0.19778925908594572,0.0,0.7020512535284212
"(26041236, 3866674840)",0.5451846928744463,0.02066681711957419,0.0,0.9649485649389504
"(5034020842, 5034020841)",0.31365706066759913,0.19879289863261237,0.0,0.7007289781461163
"(5034020842, 5200208787)",0.737637710138244,0.15579487559330146,0.0,0.7589206267209262
"(5034020842, 5034020843)",0.25016101538041663,0.018875812031728455,0.0,0.9679453519839506
"(27271948, 5034020841)",0.27904259883354676,0.01564194488204931,0.0,0.9733757915449177
"(27271948, 12625385868)",0.9130178520867893,0.0900644791023348,0.0,0.8544282696903244
"(27271948, 5197855539)",0.31724981962935805,0.1287814541723883,0.0,0.7971687039382908
"(26041240, 26592202)",0.40845568715660335,0.02141901860629125,0.0,0.9636922226531326
"(26041240, 330039852)",0.7938660024361436,0.20180201927324432,0.0,0.6967745376319019
"(26041240, 267770986)",0.8011981796499679,0.012849431643927883,0.0,0.9780852885072027
"(26041240, 3866674844)",0.2854803751837642,0.018498922008037988,0.0,0.968576953786218
"(26592202, 3866674849)",0.31696556881019794,0.009562578131153073,0.0,0.9836526176690156
"(26592202, 3866674845)",0.19106923605339363,0.021481242219598795,0.0,0.9635883556239276
"(26592202, 52572292)",0.46039381584460576,0.210375917799698,0.0,0.6855888709780746
"(330039852, 330039851)",0.06778735557466183,0.008893933127862467,0.0,0.9847883908581971
"(330039852, 52571299)",0.8471317640436472,0.26663522195232264,0.0,0.6150706716816781
"(26056843, 4127577032)",0.013930369758362796,0.04589047621770514,0.5,0.9235393069469426
"(26056843, 105176634)",0.011808567142458525,0.07184612445759575,0.5,0.8824238789943495
"(26056843, 28894474)",0.09502601011604354,0.04601056749247118,0.0,0.9233456434092142
"(26056843, 105176476)",0.15051081663561947,0.0611714551609844,0.5,0.8991547428378988
"(26056843, 4127577033)",0.07600792415701167,0.049985715338111185,0.5,0.9169534531431041
"(4127577032, 4127577033)",0.0028033518433997974,0.010488380802342406,0.5,0.982081826578906
"(105176634, 105176476)",0.12857929598409698,0.04847833088268226,0.5,0.9193732163235931
"(105176634, 28894460)",0.1248677495192319,0.013333157601911668,0.0,0.9772681523180725
"(26056844, 11037783512)",0.0408679858239961,0.021132964850280912,0.0,0.9641698372462798
"(26056844, 11037783518)",0.03873660365940661,0.019711291576009794,0.0,0.9665464415298312
"(26056844, 11112903666)",0.030393813860710585,0.07977340903899015,0.0,0.8701567496132816
"(26056844, 28894460)",0.09900030272549873,0.27085830431021646,0.0,0.6099704401735954
"(11037783512, 26304806)",0.018509864839042208,0.0456818691973809,0.5,0.923875791396143
"(11037783512, 3357266204)",0.024829071882759575,0.06619447935565256,0.5,0.8912513115674191
"(11037783518, 11112903667)",0.009238784580489788,0.008127678081623567,0.0,0.986091305617729
"(11037783518, 5491465834)",0.016733721601762525,0.036673272803658806,0.0,0.9385008329012976
"(11112903666, 11112903667)",0.007309751590191515,0.06387340118946049,0.5,0.8948965865050313
"(11112903666, 11112903665)",0.009041955789900143,0.08695995589493535,0.5,0.859149960694153
"(26202758, 5289133046)",0.10031991011402114,0.01400553389609897,0.0,0.976133275413002
"(26202758, 26607278)",0.20023837980162643,0.137879142468997,0.0,0.7841359585217024
"(26202758, 26882444)",0.20219580863162998,0.23427563328486437,0.0,0.655033627685518
"(26202758, 5290737082)",0.3845345409662927,0.010550091663798807,0.0,0.9819771969974586
"(5289133046, 29559135)",0.12812831401071148,0.17839778927253783,0.0,0.7279321236632805
"(5289133046, 5289133045)",0.07142869351573634,0.13186639283554605,0.0,0.7927319233392794
"(5289133046, 5290737081)",0.04658998750643262,0.010244842063130793,0.0,0.9824948320863631
"(26607278, 330179563)",0.11177845599413509,0.05728400934128414,0.0,0.9053091617922787
"(26607278, 5289133045)",0.03281110319474424,0.014261497919516157,0.0,0.9757015303830963
"(26607278, 36154991)",0.06672693420289312,0.13529269905456665,0.0,0.7878252714480575
"(26202760, 5300719010)",0.18502958745085657,0.09969429448171835,0.0,0.8399077207570607
"(26202760, 2688191002)",0.5190045254887634,0.2210038966939749,0.0,0.6718890513692259
"(26202760, 5054176417)",0.6212397246758935,0.12708472039282886,0.0,0.7996166682958493
"(5300719010, 5300718979)",0.18064342571399447,0.0314160037394114,0.0,0.9471216462649434
"(5300719010, 5300719011)",0.08066974499555106,0.21287420358041498,0.0,0.6823521265711384
"(2688191002, 26202763)",0.6806391784770237,0.14779564689874822,0.0,0.7701062946771112
"(2688191002, 5289330946)",0.5194748574596604,0.23498070231785928,0.0,0.6541458923437375
"(2688191002, 5300719011)",0.3434318399026235,0.14656003879708204,0.0,0.7718445078166348
"(5054176417, 4734564469)",0.6223139531998242,0.04764276144405381,0.5,0.9207167246706682
"(5054176417, 5054176416)",0.0061785466991703866,0.22812460415495092,0.5,0.6628111276575297
"(5054176417, 5054176418)",0.016733721601762525,0.11177904507103249,0.0,0.8219495570602509
"(26202763, 5293441948)",0.33127709388674575,0.059872691359788656,0.0,0.9012072034329536
"(26202763, 5293441962)",0.5189656878863496,0.07561656683966364,0.0,0.8765726933898668
"(26202763, 5293483123)",0.43647929590438356,0.10013408878184395,0.0,0.8392490585538817
"(5293441948, 27271920)",0.1944548038864563,0.08405358539685404,0.0,0.8635883495189408
"(5293441948, 5293441959)",0.12275268312338025,0.037496340250940466,0.0,0.9371569391760854
"(5293441962, 5293441961)",0.04794670753985414,0.06146482649910353,0.0,0.8986916324820511
"(5293441962, 5293441949)",0.47947756113366286,0.11086435224051563,0.0,0.8232986669563632
"(26304804, 26304805)",0.01546739645512502,0.009989340963603368,0.5,0.982928278831625
"(26304804, 4319744332)",0.05798598166985265,0.05240231917908529,0.0,0.9130847249621545
"(26304804, 4319744336)",0.014345245914636836,0.023462169356425186,0.5,0.9602864767139514
"(26304804, 11112903684)",0.014895615899034655,0.07024459890736794,1.0,0.8849183827408372
"(26304805, 3357266207)",0.0061632724316025775,0.07476016149938011,0.5,0.877899061048285
"(26304805, 3357266205)",0.00794261763194698,0.09230750205296895,0.5,0.8510291776534783
"(26304805, 11112903684)",0.0010390401579761063,0.06988610847965189,0.5,0.8854775117026137
"(4319744332, 4319744328)",0.061325896212595384,0.029060922013869766,0.0,0.9510042533875149
"(4319744332, 5283736934)",0.12287303874194823,0.26939127291978504,0.0,0.6117392300784209
"(3357266207, 3357266205)",0.01039731061442964,0.038773834539297905,0.5,0.9350741377014974
"(3357266207, 26304806)",0.015493525712030174,0.19026903611617169,0.0,0.7120125642397476
"(26304806, 3357266204)",0.010717433554377978,0.03542396304136749,0.5,0.9405436627345866
"(3357266204, 4319744387)",0.045993341909448156,0.042996234731023555,0.0,0.9282165083557603
"(26304808, 105176736)",0.14341575822596225,0.10925773425901283,0.0,0.8256723142567776
"(26304808, 3357266216)",0.02113194499453502,0.23004630126802572,0.0,0.6603749328491665
"(26304808, 3357266222)",0.10787276452368379,0.0337166535476385,0.0,0.943341210906394
"(105176736, 267770985)",0.04974455534583263,0.016692290138822907,0.0,0.9716092647255673
"(105176736, 3866674844)",0.14666831416068407,0.142519785016889,0.0,0.7775478181111586
"(26480117, 26482520)",0.05980604535754045,0.18219508150941843,0.0,0.7228136737088581
"(26480117, 28583756)",0.03672262635165619,0.15652184523371507,0.0,0.7579098229443627
"(26480117, 5034020831)",0.05228132372216044,0.0076887304118099424,0.0,0.9868383229894738
"(26480117, 5290737078)",0.06281837406842901,0.007305217821970774,0.0,0.9874913840611629
"(26482520, 5290737079)",0.03408277713569041,0.00535445537112457,0.0,0.9908187944647479
"(26482520, 28583744)",0.03385261190570922,0.16804339937320037,0.0,0.742016089523036
"(26482520, 5290295994)",0.04724954467873427,0.09087662776754796,0.0,0.8531963420503643
"(28583756, 9006027827)",0.02848993098303624,0.01968992342824551,0.0,0.9665821992188254
"(28583756, 5034020830)",0.015945628097161667,0.010993311914586242,0.0,0.981225997107808
"(5034020831, 5034020830)",0.02176853012169131,0.16017607219979846,0.0,0.752843252965466
"(5034020831, 5292919123)",0.03723148275020001,0.0073515121353022305,0.0,0.9874125331193393
