edge,edge_betweenness,edge_length,edge_embedness,straightness
"(528923152, 2757723548)",0.5271378371594914,0.004198671583371084,0.0,0.9911231351722496
"(528923152, 2661467604)",0.48026486246578853,0.3644525450287462,0.0,0.45083467736762806
"(528923152, 2757209637)",0.44363928048343965,0.1705805960845188,0.0,0.6959591325034868
"(528923152, 3495874203)",0.5657951183035544,0.44336263337899856,0.0,0.37148222858590696
"(2757723548, 2757209605)",0.4317235982632628,0.10347849936647424,0.0,0.8030977749741118
"(2757723548, 2757900061)",0.09480429677685256,0.1611062505071477,0.0,0.7102566254847745
"(2757723548, 2757900035)",0.17388405857531075,0.13930325463154813,0.0,0.7441592254858901
"(2661467604, 6729298492)",0.5815436552108862,0.0064846297468904605,0.0,0.986325121478124
"(2661467604, 2757723540)",0.2685997571501107,0.012463892400029186,0.0,0.9738902031462516
"(2757209637, 1338631399)",0.5582474381132156,0.17193556323678144,0.0,0.6939352471091117
"(2757209637, 5295808920)",0.3498647871372502,0.4085082125085029,0.0,0.40534244322922547
"(1338631366, 5295808922)",0.16086412225072186,0.009124135307162107,0.0,0.9808154094030718
"(1338631366, 3168283580)",0.14068796716890625,0.3127895213547758,0.5,0.5084294195008715
"(1338631366, 1342628731)",0.020031854937515355,0.19300374137754167,0.5,0.6631179973512976
"(5295808922, 3495874225)",0.2245760392645254,0.25091723563630985,0.0,0.5842724046942197
"(5295808922, 5295808921)",0.184782460725857,0.20012354910656888,0.0,0.6529729833730736
"(5295808922, 11030761701)",0.25157232704402516,0.2072248052774897,0.0,0.6429856058216198
"(3168283580, 1342628731)",0.22197643566994668,0.1926262427487311,0.5,0.6636596217586923
"(3168283580, 3168283584)",0.17042697784015626,0.29500626579842637,0.0,0.5294167588740241
"(3168283580, 6726591798)",0.4316326272476999,0.2236330760864016,0.0,0.6203959943216258
"(1338631399, 2757209639)",0.3475949035240523,0.28704269460690557,0.0,0.5390208241569214
"(1338631399, 3495873580)",0.2114244180650284,0.06594473458174757,0.0,0.8695889601909361
"(1338631399, 6122753792)",0.6881060373168739,0.2605968250475328,0.0,0.5718687309554256
"(2757209639, 3495873562)",0.25157232704402516,0.12513030950087745,0.0,0.766978856875646
"(2757209639, 3495874225)",0.13971416219562657,0.055992019242172106,0.0,0.8881057123418743
"(3495873580, 3495874225)",0.10124266609119735,0.27516681061050446,0.0,0.553587103993977
"(3495873580, 3495874232)",0.08845129705298142,0.21584845324213836,0.0,0.6310296374004728
"(6122753792, 6824531539)",0.05145797598627788,0.6093415075575245,0.0,0.23184288651496165
"(6122753792, 6824531508)",0.6646205081709676,0.1409365161050371,0.0,0.7415698738313948
"(1338631421, 2757689370)",0.08793899040878772,0.010721950239773648,0.0,0.9774958241088024
"(1338631421, 6122753776)",0.04452337610287114,0.18603706482082594,0.5,0.6731748240536436
"(1338631421, 3950933464)",0.0581185957188595,0.003109684449710866,0.0,0.9934174597695222
"(1338631421, 6122753775)",0.05074328187535734,0.11364580006989695,0.5,0.7859428110562174
"(2757689370, 2757689368)",0.05095129480660709,0.06668060089028713,0.5,0.868235204638271
"(2757689370, 2757689365)",0.04947884364221739,0.09970184269723853,0.5,0.8095598291709264
"(2757689370, 3950926343)",0.14911267674611078,0.002430983311262243,0.0,0.994850210114873
"(6122753776, 6122753775)",0.0007146941109205261,0.10201397292286928,0.5,0.8055978118721423
"(6122753776, 6122753777)",0.008221049283063714,0.005021015172548482,0.0,0.9893942884020491
"(1342628731, 5295808921)",0.16321820320370833,0.010814219750252414,0.0,0.9773044868398616
"(1342628731, 2757209636)",0.11738356939346213,0.2143954749854174,0.0,0.6330309855754956
"(5295808921, 3495874232)",0.10827647854197073,0.08864249934820712,0.0,0.8287699430148112
"(5295808921, 5295808920)",0.3662754944431908,0.20818191073106854,0.0,0.6416493914309592
"(1342628738, 2661503766)",0.3861700075420945,0.0015137976870114491,0.0,0.9967898732906662
"(1342628738, 2757900048)",0.389703851644154,0.23436417636968165,0.0,0.6059790128572564
"(1342628738, 5295808887)",0.17336063617152822,0.1252199166142873,0.0,0.7668325795652838
"(1342628738, 2661467613)",0.21326558052951325,0.4028306932354262,0.0,0.41103099695409223
"(2661503766, 2661503675)",0.23538009342621022,0.1550784501891254,0.0,0.7194880167535487
"(2661503766, 2661503685)",0.5238462693237821,0.4200730724689303,0.0,0.3939076665472342
"(2661503766, 2661503767)",0.6668811026142597,0.10071277023428384,0.0,0.8078252489067501
"(2757900048, 2757209605)",0.3511875859305096,0.004887707292524644,0.0,0.9896743311409096
"(2757900048, 2757900045)",0.22638415145502713,0.03195482295429912,0.0,0.9344758126420029
"(5295808887, 1342628748)",0.07554664103763588,0.14017019464805253,0.5,0.7427837670978642
