edge,edge_betweenness,edge_length,edge_embedness,straightness
"(29571639, 4226753211)",0.0568868789338649,0.00938106937255766,0.0,0.985127845583488
"(29571639, 4631597350)",0.017392302325687475,0.43803832779701285,0.0,0.4459055155829965
"(29571639, 4226753218)",0.05376835303183734,0.5426088069531452,0.0,0.345878630389197
"(29571639, 4226753249)",0.040496300603304225,0.018185497646090405,0.0,0.9713190700247419
"(4226753211, 4226753245)",0.17213176185059445,0.01647248606793286,0.0,0.9739945292792188
"(4226753211, 9719551015)",0.07137322575135843,0.19942145041022327,0.0,0.7157666907231252
"(4226753211, 9699928482)",0.07978041758756937,0.16931452676478775,0.0,0.7547554224520878
"(29571641, 1038241973)",0.1491094063068469,0.2645444301503701,0.0,0.6355555916338435
"(29571641, 3311940056)",0.03957015045449654,0.669496702561275,0.0,0.23644582256591037
"(29571641, 3239093499)",0.19520629029156913,0.009524029315356357,0.0,0.9849024812464294
"(29571641, 4345455921)",0.05487627266149058,0.2006520921993031,0.0,0.7141995122195142
"(1038241973, 1087907094)",0.08266268341740016,0.16806558285892614,0.0,0.7564002132859524
"(1038241973, 1038241986)",0.032515727838328685,0.12632025703050856,0.0,0.8126829010357914
"(1038241973, 3496196587)",0.047639040548321035,0.24489926677511106,0.0,0.6591814953286614
"(3311940056, 3311940057)",0.024673286932053732,0.40248102099663624,0.0,0.4822032033500733
"(3311940056, 4226753249)",0.011522176719290962,0.32226482642413795,0.0,0.5688173469248684
"(3239093499, 1067122959)",0.3391892941533904,0.06478075524249596,0.0,0.9005559427679676
"(3239093499, 4057470190)",0.09977117468284122,0.19884236791238172,0.0,0.7165048408429603
"(3239093499, 4226753245)",0.25821894311049776,1.0,0.0,0.0
"(29571709, 4345455919)",0.041230360782831786,0.01112864144180428,0.0,0.98237555438058
"(29571709, 3399347718)",0.05343147838246963,0.11999722757487982,0.3333333333333333,0.8214351338428746
"(29571709, 3239093500)",0.0037516607669880572,0.2859602976956797,0.3333333333333333,0.610337287151777
"(4345455919, 8859516054)",0.03141379956960145,0.08347922289641686,0.0,0.8732086365777164
"(4345455919, 4345455920)",0.008377623194582816,0.31920720746638176,0.0,0.5722561495919258
"(3399347718, 3239093500)",0.09717202773550761,0.32056233402911627,0.3333333333333333,0.5707307886337987
"(3399347718, 4371177608)",0.06272500046926982,0.11627232019354183,0.0,0.826619882022583
"(3399347718, 3399742442)",0.13852847853747485,0.3709071041169962,0.0,0.5154880233982388
"(305371545, 1494244580)",0.033946238027741,0.37262015784849645,0.0,0.5136559111414866
"(305371545, 2026560094)",0.577088935077607,0.01461427873805163,0.0,0.9769028671510172
"(305371545, 1683601237)",0.34826434911788046,0.17794664890940104,0.0,0.7434477500733185
"(305371545, 2026560092)",0.3451946414968845,0.017221912050139104,0.0,0.9728233783964971
"(1494244580, 2024932727)",0.019177693407845853,0.012250518157548065,0.0,0.9806116757492691
"(2026560094, 2024932727)",0.023113116147175074,0.37304386282331675,0.0,0.513203229291635
"(2026560094, 4226433246)",0.5545008840733177,0.34135778822568563,0.0,0.5475790852139778
"(1683601237, 1684824638)",0.7545245900124572,0.2526770224324825,0.0,0.6497703702550757
"(1683601237, 1683685651)",0.9575135480094648,0.3696614194017972,0.0,0.5168222044718103
"(666941305, 1038247068)",0.04014248728287201,0.17790119667889387,0.0,0.7435070156165068
"(666941305, 1038251782)",0.06365592532879556,0.03533998580045352,0.0,0.9448205952039217
"(666941305, 4226433205)",0.05329256861188685,0.04170583148926694,0.0,0.9351213956161928
"(1038247068, 666941311)",0.005632118452321392,0.2218405020350967,0.3333333333333333,0.6875343981138581
"(1038247068, 1038247048)",0.04407061958040027,0.17234144057123957,0.3333333333333333,0.7507783292866881
"(1038251782, 1038247084)",0.05695994261246051,0.6059276532703165,0.0,0.2897535151762032
"(1038251782, 4229946603)",0.009486033063039342,0.01719110648804469,0.0,0.9728714988421484
"(666941311, 1038247048)",0.0596453786960756,0.23402950056513,0.3333333333333333,0.6724619067413298
"(666941311, 666941315)",0.053329635057431414,0.16518036486425397,0.0,0.7602083870029008
"(1038247048, 666941332)",0.11612183235266432,0.5014947908947486,0.0,0.38406383416741935
"(666941315, 1067122972)",0.00674618072627728,0.06535555812731413,0.0,0.8997065545670353
"(666941315, 666941330)",0.04124182136226246,0.30284216287558996,0.0,0.5908413852589902
"(1067122972, 1067122977)",0.04248853126512729,0.28350089472710155,0.0,0.6132054456860117
"(1067122972, 4226753214)",0.03039002088542934,0.4479407738345258,0.0,0.4360125273107518
"(666941330, 4226753241)",0.036336052235587384,0.005218606801993624,0.0,0.9917063522843099
"(666941330, 1038247084)",0.04283462079777535,0.05235104611748841,0.0,0.9190610091648864
"(666941327, 1038247095)",0.04464083321684749,0.008965353897649613,0.0,0.9857834024852266
"(666941327, 4226753241)",0.029250054293691312,0.01380131554329257,0.0,0.9781772640779365
"(666941327, 1067122981)",0.029341064960785274,0.2929981375032831,0.0,0.6021691980683834
"(1038247095, 1038247088)",0.020503825952201758,0.04948451733378144,0.0,0.9233663105357179
"(1038247095, 1067135884)",0.032193938566179824,0.054140042127788064,0.0,0.9163812784115468
"(4226753241, 4226753214)",0.04368928517796584,0.2934575060092084,0.0,0.601638079125308
"(1038247084, 1038251794)",0.059890909408400764,0.05271889509825127,0.0,0.9185095583495455
"(666941332, 10858249285)",0.01974267318326515,0.24924987895553613,0.0,0.653907894874049
"(666941332, 3763350961)",0.2572224728477537,0.34034540307844596,0.0,0.5486951596443184
"(666941332, 4226433283)",0.6680565995631399,0.5062397886806096,0.0,0.3795836415027023
"(666941332, 1067122975)",0.2993267903006383,0.46904881593715847,0.0,0.41522851504896496
"(10858249285, 3399347720)",0.010593474179753813,0.2768626906336196,0.0,0.6209828623048211
"(10858249285, 10858249286)",0.01032551789594203,0.026592558988973756,0.0,0.9582662667123016
"(3763350961, 1067122959)",0.2358930692406008,0.2914657415577186,0.3333333333333333,0.6039427317680606
"(3763350961, 3763350960)",0.006002168084133091,0.19400183807677393,0.3333333333333333,0.7226928267388552
"(3763350961, 10858249286)",0.008782364480350658,0.2749052386003312,0.0,0.6232863100343157
"(4226433283, 1683685651)",1.0,0.263477435564246,0.0,0.6368265460866992
"(4226433283, 2708840425)",0.597517158971806,0.3825355712920987,0.0,0.5031110697090779
"(4226433283, 4226433239)",0.6316120711305585,0.34098112685951804,0.0,0.5479941941093182
"(666941358, 4371177608)",0.04473211828878417,0.08803761355959631,0.0,0.8666293427854799
"(666941358, 1485907832)",0.02313052450604257,0.020922589727884966,0.0,0.967055319995357
"(666941358, 666941362)",0.04998411605980323,0.24227280183763206,0.0,0.6623767057495057
"(4371177608, 4371177615)",0.01739230232568748,0.13805518223874777,0.0,0.7966006824863773
"(1485907832, 8879737229)",0.01633279829932844,0.045842199369549454,0.0,0.9288573818460961
"(1485907832, 4231242843)",0.043075574390572045,0.10054392237964006,0.0,0.8487512315519076
"(666941362, 1485907782)",0.04245410537304,0.005623849687106037,0.0,0.9910644667140164
"(668954168, 1038251767)",0.25325515867637016,0.15130440194127315,0.0,0.7786905001867876
"(668954168, 668954176)",0.06549512331583705,0.3679877805644122,0.0,0.5186172939702887
"(668954168, 4292033958)",0.15939116881041862,0.46525791942758715,0.0,0.4189311282179589
"(668954168, 7996603598)",0.09139232014904067,0.1453797579871906,0.0,0.7866672996169343
"(1038251767, 1038247096)",0.2761161311439898,0.3527980208332249,0.0,0.5350442796711492
"(1038251767, 7996603635)",0.03008650153085122,0.09311630234875057,0.0,0.8593388566996867
"(668954176, 7996603633)",0.008584404226888512,0.15980265469098803,0.0,0.7673382055575974
"(668954176, 1067135933)",0.0659727494077086,0.2792938701925103,0.0,0.618128350161812
"(4292033958, 6024742242)",0.038854763862119876,0.12756555521476187,0.0,0.8109663851521512
"(4292033958, 4292033959)",0.07922138554057859,0.012668590642211644,0.0,0.9799549552670361
"(4292033958, 6024742237)",0.03476992466359253,0.3376216118030911,0.0,0.5517034759170776
"(7996603633, 1067135884)",0.025093289976405784,0.2601247511382652,0.0,0.6408291916379274
"(7996603633, 7996603635)",0.015058078526515898,0.4762197662774255,0.0,0.40826012081495666
"(1067135933, 1067135919)",0.20459175589451717,0.214124766359706,0.0,0.6971755125664371
"(1067135933, 6024742244)",0.07635067515917986,0.12338982396887725,0.0,0.8167315399704542
"(1067135933, 11917400569)",0.08866320310942434,0.19121959711180495,0.0,0.7262640245961436
"(771119339, 1067152324)",0.0641520931062703,0.2262754042079035,0.0,0.6820280803247087
"(771119339, 1067152332)",0.004693960409236078,0.12093250531822143,0.0,0.820136671348077
"(771119339, 772578838)",0.06232064990679922,0.33871855620974134,0.0,0.5504909707040301
"(1067152324, 9141685044)",0.05174104178361231,0.2884112516996343,0.0,0.607486101189899
"(1067152324, 1067152413)",0.03885356332278826,0.1285569487963525,0.0,0.8096015379560182
"(1067152324, 8953040109)",0.034711064260991506,0.366447873792549,0.0,0.5202715366794054
"(1067152332, 1067152357)",0.012866016220205249,0.20156280380928182,0.3333333333333333,0.7130410711888405
"(1067152332, 1067152378)",0.002570841430269872,0.1524631554965754,0.3333333333333333,0.7771364027697419
"(772578838, 1067152365)",0.07185050440471052,0.3505034712917488,0.0,0.5375470589449481
"(772391246, 1684935615)",0.02728865016920599,0.022870823907738574,0.0,0.9640287618415364
"(772391246, 1030348729)",0.6890803932345616,0.0431657927372727,0.0,0.9329070382064517
"(772391246, 1684935646)",0.6576312830274953,0.18059483728005926,0.0,0.7399997460592331
"(1684935615, 1984495361)",0.014408751178213887,0.07826516796039563,0.0,0.8807760308995004
"(1030348729, 1983286506)",0.01739230232568748,0.05287106571094716,0.0,0.9182815042445951
"(1030348729, 1684824094)",0.9201300414755098,0.40613345868023826,0.0,0.47841777338122954
"(1030348729, 1684971174)",0.37439709403073207,0.17166928438915224,0.0,0.7516603609259352
"(1067152365, 1067152349)",0.013533735133644588,0.27425576984642774,0.0,0.6240515956585311
"(1067152365, 4417177963)",0.08448060688689289,0.7079470639239237,0.0,0.20557794402952895
"(778875439, 4226753225)",0.007760624966618817,0.006823336962209832,0.0,0.9891663398282613
"(778875439, 1087908218)",0.018853801200499398,0.2826806538437932,0.0,0.6141636075112469
"(778875439, 1087908221)",0.013098471930316172,0.23247381910492929,0.0,0.6743749293590836
"(778875439, 1038241981)",0.02376047900936549,0.44958097541473474,0.0,0.43438276138707455
"(4226753225, 4226753251)",0.013046734338016931,0.45151176337432186,0.0,0.4324674675146367
"(1087908218, 1087907094)",0.04611501232530405,0.28886841123180873,0.0,0.6069550734661283
"(1087908218, 1087908219)",0.01736464158290771,0.2696089759499426,0.0,0.6295418831261048
