edge,edge_betweenness,edge_length,edge_embedness,straightness
"(75349972, 1722215093)",0.020322150349353894,0.004727689947795104,0.0,0.9895920595400534
"(75349972, 6975721358)",0.019948022350052684,0.009933435700588892,0.0,0.9782682558240497
"(75349972, 1887596136)",0.052909189584418675,0.0085314924862671,0.0,0.9813038948007349
"(75349972, 6975721362)",0.017490501562036978,0.005845088604995145,0.0,0.9871494569909857
"(1722215093, 6975721361)",0.04298862268660683,0.006161505334309968,0.0,0.9864589739263392
"(1722215093, 6975721357)",0.03188091946148185,0.010108933430555357,0.0,0.9778889681371156
"(6975721358, 6975721357)",0.011797990761520827,0.004929221551050925,0.0,0.9891510300735517
"(6975721358, 6975721359)",0.013100509197123349,0.007995240456126202,0.0,0.9824677518143886
"(6975721358, 78597886)",0.02112667434048879,0.08612864383644801,0.0,0.8273543532937915
"(75350958, 4868927533)",0.036454921541891595,0.06209083396907723,0.0,0.8721606039397792
"(75350958, 95386126)",0.11275811208456621,0.06019923010462582,0.0,0.8757899767704286
"(75350958, 1315785584)",0.10371674418257704,0.04773192840217679,0.0,0.900104852545425
"(75350958, 1887913956)",0.10329670081822873,0.10203053431928882,0.0,0.798992291352714
"(4868927533, 1315785322)",0.011802954544771255,0.049200801358259265,0.0,0.8972040240530371
"(4868927533, 1315785374)",0.0445487064287395,0.016941519688227453,0.0,0.9632454174597402
"(95386126, 1887913942)",0.01227630202054452,0.10200999173931254,0.0,0.7990283017735169
"(95386126, 477621319)",0.11664745183341159,0.04950982956720292,0.0,0.8965949771570526
"(75351492, 479284692)",0.05674471427084111,0.13505400234458015,0.0,0.7430986133061753
"(75351492, 12810493581)",0.0911693189444577,0.049117666909415984,0.0,0.897367942840186
"(75351492, 479283552)",0.14803757228741043,0.056063863527883014,0.0,0.8837787605522999
"(75351492, 1315785200)",0.11400268948597345,0.020034612547978285,0.0,0.9566943127115497
"(479284692, 479286446)",0.04272188493578686,0.06296917990125567,0.0,0.8704806087551137
"(479284692, 1315785307)",0.030431936268093325,0.045447506517177806,0.0,0.9046357648973649
"(12810493581, 12810493582)",0.14130439193182318,0.01084280402562244,0.0,0.9763046470519614
"(12810493581, 479294032)",0.15859190925918565,0.03592202504211699,0.0,0.9237881394636906
"(479283552, 479282332)",0.043275954283442386,0.049859214291430747,0.0,0.8959069128287401
"(479283552, 479283382)",0.13470144961317232,0.09111635921941405,0.0,0.81835229739082
"(479283552, 1315785515)",0.0237791878844365,0.06738474740044673,0.0,0.8620852169443296
"(75352048, 1315785531)",0.18176608459367488,0.01137340713763513,0.0,0.9751608858740944
