edge,edge_betweenness,edge_length,edge_embedness,straightness
"(430312132, 12118010196)",0.3419534400630131,0.0032839100040682676,0.0,0.9928074064735837
"(430312132, 4462309601)",0.14616345470689698,0.017388080199784633,0.0,0.96254652912969
"(430312132, 4400766758)",0.45327768485093367,0.03164575996425331,0.0,0.9329584127209682
"(12118010196, 4462309615)",0.4810545481138292,0.07251443429977511,0.0,0.8533029781924782
"(12118010196, 12118010193)",0.39507404652096145,0.07009211097752159,0.0,0.8578234830803577
"(12118010196, 12118010200)",1.0,0.053237813280224595,0.0,0.8899600130557848
"(4462309601, 4462309598)",0.15710787238132484,0.03200525334223771,0.0,0.9322249680058106
"(566899869, 4463418346)",0.04076821130554452,0.08545256711354647,0.0,0.8295613386275085
"(566899869, 4462314818)",0.06373386661491652,0.07886449822605338,0.0,0.8415664452722842
"(4463418346, 4463418332)",0.05986690009943457,0.07414862239373493,0.0,0.8502669005634953
"(4463418346, 12507254665)",0.0778775143376183,0.026963923534082276,0.0,0.9425663013756295
"(566899870, 4462314818)",0.0905305405448406,0.037532466161519555,0.0,0.9210244089503056
"(566899870, 3222744837)",0.08516057366384615,0.030809763872471224,0.0,0.9346663841387609
"(566899870, 4462309625)",0.10235587992376521,0.033478988367527225,0.0,0.9292245811288766
"(3222744837, 4462314813)",0.058352477028630896,0.06186314856978123,0.0,0.8733628137888835
"(3222744837, 4400766767)",0.09711289322981352,0.047503179875003326,0.0,0.9011745505122765
"(4462309625, 4462309630)",0.03492023300654159,0.05761471309069243,0.0,0.8814976898522394
"(4462309625, 4462309716)",0.10868180846267045,0.1940875130531496,0.0,0.6537852531260918
"(566899908, 9131552313)",0.024214862535296703,0.01188844065242178,1.0,0.9742261423665922
"(566899908, 9131552310)",0.07550965968784758,0.017036040823541702,0.5,0.9632896354785863
"(566899908, 9131552316)",0.095374600754419,0.014906837726550414,0.5,0.9677972231368634
"(566899908, 9131552315)",0.029949257396660496,0.015433429451041019,1.0,0.9666803094439052
"(9131552313, 4462309866)",0.1212828178708497,0.07030638460664863,0.0,0.8574226324689407
"(9131552313, 9131552310)",0.07021350667148822,0.039522204736651675,0.5,0.9170270181825548
"(9131552313, 9131552315)",0.09868845423020876,0.027362946109627737,0.5,0.9417433713147
