edge,edge_betweenness,edge_length,edge_embedness,straightness
"(269659884, 611925360)",0.039313626482724115,0.08273080566882324,0.5,0.8902135543670657
"(269659884, 1135418472)",0.11213703029091933,0.06194538582080051,0.5,0.917182752107845
"(269659884, 11423176415)",0.15045265234011007,0.4222348670983939,0.0,0.5001802687943023
"(611925360, 1135418472)",0.7010321258760288,0.046526228832894964,0.5,0.9374508130589827
"(611925360, 2263318718)",0.5939153157744482,0.36256379016717133,0.5,0.5625134610230715
"(611925360, 7932984314)",0.1467519011232613,0.6301769133978987,0.5,0.30030193284428053
"(1135418472, 1135418458)",0.5673995191053127,0.0357833941924505,0.5,0.9517059330540295
"(1135418472, 4643351905)",0.25003929531095986,0.07373336689720864,0.5,0.901838559455477
"(1135418472, 7944083397)",0.05580805998546614,0.15816288481215945,0.5,0.7956095600330356
"(1135418472, 7944083392)",0.12424598252667392,0.15745989096735627,0.5,0.7964683470290904
"(269660155, 7935955454)",0.14902757557608268,0.1809792353642278,0.0,0.7679626027906058
"(269660155, 1152796280)",0.521296474837787,0.049174709904788505,0.0,0.9339534140767984
"(269660155, 7959205164)",0.34232043851139965,0.39378137812717456,0.0,0.5296053680149002
"(269660155, 12666141325)",0.3911183071406787,0.08235462776409823,0.0,0.8906980952196512
"(7935955454, 7935955451)",0.05863838324778771,0.09514749937301985,0.5,0.874292695291057
"(7935955454, 7935955448)",0.09156940717274208,0.11343838960631758,0.5,0.8510938426482585
"(1152796280, 7959205166)",0.2530479003342433,0.08742699373084903,0.0,0.8841754890814981
"(1152796280, 12666141326)",0.3845239981007229,0.11139251924969333,0.0,0.8536738010395581
"(1152796280, 7932984316)",0.5895680895471099,0.2200062521849153,0.0,0.7216669425272614
"(269660177, 1152785842)",0.12477297435179399,0.029994380875220595,0.0,0.9594337627566228
"(269660177, 8097300344)",0.11290586753192243,0.026764491611314795,0.0,0.9637595304935179
"(269660177, 12666141333)",0.45260876758325563,0.3639317057275956,0.0,0.5610575219630815
"(269660177, 1152687774)",0.4504891870837138,0.3895891936798383,0.0,0.533986187669896
"(1152785842, 11549003416)",0.2787128924382305,0.20792003521968502,0.0,0.7358723471527495
"(1152785842, 8097300343)",0.05756239672353996,0.07172771901299557,0.0,0.9044401322948449
"(1152785842, 12666141334)",0.28384858393252216,0.36920692432376817,0.0,0.5554549160358614
"(8097300344, 7862223669)",0.1039055194709088,0.38687270280253616,0.0,0.5368312202953843
"(8097300344, 12666141348)",0.1517453931284514,0.02010216635917255,0.0,0.9727145234955072
"(8097300344, 12666141283)",0.13251115559135565,0.03867260621662277,0.0,0.9478612097220096
"(12666141333, 12666141332)",0.016381611687872295,0.02608710513013248,0.0,0.9646680392468815
"(12666141333, 12666141334)",0.09652632016406912,0.041144537079001973,0.0,0.9445781515474115
"(12666141333, 274812219)",0.47961213017311827,0.05665590584991997,0.0,0.9241102830951398
