edge,edge_betweenness,edge_length,edge_embedness,straightness
"(1588295070, 11559674886)",0.03397102293043862,0.00930072613843192,0.0,0.9865928099510085
"(1588295070, 11559674874)",0.030443858334102177,0.049514649463716615,0.0,0.9298802870273475
"(11559674886, 1588295078)",0.06452112742269624,0.006935406791430186,0.0,0.9899919170140767
"(11559674886, 11559674889)",0.012327503378444354,0.04496027281505703,0.0,0.9362027140223074
"(11559674874, 1588295106)",0.04832747339372482,0.2908247542186419,0.0,0.6275053485269326
"(1588295078, 11559674887)",0.08735575627671835,0.033820563147143955,0.0,0.9517739527458088
"(1588295078, 6038366700)",0.17988242025476767,0.06468374953723498,0.0,0.9090030464370413
"(11559674887, 11559674889)",0.010738513529433322,0.009782226800061406,0.5,0.9859017420613321
"(11559674887, 11559674892)",0.05681548058765056,0.08874794724543883,0.5,0.8764427690597513
"(6038366700, 11559674964)",0.006437866089292123,0.03614257779034421,0.0,0.9485156047105523
"(6038366700, 11559674960)",0.20283267570285493,0.03387623106277754,0.0,0.9516957591544908
"(1588295106, 1588295150)",0.13369001210777426,0.16323247674373464,0.0,0.7798029740286588
"(1588295106, 11559674895)",0.06106959166158857,0.028297230929672297,0.0,0.9595513950740158
"(1588295150, 1588295155)",0.2145824697706574,0.0035427756892548734,0.0,0.994879876345597
"(1588295150, 11559674843)",0.05486251054867183,0.11790592997299862,0.0,0.8378828831318443
"(11559674895, 11559674842)",0.008072391950434906,0.10121659949239978,0.0,0.8598358200082344
"(11559674895, 11559674892)",0.049277762620263475,0.04383656401048676,0.0,0.9377665444257318
"(1588295155, 1849167991)",0.03106935224047721,0.06622925886893749,0.0,0.9068914139906631
"(1588295155, 6038366688)",0.22915356048682614,0.04744381384701659,0.0,0.9327519111473777
"(11559674843, 11559674842)",0.059621061532855874,0.003681848401511713,0.0,0.9946792150007665
"(11559674843, 11559674900)",0.04045676416938863,0.024355304404732825,0.0,0.9651253076091045
"(1849167991, 1849168002)",0.002917516413493453,0.052188306616109584,0.5,0.9261804237820801
"(1849167991, 5338575810)",0.04677866066044183,0.021549047706133386,0.5,0.9691052437332129
"(6038366688, 1588295171)",0.05856237248206434,0.048553415060659445,0.0,0.9312125812670676
"(6038366688, 6038366576)",0.20063643524111327,0.10248281988099497,0.0,0.8581592576097169
"(1588295171, 11559674947)",0.047383680757797475,0.09167978257040055,0.0,0.872521860094139
"(1588295171, 6038366570)",0.04532535812023098,0.10194755567997417,0.0,0.8588677623001498
"(11559674947, 1588295191)",0.35103749557335556,0.0030990763792197304,0.0,0.9955202355272296
"(11559674947, 5338575810)",0.2809197930376462,0.06676294516143942,0.0,0.9061628961602824
"(6038366570, 6038366569)",0.012346348831609977,0.0236019296192021,0.0,0.966192800002042
"(6038366570, 6038366580)",0.13385115331435266,0.06941257435036728,0.0,0.9025509708111638
"(6038366570, 6038366576)",0.05736945724854867,0.025294142826340252,0.0,0.9637960191609302
"(1588295191, 6038366580)",0.42538257208797287,0.16571669202111247,0.0,0.776683190516701
"(1588295191, 1588295195)",0.5360858699221925,0.22805426623846256,0.0,0.7004577044460057
"(6038366580, 6038366544)",0.03499321260246371,0.048192305453624684,0.0,0.9317133778920524
"(6038366580, 11561604561)",0.45368494997581515,0.0393103537971065,0.0,0.9440811810050637
"(1588295195, 11561604540)",0.13632169597666455,0.03075939359384256,0.0,0.9560797217199654
"(1588295195, 11559674953)",0.5300205709063419,0.5537151874883557,0.0,0.3576575981890939
"(1588295195, 11561604539)",0.4012718380432571,0.03262980140073257,0.0,0.9534474683754033
"(11561604540, 11561604533)",0.13619064526746777,0.128535311347306,0.0,0.824062766428594
"(11561604540, 11561604543)",0.03341793084518048,0.09272950133858879,0.0,0.8711204136466103
"(11559674953, 8906227297)",0.287144750285522,1.0,0.0,0.0
"(11559674953, 11559674954)",0.3852716442434307,0.010165273793748365,0.0,0.985352190326952
"(11561604539, 1588295242)",0.30531600708278933,0.11787990227893656,0.5,0.8379168771214869
"(11561604539, 11561604534)",0.10394992422147213,0.12536965915275394,0.5,0.8281656688378048
"(1588295219, 1588295243)",0.5058838539145963,0.14061907294734585,0.0,0.8085019347063689
"(1588295219, 2082320634)",0.06172488403168631,0.025119694707529106,0.0,0.9640429343062232
"(1588295219, 2082320619)",0.330927172317876,0.3414303600361518,0.0,0.5712797103130945
"(1588295219, 1588295261)",0.1131007468558372,0.24511169707459435,0.0,0.6802679568224792
"(1588295243, 1588295242)",0.32906432083112264,0.3084820208306162,0.0,0.607632963371385
