edge,edge_betweenness,edge_length,edge_embedness,straightness
"(1433725854, 1433725868)",0.1357137362857119,0.16499517924426332,0.0,0.7426785960456661
"(1433725854, 12820406424)",0.08097819625139929,0.13086011586837742,0.0,0.7911367956539325
"(1433725854, 12820406463)",0.069436743211621,0.12573078562760928,0.0,0.7986151780990255
"(1433725868, 12820406468)",0.14655319298500477,0.1190198639846317,0.0,0.8084795674650707
"(1433725868, 12820406412)",0.1954172482416941,0.22055183370856032,0.0,0.6683805633308701
"(1433725868, 7060884239)",0.11483002710748334,0.14542955793010534,0.0,0.7701791991521764
"(12820406424, 12820406417)",0.04644026731700461,0.13786694557502727,0.0,0.7810057071400953
"(12820406424, 12820406425)",0.05370447718328902,0.034839972334219586,0.0,0.9404725433709586
"(12820406463, 12820406474)",0.0693094719926426,0.027459705785451993,0.0,0.9528268378854652
"(12820406463, 12820406465)",0.026893999460371798,0.09880742920103683,0.0,0.8387507664653473
"(1433725860, 7060884126)",0.1502255505159457,0.01518449903120086,1.0,0.9736759464397711
"(1433725860, 7060884205)",0.1637249956208389,0.34778689413839603,0.0,0.5167930988613894
"(1433725860, 1433725861)",0.027467355699259514,0.36825073379532014,0.0,0.4945364094419692
"(1433725860, 7060884139)",0.020302079475316405,0.003689687079332708,1.0,0.9935482636701657
"(7060884126, 7060884139)",0.02103282839095068,0.01552282574310772,1.0,0.9730961991719461
"(7060884126, 7060884142)",0.2815638385089114,0.30237219778763774,0.0,0.5681833908276909
"(7060884126, 7060884157)",0.1286617659849156,0.19406033975094225,0.0,0.7031317749687722
"(7060884205, 7060884157)",0.22210231762734448,0.14737568771962584,0.0,0.7674111179585377
"(7060884205, 12811287368)",0.3995748730289493,0.33230661101400577,0.0,0.5339942830689632
"(1433725861, 2427982988)",0.03884596009012087,0.0037306974272522894,0.0,0.9934767545409369
"(1433725861, 9000688166)",0.07546789479824034,0.03962262085508334,0.0,0.9325378067236267
"(2427982988, 2427982969)",0.026893999460371798,0.0407623484970541,0.0,0.9306551077437565
"(2427982988, 7060884139)",0.015359647517895567,0.3680263153758443,0.0,0.49477757526963045
"(1433725863, 12811287308)",0.17969852863581004,0.09207137882942124,0.0,0.849030574587297
"(1433725863, 12820406536)",0.04660949540865379,0.08041887832953991,0.0,0.8670456210939679
"(1433725863, 1433725872)",0.3687866882816081,0.11862492068894694,0.0,0.8090629480290941
"(1433725863, 12811287304)",0.19802104703394396,0.1080672077173163,0.0,0.8247770130503718
"(12811287308, 9726812763)",0.1516811271533737,0.029852686256143318,0.0,0.9488063555057624
"(12811287308, 12820406420)",0.03607314120120725,0.07345921401406581,0.0,0.877948404371404
"(12820406536, 12811287302)",0.02443447411446526,0.03660876413706466,0.0,0.9375315135622478
"(1433725872, 12811287314)",0.07235745367418082,0.1533195305714041,0.0,0.7590019356737697
"(1433725872, 12811287315)",0.45423652675326326,0.2910879252088713,0.0,0.5813998025888352
"(1433725872, 12820406641)",0.1524923562207002,0.13940500752332458,0.0,0.7787947990001428
"(12811287304, 9726812783)",0.15537727373907242,0.02285293895728738,0.0,0.9606068647367176
"(12811287304, 12820406420)",0.03936383925010794,0.05972036979527236,0.0,0.8997924306858758
"(1433725865, 12811287315)",0.48554385354391244,0.07945826481007541,0.0,0.8685440691914029
"(1433725865, 12820406690)",0.06013128505828764,0.11645659092516823,0.0,0.8122715285919035
"(1433725865, 12811236486)",0.42052654684453233,0.15136824123147882,0.0,0.7617551108278129
"(12811287315, 12811287312)",0.5368384271868805,0.11985380871453956,0.0,0.8072487730626838
"(12820406690, 12811287302)",0.03004979238124052,0.04574793308773162,0.0,0.9224562371507253
"(12820406690, 12820406691)",0.026893999460371798,0.06778635261283264,0.0,0.8869157992028941
"(12811236486, 9735100051)",0.16567232638592908,0.08831721968263138,0.0,0.8548022103921848
"(12811236486, 12811236483)",0.14892081678705563,0.1297124348629803,0.0,0.7928055011900826
"(12811236486, 12811236516)",0.1048058602159106,0.11258384986855326,0.0,0.8180262518549469
"(12820406468, 12820406467)",0.07176592869176462,0.11414990949112112,0.0,0.8156954318681253
"(12820406468, 12820406475)",0.08561248896466975,0.05577322661256775,0.0,0.9061484316255212
"(12820406412, 12811287339)",0.24174497430289635,0.06394254909766042,0.0,0.8930334696415247
"(12820406412, 12820406415)",0.09362983365857293,0.1471608548238201,0.0,0.7677163271017302
"(7060884239, 1433725873)",0.16322686993040697,0.0071071409292737244,0.0,0.9876043792877
