edge,edge_betweenness,edge_length,edge_embedness,straightness
"(1939516252, 6473463447)",0.05977029455426203,0.002195463851980063,0.0,0.9963089490866579
"(6473463447, 1940564245)",0.12422845534807402,0.051894071933416365,0.0,0.9156178964339597
"(1939557567, 1940564175)",0.4810922728338149,0.018242744347444956,0.0,0.9696623610748185
"(1939557567, 6466959521)",0.40374247988124057,0.0366368154581576,0.0,0.9398206044656486
"(1939557567, 6466959509)",0.12422845534807402,0.9645955195482713,0.0,0.02133400036892673
"(1940564175, 7116517899)",0.8060004687866242,0.05257911345167717,0.0,0.914542643842814
"(1940564175, 6466959522)",0.34873818267052104,0.23016693381122819,0.0,0.6651546920879945
"(6466959521, 6466959518)",0.1484686303617469,0.2639229861270013,0.0,0.6235537131339819
"(6466959521, 7117939546)",0.4647042737713883,0.1317732534745857,0.0,0.7964661608189065
"(6466959509, 6466959508)",0.05977029455426203,0.15091420486442478,0.0,0.7696668227636592
"(1940563622, 1940563701)",0.05977029455426203,0.26290450516886105,0.0,0.6247850747301219
"(1940563701, 1940563780)",0.12422845534807402,0.007033924265623477,0.0,0.9882133823629958
"(1940563635, 1940564258)",0.2888702242362684,0.03488049735605569,0.0,0.9426383208751131
"(1940563635, 1940564244)",0.2521486053597934,0.17218614675864768,0.0,0.7406201526885514
"(1940563635, 1940564085)",0.05977029455426203,0.25629752918659754,0.0,0.6328084639401782
"(1940564258, 1940563707)",0.22960778185795772,0.06489691142255374,0.0,0.8953730117155665
"(1940564258, 1940563830)",0.09991014923040858,0.0061572381153121416,0.0,0.9896762705435462
"(1940564258, 7119788894)",0.5515860614110479,0.3629404381380312,0.0,0.5104001353725675
"(1940564244, 1940563641)",0.3071529025705132,0.1965236123146951,0.0,0.7083011321610679
"(1940564244, 1940563801)",0.48488163137745094,0.8840306113358767,0.0,0.0722799462744318
"(1940563641, 1940563780)",0.24962887725603553,0.3014015653688225,0.0,0.5792303579776513
"(1940563641, 1940563847)",0.09912883819048365,0.051843830793217104,0.0,0.9156967940541607
"(1940563780, 7119788960)",0.05977029455426203,0.018770690757853592,0.0,0.9687955128701367
"(1940563847, 1940563707)",0.13585045706695822,0.10773814162726159,0.0,0.8310431146781071
"(1940563847, 1940563810)",0.05977029455426203,0.11382891464064876,0.0,0.8221811751352952
