edge,edge_betweenness,edge_length,edge_embedness,straightness
"(730899601, 11304887368)",0.024462349606035667,0.013867824257013044,0.0,0.9785031613427555
"(730899601, 11304887387)",0.025168866745425452,0.009502932095173314,0.0,0.9852333259363517
"(730899601, 2990793172)",0.01229293292446726,0.20491650863484476,0.0,0.7129476921277667
"(11304887368, 11304887348)",0.3111964581260597,0.0767731154953256,0.0,0.8850268728975375
"(11304887368, 11612774620)",0.3272484936929292,0.07635673864035777,0.0,0.885624760080108
"(11304887387, 11304887369)",0.06319389202292035,0.0571477696614597,0.0,0.9135023177986589
"(11304887387, 11304887379)",0.03677823032563056,0.22051835197698288,0.0,0.6935029396305141
"(2990793172, 11304887379)",0.060256045495546036,0.01002389873205626,0.0,0.9844283287414602
"(2990793172, 11612774622)",0.0870727119814253,0.1444806795848823,0.0,0.7912475824129702
"(2134711643, 2990977538)",0.15546410129137045,0.38267526631498655,0.0,0.5080261917049538
"(2134711643, 3024197132)",0.06830351615071412,0.12295079275011668,0.0,0.8203437228402493
"(2134711643, 3024197234)",0.10397492634520004,0.1451479848359912,0.0,0.7903561710019908
"(2134711643, 5484471165)",0.0877469748506294,0.5176077907909493,0.0,0.37365668874097036
"(2990977538, 2990977539)",0.029047467122823925,0.3244516047294955,0.0,0.5713319389657147
"(2990977538, 3024119391)",0.14935073649300834,0.775457854141473,0.5,0.15636972202445573
"(2990977538, 11629597419)",0.03874957097856219,0.7761748355457205,0.5,0.15582667835904004
"(3024197132, 3024197239)",0.07025920762164732,0.33571425026213675,0.0,0.5588142501150223
"(3024197132, 3024197233)",0.03859750402829365,0.23829520597665724,0.0,0.6717140925025206
"(3024197234, 3024197127)",0.06719844089800077,0.1599455156471438,0.5,0.7707467587005306
"(3024197234, 3024197233)",0.013053435545021329,0.16474926741337056,0.5,0.7644451211343714
"(5484471165, 2397460556)",0.013433087948500476,0.10304893265491809,0.5,0.8478318864267532
"(5484471165, 5484471167)",0.07863039889069534,0.08329937722826801,0.5,0.8756905725668431
"(2134711681, 2397460404)",0.36095905549778157,0.4798566523113918,0.0,0.4096327228749968
"(2134711681, 11629597690)",0.1307389637112782,0.14074056298329793,0.0,0.7962552428742535
"(2134711681, 2989671368)",0.09712512255793353,0.38384956742043924,0.0,0.506784460511983
"(2134711681, 11629597449)",0.23735454148580734,0.13304294386506432,0.0,0.8066232848139013
"(2397460404, 2397460485)",0.36460053329210024,0.41081187189686624,0.0,0.47864031958010766
