edge,edge_betweenness,edge_length,edge_embedness,straightness
"(1543272312, 1543272315)",0.04417477449633958,0.00906303197186227,0.0,0.9832927998401315
"(1543272312, 5101143951)",0.1425544146806271,0.2607689329421814,0.0,0.6041042355657671
"(1543272312, 2387330410)",0.04417477449633958,0.6230545786035881,0.0,0.24565647357140644
"(5101143951, 10295169318)",0.17335491762519475,0.2324525108663597,0.0,0.6399470556780488
"(5101143951, 5101143954)",0.0641174244901642,0.10354238705172536,0.0,0.8233323848267381
"(1543272357, 2387330504)",0.6017535791627997,0.06252445854780729,0.0,0.8897561599940969
"(1543272357, 1543272361)",0.11297319858217114,0.04151457437989803,0.0,0.9255272134317598
"(1543272357, 5101144293)",0.558604892941698,0.16640994388396327,0.0,0.7294645074585999
"(2387330504, 2387330503)",0.16265781929619344,0.0068386358800971,0.0,0.9873694378644644
"(2387330504, 9740611119)",0.613070173473951,0.48672780782145153,0.0,0.36209591477437014
"(2387330504, 5101144312)",0.7699990319128234,1.0,0.0,0.0
"(1543272361, 11381237878)",0.07578791241665664,0.27145961109181016,0.0,0.5909392773803805
"(1543272361, 1543272366)",0.06132168073113414,0.18099036214284434,0.0,0.708946305996972
"(5101144293, 1543272367)",0.764861057905076,0.3724681858997161,0.0,0.4755851070184109
"(5101144293, 10295169330)",0.22338596247961717,0.0476888234345388,1.0,0.9148865302972538
"(5101144293, 10295169327)",0.05824847808547397,0.044954233873736746,1.0,0.919585925519264
"(11381237878, 1543272369)",0.09431964115762694,0.04213342261612741,0.0,0.9244557871439866
"(11381237878, 10038248892)",0.04872452013490257,0.06849482536947742,0.0,0.8798133150605487
"(1543272366, 1543272379)",0.04675350536553923,0.2625921346661303,0.0,0.601845129026304
"(1543272366, 5101144285)",0.031285113413576426,0.15494870561112542,0.0,0.7459112774593142
"(1543272379, 1543272376)",0.1574410796097265,0.08588479919349215,0.0,0.8513931407049479
"(1543272379, 2714411091)",0.1268125315905956,0.09663327696822503,0.0,0.8342185937024836
"(1543272379, 1543272381)",0.030967422765898815,0.11162173810136337,0.0,0.8107516739046985
"(5101144285, 2714411091)",0.0348710282254348,0.1826435058216896,0.0,0.7066479365225323
"(5101144285, 5101144287)",0.04444078453563773,0.15158344807620255,0.0,0.7507947396647725
"(1543272367, 11201435178)",0.8669225502060747,0.1803899342813854,0.0,0.7097824796797432
"(1543272367, 1543272369)",0.3267257181302227,0.19353776753838048,0.0,0.6916414272288378
"(1543272367, 1544791365)",0.7642842040975416,0.19836832905557755,0.0,0.6850641778484896
"(11201435178, 1543272428)",1.0,0.15026570230635589,0.0,0.7527137785386677
"(11201435178, 11201435176)",0.25421233102422924,0.19869355110525172,0.0,0.6846230316137573
"(1543272369, 1543272376)",0.20538372884853204,0.13114650775390815,0.0,0.7809958909077728
"(1543272369, 11201435176)",0.11732909923151381,0.15088247503544475,0.0,0.7518150915563195
