edge,edge_betweenness,edge_length,edge_embedness,straightness
"(662913572, 4010662065)",0.2121693788795275,0.2722861238794164,0.0,0.6258938363613756
"(662913572, 1693980166)",0.3697551795177813,0.012263430167554037,0.5,0.9805521822937245
"(662913572, 1804118963)",0.2184135503754487,0.37804567973557845,0.0,0.5073590337275605
"(662913572, 2525950071)",0.019244411336964026,0.005080082850340317,0.5,0.9919093393655283
"(4010662065, 4010662069)",0.0968625444101547,0.21619979284605717,0.0,0.6941382292450576
"(4010662065, 8373865384)",0.21022923599140553,0.0051617131244222365,0.0,0.9917797327461987
"(1693980166, 1557421494)",1.0,0.5133021615994078,0.0,0.37247009831642813
"(1693980166, 4010729351)",0.10811792551847774,0.3359613847383929,0.0,0.5530324594920072
"(1693980166, 2525950071)",0.23826174084225246,0.016719415788487294,0.5,0.9735555993247447
"(1693980166, 1789116252)",0.7128660049993584,0.7527330315760571,0.0,0.17056116709391672
"(662913635, 4007089277)",0.0671917001265916,0.019701752012021536,0.0,0.9688934409392383
"(662913635, 662913659)",0.04403060077989108,0.10716920232896868,0.0,0.8391037777141154
"(662913635, 4012046632)",0.04500835411896301,0.11755322353721533,0.0,0.8245370148202548
"(4007089277, 8951401150)",0.049278081172473995,0.028423245241723356,0.5,0.9553532483444815
"(4007089277, 4007089274)",0.1395490014234409,0.4954143629464997,0.0,0.38934405349265055
"(4007089277, 8951401195)",0.08829500052402091,0.025453947337542387,0.5,0.959947503303095
"(662913659, 4012046627)",0.04837404287223838,0.020327554587639032,0.0,0.9679172342018231
"(662913659, 8951401157)",0.06549736906811543,0.015027494566793287,0.0,0.9762078278790551
"(662913659, 4012046674)",0.009367098633015493,0.3111036053186996,0.0,0.5809200779110405
"(662913637, 662913639)",0.1087190062349175,0.19365138184988862,0.0,0.7227298663676184
"(662913637, 1557421824)",0.10904805716312845,0.23791466136573475,0.0,0.6672410772338778
"(662913637, 8289428838)",0.023906573164310316,0.0800301280811833,0.0,0.8779891651035154
"(662913639, 662913641)",0.11587008300708951,0.1710870791395857,0.0,0.7520413091583364
"(662913639, 4012046649)",0.0038808638366517184,0.14260609582591885,0.0,0.7900783637157437
"(1557421824, 4012046654)",0.03858184150650187,0.17166621155291584,0.0,0.7512800430930597
"(1557421824, 1557422031)",0.15479875792678488,0.10820987237896586,0.0,0.8376362655266948
"(8289428838, 8289428831)",0.01425400459010297,0.045690331792496756,0.0,0.9289511276085464
"(662913641, 4012046648)",0.013907317437512955,0.13810940670663102,0.0,0.7961931072833235
"(662913641, 662913645)",0.137356365680353,0.3562679665461965,0.0,0.530757620925469
"(4012046649, 4012046648)",0.006877345027240284,0.15457554147306907,0.0,0.7739485106767482
"(4012046649, 4012046654)",0.013613165592869859,0.0889061682239606,0.0,0.8651396349684845
"(4012046648, 4012046641)",0.006262023715773449,0.2714602734174788,0.5,0.6268701629817349
"(4012046648, 4012046646)",0.004420582803124403,0.11586496004803522,0.5,0.8268938127003942
