FID,label,node_start,node_end
0,1,0,1
1,0,0,6
2,0,0,41
3,1,2,3
4,0,4,5
5,0,4,24
6,0,4,29
7,0,6,7
8,0,6,12
9,0,8,9
10,0,10,11
11,0,13,14
12,0,13,75
13,0,13,15
14,0,13,78
15,1,13,79
16,1,13,80
17,0,13,77
18,0,14,15
19,0,15,75
20,0,15,81
21,0,16,17
22,1,16,92
23,1,16,105
24,0,16,109
25,1,18,19
26,1,18,20
27,0,18,40
28,0,18,45
29,0,18,22
30,1,19,20
31,1,19,21
32,0,20,23
33,1,21,31
34,1,21,32
35,0,22,23
36,0,22,46
37,0,22,25
38,0,23,24
39,1,24,25
40,0,25,47
41,0,25,33
42,0,26,27
43,1,26,69
44,1,26,70
45,0,26,28
46,0,26,71
47,1,26,72
48,0,26,73
49,0,27,28
50,0,28,73
51,0,28,71
52,0,29,33
53,1,29,34
54,0,30,31
55,0,30,35
56,0,30,40
57,1,33,48
58,1,33,49
59,0,33,50
60,0,35,36
61,0,35,39
62,0,37,38
63,0,37,945
64,0,37,946
65,1,39,264
66,0,39,183
67,1,40,42
68,1,42,43
69,1,42,44
70,1,43,59
71,0,43,45
72,0,44,182
73,1,44,183
74,0,45,62
75,0,45,46
76,0,46,66
77,1,46,47
78,1,47,67
79,0,47,48
80,0,47,49
81,1,49,68
82,0,49,54
83,1,50,53
84,1,51,52
85,0,53,54
86,1,53,55
87,0,53,56
88,0,54,56
89,1,55,57
90,1,55,58
91,0,56,181
92,1,57,228
93,0,57,181
94,1,57,190
95,0,58,64
96,0,58,65
97,1,59,63
98,1,59,97
99,1,59,62
100,0,59,98
101,0,60,61
102,1,62,98
103,0,64,92
104,1,64,93
105,0,65,184
106,0,65,190
107,1,66,98
108,1,66,117
109,1,66,67
110,1,67,115
111,0,67,119
112,0,68,114
113,0,68,115
114,1,69,70
115,1,69,72
116,0,69,126
117,0,69,127
118,0,69,74
119,1,70,123
120,1,70,124
121,1,72,96
122,1,72,124
123,1,72,123
124,1,73,74
125,0,73,75
126,1,74,130
127,1,74,131
128,1,74,76
129,0,75,76
130,0,75,77
131,1,76,81
132,0,76,132
133,0,77,81
134,1,78,81
135,0,78,128
136,0,78,82
137,1,79,80
138,0,79,82
139,0,80,82
140,1,80,87
141,1,81,125
142,1,81,129
143,0,82,133
144,1,82,101
145,0,83,84
146,0,83,85
147,0,83,112
148,0,84,85
149,0,84,86
150,0,85,103
151,0,85,111
152,0,85,112
153,0,86,96
154,0,87,88
155,0,87,101
156,1,87,102
157,1,88,89
158,0,88,90
159,0,88,91
160,1,89,102
161,1,89,113
162,1,89,140
163,0,90,113
164,1,91,101
165,0,91,113
166,0,91,140
167,0,93,184
168,1,93,185
169,0,94,95
170,1,94,188
171,0,94,189
172,1,96,112
173,0,96,120
174,1,97,251
175,1,97,182
176,0,97,271
177,1,97,110
178,0,98,110
179,0,99,100
180,0,99,176
181,0,99,177
182,1,101,102
183,1,101,136
184,0,101,135
185,0,102,134
186,0,102,135
187,1,103,104
188,0,103,105
189,1,104,227
190,0,104,248
191,0,105,108
192,0,106,107
193,0,108,194
194,0,108,213
195,0,109,193
196,0,109,194
197,1,110,117
198,0,110,275
199,1,111,118
200,0,111,254
201,0,112,118
202,1,113,137
203,0,113,138
204,1,113,139
205,1,114,115
206,0,115,116
207,0,116,286
208,0,116,119
209,0,117,276
210,0,118,120
211,0,119,276
212,0,119,287
213,0,120,156
214,0,121,122
215,0,121,154
216,0,121,199
217,0,123,127
