source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,9fbfeef26463035cece4a5ad,故宫餐厅(景运门店),东华门街道景山前街4号故宫博物院内景运门南侧(近钟表馆),北京市,北京市,东城区,(010)65285179,unknown,
baidu,138d1329c51e33bf8bf15ddb,四季民福烤鸭店(故宫店),南池子大街11号,北京市,北京市,东城区,"(010)65267369,13141492392,17310759535",unknown,
baidu,6fe3804fc3e518c1bfa82254,第六季自助餐厅(王府井店),东安门大街55号王府世纪一层105-106号（王府世纪西北侧）,北京市,北京市,东城区,"(010)65241488,(010)65241499",unknown,
baidu,55dba3f924af369c4054d778,永盛斋小吃(故宫店),骑河楼大街40号,北京市,北京市,东城区,13681516914,unknown,
baidu,70bc6919d194fe1588db73b3,全福德烤鸭店(故宫店),东华门大街63号,北京市,北京市,东城区,18901198700,unknown,
baidu,0c8acea873718bcfad0457b4,故宫冰窖餐厅,北长街故宫博物院慈宁宫南侧,北京市,北京市,东城区,(010)65214285,unknown,
baidu,f5f7d37b2487fbf2b35c6aa7,小吊梨汤(南池子大街店),北京市东城区南池子大街东华门小区西侧约150米,北京市,北京市,东城区,,unknown,
baidu,772c74d16abe87ab260bd07a,满姐饺子(故宫店),北河沿大街143-1号,北京市,北京市,东城区,(010)65596567,unknown,
baidu,22f097cd808df251a2a9345b,京城九门轩烤鸭店(故宫店),东华门大街11号,北京市,北京市,东城区,17812356385,unknown,
baidu,c9922ecc3252373337b06cf0,食鼎轩茶餐厅(五四大街店),北京市五四大街46号,北京市,北京市,东城区,13161907027,unknown,
baidu,5d3c608e8f72aed6c5effbc7,鹏宏天外天烤鸭店(故宫店),北河沿大街141号,北京市,北京市,东城区,(010)65266547,unknown,
baidu,93b04af83923a4899de3216d,河沿肉饼Beijing Pie(东华门店),东华门大街60一层二层,北京市,北京市,东城区,(010)65237811,unknown,
baidu,3c021f05e5138eb18f7727e7,十一号烤鸭店(故宫店),南池子大街11号四季民福旁,北京市,北京市,东城区,13439258999,unknown,
baidu,5e271507a3d9d75bf80cad5e,巧思府,北京市东城区东华门街道智德北巷3号,北京市,北京市,东城区,,unknown,
baidu,e7e007913675434a5fd4fe19,河沿肉饼Beijing Pie(锡拉胡同店),锡拉胡同14号,北京市,北京市,东城区,(010)65283828,unknown,
baidu,02dec5dcbfaff0fb2d4733a7,紫光园(王府井店),王府井大街99号（一层底商G05）,北京市,北京市,东城区,"(010)53658058,15510622877",unknown,
baidu,b55da73deb0a21f73913fddc,四季民福烤鸭店(王府井东安门店),东安门大街53号1楼（万程华府酒店旁）,北京市,北京市,东城区,"(010)65238571,18600371386",unknown,
baidu,d7032f09ad45477ab6147f6d,紫光园(美术馆店),美术馆后街58号,北京市,北京市,东城区,13552698914,unknown,
baidu,2c0bd6c57d39d3b343ab9a10,悦宾饭馆(翠花胡同店),翠花胡同43号,北京市,北京市,东城区,(010)85117853,unknown,
baidu,21e2fe63bd9d77f7c61e515b,阿达西新疆风味餐厅(王府井店),东华门街道王府井西街1-2号（金鱼胡同地铁站C西南口步行120米）,北京市,北京市,东城区,13910773085,unknown,
baidu,90ab0025a4700ebadc1e5200,南门烤鸭店(东华门店),东华门大街56号,北京市,北京市,东城区,(010)65697281,unknown,
baidu,d1a7cfec93ff15144e5547c1,清真兰州牛肉拉面(东华门店),东华门大街55号,北京市,北京市,东城区,13521419780,unknown,
baidu,a9ceb8edf157a62d8936eefc,老北京炸酱面·渝湘美食,东华门大街81号,北京市,北京市,东城区,15901271659,unknown,
baidu,327fadb697fda800343a7143,便民主食沙县小吃(骑河楼店),骑河楼街首都医科大学附属北京妇产医院(西院区)百客雅超市,北京市,北京市,东城区,18570698969,unknown,
baidu,98e0d172923693ea250bd024,海碗居(王府井店),王府井大街255号百货大楼6层,北京市,北京市,东城区,(010)65262118,unknown,
baidu,d991e1161f90fe4c1f389434,北京王府井东华饭店,灯市口西街32号,北京市,北京市,东城区,"(010)65257531,18519753589",unknown,
baidu,a52ef8ebfb2dae591d1d1113,故宫角楼咖啡(故宫店),景山前街4号故宫博物院神武门西围房,北京市,北京市,东城区,"010-85007421,010-85007938",unknown,
baidu,e378b2761ff207084e2fdf23,小吊梨汤(王府井银泰in88店),王府井大街88号银泰in88购物中心3层,北京市,北京市,东城区,18210051934,unknown,
