FID,label,node_start,node_end
0,0,0,1
1,1,0,2
2,0,1,29
3,0,1,27
4,1,2,3
5,1,2,5
6,1,2,6
7,1,3,4
8,1,4,6
9,1,4,7
10,0,5,27
11,1,5,28
12,1,6,8
13,1,7,8
14,0,7,9
15,0,8,10
16,0,9,10
17,0,9,11
18,0,10,20
19,0,10,18
20,0,11,18
21,0,11,19
22,0,12,13
23,0,12,14
24,1,13,19
25,0,13,26
26,0,14,15
27,0,14,26
28,1,15,16
29,1,15,21
30,1,16,17
31,1,17,21
32,0,18,22
33,0,18,23
34,0,19,23
35,1,19,34
36,0,20,28
37,0,20,22
38,1,21,24
39,1,21,25
40,1,22,33
41,0,23,36
42,0,23,37
43,0,24,45
44,1,24,30
45,0,25,30
46,1,25,31
47,1,26,34
48,0,27,32
49,1,28,41
50,0,28,33
51,0,29,35
52,0,30,48
53,1,30,38
54,1,31,38
55,1,31,39
56,0,32,35
57,1,32,41
58,1,33,42
59,1,33,36
60,1,34,37
61,0,35,40
62,1,36,51
63,1,36,46
64,0,37,46
65,0,38,53
66,0,38,43
67,1,39,39
68,0,39,43
69,0,40,44
70,1,41,49
71,0,41,42
72,1,42,50
73,1,42,51
74,0,43,62
75,0,43,66
76,0,44,54
77,0,44,55
78,1,45,47
79,1,45,48
80,0,46,65
81,0,46,47
82,0,47,67
83,0,47,52
84,0,48,52
85,0,48,53
86,1,49,59
87,1,49,50
88,1,50,60
89,1,51,64
90,1,51,65
91,0,52,77
92,0,52,61
93,0,53,61
94,0,53,62
95,0,54,57
96,0,54,56
97,0,54,58
98,1,55,63
99,1,55,59
100,0,56,57
101,0,56,72
102,0,57,58
103,0,58,63
104,0,59,68
105,1,59,60
106,1,60,71
107,1,60,64
108,0,61,77
109,1,61,69
110,0,62,69
111,0,62,70
112,0,64,96
113,1,64,88
114,1,65,88
115,1,65,67
116,0,66,70
117,0,66,78
118,0,67,90
119,0,68,79
120,1,68,71
121,0,69,128
122,0,69,99
123,1,70,81
124,1,71,80
125,0,72,79
126,1,72,89
127,0,73,74
128,0,73,82
129,0,73,92
130,1,75,76
131,0,77,138
132,1,78,81
133,1,79,89
134,1,80,89
135,1,80,100
136,0,80,101
137,0,80,102
138,0,81,99
139,0,82,83
140,0,82,91
141,0,83,84
142,0,83,85
143,0,86,87
144,0,88,167
145,0,88,90
146,1,89,94
147,0,90,170
148,0,90,171
149,0,91,93
150,0,91,103
151,0,92,105
152,0,92,103
153,1,94,95
154,0,95,98
155,1,95,109
156,0,96,125
157,1,96,168
158,0,96,169
159,1,97,98
160,1,98,104
161,0,99,193
162,0,100,109
163,0,100,110
164,1,100,111
165,0,101,113
166,0,101,114
167,0,102,112
168,0,103,108
169,0,105,105
170,0,106,107
171,0,106,108
172,0,106,124
173,0,108,118
174,0,109,109
175,0,109,130
176,0,110,111
177,0,110,119
178,0,110,112
179,0,110,116
180,0,111,115
181,0,111,116
182,1,111,117
183,0,112,120
184,0,112,121
185,0,112,122
186,0,112,123
187,0,113,125
188,0,114,123
189,0,114,125
190,0,115,126
191,0,115,122
192,0,116,121
193,0,116,122
194,1,117,122
195,1,117,127
196,1,117,130
197,1,117,135
198,0,119,122
199,0,120,122
200,0,120,120
201,0,120,129
202,0,122,127
203,0,123,131
204,1,123,132
205,1,125,132
206,0,127,127
207,0,127,129
208,1,128,138
209,1,128,229
210,1,128,230
211,0,129,129
212,0,129,131
213,1,130,146
214,0,131,140
215,0,131,142
216,0,131,143
217,1,132,148
218,1,132,149
219,1,132,150
220,1,132,144
221,1,132,151
222,0,133,134
223,0,133,162
224,0,133,163
225,1,135,139
226,1,135,140
227,1,135,146
228,0,135,147
229,0,136,137
230,0,138,171
231,0,138,216
232,0,139,139
233,0,141,142
234,0,142,144
235,1,142,145
236,0,144,154
237,0,144,150
238,0,145,145
239,0,145,152
240,0,146,161
241,0,147,149
242,0,147,152
243,0,147,148
244,0,147,161
245,0,147,166
246,0,148,158
247,1,148,159
248,0,149,153
249,1,149,154
250,0,150,150
251,0,150,155
252,1,151,160
253,1,151,164
254,0,151,165
255,0,152,155
256,1,155,159
257,0,156,157
258,1,158,160
259,1,158,159
260,1,159,160
261,1,159,166
262,0,159,165
263,1,160,164
264,1,161,174
265,0,162,180
266,0,162,192
267,1,164,166
268,1,164,165
269,1,164,168
270,1,165,166
271,0,167,177
272,0,167,169
273,1,167,213
274,0,167,170
275,0,168,174
276,1,168,181
277,1,169,189
278,0,170,214
279,1,170,215
280,0,171,196
281,0,172,173
282,1,174,190
283,1,174,191
284,0,175,176
285,1,178,179
286,1,181,185
287,1,181,186
288,1,181,189
289,0,182,183
290,0,184,185
291,0,184,205
292,0,184,191
293,0,184,208
294,0,185,186
295,1,185,187
296,1,185,188
297,1,185,189
298,0,186,205
299,1,186,187
300,1,186,198
301,1,187,198
302,1,189,197
303,1,189,198
304,1,189,199
305,1,190,227
306,0,192,194
307,0,192,195
308,0,195,231
309,0,195,246
310,0,196,215
311,0,196,233
312,0,197,202
313,0,199,207
314,1,199,211
315,0,200,201
316,0,202,207
317,0,203,204
318,0,205,206
319,0,206,207
320,1,207,212
321,1,207,208
322,1,207,211
323,0,208,221
324,0,209,210
325,0,209,217
326,0,209,222
327,0,211,212
328,1,211,213
329,1,213,223
330,0,214,223
331,0,214,228
332,0,214,224
333,0,215,224
334,0,217,218
335,0,217,219
336,0,217,220
337,0,219,225
338,0,219,226
339,0,221,232
340,0,221,242
341,0,221,243
342,1,223,227
343,0,223,223
344,0,224,236
345,0,227,227
346,1,228,245
347,0,228,241
348,1,230,237
349,1,230,238
350,0,233,236
351,0,233,244
352,0,234,235
353,0,236,241
354,0,238,239
355,0,238,240
356,0,240,248
357,0,240,249
358,0,241,247
359,0,244,247
360,0,244,251
361,0,245,246
362,1,246,252
363,1,247,250
364,1,250,252
365,1,250,251
366,0,251,253
