FID,label,node_start,node_end
0,1,0,1
1,1,0,0
2,1,1,2
3,0,1,3
4,1,2,4
5,0,3,9
6,0,3,41
7,1,4,8
8,0,4,9
9,0,5,6
10,0,5,7
11,0,6,6
12,1,7,14
13,1,7,19
14,1,8,18
15,1,8,24
16,0,9,51
17,0,9,73
18,0,10,11
19,0,11,12
20,0,11,13
21,0,11,14
22,0,14,15
23,1,15,18
24,0,15,35
25,1,15,36
26,0,16,17
27,0,16,18
28,0,16,19
29,1,17,20
30,0,17,25
31,1,19,37
32,1,20,21
33,1,21,26
34,0,21,27
35,1,22,23
36,1,24,34
37,0,24,51
38,1,25,42
39,0,25,43
40,0,27,86
41,1,27,87
42,0,28,29
43,0,28,30
44,1,28,31
45,1,29,47
46,1,29,30
47,0,29,48
48,1,30,37
49,0,31,34
50,1,32,33
51,1,32,44
52,0,32,50
53,0,32,37
54,0,34,48
55,0,35,58
56,1,35,36
57,1,35,64
58,0,36,56
59,1,36,58
60,1,36,63
61,0,37,56
62,0,38,39
63,0,38,49
64,0,38,46
65,1,39,40
66,1,40,44
67,1,41,73
68,0,42,45
69,0,42,46
70,1,44,49
71,1,45,54
72,1,45,55
73,1,46,55
74,0,46,65
75,1,47,57
76,1,47,58
77,1,48,57
78,1,48,58
79,1,49,50
80,0,50,59
81,0,51,67
82,0,52,53
83,0,52,71
84,0,52,72
85,0,54,104
86,0,54,105
87,1,55,75
88,1,56,62
89,1,56,59
90,0,60,61
91,1,60,103
92,1,60,87
93,1,62,66
94,1,63,64
95,1,64,66
96,0,64,74
97,1,65,68
98,0,65,69
99,0,65,70
100,0,66,76
101,0,67,81
102,0,67,82
103,0,68,77
104,0,68,69
105,0,68,70
106,0,70,80
107,0,71,79
108,0,71,72
109,0,72,83
110,0,73,82
111,0,73,84
112,0,74,94
113,0,74,102
114,0,75,77
115,0,75,78
116,0,76,91
117,0,76,92
118,0,77,78
119,0,78,80
120,0,79,83
121,0,79,93
122,0,80,88
123,0,81,125
124,0,81,126
125,0,82,97
126,0,82,85
127,0,83,93
128,0,84,85
129,0,85,98
130,1,86,87
131,0,86,108
132,0,89,90
133,0,90,91
134,1,90,95
135,0,90,96
136,1,91,94
137,1,93,101
138,1,94,96
139,0,95,99
140,1,95,100
141,0,96,100
142,1,96,102
143,1,97,126
144,0,97,139
145,0,98,174
146,1,98,175
147,1,99,109
148,1,99,110
149,0,100,113
150,0,100,111
151,1,102,111
152,0,105,120
153,0,105,108
154,1,106,107
155,0,106,108
156,0,106,146
157,0,108,137
158,0,108,136
159,0,109,112
160,0,110,118
161,0,110,113
162,1,111,115
163,1,112,114
164,0,113,119
165,1,114,116
166,1,114,117
167,1,114,118
168,0,115,124
169,0,115,119
170,0,117,120
171,0,117,121
172,1,118,127
173,0,119,128
174,0,119,129
175,0,120,121
176,0,121,136
177,1,122,123
178,1,123,132
179,0,123,133
180,0,125,133
181,0,125,141
182,1,125,142
183,0,126,139
184,1,127,134
185,0,127,135
186,0,128,157
187,0,129,157
188,1,130,131
189,1,132,138
190,0,132,133
191,1,134,137
192,1,134,140
193,1,135,150
194,1,135,153
195,0,138,151
196,1,138,152
197,0,139,147
198,1,140,144
199,0,140,145
200,1,141,143
201,0,141,142
202,0,142,163
203,1,143,154
204,1,143,155
205,0,145,153
206,0,145,157
207,0,145,156
208,1,147,148
209,1,147,149
210,0,148,162
211,1,148,169
212,1,148,175
213,0,149,167
214,0,150,151
215,1,151,152
216,0,152,153
217,0,153,155
218,1,154,155
219,0,154,160
220,0,155,156
221,0,156,158
222,0,156,159
223,0,157,166
224,1,157,162
225,0,158,159
226,0,158,162
227,0,159,161
228,1,160,186
229,1,160,190
230,0,161,174
231,0,161,186
232,1,162,168
233,1,163,164
234,1,163,165
235,1,165,188
236,1,165,189
237,1,166,166
238,1,166,168
239,1,167,187
240,0,167,179
241,1,168,169
242,1,169,178
243,0,170,171
244,0,171,176
245,0,171,177
246,0,172,173
247,1,172,172
248,0,173,180
249,0,173,181
250,0,174,201
251,0,175,178
252,0,175,179
253,0,176,185
254,0,176,183
255,0,177,183
256,1,177,184
257,1,178,182
258,0,179,222
259,0,180,188
260,1,180,194
261,1,180,205
262,1,181,187
263,0,182,202
264,0,182,224
265,1,183,191
266,1,184,191
267,1,184,192
268,1,186,195
269,1,186,193
270,1,187,194
271,0,188,189
272,0,188,203
273,0,189,200
274,1,190,193
275,1,190,194
276,1,191,199
277,1,192,198
278,1,192,192
279,1,193,196
280,1,193,197
281,1,194,213
282,1,195,196
283,0,197,208
284,1,198,199
285,1,199,204
286,1,200,203
287,1,200,204
288,0,201,202
289,1,202,224
290,1,203,205
291,1,203,206
292,1,205,213
293,1,206,207
294,1,207,210
295,1,207,211
296,0,208,209
297,0,209,212
298,0,209,213
299,0,210,218
300,1,210,221
301,1,211,218
302,1,211,219
303,0,212,214
304,0,212,215
305,0,214,215
306,0,214,217
307,0,215,216
308,0,218,220
309,1,219,221
310,1,219,220
311,1,220,221
312,0,222,223
