source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,a1535f1ce2023e1db13c811c,徐鼎盛民间菜(磁器口店),沙滨路101号附161-167号沙磁巷B区3楼,重庆市,重庆市,沙坪坝区,(023)65000898,unknown,
baidu,3b3e7763c487b33aa20464b6,茶颜悦色(磁器口店),磁南街6号附8号,重庆市,重庆市,沙坪坝区,19123149167,unknown,
baidu,9de2269b180e79d3a8f729ed,杨记隆府(磁器口店),磁器口街道沙滨路104号沙磁巷商业内街3楼,重庆市,重庆市,沙坪坝区,(023)67396608,unknown,
baidu,73385bb1396c70dd1ef74d95,茶社老火锅(磁器口店),磁器口磁南街名人墙,重庆市,重庆市,沙坪坝区,13452053021,unknown,
baidu,89f97b6983d632f428b97c4a,相当渔味(三千城店),瓷建村88号附7号,重庆市,重庆市,沙坪坝区,13883813185,unknown,
baidu,7ce9efed48c95cec49fc8d96,罗氏家常菜,汲水巷8号,重庆市,重庆市,沙坪坝区,13983996844,unknown,
baidu,3ddc56e5337eae1b4f3a5907,老地方猫儿面(磁器口店),磁器口南街5号附13号,重庆市,重庆市,沙坪坝区,15310940900,unknown,
baidu,9d3f28038733a17a7369d39a,红火锅(劳动路店),沙坪坝街道教院路中段三陵大厦一楼(百年世家门口对面),重庆市,重庆市,沙坪坝区,"13996290016,15023798966",unknown,
baidu,550b169d4b528317c256ac59,转运楼·川菜·川剧·天花板(磁器口店),磁正街110号（以前的磁器口老街牌坊进来120米）,重庆市,重庆市,沙坪坝区,15683088131,unknown,
baidu,e5eb63ceb7a2458ec5f0254f,马房湾66号·江湖菜,杨梨路杨公桥地铁站1B出口西200米,重庆市,重庆市,沙坪坝区,"(023)65303131,15608317777",unknown,
baidu,f3c2373caa39d34bd22dd64e,颜氏双江清水鱼一养身火锅(磁器口店),磁童路磁器口地铁口旁50米（沙磁1938刘一手火锅旁）,重庆市,重庆市,沙坪坝区,13206008886,unknown,
baidu,f94e282b2a29ae0e38221c2a,37号火锅馆(磁器口店),磁器口正街173号,重庆市,重庆市,沙坪坝区,13983427797,unknown,
baidu,d07f5ec8d770595f6c476039,老街味道(磁器口店),磁器口正街173-1号,重庆市,重庆市,沙坪坝区,13072323052,unknown,
baidu,a4d494a3357785e02eb17ee3,九舟淡水鱼(劳动路店),教院路23号,重庆市,重庆市,沙坪坝区,18723383902,unknown,
baidu,efb9bfdb3141778bb13c8108,陈昌银麻花(手信店),磁器口街道磁南街1号附2号,重庆市,重庆市,沙坪坝区,18008386863,unknown,
baidu,f790b00dc7f885d6c7f50def,长寿餐馆,重庆市沙坪坝区教院路三陵大厦23号附11号,重庆市,重庆市,沙坪坝区,15723252552,unknown,
baidu,f2e2b4585811721e36b06c0b,刘氏家常菜,磁器口古镇,重庆市,重庆市,沙坪坝区,17358339170,unknown,
baidu,c55962ee23635b60b35c6ad9,陈昌银麻花(磁器口1号店),南街8号附9号,重庆市,重庆市,沙坪坝区,(023)65350549,unknown,
baidu,a06490d0b85d30c06f4760a9,街头巷尾山城美食汇(国富沙磁巷B区店),沙滨路101号国富沙磁巷B区,重庆市,重庆市,沙坪坝区,,unknown,
baidu,94ebc6b3af07cbe9843304e5,晓卤卤味铺,磁建村88号附85号,重庆市,重庆市,沙坪坝区,,unknown,
baidu,868a873adb1f8c65d618b7fe,肯德基(磁器口店),磁器口餐厅（沙坪坝区沙滨路109号附12号至附17号商铺）,重庆市,重庆市,沙坪坝区,"15084373433,4009200715",unknown,
baidu,68d17d8fb469b3f80aa8d4f1,磁面(磁器口店),磁南街16号附3号,重庆市,重庆市,沙坪坝区,18682824427,unknown,
baidu,1bbae429ec6ced32c8c3db6d,luckincoffee瑞幸咖啡(磁器口老街店),磁器口正街148号底商,重庆市,重庆市,沙坪坝区,,unknown,
baidu,f839e67e37a72898c42ba1ef,巷口小屋(磁器口店),磁正街146号附7号,重庆市,重庆市,沙坪坝区,15523833423,unknown,
baidu,03494f0f143c359454bfff18,巴渝伤心土凉粉,磁南街1号磁器口古镇,重庆市,重庆市,沙坪坝区,,unknown,
baidu,567908948727f1f03813fd7e,渝唐记舌尖美食(磁器口店),磁器口南街6-4,重庆市,重庆市,沙坪坝区,15310356851,unknown,
baidu,511750a157f8601c3fe2310c,丝纺厂蹄花汤(磁器口店),沙滨路101号附,重庆市,重庆市,沙坪坝区,15025404007,unknown,
baidu,58873e7431e96abe882fb5a0,众悦憨豆花(磁器口店),沙滨路101号附72号,重庆市,重庆市,沙坪坝区,(023)65015538,unknown,
baidu,6a70410d9cc2e60ad1ff2378,叁陆零小馆,重庆市沙坪坝区88号附92号,重庆市,重庆市,沙坪坝区,,unknown,
baidu,6983e0435d7665c7c26c1482,林资格老火锅(磁器口店),覃家岗街道金磁路1-20、21、22、23号商铺,重庆市,重庆市,沙坪坝区,(023)65398222,unknown,
baidu,ba68df5ed5ed055a17c8f65d,陈灯影牛肉,重庆市沙坪坝区磁南街10号附3号,重庆市,重庆市,沙坪坝区,(023)65385603,unknown,
baidu,3702959f29fa38066140a957,小猪找茶,磁器口古镇黄桷坪17号,重庆市,重庆市,沙坪坝区,,unknown,
baidu,f730d82692bb0470734b877c,刘师傅重庆小面,重庆市沙坪坝区磁童路滨江民居,重庆市,重庆市,沙坪坝区,,unknown,
baidu,6b46642a831fc2bd471a321b,重庆巴适老火锅底料(1号店),重庆市沙坪坝区磁器口正街131号,重庆市,重庆市,沙坪坝区,18580092333,unknown,
baidu,14dc15552629b6e21f389447,麻花姐姐老火锅(磁器口店),磁器口南街14号附5、6号（麒雅酒店对面）,重庆市,重庆市,沙坪坝区,18223007758,unknown,
baidu,5086258e82d9da7d704b8736,星巴克(沙磁巷店),沙滨路102-112号沙磁巷广场1F,重庆市,重庆市,沙坪坝区,(023)65630617,unknown,
baidu,1de1adc60e3cb4ab11882477,竹色烟雨(磁器口店),磁器口步行街与黄桷坪一巷交叉口西南180米,重庆市,重庆市,沙坪坝区,,unknown,
baidu,aa89370c62ef55f46f4760dd,二两重庆小面(磁器口店),磁南街1号磁器口古镇,重庆市,重庆市,沙坪坝区,15922988464,unknown,
baidu,750d4840c0c22a3b0b69d919,巴村人手工糍粑(磁器口古镇店),磁器口街道磁器口正街120号(宝善宫旁),重庆市,重庆市,沙坪坝区,18983932666,unknown,
baidu,e2fd3bc9279694c515764386,重庆转运楼饮食文化有限公司,重庆市沙坪坝区磁器口正街110号,重庆市,重庆市,沙坪坝区,,unknown,
baidu,7110dcb87b4b97aba0acc463,陈建平麻花(磁器口总店),磁器口正街60号,重庆市,重庆市,沙坪坝区,(023)65476688,unknown,
baidu,61071f7292fcf0d54254d726,好地方家常菜(磁器口正街店),磁器口正街179号,重庆市,重庆市,沙坪坝区,17302307980,unknown,
baidu,2ebade78c8ffd9af2dfaa7f0,星巴克(重庆磁器口后街店),重庆市幸福街89号磁器口后街C5号号楼地上一层附1号、附2号和部分附3号自编C-1F-25单元,重庆市,重庆市,沙坪坝区,(023)86280515,unknown,
baidu,401c65e2caa4b261c91b95e9,周氏天天现捞(国盛·三千城店),国盛·三千城西北门西南110米,重庆市,重庆市,沙坪坝区,13637824828,unknown,
baidu,210f86c1cb84b6f81676435c,毛血旺川菜馆,金磁路与磁童路交叉口东行350米路北,重庆市,重庆市,沙坪坝区,,unknown,
baidu,e9b7108a0b9545360b1cc722,重庆味道(黄桷坪一巷),重庆市沙坪坝区磁南街磁器口轻轨站13号附19号,重庆市,重庆市,沙坪坝区,15023713681,unknown,
baidu,9f2b89fbb449c3e47dc8762f,三陵面妹面庄,重庆市沙坪坝区教院路三陵大厦,重庆市,重庆市,沙坪坝区,,unknown,
baidu,e184b34b187f08539e9d6822,重庆运气好江湖菜·鸡杂·毛血旺(磁器口店),磁器口街道磁正街197号（路咖啡对面）,重庆市,重庆市,沙坪坝区,17784761028,unknown,
baidu,b064ed74cad2192600ff2dd3,巷子深面馆连锁店(教院路店),教院路23号三陵大厦C栋F1层,重庆市,重庆市,沙坪坝区,18875115519,unknown,
baidu,c083e9dec9a7c5dbc056ac77,渝味家常菜,重庆市沙坪坝区磁南街1号磁器口古镇,重庆市,重庆市,沙坪坝区,"13996015909,15723229090",unknown,
baidu,a166c5abc72fb3aa2ce67b38,渝老武私房牛肉酱(磁器口总店),古镇正街214号,重庆市,重庆市,沙坪坝区,18584502037,unknown,
baidu,f6b90e44d3eaf889cafa5f86,温家大院,重庆市沙坪坝区下河路国富·沙磁巷商业街,重庆市,重庆市,沙坪坝区,,unknown,
baidu,e6c2d8ba59aab39dabf729c8,椒麻嘞麻辣鸡,沙滨路101号附55号,重庆市,重庆市,沙坪坝区,13206190061,unknown,
baidu,668dcac5684461797069d33d,周记龙须酥,重庆市沙坪坝区磁童路磁器口古镇小西门东北侧约90米,重庆市,重庆市,沙坪坝区,,unknown,
baidu,5732b7ec4f43ab1fc6effb67,吴连强花椒鸡,重庆市沙坪坝区磁器口正街160号,重庆市,重庆市,沙坪坝区,13368129161,unknown,
baidu,bc94458672d857360d3dda7d,来就吃,磁童路磁器口古镇南门东北侧约60米,重庆市,重庆市,沙坪坝区,,unknown,
baidu,edf732a86e92eaa8c72ba1b2,竹海凉糕(磁二店),黄桷坪一巷2号,重庆市,重庆市,沙坪坝区,13028392625,unknown,
baidu,a149f0402428bc339cf779b2,老丁家橘饼,磁器口正街53号,重庆市,重庆市,沙坪坝区,,unknown,
baidu,ff5d181696caca3f71455b9c,干龙石磨豆花,沙坪坝区磁器口磁南街14-7号,重庆市,重庆市,沙坪坝区,"(023)65205063,18623229928",unknown,
baidu,7b5277e9ded5a071c7f02596,享哆味·中国汉堡(沙坪坝三千城店),磁器口街道磁建村88号附25号（三千城）,重庆市,重庆市,沙坪坝区,18983473232,unknown,
baidu,9a43bbe5bbcc60bc047ce870,手磨豆花,重庆市沙坪坝区磁童路磁器口古镇,重庆市,重庆市,沙坪坝区,,unknown,
baidu,9e927066b7288910b2077d6e,古镇小吃,重庆市沙坪坝区磁童路磁器口古镇小西门西南侧,重庆市,重庆市,沙坪坝区,,unknown,
baidu,6307875ef358939b08ccddca,山城汤圆水果茶,重庆市沙坪坝区磁童路磁器口古镇南门西侧约50米,重庆市,重庆市,沙坪坝区,,unknown,
baidu,d39e3dca31a1e8296b49f3fe,汇林森,磁器口正街107,重庆市,重庆市,沙坪坝区,,unknown,
baidu,7fb70c732671c83143e192c5,两江捞老火锅(沙坪坝总店),童家桥正街阳光水城怪味一条街（地铁1号线烈士墓站1B出口前行50米）,重庆市,重庆市,沙坪坝区,13370750650,unknown,
baidu,0bf4d5582549f92a3be4a605,好吃时光,重庆市沙坪坝区磁器口西门红路灯旁,重庆市,重庆市,沙坪坝区,18877775133,unknown,
baidu,24539bb9bfb3a49c740269c9,小李子(沙磁巷店),沙滨路沙磁巷2号楼1层,重庆市,重庆市,沙坪坝区,,unknown,
baidu,0681e8d07d271daf9de32155,春记山城烤梨,重庆市沙坪坝区磁正街106号,重庆市,重庆市,沙坪坝区,,unknown,
baidu,6637d36a8f9a3999a2d23045,茶田吾社(磁器口店),磁正街182号,重庆市,重庆市,沙坪坝区,,unknown,
baidu,aa6298ccfa2188949868b410,时光咖啡酒馆,磁器口正街22号,重庆市,重庆市,沙坪坝区,,unknown,
baidu,66767908c160ae3f09b93a43,椰汁源,重庆市沙坪坝区磁童路磁器口古镇小西门东北侧约70米,重庆市,重庆市,沙坪坝区,,unknown,
baidu,285b6b4dd3b4cf3ad4851f1f,莎莎果汁,重庆市沙坪坝区磁器口市街14号-3号,重庆市,重庆市,沙坪坝区,,unknown,
baidu,f0f4d52e877ee861be4842c7,李记葛根酥,重庆市沙坪坝区磁南街1号磁器口古镇,重庆市,重庆市,沙坪坝区,,unknown,
baidu,810b833c1715ad3ceedfca8f,蚝酥铺子麻将酥,重庆市沙坪坝区沙滨路磁器口古镇,重庆市,重庆市,沙坪坝区,,unknown,
baidu,b00f93c992afa2f3ab059d30,网红三角粑,重庆市沙坪坝区磁南街1号磁器口古镇磁悦里F1,重庆市,重庆市,沙坪坝区,,unknown,
baidu,648ee0aa128f33b76240a938,夏五小吃,重庆市沙坪坝区磁南街16号,重庆市,重庆市,沙坪坝区,13370733155,unknown,
baidu,fd007c5e7a711175a8f72942,王少龙火锅(沙南街店),沙南街8号,重庆市,重庆市,沙坪坝区,(023)65478368,unknown,
baidu,cc070509f714c181ab175a6b,叶妈妈食堂,重庆市沙坪坝区磁南街1号磁器口古镇,重庆市,重庆市,沙坪坝区,,unknown,
baidu,d57cebfe089275ad90114c9c,九街淑芬掌中宝串串(沙坪坝店),沙杨路1号,重庆市,重庆市,沙坪坝区,(023)65006969,unknown,
baidu,c36ec85ebe44f01c1e580021,大肉串,磁器口正街108号,重庆市,重庆市,沙坪坝区,,unknown,
baidu,b3a77ea82a0729a1ca291591,诗熠烤米线,沙坪坝街道沙北街6号3-1-1 重大A区前行50米育英小学正门旁,重庆市,重庆市,沙坪坝区,18323306922,unknown,
baidu,4ce10ce675ae87b8441a3275,南韩铁板烧(欣阳广场店),沙坪坝正街1号附2号,重庆市,重庆市,沙坪坝区,13274002672,unknown,
baidu,e4a087db7c22f2a8f5c59cb7,牛毛肚821老火锅,童歌路与凌云路交叉口南150米路西,重庆市,重庆市,沙坪坝区,13012362794,unknown,
baidu,d25794da3259efebc9fa5fd6,遇见重庆,重庆市沙坪坝区磁器口南街14号附9号,重庆市,重庆市,沙坪坝区,,unknown,
baidu,b2ac9762d822e7896d20b96e,老兵面馆·炒菜(光华·阳光水城店),阳光水城1期1栋号269号,重庆市,重庆市,沙坪坝区,13452306297,unknown,
baidu,224d3be88771831cf32d83a1,于记老铺子(磁器口2店),磁器口步行街与黄桷坪一巷交叉口西100米,重庆市,重庆市,沙坪坝区,(023)65676166,unknown,
baidu,3810c87910802e8b9c09f763,重庆鑫林平价超市(磁童路店),磁器口南街8号附6号,重庆市,重庆市,沙坪坝区,"(023)65010288,18975423168",unknown,
baidu,2d0c364e22e69e56fea77835,磁悦里,重庆市沙坪坝区磁南街1号磁器口古镇,重庆市,重庆市,沙坪坝区,,unknown,
baidu,656944a08462a98a931fc926,磁器口后街,磁兴街1号（磁器口古镇内）,重庆市,重庆市,沙坪坝区,(023)86150808,unknown,
baidu,417eaa6f1a05a07f725e8094,美宜佳(国盛大道店),重庆市沙坪坝区国盛大道国盛三千城东北侧约130米,重庆市,重庆市,沙坪坝区,4008871133,unknown,
baidu,74b36ff74b300e92223bf233,通达超市(郎家巷),重庆市沙坪坝区沙滨路中国邮政储蓄银行南50米,重庆市,重庆市,沙坪坝区,,unknown,
baidu,656ff9135ecad3ef7dc87631,立强超市(教院路店),教院路23号附8号,重庆市,重庆市,沙坪坝区,,unknown,
baidu,7d8d52ab36e7d899fe0eb04c,百果园(国盛三千城店),磁建村88号附2号,重庆市,重庆市,沙坪坝区,(023)65183787,unknown,
baidu,1b9995129d1ce81af4b9162b,永瑞农超(学林雅园店),欧鹏大厦东南门西北240米,重庆市,重庆市,沙坪坝区,"13637941433,18375883338",unknown,
baidu,2231220efa00efc2e115f9d0,麦德龙(沙坪坝商场店),重庆市沙坪坝区石井坡266号附1号,重庆市,重庆市,沙坪坝区,(023)61756888,unknown,
baidu,d2938102d4d8df68bda2403a,回力(国富·沙磁巷商业街店),重庆市沙坪坝区渝碚路街道沙磁巷1-1-6,重庆市,重庆市,沙坪坝区,,unknown,
baidu,289a213585b80503774ff1bf,小娇娘,重庆市沙坪坝区磁器口街道磁器口高石坎187号,重庆市,重庆市,沙坪坝区,,unknown,
baidu,6f9843a239224a912efaa792,碗碗香生鲜超市(沙坪坝店),磁建村88号附8号、附9号,重庆市,重庆市,沙坪坝区,"18223194212,18223451676",unknown,
baidu,3a7268df560991e66fa3cc0b,巧渝蜀绣(磁器口店),重庆市沙坪坝区磁南街12号附8、9号,重庆市,重庆市,沙坪坝区,13372621868,unknown,
baidu,9581d7277db3369bf03cbaa4,可购便利店(国富沙磁巷店),沙滨路101号附97号,重庆市,重庆市,沙坪坝区,19923470571,unknown,
baidu,bcf04455ed6892de14c8f6d2,美美超市(东和科苑南),沙杨路250号半月楼F1层,重庆市,重庆市,沙坪坝区,18323128505,unknown,
