FID,label,node_start,node_end
0,1,0,1
1,1,0,2
2,0,1,3
3,1,1,4
4,1,1,5
5,0,2,8
6,1,2,9
7,0,3,90
8,1,3,14
9,1,5,14
10,0,5,15
11,0,5,16
12,0,6,7
13,0,8,16
14,0,9,32
15,0,9,33
16,0,10,11
17,0,10,44
18,0,10,46
19,0,12,13
20,1,12,27
21,0,12,28
22,1,14,92
23,1,14,30
24,1,16,29
25,1,17,18
26,1,18,35
27,0,19,20
28,0,19,21
29,0,19,34
30,0,20,21
31,1,21,38
32,1,22,23
33,1,24,25
34,1,24,26
35,0,25,61
36,0,25,74
37,0,26,39
38,0,27,28
39,0,27,58
40,0,28,44
41,0,30,31
42,1,30,81
43,0,32,73
44,1,32,81
45,0,33,40
46,0,33,41
47,1,35,85
48,0,35,86
49,0,35,87
50,0,36,37
51,0,36,47
52,0,36,55
53,0,36,56
54,0,36,57
55,0,38,49
56,0,38,52
57,0,38,53
58,1,38,54
59,1,39,74
60,0,39,108
61,0,39,93
62,0,40,82
63,1,40,67
64,0,41,59
65,0,41,64
66,0,41,60
67,0,42,42
68,0,42,43
69,0,43,87
70,0,44,45
71,0,45,107
72,0,45,105
73,0,46,104
74,0,46,105
75,1,47,48
76,1,48,83
77,0,49,50
78,1,49,52
79,1,50,51
80,1,51,52
81,1,51,138
82,1,51,175
83,0,53,175
84,0,53,194
85,0,53,195
86,1,55,84
87,0,55,91
88,0,57,62
89,0,57,63
90,0,58,68
91,1,59,60
92,0,59,61
93,0,60,64
94,0,60,65
95,0,61,64
96,0,62,91
97,0,62,132
98,1,62,133
99,1,63,69
100,1,63,70
101,0,64,65
102,0,64,67
103,0,65,66
104,0,66,71
105,1,66,72
106,0,67,109
107,0,68,107
108,0,69,133
109,0,69,77
110,0,70,77
111,1,71,109
112,1,71,185
113,0,71,75
114,1,72,75
115,1,72,76
116,0,74,76
117,1,74,93
118,1,75,186
119,1,75,183
120,0,76,80
121,0,77,140
122,0,77,88
123,0,78,79
124,0,79,106
125,0,80,129
126,0,80,130
127,0,81,113
128,0,81,82
129,0,82,124
130,0,82,125
131,1,83,112
132,1,85,88
133,1,85,89
134,0,86,89
135,0,86,103
136,0,87,89
137,0,87,100
138,0,87,87
139,1,88,141
140,1,89,99
141,0,90,102
142,1,91,112
143,0,93,134
144,0,94,95
145,0,95,96
146,0,95,98
147,1,95,102
148,1,95,101
149,0,96,97
150,0,96,98
151,1,99,144
152,1,100,101
153,0,105,110
154,1,106,111
155,0,107,126
156,1,108,201
157,1,109,125
158,1,109,184
159,1,109,109
160,0,110,126
161,0,110,131
162,1,111,116
163,1,112,121
164,0,113,155
165,0,113,174
166,0,114,115
167,0,114,160
168,0,114,163
169,0,116,151
170,0,117,118
171,0,117,119
172,0,117,120
173,0,118,122
174,0,118,123
175,0,119,126
176,0,119,120
177,0,120,131
178,0,121,132
179,0,122,173
180,0,122,180
181,0,123,127
182,0,123,128
183,1,124,174
184,1,125,174
185,0,127,157
186,0,127,128
187,0,128,173
188,0,129,130
189,0,129,183
190,0,130,134
191,0,131,157
192,0,132,167
193,0,133,135
194,0,134,168
195,0,135,140
196,1,136,137
197,1,136,158
198,1,136,159
199,1,138,139
200,1,138,169
201,0,140,188
202,1,141,162
203,1,141,147
204,0,142,143
205,1,142,147
206,1,143,144
207,0,143,145
208,0,144,150
209,1,145,146
210,1,145,147
211,1,147,164
212,0,148,149
213,1,148,171
214,0,148,181
215,0,150,152
216,0,150,153
217,1,151,154
218,1,152,234
219,0,152,221
220,0,153,155
221,0,153,156
222,1,154,158
223,0,155,172
224,0,155,156
225,0,156,208
226,0,156,209
227,1,157,161
228,1,158,159
229,1,158,170
230,0,159,176
231,1,162,189
232,1,162,164
233,0,163,179
234,0,163,165
235,1,164,190
236,0,165,166
237,0,165,179
238,0,165,197
239,1,167,229
240,1,167,230
241,1,168,183
242,0,168,200
243,1,168,201
244,1,169,175
245,1,169,199
246,0,170,176
247,0,170,187
248,0,171,171
249,0,172,174
250,0,172,209
251,1,172,219
252,0,173,196
253,1,176,182
254,0,177,178
255,0,177,219
256,0,177,286
257,0,179,191
258,0,180,196
259,0,180,214
260,0,180,215
261,0,181,216
262,0,181,218
263,1,182,192
264,1,182,193
265,1,184,254
266,1,184,185
267,0,185,263
268,0,185,264
269,1,185,186
270,1,186,266
271,0,187,231
272,1,188,223
273,0,188,224
274,0,189,211
275,0,189,190
276,0,190,203
277,1,193,212
278,0,193,213
279,1,194,235
280,1,194,236
281,1,195,206
282,0,195,207
283,0,196,198
284,0,198,202
285,0,198,222
286,1,199,267
287,1,199,262
288,1,200,237
289,1,200,238
290,1,203,204
291,1,203,205
292,1,203,210
293,0,206,236
294,1,206,253
295,0,207,216
296,0,207,220
297,0,208,209
298,0,208,221
299,1,210,225
300,1,210,234
301,0,211,225
302,1,211,226
303,1,212,248
304,1,212,255
305,1,214,214
306,0,215,222
307,0,216,217
308,0,217,253
309,0,217,310
310,1,217,342
311,1,218,310
312,0,219,243
313,0,221,243
314,0,223,224
315,1,223,242
316,1,223,226
317,0,224,230
318,1,225,226
319,1,225,246
320,1,226,246
321,0,227,228
322,0,227,232
323,0,228,229
324,0,229,232
325,1,229,233
