source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,92d4484f147cb50330169bec,江西饭店(圣庙店),福涧街3-16号(南门兜地铁站A1西北口步行260米),福建省,福州市,鼓楼区,15959141831,unknown,
baidu,8c0ae3b3a82bfe100c0a7030,陈厚元牛肉面(协和花园店),花园路11号,福建省,福州市,鼓楼区,18505075255,unknown,
baidu,40a2182ef26f851be9e58278,口口香渔庄(冠亚广场店),八一七北路268号冠亚广场4号楼1层04店面,福建省,福州市,鼓楼区,(0591)88180915,unknown,
baidu,be54cde9713a0b4178f796ff,醉仙楼(乌山路店),乌山路37号乌山苑2座1号,福建省,福州市,鼓楼区,(0591)83351612,unknown,
baidu,66eb5d84cd9df96e88fc06c5,琪辉餐厅(八一七北路151号店),八一七北路151号福建佳盛大厦1层（大洋百货旁）,福建省,福州市,鼓楼区,(0591)87501323,unknown,
baidu,e2f8059d4db188aa260bd0da,圣福餐饮店,福州市鼓楼区圣庙路福涧街新村,福建省,福州市,鼓楼区,,unknown,
baidu,cbd7328e026598b31ef74d3b,歡喜(法海路店),花园弄17号,福建省,福州市,鼓楼区,18084756000,unknown,
baidu,a10042e6fbd13e6c4f6d46d7,三生石·佛跳墙·福建菜·古韵餐厅(三坊七巷店),三坊七巷吉庇路80号（老福洲隔壁）,福建省,福州市,鼓楼区,18159187009,unknown,
baidu,bb0a01cf775de2a2d3ff23b1,老余饭庄,花园路7号(协和医院公交车站旁),福建省,福州市,鼓楼区,(0591)87565445,unknown,
baidu,a88419fbc4acea6fc72ba1c4,老哥家常菜(织缎巷店),织缎巷29号,福建省,福州市,鼓楼区,13635263236,unknown,
baidu,78d65126f5be982ab9df8f3c,粥品堂(花园路店),花园路11-6号(近协和医院),福建省,福州市,鼓楼区,(0591)87112713,unknown,
baidu,1e4b3995e3c464dacd04ef7a,沙县小吃(东兴大楼店),安泰街道圣庙路圣庙公寓1层12号店面,福建省,福州市,鼓楼区,18659131373,unknown,
baidu,ec0049460ace6170343a7146,哇哈冰饭(军门社区店),安泰中心b区4通道d005店铺,福建省,福州市,鼓楼区,13599050550,unknown,
baidu,8a099119f64247cbeddfcae7,和·怀石料理(朱紫坊店),津泰路朱紫坊29号,福建省,福州市,鼓楼区,"(0591)87528682,15980238282",unknown,
baidu,3e2dadafb3e0cde1af080f75,益禾堂(延安中学店),八一七北路211号闽台行,福建省,福州市,鼓楼区,13405959588,unknown,
baidu,932b41e5921dd891b64f54a3,麦当劳(南后街店),吉庇巷南后街1号,福建省,福州市,鼓楼区,(0591)87523373,unknown,
baidu,27ecb17990f67e1e0e3ddae1,久号食堂(法海路店),法海路21号(南门兜地铁站S1口步行370米),福建省,福州市,鼓楼区,17748570980,unknown,
baidu,dbf4d6eec2f6ca336fa3cc2a,罗马之恋(冠亚广场店),八一七北路268号冠亚美食街5号楼2号店,福建省,福州市,鼓楼区,(0591)87988801,unknown,
baidu,7809c5e6f17d2df3256e98a0,民福餐厅(圣庙路店),圣庙路22号(南门兜地铁站E东南口步行230米),福建省,福州市,鼓楼区,,unknown,
baidu,d5c6cef88949573b49fc8dff,粉面世家(福涧街新村店),福涧街与圣庙路交叉口北40米,福建省,福州市,鼓楼区,18750146116,unknown,
baidu,0acf8ddd7c41445894ca07ab,清真西北牛肉面,福涧街福建医科大学附属协和医院西北侧约30米,福建省,福州市,鼓楼区,17697163729,unknown,
baidu,fb738f023ee7bc6cb8bd634c,拿坡里小镇(冠亚店),八一七北路268号冠亚广场冠亚美食街4幢06号,福建省,福州市,鼓楼区,13799954995,unknown,
baidu,ac12778eb3995eb300ff2d74,金誉烘焙(南门兜店),八一七北路249-1号,福建省,福州市,鼓楼区,(0591)87882030,unknown,
baidu,90948661c171883b1fe9996a,誉道排骨(协和店),花园路1号(南门兜地铁站G1口步行310米),福建省,福州市,鼓楼区,(0591)83261626,unknown,
baidu,73cdd3963f6e716b20f017a5,袁记云饺(省妇幼店),道山路1-6号,福建省,福州市,鼓楼区,18058921632,unknown,
baidu,455088531f3797bd82288a24,luckincoffee瑞幸咖啡(冠亚广场店),福州市鼓楼区安泰街道八一七北路268-1号临街商铺,福建省,福州市,鼓楼区,,unknown,
baidu,40b32fb2b1769a7841d63e67,逸香里脊肉串(三坊七巷店),吉庇路7号,福建省,福州市,鼓楼区,18960918209,unknown,
baidu,f402468766c89264223bf2e5,必胜客(安泰店),吉庇路12号(安泰楼斜对面20米)（临近安泰楼酒家）,福建省,福州市,鼓楼区,4009701890,unknown,
baidu,2d183df689428158bda240c2,斯诺客手抓饼(三坊七巷店),八一七北路268号,福建省,福州市,鼓楼区,17759105211,unknown,
baidu,dfc339baa057d22b94ec84fd,万寿桥·煎包(安泰店),吉庇路39号安泰商住楼1层02店面,福建省,福州市,鼓楼区,(0591)86393603,unknown,
baidu,fdb8113e5a0f43bc82288ace,福粥道小吃,福建省福州市鼓楼区圣庙路福涧街3-5号,福建省,福州市,鼓楼区,15959085478,unknown,
baidu,658100f951d916183a13fd60,林记沙茶面(东泰路店),东街街道东泰路碧玉花园一层店面170号,福建省,福州市,鼓楼区,15959815889,unknown,
baidu,ac7bd6edd91f4c0be8e58244,柏年捞化,福建省福州市鼓楼区道山路19号,福建省,福州市,鼓楼区,,unknown,
baidu,3dd47b4510ec541af8dc8594,草本汤(三坊七巷店),吉庇路13号安泰黄金广场一层04A店面,福建省,福州市,鼓楼区,19959119785,unknown,
baidu,fa0dae261b905b83fbdc85b6,蹄膀(冠亚店),八一七北路268号冠亚广场美食街2号楼、03.04.05店面（近乌山路）,福建省,福州市,鼓楼区,13950257813,unknown,
baidu,4b2ffbc13433d90e1ee99968,大神炸鸡(冠亚店),八一七北路冠亚广场外围通道内（南门兜地铁A口附近）,福建省,福州市,鼓楼区,18750197977,unknown,
baidu,26c877b6789ad95b15a190f2,华丰贺氏(道山店),道山路7号（省妇幼斜对面）,福建省,福州市,鼓楼区,(0591)87506327,unknown,
baidu,0aa36e3f449c66d274e5b622,馋谷君·满汉全席·蒸羊羔(冠亚广场店),冠亚广场3号楼10店面,福建省,福州市,鼓楼区,13328206887,unknown,
baidu,e122c1d5323bf61efbf0cb0a,CoCo都可茶饮(大洋晶典店),福建省福州市鼓楼区八一七北路268号冠亚广场B1,福建省,福州市,鼓楼区,,unknown,
baidu,163040819220e98cb04c49d5,鱼叔叔的店(安泰中心店),"八一七北路189号安泰中心B区底层商场部分1层B1-07B,B1-08B商场",福建省,福州市,鼓楼区,18606079610,unknown,
baidu,8676b75b8c95da3ff11937c3,烧肉酒场·龙(三坊七巷店),吉庇路14号（必胜客旁）,福建省,福州市,鼓楼区,13509326725,unknown,
baidu,3d72994ace33be87bea8225a,喜茶(福州东百中心店),南街街道八一七北路174号三坊七巷东百中心C馆C4-1商铺,福建省,福州市,鼓楼区,(0591)87502251,unknown,
baidu,0ce65c2de06af2402d473341,叶家花生汤(大洋百货店),东街街道石井巷51号,福建省,福州市,鼓楼区,13860638810,unknown,
baidu,83883b6433015314cae33c61,鲜烤烘焙(福州金晖大厦店),福建省福州市鼓楼区八一七北路249号金晖大厦F1层,福建省,福州市,鼓楼区,,unknown,
baidu,c7509a988494b8ca80a00c75,199th·Coffee·house,津泰路199号,福建省,福州市,鼓楼区,15759411889,unknown,
baidu,a7b3ddbd2fd3ed812b3a9fc1,合德记顺德双皮奶(冠亚店),八一七北路268号冠亚广场7号楼1层100店面,福建省,福州市,鼓楼区,13960869019,unknown,
baidu,070bfc6b7c5ec310ae045760,达美乐比萨(东百中心店),八一七北路110号东百中心C馆第B2F层B2-A55/A56店铺,福建省,福州市,鼓楼区,4001597597,unknown,
baidu,134110bdef104518f319375e,蔡记·白切鸭粉干(冠亚广场店),福建省福州市鼓楼区八一七北路268号冠亚广场F1,福建省,福州市,鼓楼区,17075996334,unknown,
baidu,b341fd50666cac07f50e7703,蒸尚米(道山路店),道山路77号,福建省,福州市,鼓楼区,18050798008,unknown,
baidu,84c4e64529812ea528b97c25,闽柘正宗牛肉面(三坊七巷店),吉庇巷13号,福建省,福州市,鼓楼区,13099558388,unknown,
baidu,526cb4394ee59ef94f3a5950,食汇活鱼(冠亚店),八一七路冠亚广场4号楼02店面,福建省,福州市,鼓楼区,(0591)88084637,unknown,
baidu,34e485089196a3fbd8d89141,好自在素菜馆,东街街道于山路9号定光寺内(于山宾馆旁),福建省,福州市,鼓楼区,,unknown,
baidu,aa40108b6a142a0cc5effbfe,老北京铜锅涮肉伊记过年饺子馆(二店),八一七北路冠亚美食街中段二号楼14-15号店,福建省,福州市,鼓楼区,(0591)87608561,unknown,
baidu,ddbcdcb7f3ada75ea20464ba,豆匠咖啡Beanner Coffee(福州店),安泰公寓桂枝里5-3号,福建省,福州市,鼓楼区,"13850198234,13850199106",unknown,
baidu,6f9b30499b7f6a5b3a04b1bc,客家牛肉馆(东街口店),东泰路250号,福建省,福州市,鼓楼区,15860839225,unknown,
baidu,9ffd242742800a5c9603197a,定光寺素菜馆,福建省福州市鼓楼区安泰街道于山路9号(南门兜地铁站G1口步行300米),福建省,福州市,鼓楼区,,unknown,
baidu,4ef4872c7c4fef68cc06a4e6,M-EA(翰林苑店),安泰街道法海路30号,福建省,福州市,鼓楼区,18105031306,unknown,
baidu,27ee61a7711fb534f4e73ba5,和乐咖啡,法海路32号,福建省,福州市,鼓楼区,,unknown,
baidu,fef2837f7c6f094a3a13fdee,壹号煎包(妇幼店),道山路101-10号思景大楼一层02店面,福建省,福州市,鼓楼区,18606025922,unknown,
baidu,9040200dc947262f02294fbc,五谷渔粉(冠亚店),冠亚广场11层02店面,福建省,福州市,鼓楼区,13459495625,unknown,
baidu,4cbc017623775bddc61e513f,客味鲜牛肉兜汤(协和店),法海路21号,福建省,福州市,鼓楼区,13605995923,unknown,
baidu,ca8f285b2ef9855ff82213b8,妙旺角蛋糕店(三七坊鼓楼店),福州市文儒坊6号,福建省,福州市,鼓楼区,,unknown,
baidu,dacdb22caa4528de364aae44,老北京炸酱面(五一店),福建省福州市鼓楼区安泰街道新权南路12号金福商厦1号月07店面,福建省,福州市,鼓楼区,17720797519,unknown,
baidu,646e882974c0b41db23c81bb,于山长者食堂·学堂(于山社区居家养老服务站),福建省福州市鼓楼区宦贵巷7号,福建省,福州市,鼓楼区,15305902694,unknown,
baidu,df7ec7214fbcda18276e98e9,良冶山国粹饮品,福建省福州市鼓楼区八一七北路189号,福建省,福州市,鼓楼区,,unknown,
baidu,8fa14fc36afa4e77f7eafcd8,大洋晶典(乌山店),福州市鼓楼区八一七北路268号,福建省,福州市,鼓楼区,(0591)88319999,unknown,
baidu,67acf9b43b24d68a0482c246,冠亚广场,福建省福州市鼓楼区八一七北路268号,福建省,福州市,鼓楼区,(0591)87660999,unknown,
baidu,49d959389f24245ac61e51d8,永辉超市(津泰店),津泰路92-3号,福建省,福州市,鼓楼区,(0591)87679888,unknown,
baidu,8eb48fa1322356bff32d83d8,大洋百货(东街口店),八一七北路133号,福建省,福州市,鼓楼区,"(0591)88318888,(0591)88319111",unknown,
baidu,f9879448cf4ec8f4b817e70a,豪德沃超市(花园路店),花园路花园新村一楼,福建省,福州市,鼓楼区,(0591)85658666,unknown,
baidu,8fa4fe16ddb29cabad045799,福州香格里拉中心,福建省福州市鼓楼区新权南路9号,福建省,福州市,鼓楼区,(0591)87800297,unknown,
baidu,840634000c8fefd043024594,633PAPER&PEN学制文具商店(津泰路店),津泰路56号,福建省,福州市,鼓楼区,17689606068,unknown,
baidu,a70b8adeb6c056491d5800ad,黑玫瑰(津泰路店),津泰路165号,福建省,福州市,鼓楼区,(0591)87609857,unknown,
baidu,083e6d77dd2ee62ed618b77b,林依媄橄榄店,东街街道八一七北路安泰中心A区底层商场第四通道29A,福建省,福州市,鼓楼区,18905006580,unknown,
baidu,86157d741923cbd4882fb58e,集贤宾,福建省福州市鼓楼区芙蓉弄4号,福建省,福州市,鼓楼区,,unknown,
baidu,f7d143b5f0e06f25704b87d2,紫行,八一七北路英孚大厦213-3,福建省,福州市,鼓楼区,,unknown,
baidu,a46ebc84813d456b213bf22e,FILA(福州东百品牌中心店),八一七北路152号,福建省,福州市,鼓楼区,4008867699,unknown,
baidu,461c79a7df82ba51b5f42f92,南门兜地铁商城(冠亚广场店),八一七北路268号冠亚广场,福建省,福州市,鼓楼区,15980209061,unknown,
baidu,d9901985187bd2ca00ec01b5,圣卡萝(津泰店),津泰路36号(南门兜地铁站出入口步行370米),福建省,福州市,鼓楼区,18950425429,unknown,
baidu,783eae9c7b684293a20464b6,福州东街口地下商业街,福建省福州市鼓楼区八一七北路88号百华大厦12楼03室,福建省,福州市,鼓楼区,(0591)88318939,unknown,
baidu,3acc47e29dd23e63095cb318,欧典名品(津泰路店),福建省福州市鼓楼区津泰路93号,福建省,福州市,鼓楼区,13067269990,unknown,
baidu,7cacc54f3ade6306bb17e7ed,霈尘(福州店),福建省福州市鼓楼区三坊七巷安民巷2号,福建省,福州市,鼓楼区,13074890102,unknown,
baidu,d82c7c527b7553b0ab0dd8f8,福建省灵动珠宝有限公司,福州市鼓楼区八一七北路福建省福州延安中学西侧,福建省,福州市,鼓楼区,,unknown,
baidu,3696ec910b2a72962102207c,好莱坞(津泰路店),津泰路223-1号,福建省,福州市,鼓楼区,,unknown,
baidu,45ef1341206c61b0882fb546,Sunflower女装(津泰路店),福州市鼓楼区津泰路221号,福建省,福州市,鼓楼区,13960779907,unknown,
baidu,d98782bdebe2f6c52b3a9f9e,小商品折扣店(福州金晖大厦店),八一七北路249号金晖大厦F1层,福建省,福州市,鼓楼区,17706901223,unknown,
baidu,8ac0f627c4a40070b13c8176,晶磊珠宝,津泰路27号,福建省,福州市,鼓楼区,,unknown,
baidu,ff3b747d7c956433c51e513f,福州市尚云奢物汇,津泰路22号(南门兜地铁站A1西北口步行370米),福建省,福州市,鼓楼区,15005998888,unknown,
baidu,9ede7c3e9f1806056140a9d7,靓点童装屋(大洋晶典乌山店),福州市鼓楼区八一七北路268号大洋晶典B1,福建省,福州市,鼓楼区,,unknown,
baidu,217199c1a3c73caf80a00cc0,见福便利店(津泰路店3008店),津泰路92号一层店面,福建省,福州市,鼓楼区,4001801899,unknown,
baidu,52f26477df669a3c4151c0a6,首尔坊精品,福建省福州市鼓楼区津泰路163号,福建省,福州市,鼓楼区,13599436008,unknown,
baidu,4b42c48d118b4b19c51e51fa,络绎(津泰路店),津泰路171号,福建省,福州市,鼓楼区,(0591)87508888,unknown,
baidu,a2673058aaae582cc929150f,品位女人,福建福州市鼓楼区津泰路65号,福建省,福州市,鼓楼区,13509324438,unknown,
baidu,ab74048c47f6c1ecd4851f4c,精舍,福建省福州市鼓楼区八一七北路268号冠亚广场B1,福建省,福州市,鼓楼区,,unknown,
baidu,9667ab9c27d7f9eb31870ab8,天利便利(闽星楼店),八一七路190闽星楼一楼,福建省,福州市,鼓楼区,13859093935,unknown,
baidu,6deee308e096bf7329fc48d9,新华书店(安泰店),八一七北路189号,福建省,福州市,鼓楼区,(0591)87527400,unknown,
baidu,68a9b11f840680f42cb96de9,小海狸手工铺(朱紫坊店),朱紫坊花园弄56号,福建省,福州市,鼓楼区,15259108183,unknown,
baidu,ecd1830afab46429a3acc4e7,协和眼镜(东兴大楼店),八一七北路东兴大楼2号门店(南门兜地铁站E东南口旁),福建省,福州市,鼓楼区,18050268077,unknown,
baidu,14131660cd791ecdf02d83a7,麦克美高文具店(三坊15店),圣庙路与福涧街交叉口北50米,福建省,福州市,鼓楼区,"13405904141,15880019533",unknown,
baidu,3e94d726a7ba9d797ec87654,李二狗花店,津泰路83号安泰中心东,福建省,福州市,鼓楼区,18605086569,unknown,
baidu,7138360267d7fc30c909f0b1,晨光文具鑫又旺文具(八一七北路店),八一七北路213-6号,福建省,福州市,鼓楼区,,unknown,
baidu,93a12e1700c5803fd9d891b7,觅光花艺,福建省福州市鼓楼区津泰路37号,福建省,福州市,鼓楼区,13960951220,unknown,
baidu,33fbfa83a6d0c8bc0af5eba9,真尚美(津泰路店),津泰路7号(南门兜地铁站S4口步行300米),福建省,福州市,鼓楼区,(0591)87626396,unknown,
baidu,7e1c0d0a73172f0ce8e582ff,海忠清真鲜牛羊肉店,八一七北路204-1号清真寺旁（八一七北路与道山路交叉口西北100米）,福建省,福州市,鼓楼区,18650456299,unknown,
baidu,d3dac1381c0fad32b020a88a,康舒美假发(冠亚广场店),福建省福州市鼓楼区八一七北路268号冠亚广场F1,福建省,福州市,鼓楼区,"(0591)87856667,13860662085",unknown,
baidu,ea6a553b75930eaca80dd85d,CARRY ME女装店(津泰路店),津泰路133号,福建省,福州市,鼓楼区,(0591)87918303,unknown,
baidu,803708f11f2a8a60018972d8,越洋图书城(福州总店),安泰街道古田路22号,福建省,福州市,鼓楼区,(0591)83323147,unknown,
baidu,3f61c44880088a666849f3ed,大世界橄榄(吉庇店),吉庇路68号,福建省,福州市,鼓楼区,(0591)87629112,unknown,
baidu,8d10c1c17df884f4eb12e467,优衣库(福州东百中心店),八一七北路114号,福建省,福州市,鼓楼区,(0591)87559856,unknown,
baidu,f058a4dc369a0da1cb213d2c,仙芝楼有机灵芝(南门兜专卖店),福建省福州市鼓楼区八一七北路267号,福建省,福州市,鼓楼区,(0591)87558716,unknown,
baidu,3edf24ec24a5f1d4b35c6a07,MOSES,东街口商圈津泰路43号,福建省,福州市,鼓楼区,13655013779,unknown,
baidu,cbfec9dd3da9d8210f0e6bc7,锦宏名品,福建省福州市鼓楼区津泰路92-1号,福建省,福州市,鼓楼区,17783704722,unknown,
baidu,4b716d9acc74db657dc87692,韩外贸服饰(冠亚广场店),八一七北路268号冠亚广场F1层,福建省,福州市,鼓楼区,,unknown,
baidu,1fcdce6ce17d7b6ae81e9791,超越琴行(冠亚广场店),八一七北路268号冠亚广场B1层,福建省,福州市,鼓楼区,18050175632,unknown,
baidu,cd3383ca84376bc4fd0eb052,lululemon(福州东百中心店),福建省福州市鼓楼区八一七北路132号东百中心1-2层C2-102-2、C2-202-2号,福建省,福州市,鼓楼区,(0591)28082518,unknown,
baidu,3af8cc22fcc898e3bfa8226d,美丽人生服装鞋业连锁店,津泰路149号(永辉超市对面),福建省,福州市,鼓楼区,"(0591)87500686,(0591)87557007,13763809688",unknown,
baidu,7e6d47a1c96de972f4b916ea,美丽人生婚纱写真会所(津泰路店),福建省福州市鼓楼区安泰街道津泰路149号,福建省,福州市,鼓楼区,13763809688,unknown,
baidu,5b66af3f750f00280869d938,杨扬母婴店,福州市鼓楼区道山路思景大楼东侧约40米,福建省,福州市,鼓楼区,13788889473,unknown,
baidu,03da1360cf8ae162f8f0cb7a,一袭青衣,福建省福州市鼓楼区东街街道津泰路209号津泰新村12楼10店面,福建省,福州市,鼓楼区,,unknown,
baidu,b6add8a73ef7c19cca1b9575,满足精品馆,津泰路24号,福建省,福州市,鼓楼区,15505911333,unknown,
baidu,815f8ca4ac5388c1430245fb,衣品人生(津泰路店),福建省福州市鼓楼区津泰路69号,福建省,福州市,鼓楼区,,unknown,
baidu,bfcaa0c79fc6bb1b2cb96da5,米伽服饰,津泰路201号,福建省,福州市,鼓楼区,13405902955,unknown,
baidu,d12a2be4c484fd0b631c6790,旺源驼奶(道山路店),道山路73号,福建省,福州市,鼓楼区,13682693739,unknown,
baidu,cbf3075801fd8a8af82213ea,ZUS足尚,福建省福州市鼓楼区津泰路175号,福建省,福州市,鼓楼区,,unknown,
baidu,b8339e91b016268dc929154e,Hippo精品母婴生活馆(冠亚广场店),八一七北路冠亚广场3号楼68号店,福建省,福州市,鼓楼区,15080010077,unknown,
baidu,a979ae30ba5207e7f4eafc14,艾美(津泰路),津泰路157号,福建省,福州市,鼓楼区,,unknown,
baidu,8cb83d21581c9c426140a92c,OS欧尚,津泰路21号(南门兜地铁站A1西北口步行370米),福建省,福州市,鼓楼区,13559955023,unknown,
baidu,c2d3af9fa2d18f8245572602,衣时代网(冠亚广场店),福建省福州市鼓楼区八一七北路268号冠亚广场F1,福建省,福州市,鼓楼区,4000333209,unknown,
baidu,c73c3d8f17599265990050be,宫小燕·姨妈热饮·现炖燕窝(鼓楼店),东街街道津泰路津泰新村18号楼1层12店面（津泰路27号）,福建省,福州市,鼓楼区,18574804584,unknown,
baidu,7db0a8a5f46a75989d95deaa,佳季食品店,福建省福州市鼓楼区安泰街道圣庙路28号,福建省,福州市,鼓楼区,,unknown,
baidu,b431a94029052706d7851fde,素雅精品馆,福建省福州市鼓楼区津泰路101号,福建省,福州市,鼓楼区,18559136576,unknown,
baidu,9036e575ae28185b6849f321,焕新食杂店,福建福州市鼓楼区圣庙路29号,福建省,福州市,鼓楼区,15280079565,unknown,
baidu,c04fe60dae570030f4231057,oef私人定制,福建省福州市鼓楼区安泰中心A区底层第六通道,福建省,福州市,鼓楼区,13675021992,unknown,
baidu,b4e1799cc33fcefdb11e369d,晶晶美饰,福州市鼓楼区津泰路军门社区,福建省,福州市,鼓楼区,,unknown,
baidu,4a0085637a43c3649cec2b6e,慕丝,福州市鼓楼区津泰路津泰新村,福建省,福州市,鼓楼区,,unknown,
baidu,8503f1cd46db32864207c17d,唐季食品店,福建省福州市鼓楼区安泰街道圣庙路20号,福建省,福州市,鼓楼区,,unknown,
baidu,e0b8ec6f5fc98d2dd518b780,手机维修服务中心(冠亚广场店),福建省福州市鼓楼区八一七北路268号冠亚广场F1,福建省,福州市,鼓楼区,,unknown,
baidu,f66e5318413935b133169b14,ni范,福州市鼓楼区津泰路津泰新村,福建省,福州市,鼓楼区,,unknown,
baidu,1888c5b52558ddf6f03cbac3,恒景食品店,福建省福州市鼓楼区八一七北路267号,福建省,福州市,鼓楼区,,unknown,
baidu,161a0ed2947bdb2e5cd4fe6d,福州文庙-公共厕所,福建省福州市鼓楼区学院前巷2-1号附近,福建省,福州市,鼓楼区,,unknown,
baidu,01552c62ef6b2240b45f1e3e,百乐复印打印,福州市鼓楼区八一七北路金晖大厦北侧,福建省,福州市,鼓楼区,,unknown,
baidu,2225bee0a7e22a922bb97c5f,公共厕所,福建省福州市鼓楼区花园路42-1号,福建省,福州市,鼓楼区,,unknown,
baidu,f4dd22654c749bcbf33cba52,公共厕所,福建省福州市鼓楼区朱紫坊29号旁,福建省,福州市,鼓楼区,,unknown,
baidu,e087fe8895fe09723517dcf3,福州智慧能源体验馆,八一七北路194号(南门兜地铁站S4口步行160米),福建省,福州市,鼓楼区,,unknown,
baidu,fc269b78c75cb519fb22134d,朱紫坊游客中心,福建省福州市鼓楼区朱紫坊8号,福建省,福州市,鼓楼区,,unknown,
baidu,5e5b5b20d69a86815fd4fe6d,鑫兴文印店综合超市,圣庙路与福涧街交叉口东北50米,福建省,福州市,鼓楼区,,unknown,
baidu,d1f7ddd7746bedf0e5e96578,中国福利彩票(冠亚广场店),福建省福州市鼓楼区冠亚美食街3-1-12号,福建省,福州市,鼓楼区,954168,unknown,
baidu,65c2aa40a87572d77bf79678,一派视觉数字空间,福建省福州市鼓楼区文昌弄3号,福建省,福州市,鼓楼区,13911787750,unknown,
baidu,6fddd7fd760c6c663517dcd9,庆帅服饰,津泰路139号,福建省,福州市,鼓楼区,(0591)87505864,unknown,
baidu,e9b33fe9648e28b59fec2b2d,爱·慕彩妆·簪花(三坊七巷店),八一七北路268号冠亚广场负一楼d207,福建省,福州市,鼓楼区,18705917821,unknown,
baidu,41c694ea3ace6fa60ab93acc,党员政治生活馆,福建省福州市鼓楼区津泰路军门社区东南侧约60米,福建省,福州市,鼓楼区,,unknown,
baidu,01cd154da3d0dd8032f71d44,公共厕所,福建省福州市鼓楼区津泰路96号,福建省,福州市,鼓楼区,,unknown,
