node_id_1,node_id_2,edge_id
0,397,0
0,678,1
1,332,2
1,38,3
2,22,4
2,152,5
3,249,6
3,119,7
4,863,8
4,867,9
4,872,10
5,499,11
5,26,12
6,669,13
6,170,14
6,354,15
7,552,16
7,170,17
7,565,18
8,9,19
8,272,20
9,8,21
9,176,22
10,863,23
10,174,24
11,120,25
12,13,26
12,55,27
12,323,28
13,518,29
13,54,30
13,12,31
13,513,32
14,544,33
14,541,34
14,325,35
15,16,36
15,18,37
16,192,38
16,844,39
17,789,40
18,403,41
18,140,42
19,20,43
19,594,44
19,541,45
20,529,46
20,542,47
20,19,48
20,518,49
21,124,50
21,66,51
21,319,52
22,238,53
22,236,54
23,869,55
23,866,56
24,340,57
24,521,58
24,500,59
25,812,60
26,157,61
26,498,62
26,89,63
27,237,64
27,28,65
28,106,66
28,439,67
28,29,68
28,441,69
29,880,70
29,142,71
29,28,72
29,68,73
30,68,74
31,547,75
31,205,76
32,308,77
32,596,78
33,5,79
34,51,80
34,33,81
35,577,82
35,579,83
35,552,84
36,583,85
36,579,86
37,886,87
37,169,88
38,331,89
38,887,90
39,706,91
40,690,92
40,230,93
40,683,94
41,685,95
41,371,96
41,367,97
42,368,98
42,688,99
42,373,100
43,676,101
43,688,102
43,689,103
44,489,104
44,676,105
44,674,106
45,730,107
45,726,108
45,750,109
46,737,110
46,749,111
46,681,112
47,704,113
47,682,114
47,682,115
48,457,116
48,897,117
49,455,118
50,462,119
50,33,120
51,49,121
52,529,122
52,526,123
52,519,124
53,526,125
53,349,126
53,528,127
53,516,128
54,13,129
54,514,130
55,836,131
56,4,132
57,58,133
57,808,134
58,3,135
59,285,136
59,314,137
59,282,138
60,538,139
60,335,140
60,539,141
61,335,142
61,64,143
61,63,144
61,350,145
62,317,146
62,126,147
62,21,148
63,65,149
63,286,150
64,65,151
64,247,152
64,61,153
64,161,154
64,163,155
65,63,156
65,126,157
65,64,158
66,802,159
66,21,160
66,828,161
67,519,162
67,117,163
67,499,164
67,513,165
68,289,166
68,30,167
68,29,168
69,180,169
69,802,170
70,104,171
70,193,172
70,181,173
71,224,174
71,86,175
72,435,176
72,118,177
73,80,178
73,82,179
74,155,180
75,82,181
75,76,182
76,77,183
77,86,184
77,78,185
78,79,186
79,74,187
79,80,188
80,83,189
80,179,190
81,76,191
81,74,192
82,164,193
83,819,194
84,179,195
84,16,196
85,224,197
85,78,198
86,92,199
87,542,200
87,324,201
87,517,202
88,117,203
88,534,204
89,830,205
90,50,206
91,85,207
91,138,208
92,91,209
92,131,210
92,105,211
93,470,212
93,779,213
