FID,label,node_start,node_end
0,1,0,1
1,1,0,2
2,1,1,24
3,1,1,2
4,1,2,37
5,0,2,38
6,1,2,39
7,0,3,4
8,0,3,5
9,0,3,44
10,0,3,45
11,0,6,7
12,0,6,35
13,0,6,77
14,1,8,9
15,0,10,11
16,0,10,96
17,0,10,78
18,1,11,12
19,1,12,15
20,0,12,16
21,1,13,14
22,1,15,16
23,1,15,69
24,1,15,49
25,1,15,70
26,0,16,17
27,1,17,30
28,1,17,34
29,1,18,19
30,1,18,20
31,1,18,50
32,1,18,23
33,1,18,51
34,0,21,22
35,0,21,88
36,0,22,23
37,1,23,50
38,1,24,25
39,1,24,26
40,0,25,27
41,0,25,32
42,0,26,32
43,0,26,38
44,1,27,28
45,0,27,29
46,1,28,30
47,1,28,31
48,1,29,31
49,1,29,32
50,1,30,33
51,1,31,33
52,0,33,74
53,1,33,90
54,0,34,74
55,0,35,36
56,0,35,75
57,0,38,93
58,0,38,43
59,1,39,41
60,0,39,42
61,0,39,43
62,0,40,41
63,0,40,46
64,0,40,47
65,0,41,42
66,0,41,43
67,0,42,43
68,1,42,94
69,0,42,46
70,0,42,95
71,0,43,95
72,0,46,53
73,0,47,53
74,0,47,54
75,0,48,49
76,0,49,70
77,0,50,86
78,1,51,52
79,0,52,83
80,1,52,84
81,0,53,97
82,1,54,55
83,1,54,56
84,0,55,57
85,0,55,97
86,1,56,57
87,1,56,58
88,0,57,103
89,1,57,64
90,1,58,63
91,1,58,61
92,1,59,60
93,1,59,61
94,1,59,62
95,1,60,64
96,0,60,105
97,1,60,65
98,1,61,64
99,1,62,65
100,1,62,66
101,0,64,104
102,0,65,85
103,0,65,112
104,1,66,67
105,1,66,68
106,0,67,71
107,0,68,85
108,0,68,71
109,1,69,78
110,1,69,79
111,0,70,73
112,1,71,87
113,0,72,73
114,1,74,89
115,0,75,76
116,0,75,82
117,1,78,80
118,0,79,80
119,0,79,81
120,1,80,81
121,1,81,89
122,0,83,84
123,0,83,86
124,0,83,156
125,0,83,157
126,1,84,84
127,0,85,110
128,1,85,111
129,1,86,122
130,0,86,151
131,1,87,111
132,1,87,114
133,0,87,115
134,1,88,137
135,1,88,143
136,1,88,122
137,0,89,100
138,0,91,92
139,1,93,94
140,0,93,150
141,0,93,100
142,0,94,97
143,0,94,149
144,1,96,100
145,0,97,107
146,1,98,99
147,1,99,126
148,1,99,108
149,0,100,161
150,1,101,102
151,1,101,108
152,1,101,109
153,0,103,106
154,1,103,107
155,0,103,104
156,0,104,118
157,0,104,105
158,0,105,121
159,0,105,112
160,1,106,198
161,0,106,201
162,0,106,202
163,0,107,144
164,0,107,145
165,0,108,128
166,0,110,124
167,0,110,112
168,0,110,113
169,0,111,113
170,0,112,125
171,0,113,115
172,0,113,127
173,0,114,116
174,1,114,117
175,1,115,119
176,0,115,129
177,0,116,187
178,0,116,231
179,0,116,179
180,0,117,119
181,1,117,120
182,1,118,202
183,0,118,162
184,0,118,209
185,0,119,120
186,0,119,134
187,0,120,130
188,0,120,131
189,0,121,162
190,0,121,163
191,1,122,123
192,1,123,123
193,0,124,165
194,0,124,185
195,0,124,158
196,0,125,163
197,1,125,165
198,1,126,138
199,1,126,139
200,0,127,154
201,0,127,192
202,0,128,135
203,0,128,146
204,0,128,147
205,0,129,186
206,0,129,187
207,0,130,132
208,0,130,133
209,0,131,176
210,1,131,177
211,1,132,181
212,0,132,263
213,0,133,135
214,1,133,136
215,1,134,178
216,0,134,179
217,1,135,140
218,0,135,141
219,1,136,137
220,1,137,142
221,1,140,181
222,1,140,142
223,1,142,143
224,1,143,193
225,1,143,194
226,1,144,195
227,1,144,198
228,0,145,148
229,0,145,149
230,1,148,149
231,1,148,191
232,0,149,150
233,0,150,160
234,1,150,161
235,0,151,194
236,0,151,156
237,0,152,153
238,1,152,161
239,0,152,197
240,1,152,182
241,0,154,155
242,0,154,158
243,0,154,190
244,0,156,210
245,1,157,210
246,0,157,248
247,1,158,159
248,1,158,189
249,1,160,223
250,1,160,227
251,0,160,217
252,1,161,172
253,0,162,173
254,0,162,208
255,1,163,164
256,1,164,173
257,1,164,174
258,0,165,174
259,0,166,167
260,0,166,170
261,0,166,171
262,0,168,169
263,0,171,175
264,1,171,182
265,1,171,183
266,1,172,180
267,1,173,204
268,0,174,188
269,0,176,294
270,0,176,318
271,0,176,380
272,1,177,178
273,0,177,364
274,0,178,348
275,0,178,366
276,1,179,232
277,1,180,184
278,0,180,183
279,1,181,193
280,1,182,183
281,0,184,212
282,0,185,206
283,0,185,213
284,0,186,225
285,1,186,226
286,0,188,204
287,0,188,206
288,0,191,217
289,1,191,218
290,1,192,213
291,1,192,220
292,1,193,237
293,1,193,238
294,0,194,207
295,0,195,196
296,0,195,200
297,0,197,219
298,0,197,222
299,1,197,223
300,1,198,199
301,0,199,200
302,1,199,236
303,0,200,218
304,1,200,234
305,0,201,269
306,1,201,253
307,1,202,203
308,1,203,253
309,0,203,209
310,0,204,205
311,1,205,233
312,1,205,211
313,1,206,211
314,0,207,240
315,1,207,242
316,1,207,210
317,0,208,256
318,0,208,279
319,1,208,233
320,0,209,256
321,1,210,244
322,1,211,235
323,0,212,215
324,0,212,219
325,1,213,216
