source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,524a5e13c175d9cf9968b446,江南名宴·创意江浙菜(解放路店),"解放路131号西湖金座二楼（酒店电梯二楼直达门店,楼下有停车场）",浙江省,杭州市,上城区,"(0571)86083788,(0571)86808088",unknown,
baidu,c529d193267b83841fe9991d,杭州中维香溢大酒店·满庭芳中餐厅,解放路108号中维香溢大酒店22楼,浙江省,杭州市,上城区,17858830773,unknown,
baidu,c81a23f54ccc9ec56d3e1b99,昌强餐饮大食堂,解放路131号西湖金座1楼大厅,浙江省,杭州市,上城区,17767174076,unknown,
baidu,28b30812837749a1b75f1e17,小白餐馆,光复路122号附近日新桥弄2号,浙江省,杭州市,上城区,13858107672,unknown,
baidu,b533ea4ad1a4a8404f6d4676,忆杭餐厅(茅廊巷社区店),小营街道佑圣观路丰禾巷55号,浙江省,杭州市,上城区,(0571)86830935,unknown,
baidu,6b1c4ab9e00d6add0782c2c6,新白鹿餐厅(天工艺苑店),解放路91号汇和城3楼,浙江省,杭州市,上城区,(0571)88268899,unknown,
baidu,d5335bcf4a0daae1bb17e792,牛表哥潮汕牛肉·火锅·烤肉(解放路店),"解放路131号（艺龙玺程国际酒店一楼,工商银行斜对面）",浙江省,杭州市,上城区,"(0571)86937586,18030122056",unknown,
baidu,5e35c6ea9233d81494ec8430,宝中宝食府(清泰街店),清泰街224号,浙江省,杭州市,上城区,(0571)87810887,unknown,
baidu,7adbf47299fd0ca28f55ec60,吉祥馄饨(解放路店),解放路96-2号,浙江省,杭州市,上城区,(0571)85384871,unknown,
baidu,bb3112ff60c44fb9bea2403b,一家素·创意料理自助(解放路店),"解放路99号二楼（浙二医院斜对面,老百姓大药房隔壁）",浙江省,杭州市,上城区,(0571)86732159,unknown,
baidu,434cebaccd62c1402902e1fb,南山人家(中财店),解放路187号中河中路辅路与缸儿巷交叉口80米,浙江省,杭州市,上城区,(0571)88158377,unknown,
baidu,fb71868b1ca88ec8e215f934,丹粤閣·顺德菜,清泰街456号,浙江省,杭州市,上城区,(0571)85302181,unknown,
baidu,7fc1e9af95a3b3ea9b68b488,luckincoffee瑞幸咖啡(西湖金座店),解放路131号西湖金座大酒店底商,浙江省,杭州市,上城区,4000100100,unknown,
baidu,a596f6670e5826e4b04c4918,小钵头甜酒酿(丰乐苑店),上城区佑圣观路茅廊巷农贸市场78号摊位,浙江省,杭州市,上城区,13357152596,unknown,
baidu,2a74c7697975021a72210bf5,嵊州小笼包牛肉面,杭州市上城区解放路金钱大厦北侧约30米,浙江省,杭州市,上城区,,unknown,
baidu,859f75e75b5e637fcac3dbb7,黄记老厨·老杭帮私房菜(清泰街店),清泰街527-6号（方便停车）,浙江省,杭州市,上城区,13758202230,unknown,
baidu,e6c9942eed2db5b21811d51f,九芝斋(解放路店),佑圣观路218号（解放路109号）,浙江省,杭州市,上城区,(0571)87064572,unknown,
baidu,afd264968a258145931fc9a4,知味观(天工艺苑店),小营街道解放路91-93号(天工艺苑旁),浙江省,杭州市,上城区,(0571)56758051,unknown,
baidu,fc4e5b99be540d41e31103e8,锅美丽水煮鱼(清泰街店),清泰街527号,浙江省,杭州市,上城区,13482818617,unknown,
baidu,d07331341cedeaa2c61b7508,别饮居餐厅(邮电路店),湖滨街道邮电路46-1号(近浣纱路),浙江省,杭州市,上城区,(0571)87035122,unknown,
baidu,af24f87b0c8c6a44081cc747,严陵嫂·建德豆腐包(解放路店),解放路96号,浙江省,杭州市,上城区,18698578858,unknown,
baidu,e5d402d1a2100dfa1b11d56d,新开元(解放路店),浙江省杭州市上城区解放路142号,浙江省,杭州市,上城区,"(0571)87016868,(0571)87022222",unknown,
