node_id_1,node_id_2,edge_id
0,6,0
1,2,1
1,173,2
2,25,3
2,1,4
2,10,5
2,126,6
2,201,7
3,199,8
3,13,9
4,84,10
4,24,11
4,37,12
5,205,13
5,162,14
5,62,15
6,17,16
6,10,17
6,0,18
7,168,19
7,156,20
7,8,21
8,162,22
8,14,23
8,7,24
9,147,25
9,146,26
9,16,27
10,6,28
10,2,29
10,19,30
10,163,31
11,205,32
11,24,33
11,15,34
11,14,35
12,62,36
12,17,37
12,61,38
13,196,39
13,16,40
13,3,41
14,159,42
14,8,43
14,160,44
14,11,45
15,11,46
15,63,47
15,39,48
16,167,49
16,13,50
16,195,51
16,9,52
17,12,53
17,6,54
17,60,55
18,137,56
18,171,57
19,25,58
19,128,59
19,10,60
20,21,61
20,67,62
21,145,63
21,20,64
21,94,65
22,30,66
22,197,67
23,142,68
23,87,69
23,139,70
24,4,71
24,84,72
24,11,73
25,19,74
25,2,75
25,26,76
25,139,77
26,27,78
26,25,79
26,125,80
27,28,81
27,200,82
27,26,83
28,29,84
28,32,85
28,27,86
29,31,87
29,28,88
29,125,89
30,22,90
30,198,91
30,142,92
31,140,93
31,29,94
31,32,95
32,31,96
32,197,97
32,28,98
33,163,99
33,34,100
33,53,101
33,42,102
34,33,103
34,45,104
34,126,105
35,203,106
35,36,107
35,48,108
36,47,109
36,38,110
36,35,111
37,38,112
37,203,113
37,4,114
38,36,115
38,37,116
38,84,117
39,84,118
39,65,119
39,15,120
40,65,121
40,44,122
40,41,123
41,47,124
41,44,125
41,40,126
42,43,127
42,44,128
42,49,129
42,33,130
43,50,131
43,42,132
43,52,133
44,42,134
44,41,135
44,40,136
44,45,137
45,44,138
45,46,139
45,34,140
46,45,141
46,48,142
46,47,143
47,41,144
47,36,145
47,46,146
48,46,147
48,35,148
48,126,149
49,42,150
49,64,151
49,65,152
50,43,153
50,61,154
50,64,155
51,54,156
51,57,157
51,56,158
52,43,159
52,54,160
52,53,161
53,33,162
53,55,163
53,52,164
54,52,165
54,51,166
54,55,167
55,56,168
55,53,169
55,54,170
56,55,171
56,58,172
56,51,173
57,51,174
57,59,175
57,58,176
58,56,177
58,60,178
58,57,179
59,57,180
59,60,181
59,61,182
60,59,183
60,58,184
60,17,185
61,12,186
61,59,187
61,50,188
62,12,189
62,5,190
