FID,label,node_start,node_end
0,1,0,1
1,1,0,5
2,0,0,3
3,1,1,2
4,1,2,3
5,0,2,4
6,0,3,6
7,1,3,7
8,0,3,8
9,1,4,9
10,1,4,7
11,0,4,28
12,0,5,41
13,0,5,6
14,0,6,43
15,0,6,44
16,1,6,45
17,1,7,31
18,0,7,32
19,0,8,12
20,0,8,13
21,0,10,11
22,0,10,14
23,0,10,15
24,0,12,16
25,0,12,17
26,0,13,24
27,0,13,25
28,0,15,22
29,0,15,23
30,0,16,18
31,0,16,19
32,0,17,20
33,0,17,21
34,0,19,25
35,0,19,40
36,0,20,37
37,0,20,38
38,0,23,29
39,0,23,30
40,0,25,48
41,0,26,27
42,0,26,37
43,0,26,40
44,0,28,32
45,1,28,60
46,0,29,33
47,0,29,39
48,0,30,36
49,0,30,34
50,0,32,45
51,0,32,63
52,0,34,35
53,0,34,56
54,0,37,49
55,0,40,55
56,0,41,42
57,0,41,43
58,0,42,54
59,0,42,46
60,1,43,46
61,1,43,47
62,1,45,47
63,1,45,65
64,0,46,79
65,0,47,79
66,1,47,83
67,0,48,50
68,0,48,51
69,0,49,55
70,0,49,69
71,0,50,67
72,0,50,68
73,0,51,61
74,0,51,62
75,1,52,53
76,1,52,57
77,1,53,54
78,0,54,57
79,0,55,68
80,0,58,59
81,0,60,63
82,1,60,64
83,1,63,65
84,1,63,66
85,1,64,82
86,1,65,83
87,0,65,84
88,1,66,87
89,1,66,88
90,0,68,72
91,0,69,70
92,0,69,71
93,0,70,76
94,0,70,71
95,0,71,77
96,0,72,73
97,0,72,76
98,0,74,75
99,0,74,78
100,0,74,81
101,0,76,77
102,0,77,80
103,1,79,93
104,0,79,94
105,1,81,92
106,1,81,93
107,1,82,88
108,1,82,98
109,0,83,85
110,1,83,86
111,1,84,118
112,1,84,113
113,1,84,125
114,0,85,94
115,1,85,95
116,1,86,110
117,1,86,111
118,1,87,89
119,0,87,90
120,1,87,91
121,1,88,99
122,0,88,100
123,0,90,103
124,1,90,115
125,0,90,109
126,1,93,106
127,1,93,96
128,1,94,96
129,0,94,97
130,1,95,110
131,1,95,97
132,1,95,116
133,1,96,107
134,1,96,108
135,1,97,122
136,0,98,100
137,1,98,101
138,0,99,105
139,0,99,114
140,0,100,102
141,0,101,101
142,0,102,114
143,0,102,119
144,0,102,120
145,0,104,105
146,1,105,109
147,1,106,128
148,0,106,107
149,0,107,128
150,0,107,129
151,1,108,127
152,1,108,138
153,0,109,121
154,0,109,118
155,0,110,112
156,1,111,112
157,1,111,113
158,1,112,116
159,1,112,117
160,1,113,117
161,1,113,130
162,0,114,118
163,1,116,122
164,1,116,124
165,1,117,124
166,0,117,131
167,1,118,119
168,1,119,123
169,1,120,132
170,1,120,135
171,1,122,127
172,1,123,125
173,0,123,126
174,1,124,127
175,0,124,133
176,0,125,130
177,1,127,136
178,0,129,140
179,0,130,131
180,0,131,133
181,1,131,134
182,0,133,136
183,1,133,137
184,1,134,137
185,1,136,138
186,1,136,139
187,1,138,139
