source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,38bb4770be4d6491e8e582a0,神龙品鸽店(杏花苑店),健康路52号,新疆维吾尔自治区,阿克苏地区,库车市,13565162542,unknown,
baidu,56abf228ff238e161df74d6f,嘉悦北京烤鸭,杏花苑48号楼119号商铺,新疆维吾尔自治区,阿克苏地区,库车市,,unknown,
baidu,fbd1cbb82b79ca3185420e49,太古里美食广场,新疆维吾尔自治区阿克苏地区库车市五一路与文化路交汇处友好时尚购物中心4楼,新疆维吾尔自治区,阿克苏地区,库车市,,unknown,
baidu,ad1bfa10ca950ee30782c2e7,尚品海之宴,文化东路太古里美食广场9号楼2层,新疆维吾尔自治区,阿克苏地区,库车市,(0997)7990099,unknown,
baidu,a121fc31b155a379e856fab0,蜀南小镇(时尚小区店),五一中路川渝大酒店三楼,新疆维吾尔自治区,阿克苏地区,库车市,(0997)7799777,unknown,
baidu,991b813d9790f8f13010afa9,金柱大盘鸡(幸福城店),阿克苏地区库车市幸福城商住小区5幢1层111号、112号商铺,新疆维吾尔自治区,阿克苏地区,库车市,18009971402,unknown,
baidu,0587a85796c91a3456bfff81,悦晟餐厅,阿克苏地区库车市光明路库车县第八小学西侧约40米,新疆维吾尔自治区,阿克苏地区,库车市,,unknown,
baidu,7a8f084f6dbcb0396849f361,肯德基(库车店),文化中路160号,新疆维吾尔自治区,阿克苏地区,库车市,"(0997)7126699,15569162505",unknown,
baidu,b1a0defa86ddfd70bbbd637f,宣德火锅(库车店),幸福社区万华酒店2幢2层B201号商铺,新疆维吾尔自治区,阿克苏地区,库车市,(0997)6686000,unknown,
baidu,1cd2ed28e45f438141d63e4e,小红帽烧烤(文化东路店),文化东路108号杏花苑小区48幢108号商铺,新疆维吾尔自治区,阿克苏地区,库车市,18083914078,unknown,
baidu,724e72cac24aa691b13c817a,好厨匠辣椒炒肉,时尚小区东北,新疆维吾尔自治区,阿克苏地区,库车市,19999739888,unknown,
baidu,e9c54529041210e0593ac8c4,蓉城老火锅(金桥太古里店),太古里商业广场1栋2层204商铺,新疆维吾尔自治区,阿克苏地区,库车市,(0997)7770111,unknown,
baidu,55199bb0f8d898bbb45f1eea,老机场新疆菜(胜利城小区店),胜利路胜利城小区西南侧,新疆维吾尔自治区,阿克苏地区,库车市,"(0997)7770888,15899322399",unknown,
baidu,7565a4cb1b6dd5eeb04c49c7,新川苑饭店,天山中路金都景苑小区底商二楼,新疆维吾尔自治区,阿克苏地区,库车市,(0997)7123178,unknown,
baidu,24886d688de84bfe0782c2e1,姥家大锅台(库车幸福城店),健康北路幸福城小区西门106商铺底商（宜尚酒店对面）,新疆维吾尔自治区,阿克苏地区,库车市,19390578955,unknown,
baidu,e36c4382c76a4f34ed74f8c3,古莱莱草湖果木炭馕坑肉,新城街道文化东路128号(五一中路与文化东路交汇处东南角),新疆维吾尔自治区,阿克苏地区,库车市,18109978188,unknown,
baidu,e46c6b67e34881f01ef74dde,龟兹火爆辣子鸡,阿克苏地区库车市文化东路时尚小区东侧约110米,新疆维吾尔自治区,阿克苏地区,库车市,15999412389,unknown,
baidu,e6cc4f2e536514529868b415,吃虾趣(幸福城店),银河路库车丽橙装饰对面,新疆维吾尔自治区,阿克苏地区,库车市,15886828111,unknown,
baidu,2e4085bc63172bea8415413c,育英餐厅,阿克苏地区库车市光明路库车县第八小学西侧约40米,新疆维吾尔自治区,阿克苏地区,库车市,19809978358,unknown,
baidu,d2eee09158618ae39b68b48c,纳再把格美食城,阿克苏地区库车市健康北路库车完美宾馆东北侧约100米,新疆维吾尔自治区,阿克苏地区,库车市,"13201174535,18096970412",unknown,
baidu,ba45d3c252c3aa3a715e8014,和合冷饮,文化东路杏花苑小区48号楼1层133号商铺,新疆维吾尔自治区,阿克苏地区,库车市,"18997676776,18997876565",unknown,
baidu,3fcb73a3f58d131443ab9a18,百富烤霸烤鸡汉堡(库车友好店),五一路与文化路交汇处友好时尚购物中心一楼,新疆维吾尔自治区,阿克苏地区,库车市,(0997)7133189,unknown,
baidu,c1d72248f6218eb70869d960,渔夫纸包鱼芋儿鸡,杏花苑社区金天大厦一层106号商铺,新疆维吾尔自治区,阿克苏地区,库车市,18399573358,unknown,
baidu,ad690fc07216d1a6b04c4912,润酷RK·火锅串串香(库车店),伊西哈拉镇银河路幸福城小区二号商铺,新疆维吾尔自治区,阿克苏地区,库车市,13279078866,unknown,
baidu,bda78cbe5d552d962b201aad,德克士(库车时运店),新城街道幸福社区文化路与五一路交叉口东北侧库车中源汇城市生活广场B幢,新疆维吾尔自治区,阿克苏地区,库车市,(0997)7131166,unknown,
baidu,bea6ba871117906d72455b51,锦祥羊肉汤,新城街道杏花苑社区文化中路金天大厦1栋1层110号,新疆维吾尔自治区,阿克苏地区,库车市,15393669203,unknown,
baidu,5f1adcdf42dca55d38e4a616,槐月伊犁手工冰淇淋,文化东路17-15号,新疆维吾尔自治区,阿克苏地区,库车市,,unknown,
baidu,35c24ab60bb584e935b06c60,邻里香豆花饭,新城街道杏花苑社区文化路以南、五一路以东时尚小区9幢1层106号商铺,新疆维吾尔自治区,阿克苏地区,库车市,,unknown,
baidu,fba766d7f16413cf9ff7797d,曼立客中西餐原料,阿克苏地区库车市银河路库车县第八小学东南侧约90米,新疆维吾尔自治区,阿克苏地区,库车市,,unknown,
baidu,858230e0ac93e42202294fc7,南湖夜市,天山中路100号,新疆维吾尔自治区,阿克苏地区,库车市,,unknown,
baidu,37e8e0300737652bc42ba1d8,北木南烤肉和酒(库车店),健康路御景湾水岸天街206,新疆维吾尔自治区,阿克苏地区,库车市,18609970731,unknown,
baidu,e12e182b66dc072f4afd3f5b,N多寿司(幸福城店),幸福社区幸福城商住小区第4幢一层125号商铺,新疆维吾尔自治区,阿克苏地区,库车市,"(0997)7231666,18299998191",unknown,
baidu,657ed83b09e5651fd5851f4c,大河宴·椒麻鱼火锅(库车胜利路店),瑞嘉华府1号楼一层10号商铺,新疆维吾尔自治区,阿克苏地区,库车市,(0997)7306111,unknown,
baidu,6bbfb404c58635ee57bffff3,虾工坊(杏花苑店),健康路杏花苑,新疆维吾尔自治区,阿克苏地区,库车市,15999212297,unknown,
baidu,27bd1a61078c763603ec0164,溢香阁大盘鸡(健康路店),健康路杏花苑东门南行50米,新疆维吾尔自治区,阿克苏地区,库车市,18299996509,unknown,
baidu,cc302cc60a2d14ccdeee8b29,康家大盘鸡(健康路店),健康路丝路明珠2号楼二楼,新疆维吾尔自治区,阿克苏地区,库车市,13779435536,unknown,
baidu,7b4edbd91e93bb720189729c,乌孜古风味凉皮旗舰店(库车店),天山路北侧餐饮娱乐商业街A座1层136-137号商铺,新疆维吾尔自治区,阿克苏地区,库车市,(0997)7772324,unknown,
baidu,96a77a762c49cc1f601809cd,牛赛宫丸子汤店(幸福城店),幸福社区幸福城商住小区4幢1层123号商铺,新疆维吾尔自治区,阿克苏地区,库车市,15999220209,unknown,
baidu,2cae849b2a3f236aacee7a46,陈红早餐店·新疆特色菜,五一北路凯旋早市1幢2层203号,新疆维吾尔自治区,阿克苏地区,库车市,,unknown,
