node_id_1,node_id_2,edge_id
0,13,0
1,166,1
1,26,2
2,90,3
2,27,4
2,88,5
3,30,6
3,173,7
4,120,8
4,224,9
4,96,10
4,60,11
5,15,12
5,55,13
5,22,14
5,116,15
6,7,16
6,95,17
7,205,18
7,204,19
7,6,20
8,32,21
8,174,22
9,12,23
9,161,24
10,0,25
11,9,26
12,10,27
13,11,28
14,15,29
14,122,30
14,23,31
15,5,32
15,14,33
15,123,34
15,124,35
16,110,36
16,144,37
16,111,38
16,108,39
17,82,40
17,23,41
18,27,42
18,19,43
18,164,44
19,18,45
19,72,46
19,91,47
20,72,48
20,142,49
20,132,50
20,70,51
21,131,52
21,94,53
21,127,54
22,5,55
22,131,56
22,125,57
22,124,58
23,25,59
23,17,60
24,14,61
24,25,62
25,23,63
26,177,64
27,18,65
27,2,66
27,87,67
28,88,68
28,27,69
29,15,70
29,123,71
30,3,72
30,32,73
30,34,74
30,175,75
31,29,76
31,17,77
31,54,78
32,8,79
32,42,80
33,12,81
33,178,82
34,177,83
34,30,84
34,79,85
35,36,86
36,40,87
36,35,88
36,187,89
37,38,90
37,201,91
37,200,92
38,39,93
38,37,94
38,74,95
38,78,96
39,38,97
39,44,98
39,47,99
39,41,100
40,36,101
40,49,102
40,79,103
41,187,104
41,42,105
41,43,106
41,39,107
42,41,108
42,32,109
42,44,110
43,41,111
43,191,112
43,188,113
44,78,114
44,39,115
44,42,116
45,46,117
45,74,118
45,70,119
46,45,120
46,47,121
46,192,122
47,39,123
47,46,124
47,73,125
48,49,126
49,190,127
49,40,128
49,186,129
49,48,130
50,195,131
51,69,132
51,76,133
51,197,134
52,140,135
52,195,136
52,197,137
52,130,138
53,58,139
54,116,140
54,229,141
54,31,142
55,5,143
55,125,144
55,117,145
56,117,146
56,230,147
56,229,148
57,196,149
57,58,150
57,60,151
58,125,152
58,120,153
58,57,154
58,118,155
58,53,156
59,118,157
59,228,158
59,230,159
60,4,160
60,57,161
60,61,162
60,218,163
61,62,164
61,219,165
61,60,166
61,77,167
62,61,168
62,68,169
62,76,170
62,80,171
63,64,172
64,63,173
64,209,174
64,213,175
64,75,176
65,215,177
65,206,178
65,209,179
66,211,180
66,198,181
66,69,182
67,211,183
67,68,184
67,213,185
67,76,186
68,62,187
68,214,188
68,67,189
69,132,190
69,51,191
69,66,192
70,71,193
70,20,194
70,45,195
70,198,196
71,70,197
71,72,198
71,185,199
72,20,200
72,71,201
72,19,202
73,47,203
73,192,204
73,191,205
74,199,206
74,45,207
74,38,208
75,200,209
75,203,210
75,64,211
76,67,212
76,77,213
76,51,214
76,62,215
77,76,216
77,61,217
77,197,218
78,44,219
78,38,220
78,204,221
79,40,222
79,34,223
80,62,224
80,217,225
80,215,226
81,220,227
81,225,228
81,228,229
82,83,230
83,31,231
84,86,232
84,85,233
85,165,234
85,84,235
86,158,236
86,87,237
87,85,238
87,86,239
88,24,240
88,28,241
89,90,242
90,151,243
90,2,244
90,89,245
91,93,246
91,19,247
91,92,248
92,92,249
92,92,250
92,91,251
93,91,252
93,124,253
93,94,254
94,21,255
94,142,256
94,93,257
95,6,258
96,4,259
96,220,260
96,97,261
97,223,262
97,96,263
97,224,264
97,221,265
98,99,266
99,150,267
99,149,268
99,98,269
100,102,270
101,102,271
102,101,272
102,100,273
102,103,274
103,104,275
103,102,276
103,105,277
104,103,278
105,103,279
105,106,280
105,107,281
106,105,282
107,147,283
107,149,284
107,105,285
108,147,286
108,16,287
109,110,288
110,16,289
110,109,290
111,113,291
111,16,292
112,113,293
112,170,294
112,171,295
113,112,296
113,111,297
113,143,298
113,144,299
114,115,300
115,114,301
115,171,302
116,54,303
116,117,304
116,5,305
117,55,306
117,56,307
117,116,308
117,118,309
118,58,310
118,59,311
118,117,312
118,119,313
119,118,314
119,220,315
119,120,316
119,228,317
120,58,318
120,4,319
120,119,320
121,122,321
122,121,322
122,14,323
122,150,324
123,28,325
123,124,326
124,93,327
124,15,328
124,22,329
124,123,330
125,55,331
125,58,332
125,22,333
126,127,334
126,128,335
126,131,336
127,21,337
127,137,338
127,126,339
128,129,340
128,126,341
128,136,342
129,130,343
129,128,344
129,133,345
130,129,346
130,52,347
130,196,348
131,22,349
131,21,350
131,126,351
132,20,352
132,69,353
132,139,354
133,136,355
133,140,356
133,134,357
133,129,358
134,133,359
134,141,360
134,135,361
135,136,362
135,134,363
135,138,364
136,137,365
136,133,366
136,135,367
136,128,368
137,127,369
137,136,370
137,138,371
138,137,372
138,135,373
138,139,374
138,142,375
139,132,376
139,138,377
139,141,378
140,133,379
140,52,380
140,141,381
141,140,382
141,134,383
141,139,384
142,94,385
142,20,386
142,138,387
143,113,388
144,16,389
144,146,390
144,113,391
145,146,392
146,144,393
146,170,394
146,145,395
146,147,396
147,107,397
147,146,398
147,108,399
148,149,400
149,99,401
149,107,402
149,148,403
150,122,404
150,99,405
150,151,406
151,153,407
151,90,408
151,150,409
152,153,410
153,154,411
153,151,412
153,152,413
154,170,414
154,153,415
154,156,416
155,11,417
155,169,418
156,154,419
156,169,420
156,157,421
157,159,422
157,160,423
157,156,424
158,2,425
158,160,426
159,157,427
160,157,428
160,158,429
160,168,430
161,178,431
161,167,432
162,163,433
163,162,434
163,164,435
163,165,436
164,163,437
164,18,438
164,181,439
165,26,440
165,163,441
166,84,442
166,167,443
167,168,444
167,161,445
167,166,446
168,167,447
168,169,448
168,160,449
169,155,450
169,168,451
169,171,452
169,156,453
170,146,454
170,154,455
170,112,456
171,169,457
171,115,458
171,112,459
171,172,460
172,155,461
172,171,462
173,179,463
174,3,464
174,173,465
175,30,466
176,30,467
176,179,468
177,34,469
177,176,470
178,1,471
179,33,472
180,181,473
181,186,474
181,164,475
181,180,476
182,183,477
183,182,478
183,185,479
183,189,480
184,191,481
185,192,482
185,71,483
185,183,484
186,181,485
186,49,486
186,189,487
187,41,488
187,36,489
187,188,490
188,43,491
188,190,492
188,187,493
189,186,494
189,183,495
189,190,496
190,188,497
190,49,498
190,189,499
191,43,500
191,73,501
191,184,502
192,185,503
192,73,504
192,46,505
193,194,506
194,198,507
194,199,508
194,193,509
195,52,510
195,50,511
195,196,512
196,57,513
196,130,514
196,195,515
197,51,516
197,52,517
197,77,518
198,66,519
198,194,520
198,70,521
199,74,522
199,200,523
199,194,524
200,199,525
200,75,526
200,37,527
201,204,528
201,37,529
201,203,530
202,203,531
203,75,532
203,202,533
203,205,534
203,201,535
204,201,536
204,78,537
204,7,538
205,206,539
205,7,540
205,203,541
206,205,542
206,65,543
206,208,544
207,208,545
208,207,546
208,206,547
208,209,548
209,64,549
209,65,550
209,208,551
210,211,552
211,66,553
211,67,554
211,210,555
212,213,556
213,64,557
213,67,558
213,212,559
213,214,560
214,68,561
214,215,562
214,213,563
215,214,564
215,65,565
215,80,566
216,217,567
217,216,568
217,80,569
217,219,570
218,224,571
218,60,572
218,219,573
219,61,574
219,217,575
219,218,576
220,96,577
220,81,578
220,119,579
220,221,580
221,220,581
221,222,582
221,97,583
221,225,584
222,221,585
222,223,586
222,227,587
223,97,588
223,226,589
223,222,590
224,4,591
224,226,592
224,97,593
224,218,594
225,227,595
225,81,596
225,221,597
226,224,598
226,223,599
227,225,600
227,222,601
228,81,602
228,59,603
228,119,604
229,56,605
229,54,606
230,59,607
230,56,608
