source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,e8f3b4d7fa9e292eb4265564,古兰古阆穆林清真餐厅,内东街状元坊2楼,四川省,南充市,阆中市,(0817)6332333,unknown,
baidu,3cd2b02fe87b3e742b3a9f4a,马记包子店(关王庙街店),文昌宫街39号,四川省,南充市,阆中市,"(0817)6960700,18783937630",unknown,
baidu,2443c0cf20fc6614c9c3db4f,小渔楼,双栅子街132号,四川省,南充市,阆中市,(0817)6350533,unknown,
baidu,86062f36bcbc8d3fee74f859,姜子牙美食城(文昌宫店),文昌宫街181号,四川省,南充市,阆中市,(0817)6238388,unknown,
baidu,670e0b48f810df3608f5eba2,聚龙砂锅居(阆中店),杨天井街108号,四川省,南充市,阆中市,13388236660,unknown,
baidu,04bdf4a3f816224c354aae23,春怡火锅(中华阆天城店),阆水中路194号,四川省,南充市,阆中市,(0817)6222612,unknown,
baidu,0481c0e71fe9b813d8d891f4,古城土菜馆,阆中古城上华街32号华光楼洞口,四川省,南充市,阆中市,18990820055,unknown,
baidu,3a59ae2a6f7a619c4c3a596f,阆中回乡源,王爷庙街92号,四川省,南充市,阆中市,(0817)6224266,unknown,
baidu,8115dc1dfb76ab7a38221cdb,古茗(东方广场店),东方广场北京街105号,四川省,南充市,阆中市,15708175782,unknown,
baidu,be9aeecde6312ee75abbbcb9,何氏家常菜馆(关王庙街店),农业银行阆中东风路分理处南门西北60米,四川省,南充市,阆中市,13084338111,unknown,
baidu,5388caa926c9f4f590114c86,银鲜牛肉面(东街小巷店),东街小巷47号,四川省,南充市,阆中市,13508090563,unknown,
baidu,7d816ad2c335fd66b320a80f,毛家巷老字号牛肉面,毛家巷69号,四川省,南充市,阆中市,15328860305,unknown,
baidu,86f37d5ec13d1df02cb908d4,刘老五鲜牛肉包子铺,礼拜寺街112号,四川省,南充市,阆中市,"13540592662,13990701228",unknown,
baidu,5b73efe219642d4bbda240ef,御品烤鸭店(文昌宫街店),文昌宫街10号,四川省,南充市,阆中市,17683236179,unknown,
baidu,81e20cd2ec2870051fe9992e,一品香烧烤(阆中店),白果树街81号(一品香烧烤),四川省,南充市,阆中市,(0817)6491581,unknown,
baidu,415b7710b1f3fc2c7069d3a6,李仙来川式烤肉(古城店),内东街七栋二楼,四川省,南充市,阆中市,(0817)6659558,unknown,
baidu,479b79d72faf0d52d8eced0c,茗洋鲜餐馆,关王庙街17号门面(烟草公司对面),四川省,南充市,阆中市,13890828598,unknown,
baidu,48864e7ea6fce72a72455b34,蜜雪冰城(阆中市东方广场店),郎家拐街东方广场北京街口,四川省,南充市,阆中市,13198829662,unknown,
baidu,36a4ddd12968629177026998,红筷子牛肉面,毛家巷21号,四川省,南充市,阆中市,13038204776,unknown,
baidu,7c72f198d26edd56cc06a4b3,蒋炸酱(内东街店),内东街93号附101号,四川省,南充市,阆中市,18086902557,unknown,
baidu,3a39e3c43417ca61e315f95a,东娃火锅(五丰商厦店),东街小巷46号2层,四川省,南充市,阆中市,13350265857,unknown,
baidu,8f7992642be116c8118824c3,麦当劳(阆中内东街店),内东街22号,四川省,南充市,阆中市,(0817)7951622,unknown,
baidu,001e8dc745397639d518b7cc,晓秧锅鲜货火锅·重庆老字号(阆中店),官菜园街俊豪阆中购物中心A栋1层1-11号,四川省,南充市,阆中市,(0817)6272566,unknown,
baidu,1a707bdcb737ba15fbf0cbf8,华莱士·全鸡汉堡(阆中保宁镇店),东坛井街2号,四川省,南充市,阆中市,(0817)6222412,unknown,
baidu,8be3c9450731d522343a714c,焱火冒菜,白果树街3号,四川省,南充市,阆中市,13208238015,unknown,
baidu,2ba587834d593e74d3ff2349,邓氏晶晨灌汤包(白果树街店),白果树街49号,四川省,南充市,阆中市,13989181462,unknown,
baidu,97b57c4ba87f2e4352e5c51f,南充米粉(天上宫街店),东坛井2号,四川省,南充市,阆中市,18781745666,unknown,
baidu,e3bd871cd67564f000ec011e,林华火锅米线,保宁街道东坛井街73号(中国建设银行斜对面),四川省,南充市,阆中市,13458279174,unknown,
baidu,40bcb7f253c9d354d3ff2341,书亦烧仙草(东方广场店),东方广场北京街4-105号,四川省,南充市,阆中市,4000857085,unknown,
baidu,3a2b5162d6eb7c0e5f0d02b4,阆之味牛肉面(杨天井店),杨天井街34号,四川省,南充市,阆中市,17501129920,unknown,
baidu,ddb1e23ae1a9bdf6a21de903,德克士(阆中店),东方广场4201,四川省,南充市,阆中市,(0817)6226488,unknown,
baidu,f42c41929e5b86fd734b87ae,廖记正宗军屯锅魁,南充市阆中市杨天井街阆师附小北侧,四川省,南充市,阆中市,,unknown,
baidu,b41c8cdcd784e118ca09f0b9,正新鸡排·炸鸡烧烤(文昌店),太平寺街18号,四川省,南充市,阆中市,15983763694,unknown,
baidu,80c4092076bf990ddbeced57,兄弟炸酱,太平寺街78号,四川省,南充市,阆中市,15181470288,unknown,
baidu,cce258973ca627e7220220f6,红高粱烤坊,四川省南充市阆中市杨天井街8号,四川省,南充市,阆中市,,unknown,
baidu,72deca3bbf446993fb2d61f6,金贝儿(内东街店),内东街3号古城东门入口,四川省,南充市,阆中市,(0817)6278222,unknown,
baidu,83324f7c0b2d887e3686f41f,陈多多·新式豆腐·鲜果茶(阆中东方广场店),东方广场3栋128号,四川省,南充市,阆中市,17882678808,unknown,
baidu,a5b55d974968e6d814c8f6d3,火道佳旋转小火锅,四川省南充市阆中市东方广场台北街123号,四川省,南充市,阆中市,13990749905,unknown,
baidu,634a3b032904bec89ff779dd,王肥肠(土酸菜干饭),四川省南充市阆中市保宁街道毛家巷41号,四川省,南充市,阆中市,13228263815,unknown,
baidu,d270c903e67ac6c12811d12b,华珍牛肉(大东街老店),四川省南充市阆中市上华街18号(华光楼脚下),四川省,南充市,阆中市,18080301039,unknown,
baidu,a526e3006594bf2459bbbc6b,雷仕动物奶油生日蛋糕(天上宫街店),天上宫街108号,四川省,南充市,阆中市,(0817)6226600,unknown,
