FID,label,node_start,node_end
0,1,0,1
1,0,0,19
2,0,0,11
3,0,2,3
4,1,2,12
5,1,4,5
6,0,4,10
7,0,4,11
8,0,6,7
9,0,8,9
10,0,10,20
11,0,10,51
12,0,11,20
13,0,11,21
14,0,12,50
15,0,13,14
16,0,13,32
17,0,13,22
18,1,15,16
19,0,15,23
20,0,15,27
21,0,17,18
22,0,17,45
23,0,17,57
24,0,20,38
25,0,21,43
26,0,21,87
27,0,22,23
28,0,22,39
29,1,23,24
30,1,25,26
31,1,26,46
32,1,26,47
33,1,28,29
34,1,28,31
35,1,29,30
36,1,30,72
37,1,30,105
38,0,31,72
39,0,32,73
40,1,33,34
41,1,33,52
42,1,34,35
43,0,35,72
44,1,35,52
45,1,35,127
46,1,36,37
47,1,36,55
48,1,36,56
49,1,40,41
50,1,41,42
51,1,42,86
52,1,43,44
53,1,43,74
54,1,46,63
55,0,47,61
56,0,47,63
57,0,48,49
58,0,48,64
59,1,48,66
60,1,52,129
61,0,52,135
62,1,53,54
63,1,53,66
64,1,53,71
65,1,55,59
66,1,55,58
67,1,55,60
68,1,58,59
69,1,58,64
70,1,59,60
71,0,61,62
72,0,62,71
73,0,62,114
74,1,62,115
75,1,63,103
76,1,63,104
77,1,64,65
78,1,66,67
79,1,68,69
80,0,68,77
81,1,68,78
82,1,69,70
83,1,70,88
84,1,70,99
85,0,71,77
86,1,72,106
87,0,73,125
88,1,73,83
89,1,73,144
90,0,75,76
91,0,77,98
92,0,78,154
93,1,78,155
94,0,79,80
95,1,81,82
96,1,81,83
97,1,82,85
98,1,82,91
99,0,82,95
100,1,83,101
101,0,83,145
102,1,84,85
103,1,85,86
104,1,86,90
105,1,86,91
106,1,88,89
107,1,89,107
108,0,90,92
109,1,90,93
110,1,90,94
111,0,91,95
112,0,91,96
113,0,91,92
114,0,91,93
115,0,92,94
116,0,92,95
117,0,94,96
118,0,94,95
119,0,94,97
120,0,95,100
121,0,95,101
122,0,95,102
123,0,96,105
124,0,97,100
125,1,99,107
126,0,99,155
127,0,99,175
128,1,101,157
129,0,102,149
130,0,102,189
131,0,103,125
132,0,103,126
133,1,104,118
134,0,104,142
135,0,105,122
136,0,105,138
137,0,106,138
138,1,106,172
139,0,108,109
140,1,108,139
141,0,110,111
142,0,110,139
143,0,110,141
144,1,112,113
145,0,112,133
146,1,112,134
147,1,114,118
148,0,114,119
149,1,115,116
150,0,115,143
151,0,116,117
152,1,116,141
153,1,118,131
154,0,119,131
155,0,119,156
156,0,120,121
157,0,120,148
158,0,120,149
159,0,123,124
160,0,123,150
161,1,123,152
162,1,125,136
163,0,126,142
164,1,126,176
165,1,127,172
166,1,127,135
167,1,128,129
168,1,128,130
169,1,129,132
170,1,130,132
171,1,131,164
172,1,131,173
173,1,132,198
174,0,133,137
175,0,133,134
176,1,134,151
177,1,135,198
178,1,136,208
179,1,136,144
180,1,139,140
181,0,140,141
182,1,140,151
183,0,142,164
184,0,143,183
185,1,143,184
186,1,144,214
187,0,145,219
188,0,145,249
189,1,145,250
190,0,146,147
191,0,146,235
192,0,146,236
193,0,148,165
194,1,148,166
195,0,149,179
196,1,151,153
197,1,152,153
198,1,152,160
199,0,152,161
200,0,153,158
201,1,153,159
202,1,155,178
203,1,156,191
204,1,156,173
205,1,157,209
206,1,157,210
207,1,158,159
208,1,159,167
209,1,159,169
210,1,159,170
211,0,160,162
212,1,160,163
213,0,163,170
214,0,164,177
215,0,165,166
216,0,165,174
217,0,166,185
218,1,167,168
219,1,167,169
220,1,168,171
221,1,172,190
222,0,173,177
223,1,175,188
224,0,175,193
225,1,176,177
226,1,176,208
227,1,177,201
228,1,178,184
229,1,178,188
230,0,179,180
231,0,179,215
232,0,181,182
233,1,181,194
234,0,181,195
235,1,184,191
236,1,185,186
237,0,185,187
238,1,187,196
239,0,187,197
240,1,188,192
241,0,188,211
242,1,190,220
243,0,190,221
244,1,191,192
245,1,192,201
246,0,193,238
247,0,193,239
248,0,193,240
249,0,198,213
250,0,199,200
251,0,199,206
252,0,199,216
253,1,201,212
254,0,202,203
255,0,202,204
256,0,202,216
257,0,204,205
258,0,204,222
259,0,206,207
260,0,206,216
261,1,208,212
262,1,209,219
263,0,209,220
264,1,211,247
265,1,211,246
266,1,211,263
267,1,211,264
268,1,212,246
269,0,213,274
270,0,213,275
271,1,214,247
272,1,214,246
273,1,215,217
274,0,215,218
275,1,219,243
276,1,220,228
277,0,221,258
278,0,221,262
279,0,222,225
280,0,222,226
281,0,223,224
282,0,223,252
283,0,223,253
284,0,225,231
285,0,225,241
286,0,225,248
287,0,226,227
288,0,227,234
289,1,228,289
290,1,228,279
291,0,229,230
292,0,229,298
293,0,229,299
294,0,232,233
295,0,235,271
296,1,235,272
297,1,237,238
298,0,237,237
299,1,237,240
300,0,239,244
301,0,239,245
302,1,240,245
303,0,240,255
304,0,241,242
305,0,241,254
306,1,243,267
307,1,243,268
308,1,244,273
309,0,245,257
310,1,249,251
311,0,250,251
312,1,250,296
313,1,250,297
314,1,251,264
315,1,251,295
316,1,253,256
317,0,253,287
318,1,255,348
319,1,255,349
320,0,255,350
321,1,257,260
322,0,257,261
323,0,258,259
324,1,259,289
325,1,260,265
326,1,260,266
327,1,262,289
328,1,262,291
329,1,263,285
330,1,265,284
331,1,265,266
332,0,266,318
333,1,268,278
334,0,268,279
335,0,269,270
336,0,271,280
337,0,271,281
338,0,273,285
339,1,274,275
340,0,274,330
341,1,274,331
342,0,276,277
343,0,276,304
344,0,276,328
345,0,278,296
346,0,278,310
347,0,279,291
348,0,282,283
349,0,282,284
350,0,283,288
351,1,284,286
352,1,285,292
353,0,286,288
354,0,286,318
355,0,288,290
356,0,290,293
357,1,290,294
358,1,290,292
359,0,291,308
360,1,292,295
361,0,293,355
362,1,293,359
363,0,293,360
364,1,295,297
365,0,295,311
366,1,296,307
367,1,297,307
368,0,297,314
369,0,298,300
370,0,298,301
371,0,299,321
372,0,299,301
373,0,301,324
374,0,302,303
375,0,302,328
376,0,302,333
377,0,305,306
378,0,305,305
379,0,306,312
380,1,307,317
381,0,308,309
382,0,308,313
383,0,308,312
384,0,310,326
385,0,310,313
386,1,310,325
387,0,310,317
388,0,311,359
389,0,311,370
390,1,312,320
391,1,313,322
392,1,313,320
393,0,313,326
394,1,314,432
395,0,314,370
396,0,314,433
397,0,315,316
398,1,315,319
399,0,315,320
400,1,317,334
401,1,317,338
402,0,318,332
403,1,320,323
404,1,322,323
405,1,323,327
406,1,325,326
407,1,325,327
408,1,327,331
409,1,327,334
410,0,328,329
411,1,330,331
412,0,330,337
413,1,331,334
414,1,332,335
415,1,332,354
416,0,332,355
417,0,334,337
418,1,334,339
419,1,335,336
420,1,335,351
421,1,335,353
422,0,337,341
423,0,337,342
424,1,339,340
425,1,339,343
426,0,339,344
427,0,341,379
428,1,344,365
429,1,344,366
430,1,344,367
431,1,344,361
432,0,345,346
433,0,345,376
434,0,346,347
435,0,347,372
436,0,347,375
437,1,348,349
438,1,349,351
439,1,350,390
440,1,351,352
441,1,354,356
442,1,354,403
443,0,355,356
444,1,356,415
445,0,357,358
446,0,357,393
447,0,357,394
448,1,359,364
449,0,360,382
450,0,360,387
451,1,361,362
452,1,361,366
453,0,361,363
454,0,362,363
455,1,363,366
456,0,363,363
457,1,364,387
458,0,364,389
459,0,365,446
460,0,365,471
461,0,365,472
462,0,365,463
463,1,367,371
464,0,368,369
465,0,370,434
466,0,370,435
467,0,372,373
468,0,372,374
469,0,373,374
470,0,373,385
471,0,374,395
472,0,375,380
473,0,375,376
474,0,376,407
475,0,377,377
476,0,377,378
477,0,379,414
478,0,380,380
479,0,381,382
480,1,381,383
481,0,381,384
482,0,382,386
483,0,383,384
484,1,383,398
485,1,383,399
486,0,384,398
487,0,385,417
488,0,385,429
489,0,386,399
490,0,386,400
491,0,387,388
492,1,388,398
493,0,388,400
494,0,390,419
495,0,391,392
496,0,391,410
497,0,391,423
498,0,393,396
499,1,393,397
500,0,395,416
501,0,395,417
502,0,396,404
503,0,396,405
504,0,398,399
505,0,400,411
506,0,401,402
507,0,401,412
508,0,401,413
509,0,404,420
510,0,404,427
511,0,405,406
512,0,405,420
513,0,407,426
514,0,407,416
515,0,408,409
516,0,408,412
517,0,408,424
518,0,412,418
519,0,413,421
520,0,413,422
521,0,414,431
522,1,415,434
523,1,415,439
524,1,415,436
525,0,416,417
526,0,418,421
527,0,418,422
528,0,419,439
529,0,419,440
530,0,420,428
531,0,421,425
532,1,422,430
533,1,431,477
534,0,431,478
535,0,432,446
536,0,432,447
537,0,433,435
538,1,433,554
539,1,433,556
540,1,434,436
541,0,435,552
542,0,435,553
543,0,436,474
544,0,437,438
545,0,437,492
546,0,437,448
547,0,439,445
548,0,440,504
549,0,441,442
550,0,441,453
551,0,441,460
552,0,443,444
553,1,445,474
554,0,445,504
555,0,446,450
556,0,447,479
557,0,447,450
558,1,447,482
559,0,448,449
560,0,448,500
561,1,450,483
562,0,451,452
563,0,453,454
564,0,453,455
565,0,456,457
566,1,456,463
567,0,456,464
568,0,457,458
569,0,457,459
570,0,459,495
571,0,459,496
572,0,460,484
573,0,460,485
574,1,461,462
575,0,461,502
576,0,461,503
577,0,463,501
578,0,464,524
579,0,464,501
580,0,465,466
581,0,466,479
582,0,466,480
583,0,467,468
584,0,469,470
585,0,469,524
586,0,469,537
587,0,471,527
588,0,471,570
589,1,471,602
590,0,472,473
591,0,473,478
592,0,474,508
593,0,475,476
594,0,476,519
595,0,476,523
596,0,477,478
597,0,477,486
598,0,479,480
599,0,479,481
600,0,480,487
601,0,480,481
602,0,481,490
603,0,481,488
604,0,481,491
605,1,482,490
606,1,482,483
607,1,482,493
608,0,483,494
609,0,486,526
610,0,487,488
611,0,487,489
612,0,487,490
613,1,489,490
614,1,489,493
615,1,493,494
616,1,494,505
617,0,495,495
618,0,496,497
619,0,496,524
620,0,498,499
621,0,500,514
622,0,500,503
623,0,501,527
624,0,503,515
625,1,504,516
626,0,506,507
627,0,506,525
628,0,506,520
629,0,508,509
630,0,510,511
631,0,512,513
632,0,512,517
633,0,512,530
634,0,512,531
635,0,514,522
636,0,514,523
637,0,517,518
638,0,517,529
639,0,520,521
640,0,520,538
641,0,520,531
642,0,522,540
643,0,522,530
644,0,523,534
645,0,527,528
646,0,530,539
647,0,530,557
648,0,531,541
649,0,531,542
650,0,532,533
651,0,535,536
652,0,535,543
653,0,535,549
654,0,538,561
655,0,538,567
656,0,544,545
657,0,544,546
658,0,545,562
659,0,546,562
660,0,546,546
661,0,547,548
662,0,549,550
663,0,549,551
664,1,552,564
665,1,552,565
666,0,553,565
667,1,553,556
668,1,554,555
669,1,554,562
670,1,556,581
671,1,558,559
672,1,558,564
673,0,558,566
674,0,559,560
675,1,560,574
676,0,560,575
677,1,560,576
678,0,562,563
679,0,563,572
680,0,563,573
681,0,564,571
682,1,565,571
683,1,566,584
684,1,566,593
685,0,568,569
686,0,568,572
687,0,569,570
688,0,572,573
689,0,573,594
690,1,575,577
691,0,575,578
692,0,576,599
693,1,576,578
694,0,577,584
695,0,579,580
696,0,581,585
