degree,closeness,betweenness,straightness,information,avg_neighbor_deg,clustering,local_efficiency,redundancy,node_id
4,0.00030221032677419654,0.002171955984022795,0.008136624244797084,0.0002817165405816605,4.25,0.002727613858221182,0.0,0.5,0
6,0.00030524239535780715,0.015194951622630296,0.007813935426972106,0.00029686936953544446,3.8333333333333335,0.002067290012264502,0.0,0.26666666666666666,1
2,0.00029796012118947436,0.0,0.008025369404563259,0.0002733606887211397,5.0,0.006646695766242647,0.0,1.0,2
3,0.00029910986848050836,0.0,0.008447754259758992,0.0002763624397038781,4.666666666666667,0.004631560514525524,0.0,0.6666666666666666,3
6,0.000302810963378293,0.004391983428456557,0.008150374469598556,0.00028253825075299805,3.1666666666666665,0.0015874641217053175,0.0,0.26666666666666666,4
2,0.00033651815130703695,0.0,0.008621742194288344,0.0002930256247951324,5.5,0.014445374135721691,0.0,1.0,5
5,0.000339476703450527,0.02585807556833577,0.008249681083301486,0.0003230631937554277,2.8,0.0014445374135721692,0.0,0.1,6
4,0.0002974776733724596,6.118185870486746e-05,0.008007617973745225,0.0002847590651922252,4.25,0.0023488290737492205,0.0,0.3333333333333333,7
1,0.0003000041958274608,0.0,0.00847701056539027,0.0002473812359331549,6.0,0.0,0.0,0.0,8
2,0.00030579755497162666,3.496106211706712e-05,0.008237280786417006,0.00027682933010589756,3.0,0.0,0.0,0.0,11
2,0.0003132406833866887,0.002163215718493528,0.008028702666335446,0.00028789043812161734,3.5,0.0,0.0,0.0,12
1,0.0003132247528357033,0.0,0.008031633558283211,0.00027790363457687615,5.0,0.0,0.0,0.0,13
1,0.0002956187912882457,0.0,0.008353095229773374,0.0002473812359331549,6.0,0.0,0.0,0.0,14
4,0.00045683819646734114,0.006970361759590257,0.008135729029250369,0.0004694571774582846,2.75,0.0,0.0,0.0,15
2,0.0004016937713871122,0.002198176780610595,0.007690039311045152,0.00038006632135959717,2.5,0.0,0.0,0.0,16
1,0.0003818123873142645,0.0,0.007821282816923205,0.0003190688561681947,2.0,0.0,0.0,0.0,17
1,0.00030635117369207413,0.0,0.010324427478326797,0.00013006638849111127,4.0,0.0,0.0,0.0,35
4,0.00031794448571798343,0.01950390252855882,0.010288904152348318,0.00013917145750719036,2.75,0.0,0.0,0.16666666666666666,36
3,0.00032398958137269023,0.023742931310253207,0.010491435583034659,0.0001390573777382981,2.6666666666666665,0.0,0.0,0.0,42
1,0.00031173659012128003,0.0,0.010512569608381695,0.00012996674206302756,3.0,0.0,0.0,0.0,43
3,0.00032764577260117726,0.029979110765385054,0.009775015782639127,0.00014786539227567687,2.6666666666666665,0.0,0.0,0.0,44
1,0.00031480322067247145,0.0,0.009813891507949866,0.00013762905355730793,3.0,0.0,0.0,0.0,45
1,0.00031864981921938054,0.0,0.009522765598655128,0.00014524745033114362,4.0,0.0,0.0,0.0,46
4,0.0003316705302431575,0.04048053979879909,0.009467252312917906,0.00015669554328582463,2.5,0.0,0.0,0.0,47
3,0.0003367560131750516,0.04441365928696914,0.009195067418274357,0.00016901020621472773,3.0,0.0,0.0,0.0,48
1,0.00032360855463436905,0.0,0.009269904228502553,0.00015576803333464557,3.0,0.0,0.0,0.0,49
3,0.0003655848280285883,0.02795136916259516,0.008417424579406358,0.0003822089917205802,3.6666666666666665,0.0,0.0,0.0,50
2,0.0004479963059905573,0.0002141365054670361,0.007903044181905726,0.00043553223423037357,3.0,0.0,0.0,0.0,51
3,0.0004841313181332015,0.0015645075297387537,0.008066957017100737,0.00046753411672602715,3.3333333333333335,0.0,0.0,0.0,52
3,0.00044426632388586406,0.0010619422618059137,0.007942624735938117,0.00045534324288908903,3.0,0.0,0.0,0.0,53
2,0.0003356765047443484,0.0,0.007745797192136861,0.0003751801010253395,3.5,0.0,0.0,0.0,54
3,0.0003335639691010726,0.00077351349934011,0.008038429947838936,0.00037737244215077216,2.6666666666666665,0.0,0.0,0.0,55
4,0.0003673133815321792,0.03663482296592171,0.007992218381924907,0.0004127560081475764,3.0,0.0,0.0,0.0,56
2,0.00039195674968290766,0.0,0.008551405163911717,0.00038908940113143207,3.5,0.0,0.0,0.0,57
3,0.00036110934582144914,0.011620183021160184,0.008321115600943297,0.0003934736811797334,3.3333333333333335,0.0,0.0,0.0,64
4,0.00041005087627149505,0.033855418527614874,0.008427059168679415,0.0004428815328062374,3.0,0.0,0.0,0.0,65
4,0.00031320833622384704,0.015203691888159563,0.010543836030049249,0.00013030366226572635,2.5,0.0,0.2777777777777778,1.0,66
3,0.00030501055032908496,0.0,0.00947934332696094,0.00014422320083150336,3.3333333333333335,0.0,0.0,0.0,67
2,0.0002765478418635845,0.01305795670072457,0.009671590563949862,0.0001224682538308718,3.0,0.0,0.0,1.0,68
3,0.0004579784756469616,0.0014202931485058517,0.008567377540088805,0.00045335391390423726,3.3333333333333335,0.005758077720118275,0.0,0.3333333333333333,69
4,0.0004511219577644122,0.003915638957111518,0.00812891342164822,0.0004959642621914101,3.25,0.0,0.0,0.0,70
4,0.000458527697546229,0.00596960135648921,0.008709634478060068,0.0004916914055471176,3.75,0.0,0.0,0.0,71
3,0.0004296940149897883,0.004134145595343187,0.00814591190664108,0.00047450452050459206,3.3333333333333335,0.0,0.0,0.0,72
3,0.00046834297778993583,0.0051829774588552004,0.008023566876319681,0.00048475564680874227,3.3333333333333335,0.0,0.0,0.0,73
3,0.0004595630118941292,0.00023161703652556967,0.008403497635023011,0.0004782054461716443,4.0,0.004923268361288362,0.0,0.3333333333333333,74
3,0.0003255042302474809,0.0258100041079248,0.010123201294749418,0.0001441881772012912,3.0,0.0,0.0,0.0,75
3,0.0004729564881661539,0.009491928364783722,0.008169412111315347,0.00047097953293445086,3.6666666666666665,0.0,0.0,0.0,76
3,0.00045859768831478287,0.003631580327410347,0.008300288494468979,0.00047680072395877,3.3333333333333335,0.0,0.0,0.0,77
3,0.0005000768954566867,0.0024909756758410323,0.00864452888653475,0.00047682040846460343,3.0,0.0,0.0,0.0,78
3,0.0005148101087248938,0.002906138288481204,0.008386060812407387,0.00048327872826607035,3.3333333333333335,0.0,0.0,0.0,79
3,0.00031003356841276437,0.004326431436987056,0.009242961195245687,0.00014788380650478032,2.6666666666666665,0.0,0.0,0.0,80
4,0.00039673531203339874,0.054709692080445405,0.010345343066251109,0.00018329109449201537,2.5,0.0,0.0,0.0,83
3,0.00042658797457609363,0.03526697141059146,0.00844516422854221,0.00046284863059810864,3.3333333333333335,0.0,0.0,0.0,84
3,0.0004365437708137384,0.003373742494296977,0.008703923114224221,0.00047498837825854073,3.6666666666666665,0.0,0.0,0.0,85
3,0.0003373708094619581,0.001949079213026492,0.008125673750700441,0.0003723325426856949,2.6666666666666665,0.0,0.0,0.0,86
3,0.0003493806442903229,0.0013984424846826848,0.008305056686468526,0.0003823897007311597,3.0,0.0,0.0,0.0,87
3,0.0003528678273231662,0.0014071827502119515,0.008123680956973788,0.0003799002309057778,3.0,0.0,0.0,0.0,90
4,0.0004598730652736886,0.03541118579182436,0.009484060045203618,0.0004897366619876294,3.25,0.0,0.0,0.0,91
3,0.0003624989255574242,0.011515299834808982,0.008617854826519571,0.00037441057462198323,3.0,0.0,0.0,0.0,92
3,0.00043771715020939723,0.03309501542656866,0.009007301733162847,0.0004679041487669032,3.3333333333333335,0.0,0.0,0.0,93
3,0.0004154063282211219,0.019045038588272313,0.008806154296470041,0.0004471361309477576,3.6666666666666665,0.0,0.0,0.0,94
3,0.00045724521110809797,0.0013591112898009843,0.008289214710384702,0.0004564980523573749,3.3333333333333335,0.005758077720118275,0.0,0.3333333333333333,95
4,0.00047333416153548763,0.0030459825369494728,0.008372733402561918,0.0004744274943619571,3.75,0.00681776710768633,0.0,0.3333333333333333,96
4,0.0005175551514574279,0.01633118614143498,0.00840043013274114,0.0005018427738368521,3.5,0.0,0.0,0.0,97
3,0.00036552513786642694,0.014049976838296348,0.008416050240539959,0.0003691760156821573,3.0,0.0,0.0,0.0,98
3,0.0003607898782578843,0.0011799358464510152,0.008686844095029561,0.0003582742288274406,3.0,0.0010298378782765143,0.0,0.3333333333333333,99
2,0.00035776685585109554,0.003858827231171283,0.008257443144608686,0.0003625947387579344,3.0,0.0,0.0,0.0,100
3,0.0003625935743018074,0.0016038387246204541,0.008830775681428073,0.000356057515759003,3.0,0.0010298378782765143,0.0,0.3333333333333333,101
3,0.00035974208477307417,0.0,0.008301114885150904,0.00036170923414871045,3.0,0.0010298378782765143,0.0,0.3333333333333333,102
3,0.0003755131082512654,0.009207869735082553,0.00818464418348364,0.0003952294915469971,3.0,0.0,0.0,0.0,104
3,0.00037025456660182235,0.01574121821820947,0.008071016360622867,0.00038988805550232254,3.3333333333333335,0.0,0.0,0.0,105
3,0.0004340384576494235,0.020128831513901393,0.009205761987923887,0.00046086219133613485,3.0,0.0,0.0,0.0,106
4,0.0004831027649141211,0.03793712252978246,0.009544674426417125,0.0004940437322944379,3.5,0.0,0.0,0.0,108
