FID,label,node_start,node_end
0,1,0,1
1,1,0,2
2,1,0,3
3,1,0,4
4,1,1,5
5,1,1,2
6,1,1,6
7,1,1,7
8,0,1,4
9,1,3,7
10,1,3,4
11,1,4,8
12,0,4,7
13,1,4,14
14,1,5,6
15,1,6,12
16,0,6,13
17,1,6,50
18,1,7,11
19,0,9,10
20,0,9,22
21,0,9,23
22,1,11,12
23,1,15,16
24,1,15,53
25,1,15,76
26,1,15,77
27,1,16,17
28,0,18,19
29,0,18,28
30,0,18,30
31,0,20,21
32,1,20,31
33,0,20,32
34,0,23,24
35,0,23,25
36,0,24,27
37,1,24,41
38,1,25,25
39,0,26,27
40,0,26,28
41,0,26,29
42,0,27,29
43,0,28,29
44,0,32,33
45,1,32,37
46,1,33,34
47,0,34,38
48,0,35,36
49,0,36,42
50,1,36,66
51,0,36,67
52,0,38,39
53,0,38,40
54,0,42,43
55,0,42,75
56,1,44,45
57,1,44,75
58,1,44,47
59,1,46,47
60,1,47,48
61,0,47,80
62,1,48,49
63,0,48,83
64,0,50,56
65,1,50,57
66,1,51,52
67,1,51,53
68,1,52,114
69,0,52,115
70,1,53,69
71,0,54,55
72,0,54,56
73,0,55,86
74,0,55,87
75,0,56,64
76,0,56,65
77,0,57,65
78,0,58,59
79,0,60,61
80,1,62,63
81,0,64,87
82,0,64,92
83,0,65,84
84,0,65,94
85,0,66,66
86,1,66,68
87,0,67,75
88,0,67,80
89,0,68,144
90,1,69,95
91,1,69,96
92,0,70,71
93,0,70,72
94,0,70,73
95,0,70,74
96,1,71,85
97,0,71,108
98,1,71,109
99,1,72,84
100,0,72,85
101,1,73,77
102,1,73,79
103,1,74,109
104,0,74,110
105,0,76,95
106,1,76,97
107,1,77,78
108,0,78,79
109,0,78,120
110,0,79,125
111,0,80,118
112,1,81,82
113,1,81,103
114,0,81,107
115,0,83,149
116,0,83,150
117,0,83,151
118,1,84,93
119,1,85,91
120,0,86,100
121,0,86,90
122,0,87,90
123,0,88,89
124,0,90,104
125,1,91,93
126,1,91,119
127,1,91,108
128,0,92,98
129,0,92,99
130,0,93,106
131,1,94,111
132,1,94,106
133,0,95,96
134,0,96,123
135,1,96,114
136,0,97,126
137,1,97,120
138,0,97,123
139,0,98,101
140,0,98,105
141,1,99,101
142,1,99,102
143,0,100,104
144,0,101,102
145,0,102,105
146,1,104,111
147,0,105,111
148,0,106,141
149,0,107,112
150,0,107,113
151,0,108,127
152,0,108,124
153,0,109,124
154,0,109,110
155,0,110,135
156,0,110,136
157,0,111,133
158,0,113,121
159,0,113,122
160,0,114,123
161,0,114,128
162,0,115,128
163,1,115,200
164,1,115,201
165,0,116,117
166,0,116,129
167,0,116,130
168,1,119,158
169,1,119,127
170,1,120,125
171,0,123,128
172,0,123,163
173,0,124,135
174,0,125,136
175,0,125,140
176,1,126,140
177,0,126,163
178,0,127,162
179,1,128,198
180,0,129,144
181,0,129,146
182,0,131,132
183,1,131,134
184,0,131,139
185,1,133,153
186,0,133,141
187,0,135,154
188,0,135,155
189,0,136,145
190,0,137,138
191,0,137,232
192,0,137,224
193,0,140,176
194,0,140,197
195,0,141,158
196,1,142,143
197,1,142,150
198,1,142,157
199,0,145,155
200,0,145,154
201,0,145,176
202,0,147,148
203,0,147,167
204,0,147,170
205,0,150,152
206,0,151,156
207,0,151,172
208,0,152,166
209,0,152,171
210,1,153,216
211,1,153,217
212,0,155,175
213,1,155,162
214,1,155,155
215,0,157,161
216,0,158,173
217,0,159,160
218,1,161,189
219,0,162,180
220,0,163,198
221,0,164,165
222,0,168,169
223,0,170,174
224,1,170,177
225,0,173,178
226,0,173,179
227,0,175,176
228,1,175,183
229,0,178,199
230,0,178,181
231,0,179,181
232,0,179,180
233,0,180,182
234,0,181,202
235,1,181,203
236,1,182,195
237,0,182,203
238,1,183,195
239,1,183,196
240,0,184,185
241,0,184,209
242,0,184,192
243,0,186,187
244,1,188,189
245,0,189,194
246,1,190,191
247,1,191,194
248,1,191,191
249,0,192,193
250,0,192,212
251,1,194,214
252,1,194,215
253,1,195,196
254,1,196,213
255,0,197,230
256,1,197,231
257,1,198,201
258,1,199,217
259,1,199,202
260,1,200,215
261,1,201,223
262,1,202,222
263,1,202,208
264,0,203,208
265,0,204,205
266,0,204,241
267,0,204,249
268,0,206,207
269,0,208,242
270,0,209,226
271,0,209,212
272,0,210,211
273,0,210,241
274,0,210,232
275,0,212,233
276,0,213,242
277,1,213,270
278,0,213,271
279,1,213,231
280,1,215,220
281,0,216,227
282,0,217,227
283,0,218,219
284,1,220,221
285,1,221,259
286,0,222,227
287,1,222,245
288,0,222,246
289,0,222,247
290,1,223,258
291,1,223,259
292,0,224,225
293,0,224,248
294,0,226,234
295,0,227,240
296,0,228,228
297,0,228,229
298,1,231,263
299,1,231,275
300,0,232,251
301,0,234,235
302,0,236,237
303,0,236,238
304,0,236,239
305,0,237,238
306,0,237,254
307,0,238,253
308,0,239,254
309,0,239,255
310,0,240,243
311,0,240,244
312,0,240,240
313,0,240,245
314,0,241,249
315,0,242,257
316,0,243,245
317,0,243,285
318,0,243,286
319,0,244,245
320,0,244,285
321,1,245,250
322,0,246,274
323,0,247,274
324,0,247,287
325,0,247,268
