source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,41572e00da84f7adb55f1ea3,月星餐厅(北京西路店),北京西路10号1幢3单元,江苏省,南京市,鼓楼区,13776602480,unknown,
baidu,dfc496b61d7b1eb68936ee2b,胡劲松汤包,渊声巷11号107号,江苏省,南京市,鼓楼区,15366051078,unknown,
baidu,2527be1e340052aa4afc8dc9,状元楼西苑餐厅,上海路金银街20号2楼,江苏省,南京市,鼓楼区,(025)83594449,unknown,
baidu,fc7675242425eae34e776e4d,老地方餐厅(上海路店),上海路160号金银街,江苏省,南京市,鼓楼区,13016960248,unknown,
baidu,2ad32cc39715cd969d95deff,第一泉酒家(鼓楼店),北京西路6号（南京大学北门）,江苏省,南京市,鼓楼区,(025)86632356,unknown,
baidu,4136785cb581a63b14948efe,见舍咖啡·西餐(上海路店),金银街20号,江苏省,南京市,鼓楼区,"(025)58991102,13675115502",unknown,
baidu,787e8c87bb50f070a5da3974,沪上阿姨鲜果茶(南京大学金银街店),金银街17-2-9,江苏省,南京市,鼓楼区,18061486506,unknown,
baidu,bf29b7022198678009b93a58,台式烩饭(金银街小区店),上海路158号1栋2单元,江苏省,南京市,鼓楼区,(025)83308211,unknown,
baidu,d771f5a81b7da532100daa67,滕家大院百姓餐厅,江苏省南京市鼓楼区湖南路街道北京西路12号,江苏省,南京市,鼓楼区,,unknown,
baidu,8790c417885998e071455be6,阿爸饭桌(上海路209号院南一栋102店),上海路209号院南一栋102,江苏省,南京市,鼓楼区,17372759220,unknown,
baidu,4461aa19a0d040f4dbeced2e,面皮说(云南路店),云南路27-1号（云南路地铁站4号口步行200米）,江苏省,南京市,鼓楼区,13376094547,unknown,
baidu,9118025ea603b66104026f20,港师傅·菠萝包(金银街店),上海路金银街1-1号,江苏省,南京市,鼓楼区,13910617685,unknown,
baidu,4c4ab6b8e8b2a64bf42310dc,月星餐厅酸菜鱼(宁海路店),宁海路街道宁海路南阴阳营22号(近上海路),江苏省,南京市,鼓楼区,13776602480,unknown,
baidu,2cc3c8e8a87d5bcf4c2fdfae,云中食品店(上海路店),南京市鼓楼区上海路160-2临,江苏省,南京市,鼓楼区,(025)83317103,unknown,
baidu,ae8ac4e74cbe8d6c17c8f60d,万象书坊Café Belong,金银街8号,江苏省,南京市,鼓楼区,(025)83204546,unknown,
