node_id_1,node_id_2,edge_id
0,2,0
0,1,1
0,16,2
1,0,3
1,9,4
2,0,5
3,14,6
3,4,7
4,3,8
4,30,9
5,21,10
5,11,11
6,26,12
6,8,13
7,25,14
7,8,15
7,19,16
8,7,17
8,6,18
9,45,19
9,1,20
9,50,21
10,19,22
10,29,23
10,23,24
11,5,25
11,18,26
12,30,27
12,15,28
13,14,29
14,3,30
14,12,31
15,16,32
15,13,33
16,17,34
16,15,35
16,0,36
17,16,37
17,30,38
17,18,39
18,30,40
18,17,41
18,11,42
19,10,43
19,7,44
19,34,45
20,34,46
20,51,47
20,43,48
21,26,49
21,22,50
21,5,51
22,27,52
22,36,53
22,21,54
23,32,55
23,24,56
23,10,57
23,35,58
24,23,59
25,37,60
25,7,61
25,27,62
26,6,63
26,21,64
27,25,65
27,36,66
27,22,67
27,44,68
28,29,69
29,35,70
29,28,71
29,10,72
30,17,73
30,4,74
30,18,75
30,12,76
31,42,77
31,45,78
31,32,79
32,23,80
32,33,81
32,31,82
32,41,83
33,32,84
33,35,85
34,20,86
34,39,87
34,41,88
34,19,89
35,29,90
35,33,91
35,23,92
36,27,93
36,38,94
36,22,95
37,25,96
37,44,97
37,39,98
38,44,99
38,40,100
38,36,101
39,34,102
39,43,103
39,37,104
40,50,105
40,43,106
40,38,107
41,34,108
41,42,109
41,32,110
42,51,111
42,31,112
42,41,113
43,40,114
43,39,115
43,44,116
43,20,117
44,38,118
44,37,119
44,27,120
44,43,121
45,9,122
45,46,123
45,31,124
46,45,125
47,49,126
47,48,127
47,50,128
48,47,129
49,47,130
50,40,131
50,51,132
50,9,133
50,47,134
51,20,135
51,42,136
51,50,137
