node_id_1,node_id_2,edge_id
0,121,0
0,35,1
1,79,2
2,219,3
2,204,4
2,114,5
3,14,6
3,217,7
4,8,8
4,183,9
4,10,10
4,28,11
5,33,12
5,54,13
6,203,14
6,56,15
6,205,16
7,1,17
8,15,18
8,4,19
9,209,20
10,12,21
10,87,22
10,4,23
11,135,24
12,97,25
12,10,26
12,99,27
13,129,28
14,134,29
14,129,30
15,192,31
16,20,32
17,91,33
17,99,34
17,225,35
17,29,36
18,76,37
19,187,38
19,109,39
20,189,40
21,151,41
21,72,42
21,194,43
22,118,44
22,25,45
23,207,46
23,22,47
24,23,48
24,113,49
25,217,50
25,178,51
26,3,52
26,27,53
27,31,54
27,26,55
27,217,56
28,29,57
28,206,58
28,4,59
29,28,60
29,98,61
29,17,62
30,167,63
30,128,64
30,26,65
31,33,66
31,27,67
31,32,68
32,169,69
32,34,70
32,31,71
32,120,72
33,31,73
33,64,74
33,36,75
34,219,76
34,32,77
34,200,78
35,120,79
35,55,80
35,2,81
36,200,82
36,53,83
36,6,84
37,38,85
37,48,86
37,205,87
38,37,88
38,39,89
38,41,90
39,38,91
39,47,92
39,201,93
40,41,94
40,203,95
40,204,96
41,40,97
41,42,98
41,38,99
42,41,100
42,202,101
42,201,102
43,135,103
43,9,104
44,181,105
44,49,106
44,225,107
44,50,108
45,94,109
45,227,110
45,214,111
46,199,112
46,92,113
46,229,114
47,48,115
47,39,116
47,199,117
48,47,118
48,37,119
48,200,120
49,44,121
49,50,122
49,179,123
50,49,124
50,113,125
50,44,126
51,89,127
52,60,128
52,55,129
52,62,130
52,58,131
53,36,132
53,199,133
53,64,134
54,24,135
55,35,136
55,81,137
55,52,138
56,6,139
56,201,140
56,53,141
57,63,142
58,52,143
59,119,144
59,216,145
60,52,146
61,59,147
62,52,148
63,57,149
63,171,150
63,128,151
64,33,152
64,54,153
65,67,154
65,57,155
66,65,156
66,156,157
67,65,158
67,166,159
68,175,160
68,117,161
69,175,162
69,70,163
69,172,164
70,69,165
71,150,166
71,177,167
71,151,168
72,116,169
72,122,170
73,174,171
73,68,172
74,75,173
74,1,174
75,78,175
75,7,176
76,143,177
77,78,178
77,220,179
78,76,180
78,75,181
79,8,182
79,192,183
80,83,184
80,221,185
81,0,186
81,55,187
82,83,188
82,84,189
83,43,190
84,208,191
84,197,192
84,82,193
84,209,194
85,96,195
85,86,196
85,95,197
85,87,198
86,85,199
86,97,200
87,97,201
87,85,202
87,10,203
88,228,204
88,90,205
88,94,206
88,93,207
89,201,208
89,92,209
89,93,210
89,51,211
90,88,212
90,214,213
91,17,214
91,213,215
92,46,216
92,89,217
92,228,218
93,88,219
93,89,220
94,88,221
94,229,222
94,45,223
95,85,224
96,85,225
96,223,226
97,12,227
97,87,228
97,86,229
98,29,230
98,179,231
98,101,232
99,12,233
99,17,234
99,103,235
100,210,236
100,104,237
100,211,238
101,102,239
101,210,240
101,98,241
102,101,242
102,140,243
102,104,244
103,99,245
104,102,246
104,222,247
104,140,248
104,100,249
105,184,250
106,19,251
106,141,252
108,107,253
109,16,254
109,108,255
110,126,256
110,21,257
111,110,258
112,185,259
112,110,260
113,23,261
113,50,262
114,115,263
114,2,264
114,58,265
115,114,266
117,68,267
117,144,268
118,5,269
119,218,270
119,147,271
120,32,272
120,35,273
120,168,274
121,133,275
121,30,276
122,72,277
122,150,278
122,151,279
123,131,280
123,136,281
124,11,282
125,112,283
125,123,284
126,176,285
126,125,286
127,171,287
127,128,288
128,30,289
128,63,290
128,133,291
129,130,292
129,61,293
130,3,294
130,165,295
131,124,296
131,136,297
132,0,298
133,132,299
134,186,300
134,125,301
135,131,302
135,9,303
136,22,304
136,178,305
137,138,306
138,137,307
138,212,308
139,206,309
139,7,310
140,207,311
140,102,312
140,104,313
141,142,314
141,195,315
141,111,316
142,141,317
142,197,318
142,19,319
143,191,320
143,108,321
144,160,322
144,215,323
145,161,324
145,160,325
145,160,326
146,153,327
146,148,328
147,66,329
147,159,330
148,152,331
148,146,332
149,153,333
149,161,334
150,71,335
150,122,336
150,172,337
151,21,338
151,126,339
151,71,340
152,157,341
152,154,342
152,148,343
153,146,344
153,149,345
153,155,346
154,152,347
154,163,348
154,155,349
155,153,350
155,163,351
155,154,352
156,157,353
156,66,354
157,159,355
157,152,356
157,156,357
158,159,358
159,147,359
159,157,360
159,158,361
160,144,362
160,145,363
160,145,364
161,149,365
161,145,366
161,162,367
162,161,368
163,164,369
163,155,370
163,154,371
164,163,372
165,166,373
165,127,374
