FID,label,node_start,node_end
0,1,0,1
1,1,0,6
2,0,0,7
3,1,1,2
4,1,2,17
5,1,2,27
6,0,3,4
7,0,3,20
8,0,3,21
9,1,5,6
10,1,6,26
11,1,6,6
12,0,7,30
13,0,7,31
14,1,8,9
15,1,8,11
16,0,8,15
17,0,9,10
18,0,10,15
19,0,10,45
20,0,10,46
21,1,12,13
22,0,12,51
23,0,12,23
24,0,12,46
25,0,13,14
26,0,14,17
27,0,14,22
28,1,14,23
29,1,15,40
30,0,15,44
31,1,16,17
32,1,16,27
33,0,18,19
34,0,18,32
35,0,18,28
36,0,20,25
37,1,21,24
38,0,21,25
39,1,23,34
40,1,23,53
41,1,26,37
42,1,26,55
43,1,26,30
44,1,27,33
45,1,27,34
46,0,28,29
47,0,28,35
48,0,30,68
49,0,30,31
50,0,31,34
51,0,31,72
52,0,35,86
53,0,35,87
54,1,36,37
55,1,36,38
56,1,37,50
57,1,38,39
58,1,39,49
59,1,39,50
60,1,40,41
61,0,40,43
62,0,41,42
63,0,42,43
64,1,42,47
65,0,43,44
66,0,43,48
67,0,44,54
68,1,45,54
69,0,45,61
70,1,46,52
71,0,47,48
72,1,47,93
73,0,48,90
74,1,49,69
75,0,49,70
76,0,50,50
77,1,50,55
78,1,51,57
79,1,51,52
80,1,51,66
81,1,52,61
82,1,52,65
83,1,53,59
84,1,53,60
85,0,54,56
86,1,55,67
87,0,55,68
88,1,56,90
89,1,56,92
90,0,57,58
91,0,58,59
92,0,58,73
93,0,58,82
94,0,60,72
95,1,60,73
96,0,61,62
97,1,62,123
98,1,62,92
99,1,62,126
100,0,63,64
101,0,63,83
102,0,63,84
103,0,65,97
104,1,65,118
105,1,65,119
106,1,66,82
107,1,66,97
108,0,67,173
109,0,67,210
110,0,68,74
111,0,68,72
112,1,70,190
113,0,71,72
114,1,71,73
115,0,72,77
116,0,73,88
117,0,74,113
118,0,74,112
119,0,75,76
120,0,75,78
121,0,75,89
122,1,77,100
123,0,77,101
124,0,77,102
125,0,79,80
126,0,79,89
127,0,79,94
128,0,81,82
129,0,82,99
130,1,83,85
131,0,83,84
132,0,84,98
133,0,88,99
134,0,88,102
135,1,88,117
136,0,89,103
137,1,90,91
138,1,91,93
139,1,91,110
140,1,92,128
141,0,92,129
142,1,93,104
143,1,95,96
144,0,97,99
145,1,97,117
146,0,98,108
147,0,98,109
148,1,100,111
149,1,100,112
150,0,101,127
151,0,102,127
152,1,104,105
153,1,105,110
154,0,105,134
155,1,106,107
156,0,110,131
157,0,110,133
158,0,111,143
159,0,111,124
160,1,111,144
161,0,112,124
162,1,113,114
163,0,113,120
164,0,113,121
165,0,115,116
166,1,115,115
167,0,117,154
168,0,118,184
169,1,118,161
170,1,118,203
171,0,119,122
172,1,119,123
173,0,121,143
174,0,121,147
175,0,121,148
176,1,123,125
177,1,125,153
178,0,125,160
179,1,126,153
180,1,126,128
181,1,127,135
182,0,127,136
183,0,127,137
184,0,128,155
185,1,128,132
186,0,129,130
187,0,129,131
188,1,130,159
189,0,130,177
190,0,131,132
191,1,132,159
192,1,133,159
193,0,133,134
194,1,133,178
195,0,134,180
196,1,135,145
197,0,136,145
198,1,136,170
199,1,136,171
200,0,137,154
201,0,137,145
202,1,138,139
203,0,138,146
204,1,138,140
205,1,140,141
206,1,140,142
207,1,144,147
208,1,145,146
209,0,145,163
210,1,147,151
211,1,147,152
212,1,148,149
213,1,149,172
214,1,149,173
215,1,150,151
216,0,150,162
217,1,150,169
218,1,152,168
219,1,152,169
220,0,153,155
221,0,154,161
222,0,155,160
223,0,156,157
224,0,156,186
225,0,156,255
226,1,157,158
227,1,158,185
228,0,158,186
229,0,158,187
