source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,81b0a3a98c286f29246e98b3,绘璟轩·MOCHI(书圣故里店),蕺山街29-1号,浙江省,绍兴市,越城区,15336799767,unknown,
baidu,74c933fb77b8455f9f82eaa5,寻宝记绍兴菜(劳动路店),劳动路101号,浙江省,绍兴市,越城区,(0575)85119817,unknown,
baidu,aab95a10faa52ebeb23c8140,西街徐文张饭店,西街33号,浙江省,绍兴市,越城区,(0575)85120717,unknown,
baidu,4d4ea9b67260fcf99cec2b95,老厨神鱼(萧山街店),萧山街,浙江省,绍兴市,越城区,18583062432,unknown,
baidu,5a54be4683a07d390a5cb317,嵊州小吃(萧山街店),府山街道萧山街220号(阿刚饭店对面),浙江省,绍兴市,越城区,13429478869,unknown,
baidu,109b48dc496b8d2f9d95de5a,寻宝记绍兴菜(八佰伴店),解放北路199号八佰伴购物中心1F,浙江省,绍兴市,越城区,(0575)85178877,unknown,
baidu,ac1b9d361661b1c997ec849d,松间,绍兴市浙江省越城区书圣故里斜桥弄2号,浙江省,绍兴市,越城区,15868162814,unknown,
baidu,2cab3c400e1dea97a7c75667,老绍兴印糕(书圣故里店),浙江省绍兴市越城区蕺山街16号,浙江省,绍兴市,越城区,15336765992,unknown,
baidu,9ac6b74bd537943cc9c3db32,再兴烧腊饭店(世贸店),胜利东路278号,浙江省,绍兴市,越城区,18205856165,unknown,
baidu,7ac61c7bd827e180b4265538,牛牛饭店,西街29号,浙江省,绍兴市,越城区,13957569669,unknown,
baidu,daecccd0d640daa626e0a082,顶旺酒楼,西街17号,浙江省,绍兴市,越城区,(0575)88852825,unknown,
baidu,e2c069aad72561c0246e9822,寻宝记绍兴菜(世茂店),世茂湖滨商业中心1幢2F,浙江省,绍兴市,越城区,(0575)88685977,unknown,
baidu,8128c5a001bb12ba28201a5c,北伴岛小海鲜(越城店),胜利东路216号,浙江省,绍兴市,越城区,18366673555,unknown,
baidu,cf2b81c589c08c32a8175a00,诚记小餐馆,胜利东路232号,浙江省,绍兴市,越城区,15957516262,unknown,
baidu,30a77c353103bd07b54f5497,西西里手工烘焙(书圣故里店),蕺山街67号,浙江省,绍兴市,越城区,13567208912,unknown,
baidu,cbe722f719aa6ffad3ff2383,绍兴人家(萧山街店),肖山街260号,浙江省,绍兴市,越城区,15158235525,unknown,
baidu,3b5d4b5513d829b484330487,宋梅桥店,绍兴市越城区中兴中路时代大厦,浙江省,绍兴市,越城区,,unknown,
baidu,c4f7313ace33b8f7d8d8919f,宪正印糕(书圣故里店),蕺山街61号（题扇桥旁）,浙江省,绍兴市,越城区,,unknown,
baidu,4c3e1fb9c593f970d3ff23ef,S-pizza披萨速递(越城店),府山街道胜利东路210号,浙江省,绍兴市,越城区,15059471816,unknown,
baidu,98cf57dfe1863b6cb04c4942,阿刚特色菜馆(保佑桥店),保佑桥直街165号,浙江省,绍兴市,越城区,13675786544,unknown,
baidu,2dda7a39628c6eac45e2745b,香缘聚,蕺山街23号,浙江省,绍兴市,越城区,,unknown,
baidu,152fcb1e7d94bc8d5cd4feb9,桥夏,绍兴市越城区题扇桥直街31号,浙江省,绍兴市,越城区,18657570877,unknown,
baidu,3489a8e0998af9ccbe484239,嘉兴粽子,绍兴市越城区胜利东路香桥小区东南侧,浙江省,绍兴市,越城区,13516750019,unknown,
baidu,9dfec405f19f9701932ca3b9,三嫂嫂菜馆(周恩来祖居店),保佑桥直街154号、156号,浙江省,绍兴市,越城区,13065786286,unknown,
baidu,b0b34cf8bd4f5336c1f1cf87,黄牛肉羊肉,绍兴市越城区白马庙前镜中园公寓,浙江省,绍兴市,越城区,,unknown,
baidu,28b686ed7746d1ddcf04efef,躲婆奶茶,蕺山街104号,浙江省,绍兴市,越城区,(0575)88993399,unknown,
baidu,4ad8e43d72acf6d4fbdc85f1,猫的骑士主义咖啡书吧(蕺山店),蕺山街79号（胜利路新华书店后面）,浙江省,绍兴市,越城区,13858493208,unknown,
baidu,51eb31cfbd0d1c2ab320a8a1,绍兴人家(胜利东路店),胜利东路(香舍丽都)号269-5号,浙江省,绍兴市,越城区,15158235525,unknown,
baidu,8b994d2e12ff4fd333169bd0,蕺山糕点铺,蕺山街66号,浙江省,绍兴市,越城区,15381669655,unknown,
baidu,add46530be958f8502897218,梨泰院韩式烤肉(世茂店),胜利东路252号,浙江省,绍兴市,越城区,15355029428,unknown,
baidu,f299b1478ac696c078f796fc,枫婷早餐店(白马路店),浙江省绍兴市越城区白马路81号,浙江省,绍兴市,越城区,,unknown,
baidu,1552df90d5320ec7c4f50d1b,西街九号茶与咖啡,西街九号,浙江省,绍兴市,越城区,13575580941,unknown,
baidu,01a09f3a60901d16ab175abc,莎莎川菜馆,府山街道胜利东路248号,浙江省,绍兴市,越城区,,unknown,
