source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,9102da3f2207dd5216a19039,顾亭酒家·始于1999(相门店),双塔街道干将东路甲辰巷6号(相门地铁站1号出口对面),江苏省,苏州市,姑苏区,18915587630,unknown,
baidu,271da52afc1a514fb6265566,乐忻粤秀(仁恒仓街商业广场店),仁恒仓街商业广场LG1层112号、116号（近相门站2号口）,江苏省,苏州市,姑苏区,(0512)67738808,unknown,
baidu,1d7c5655cdb2f2c1c5effb81,方塔餐厅,干将东路333号(苏州大学北门),江苏省,苏州市,姑苏区,,unknown,
baidu,ba0a00b092c12ca2c2f1cfee,北疆饭店(干将路店),干将东路428号北疆饭店,江苏省,苏州市,姑苏区,(0512)67557020,unknown,
baidu,5635731475b19d2ce856fa29,Blueglass酸奶(苏州仓街商业广场店),仓街1号仓街商业广场LG1层124号（负一楼lululemon楼下）,江苏省,苏州市,姑苏区,18051221082,unknown,
baidu,3e8bebdf238aa4afbfa240df,茉莉奶白(苏州仁恒仓街店),干将东路仁恒仓街商业广场负一楼LG1-126号,江苏省,苏州市,姑苏区,18913527221,unknown,
baidu,9fae163187d255a151e5c572,细记港九大牌档(仁恒仓街店),仓街1号仁恒仓街商业广场负一层122室,江苏省,苏州市,姑苏区,(0512)67709211,unknown,
baidu,ec83cf0ac99d067eabf72941,同仁四季椰子鸡(苏州仁恒仓街店),平江街道仓街1号仓街商业广场LG1层131号商铺,江苏省,苏州市,姑苏区,(0512)69155789,unknown,
baidu,d2f63a223cf3473a0482c222,赵四喜糖水铺,双塔街道干将东路458号（赵四喜）,江苏省,苏州市,姑苏区,18801865673,unknown,
baidu,e22c705f9320d2d514b54b8c,苏州大学-学生食堂,干将路333号(相门地铁站1号口步行220米),江苏省,苏州市,姑苏区,,unknown,
baidu,c1cc22ccfe8ac9e4843304bf,巴蜀园川菜(相门店),江苏省苏州市姑苏区莫邪路1088号苏大后庄学生公寓18幢13室,江苏省,苏州市,姑苏区,15850050345,unknown,
baidu,e0b16f263a5d5ad28b2fb554,滨寿司(仁恒仓街店),仓街1号仁恒仓街商业广场负1层150-151号商铺,江苏省,苏州市,姑苏区,(0512)65573611,unknown,
baidu,ef773a0f9e6f482d22022031,博雅烧烤(相门后庄店),莫邪路1094号,江苏省,苏州市,姑苏区,18260444777,unknown,
baidu,a775115d7616581d8605bfb6,Pennehut畔尼意面(仁恒仓街店),干将东路仓街商业广场LG1层148号,江苏省,苏州市,姑苏区,18006255279,unknown,
baidu,b7d05edd8a3600e7210220da,艾赛提新疆馕饼,干将东路与仓街交叉口西60米,江苏省,苏州市,姑苏区,18609989031,unknown,
baidu,bd5046e83ce09c58d62ce2bf,得月楼(观前店),平江街道太监弄43号(人民商场东行80米),江苏省,苏州市,姑苏区,(0512)65222230,unknown,
baidu,207021aa8e4c63afe311034d,BAKER&SPICE(仓街店),仓街1号4号楼第G层161号商铺,江苏省,苏州市,姑苏区,19941957303,unknown,
baidu,a3b9bd47513974383310af3d,嘉琪包子,干将东路460号(相门地铁站3号口步行200米),江苏省,苏州市,姑苏区,15151498997,unknown,
baidu,d0399fda9acc0106e0110303,麦当劳(苏州仁恒仓街店),干将东路仓街商业广场LG1层第152号商铺,江苏省,苏州市,姑苏区,(0512)67666979,unknown,
baidu,0c4f4ddb1afcbbf410882456,DQ·蛋糕·冰淇淋(仓街店),平江街道仓街1号仓街商业广场第LG1层153号商铺,江苏省,苏州市,姑苏区,17712699772,unknown,
baidu,a015671f34a50aa057bffffa,嘟卡嘟卡自助旋转小火锅(莫邪路店),莫邪路1074号,江苏省,苏州市,姑苏区,18362665218,unknown,
baidu,9ff680cb210108a09e9d6873,大运饭店,苏州市姑苏区干将东路东舟公寓南门东侧约70米,江苏省,苏州市,姑苏区,,unknown,
baidu,9b6628f6c303c5062fb908bb,苏州北疆饭店大堂,江苏省苏州市姑苏区平江街道干将东路432号,江苏省,苏州市,姑苏区,,unknown,
baidu,f29a155a767356c4f7b9168e,星巴克(苏州干将路店),干将东路461号,江苏省,苏州市,姑苏区,(0512)62530086,unknown,
baidu,3c4c681cd97e5c0532870aaa,池奈·日式咖喱蛋包饭(苏州仁恒仓街店),平江街道仓街1号仓街商业广场项目LG1层128号商铺,江苏省,苏州市,姑苏区,13382533979,unknown,
baidu,d5dc2b86b6cee8b11e1d11a7,Très TenTanT太当当(仓街店),平江街道仓街1号仁恒仓街商业广场LG1-127,江苏省,苏州市,姑苏区,,unknown,
baidu,abfaa08a9d9d5806d518b702,赛百味SUBWAY(苏州仁恒仓街店),仓街1号仓街商业广场项目第LG1层156号商铺,江苏省,苏州市,姑苏区,19121171309,unknown,
baidu,e4725881e500ff822ce67b52,欢喜(茶事),相门古城墙下B1号,江苏省,苏州市,姑苏区,,unknown,
baidu,e95b0575a1c48152cc06a4a2,二哥东北菜馆羊蝎子火锅(相门后庄店),莫邪路1066号,江苏省,苏州市,姑苏区,13654501986,unknown,
baidu,f5504d8c032ee27407026fc0,忆品苏酒酿(平江店),仓街30号,江苏省,苏州市,姑苏区,15895582294,unknown,
baidu,c7502e0df63c904bd23ce3bf,GODIVA(苏州仁恒仓街店),平江街道仓街1号仁恒仓街商业广场5号楼G层178号商铺,江苏省,苏州市,姑苏区,(0512)65301660,unknown,
baidu,08ca0e355eaffd8c8f55ec3a,M Stand(苏州仁恒仓街店),干将东路仁恒仓街商业广场LG1层125号（下沉式广场南侧）,江苏省,苏州市,姑苏区,16628742253,unknown,
baidu,fcadca5ee1307f968e77273b,珍珠饭店,珍珠弄9号,江苏省,苏州市,姑苏区,(0512)65232403,unknown,
baidu,fee633b9d8c35f7d9e9d6828,藤州菜煎饼烤冷面,莫邪路1076号滕州菜煎饼烤冷面,江苏省,苏州市,姑苏区,"15062409236,19863295816",unknown,
baidu,55318c9cd7e792bff4231062,老坛重庆酸辣粉(相门后庄店),莫邪路1022号（达顺网吧旁，相门桥公交站）,江苏省,苏州市,姑苏区,13584855354,unknown,
baidu,492e07c1d78229e64207c1d4,乐虾拉面(仓街店),仓街1号仓街商场LG1层149号（KKV对面）,江苏省,苏州市,姑苏区,(0512)69588848,unknown,
baidu,d2d2a8ae095ba46f0869d992,FASCINO BAKERY(苏州仓街店),仓街1号仁恒仓街商业广场5号楼G层179号,江苏省,苏州市,姑苏区,18013056458,unknown,
baidu,a71943451710c96a82a12ece,饭菜擂起来·擂椒拌饭(干将东路店),干将东路636路1层1号位,江苏省,苏州市,姑苏区,,unknown,
baidu,31f9dfa0f6e7359100294f48,Grid Coffee(仁恒仓街店),仓街1号仓街商业广场1层G180号商铺,江苏省,苏州市,姑苏区,17813654225,unknown,
baidu,6408bc6baa64dab4b11e360a,小燕家苏式绿豆汤(双塔店),石匠弄42号,江苏省,苏州市,姑苏区,13962325899,unknown,
baidu,e19ded2108aa642c2fe67b8d,Peet's Coffee皮爷咖啡(苏州仁恒仓街店),仓街1号仓街商业广场项目7号楼第G层186号商铺,江苏省,苏州市,姑苏区,"13812656953,17714054855",unknown,
baidu,d99bbaca02a9b54b88db7309,日昇兴糕团店,石匠弄32号钟楼新村底商,江苏省,苏州市,姑苏区,15250076736,unknown,
baidu,d3c522178d14ecc9b13c8118,外婆家土灶台(莫邪路店),江苏省苏州市姑苏区双塔街道莫邪路1040号,江苏省,苏州市,姑苏区,18696818777,unknown,
baidu,2858f3750dd515773062126a,奥博餐饮管理有限公司,苏州市姑苏区莫邪路1094号,江苏省,苏州市,姑苏区,18260444777,unknown,
baidu,3269966200a5eedf00ff2da7,武汉黑鸭(莫邪路店),莫邪路苏大后庄学生公寓17幢08号,江苏省,苏州市,姑苏区,17095546686,unknown,
baidu,7547629fe135b7fcf03cbafd,钱小匠爆汁牛肉饭(苏大后庄店),莫邪路1062号,江苏省,苏州市,姑苏区,13913175907,unknown,
baidu,643469dcd0102f7e25e0a046,北京老吴烤鸭店(双塔菜场店),石匠弄25号,江苏省,苏州市,姑苏区,13401466514,unknown,
baidu,d3a242c385500f8c1894c6b4,棠月豆花(双塔市集店),双塔街道定慧寺巷与石匠弄交叉口双塔市集（江南米造局旁）,江苏省,苏州市,姑苏区,18013949836,unknown,
baidu,f16f5c65a620b44182288a09,海底捞火锅(观前街店),观前街41弄韩国购物城4楼,江苏省,苏州市,姑苏区,"(0512)68636222,(0512)68637111",unknown,
baidu,f204f16af32c103bdc1e5221,D3 CAFE(平江店),仓街44号,江苏省,苏州市,姑苏区,19901459912,unknown,
baidu,73fac157a2a72f33a1046457,淮南牛肉汤(相门后庄店),双塔街道相门后庄17幢07号,江苏省,苏州市,姑苏区,18625278568,unknown,
baidu,d7f2eda7b0bd1235f4eafc1b,苏州观前平江美居餐厅,干将东路535号平江美居酒店内一楼餐厅,江苏省,苏州市,姑苏区,18550502686,unknown,
baidu,0152065a80e59ffd3517dcf1,前楼牛肉汤(莫邪路店),相门绿郡花苑(后庄桥)1082号,江苏省,苏州市,姑苏区,13140849512,unknown,
baidu,4b7cfba7bee28f55da2f285b,东方卤菜熟食店(双塔分部),唐家巷1号,江苏省,苏州市,姑苏区,,unknown,
baidu,c116f961aea194813913fd04,川菜馆(相门后庄店),苏大后庄学生公寓18幢14室,江苏省,苏州市,姑苏区,18625014839,unknown,
baidu,21f6bc583aa58e24d12dd60b,祥鑫饮食店,十全街783号,江苏省,苏州市,姑苏区,17714066783,unknown,
baidu,a14c87be7f4939844107c15d,曼年养生粥,江苏省苏州市姑苏区莫邪路1046号,江苏省,苏州市,姑苏区,,unknown,
baidu,a12baa406abd204fe956fa86,美味斋(西北街店),西北街111号,江苏省,苏州市,姑苏区,(0512)67535030,unknown,
baidu,f186e57d189cf0251576430b,康盛卤菜店,官太尉桥石匠弄33号,江苏省,苏州市,姑苏区,"13706202813,13812781997",unknown,
baidu,6069e7ccae77f73749fd3f47,双塔顾甜白斩鸡(双塔店),石匠弄双塔市集,江苏省,苏州市,姑苏区,15950017328,unknown,
baidu,7d370c91a0d5b0a4c26c14e5,李百蟹·蟹黄面(观前街店),"观前街道蔡汇河头14号（姑苏八点半斜对面,韩国购物城旁）",江苏省,苏州市,姑苏区,"(0512)68666366,18269950812",unknown,
baidu,fa7da3e80bcf0e7b42d63e25,哑巴生煎(姑苏区苏安新村店),平江街道苏安新村24幢车库对面底商（近苏安新村农贸市场）,江苏省,苏州市,苏州工业园区,(0512)67410674,unknown,
baidu,c0e2231bb7a5551cc16c1413,EN MM CO(仓街店),平江街道仓街1号6号楼G层183商铺,江苏省,苏州市,姑苏区,13402577940,unknown,
baidu,5caea1cd73802810d518b765,哑巴生煎(临顿路店),平江街道临顿路温家岸12号,江苏省,苏州市,姑苏区,,unknown,
baidu,746346c52ed60d923010af24,小食稻米纪(双塔市场店),石匠弄双塔菜场小吃城12号铺,江苏省,苏州市,姑苏区,13338004941,unknown,
baidu,3c0ea7c527e42c85faf0cbf4,伟记奥面馆(白塔东路店),白塔东路266号,江苏省,苏州市,姑苏区,18963653802,unknown,
baidu,f952069712ebe8c801294f69,吴越荣记·苏州菜(娄门景区店),娄门路娄门城墙文化休闲商业街b2号,江苏省,苏州市,姑苏区,"(0512)67077566,18013135528",unknown,
baidu,b08ed5c66c66481420022073,鲍师傅糕点(观前街店),观前街1-53号101B室（地铁察院场站2号口向东584米豫园商厦旁）,江苏省,苏州市,姑苏区,18379505083,unknown,
baidu,6da09c2f0d32d8cbbe484214,泽田本家·铜锣烧(苏州仓街店),平江街道干将东路仓街商业广场LG1-130商铺（麦当劳对面）,江苏省,苏州市,姑苏区,,unknown,
baidu,da40316283b3dd59a5da3960,建新羊肉店,钟楼新村（石匠弄）,江苏省,苏州市,姑苏区,15051457586,unknown,
baidu,5e979d1ab73c09aec42ba125,昔木生日蛋糕(苏州店),莫邪路1058号12幢107室,江苏省,苏州市,姑苏区,"13404211128,19901487321",unknown,
baidu,a72cfafa85aa62f3293a9f54,仁恒仓街商业广场,仓街1号（相门地铁站2号口直达）,江苏省,苏州市,姑苏区,(0512)68381222,unknown,
baidu,9c30cc36d0b7a6cf2a02e18a,韵达超市(唐家巷店),江苏省苏州市姑苏区双塔街道唐家巷41号-8幢,江苏省,苏州市,姑苏区,,unknown,
baidu,71ac6986385e9f522002206b,乐高(仓街广场店),仓街1号(相门地铁站2号口直达)仁恒仓街商业广场B1,江苏省,苏州市,姑苏区,,unknown,
baidu,f67aecee91a49b2e43ab9a57,FRED(仁恒仓街商业广场店),仓街1号(相门地铁站2号口直达)仁恒仓街商业广场F1,江苏省,苏州市,姑苏区,(0512)67577996,unknown,
baidu,860a0a2a3f888d1b9d9d68c4,周大福CHOW TAI FOOK(仁恒仓街店),干将东路与仓街交叉口东北200米,江苏省,苏州市,姑苏区,4001669999,unknown,
baidu,cfb0404c495de1ea84154181,ami(仁恒仓街商业广场店),仓街1号(相门地铁站2号口直达)仁恒仓街商业广场F1,江苏省,苏州市,姑苏区,(0512)65218786,unknown,
baidu,9249b28cccc201e7932ca306,九木杂物社(苏州仁恒仓街店),仓街1号仓街商业广场项目第LG2层234号,江苏省,苏州市,姑苏区,13118633017,unknown,
baidu,c98bffbe43457342250bd0f0,海之星零食店(苏州干将路店),江苏省苏州市姑苏区干将东路432号,江苏省,苏州市,姑苏区,18021244168,unknown,
baidu,fb76127c1fe91fb9f5c59cbb,斯凯奇(仁恒仓街商业广场店),仓街1号(相门地铁站2号口直达)仁恒仓街商业广场B2,江苏省,苏州市,姑苏区,4009002311,unknown,
baidu,e5e1751cb3c310b5d22dd66e,全家便利店(干将东路二店),干将东路456号,江苏省,苏州市,姑苏区,4008200996,unknown,
baidu,abfd5215e020222f2fb90865,ASICS(仁恒仓街商业广场店),仓街1号(相门地铁站2号口直达)仁恒仓街商业广场B2,江苏省,苏州市,姑苏区,4008210893,unknown,
baidu,bbee0f17d18302349a0050e5,New Balance(仁恒仓街店),仓街与邾长巷交叉口东140米,江苏省,苏州市,姑苏区,,unknown,
baidu,86c2117a6f843a27901fc9e3,Theory(仁恒仓街商业广场店),仓街1号(相门地铁站2号口直达)仁恒仓街商业广场F1,江苏省,苏州市,姑苏区,,unknown,
baidu,90909d4c1425978f31f71d7d,双塔市集,石匠弄2号,江苏省,苏州市,姑苏区,(0512)65210299,unknown,
baidu,2dc933169fe186b03686f47a,THANN(苏州仁恒仓街店),仓街1号仓街商业广场3号F号楼G层142号商铺,江苏省,苏州市,姑苏区,(0512)65202521,unknown,
baidu,0999c5a8154d7ea99ff77982,春田商店,江苏省苏州市姑苏区混堂巷25号,江苏省,苏州市,姑苏区,18862113102,unknown,
baidu,8d7cd8e505e2b8f4c5effb4d,罗森便利店(干将东路店),干将东路666号,江苏省,苏州市,姑苏区,4008206390,unknown,
baidu,ba889abaa3601902343a71de,TSMLXLT(仁恒仓街店),仓街1号第LG1-141号商铺,江苏省,苏州市,姑苏区,,unknown,
baidu,d930c0b2cb15aa26c9c3dbd5,lululemon(苏州仁恒仓街商业广场店),仓街1号仓街商业广场项目3-C号楼第G层151号及3-C号楼第UG层221号商铺,江苏省,苏州市,姑苏区,(0512)67707011,unknown,
baidu,37dbfb631288667fcae33cc3,九月琴行,仓街11号（1号线相门站3号口北行80米）,江苏省,苏州市,姑苏区,18115562190,unknown,
baidu,61fc53597d7693a7d5b74e9e,建新电动车配件批发,苏州市姑苏区文星西路唐家巷小区东侧约80米,江苏省,苏州市,姑苏区,(0512)65232005,unknown,
baidu,c235ac1225fe9693c3364422,优倍视眼视光中心(干将东路店),干将东路432号（北疆商务酒店旁苏大北门对面）,江苏省,苏州市,姑苏区,(0512)65164416,unknown,
baidu,7f345e9a1a5940b5e115f9bf,Glasstique(仁恒仓街商业广场店),平江街道仓街1号仁恒仓街商业广场1层127号,江苏省,苏州市,姑苏区,(0512)68853588,unknown,
baidu,126c9013d48fc16e081cc763,MOSCHINO(仁恒仓街商业广场店),仓街1号(相门地铁站2号口直达)仁恒仓街商业广场F1,江苏省,苏州市,姑苏区,(0512)65839099,unknown,
baidu,9195ee607447ef825cbe86f7,JIMMY CHOO(仁恒仓街商业广场店),仓街1号(相门地铁站2号口直达)仁恒仓街商业广场F1,江苏省,苏州市,姑苏区,,unknown,
