FID,label,node_start,node_end
0,0,0,1
1,0,2,3
2,0,4,5
3,0,6,7
4,0,8,9
5,0,8,12
6,0,8,13
7,0,10,11
8,0,14,15
9,0,16,17
10,0,16,18
11,0,16,19
12,0,19,22
13,1,19,42
14,0,20,21
15,0,22,23
16,0,22,39
17,0,24,25
18,0,24,26
19,0,26,33
20,0,26,38
21,1,27,28
22,0,27,29
23,1,27,30
24,0,28,43
25,1,28,101
26,1,29,71
27,1,31,32
28,1,32,59
29,1,32,60
30,0,33,33
31,0,34,35
32,1,34,53
33,1,34,37
34,0,35,36
35,0,35,37
36,0,37,49
37,1,38,40
38,0,38,55
39,0,38,56
40,1,40,41
41,1,41,45
42,1,43,44
43,1,44,162
44,0,44,163
45,1,45,72
46,1,45,70
47,1,46,47
48,0,46,48
49,1,47,67
50,0,47,78
51,1,48,120
52,1,48,121
53,0,49,50
54,0,49,75
55,0,51,52
56,0,52,54
57,0,54,61
58,0,54,59
59,0,55,76
60,1,56,72
61,1,56,77
62,0,57,58
63,1,59,66
64,0,60,125
65,0,60,138
66,0,61,69
67,0,61,70
68,0,62,63
69,0,64,65
70,0,64,85
71,1,64,95
72,0,64,96
73,0,66,81
74,0,66,82
75,0,67,68
76,0,67,86
77,1,70,73
78,0,71,302
79,1,72,74
80,0,73,74
81,1,73,104
82,0,74,169
83,0,74,170
84,0,75,131
85,0,75,166
86,1,76,117
87,1,76,106
88,1,76,123
89,1,76,124
90,0,77,106
91,0,77,107
92,1,79,80
93,0,79,108
94,0,79,114
95,0,81,90
96,1,81,92
97,0,83,84
98,1,86,89
99,1,87,88
100,1,87,105
101,1,87,112
102,0,89,113
103,1,90,91
104,1,91,92
105,1,92,105
106,0,93,94
107,0,96,97
108,1,96,98
109,1,98,111
110,0,98,110
111,0,99,100
112,0,101,192
113,0,101,193
114,0,102,103
115,1,104,105
116,0,104,125
117,0,105,110
118,1,106,116
119,0,108,109
120,0,108,122
121,0,110,126
122,0,113,150
123,0,113,152
124,1,115,116
125,1,116,119
126,1,117,118
127,1,118,119
128,1,118,129
129,1,120,130
130,1,120,144
131,1,121,156
132,1,121,157
133,0,125,139
134,0,125,158
135,0,127,128
136,1,129,142
137,1,129,143
138,0,131,132
139,0,131,166
140,1,133,134
141,1,134,146
142,1,134,147
143,0,135,136
144,0,135,137
145,0,136,137
146,0,137,145
147,0,138,140
148,1,138,141
149,1,140,185
150,1,140,186
151,0,142,157
152,0,142,153
153,0,143,153
154,1,143,154
155,1,144,159
156,1,144,160
157,0,144,161
158,1,146,172
159,1,146,175
160,1,148,149
161,0,150,151
162,0,150,155
163,1,152,155
164,1,152,182
165,1,153,154
166,1,154,191
167,0,155,187
168,0,156,159
169,0,156,200
170,0,157,189
171,1,157,190
172,0,158,208
173,0,158,169
174,0,158,170
175,0,158,195
176,0,159,175
177,0,161,201
178,0,161,167
179,0,161,202
180,0,162,163
181,0,162,172
182,0,162,173
183,0,162,174
184,0,163,171
185,0,164,165
186,0,166,176
187,1,167,168
188,0,167,215
189,0,170,191
190,0,170,206
191,0,170,207
192,0,171,274
193,0,171,259
194,0,172,173
195,0,172,174
196,1,173,174
197,1,173,177
198,1,174,183
199,1,175,184
200,0,178,179
201,0,178,180
202,1,178,181
203,0,179,184
204,0,179,180
205,0,179,181
206,0,179,209
207,0,179,210
208,0,181,211
209,0,181,212
210,0,183,198
211,0,184,188
212,1,184,197
213,0,185,194
214,1,185,195
215,0,186,222
216,0,187,199
217,0,187,213
218,0,189,200
219,0,189,203
220,1,190,216
221,1,190,229
222,1,191,216
223,0,191,217
224,1,192,327
225,0,192,298
226,0,193,259
227,0,193,260
228,0,194,220
229,0,194,225
230,1,195,221
231,1,196,197
232,0,198,274
233,0,200,209
234,0,200,210
235,0,201,202
236,1,203,226
237,1,203,227
238,1,204,205
239,1,204,218
240,1,204,236
241,1,204,219
242,0,205,206
243,0,205,207
244,1,205,208
245,0,207,217
246,0,208,214
247,0,210,228
248,1,211,241
249,1,211,262
250,1,211,263
251,1,212,240
252,1,212,241
253,0,213,230
254,0,213,231
255,1,214,219
256,1,214,220
257,1,216,247
258,0,217,218
259,1,218,224
260,1,219,258
261,1,220,223
262,1,221,223
263,1,221,222
264,0,224,233
265,1,224,234
266,0,225,282
267,1,225,286
268,0,225,225
269,0,226,242
270,0,226,243
271,1,227,247
272,1,227,255
273,1,228,238
274,1,228,239
275,1,229,234
276,0,229,233
277,1,229,237
278,0,230,271
279,0,230,277
280,0,232,233
281,0,233,246
282,1,234,235
283,1,234,236
284,1,235,237
285,1,237,265
286,0,238,239
287,0,238,253
288,0,238,254
289,0,239,240
290,0,239,256
291,0,240,241
292,0,240,257
293,0,241,261
294,0,242,255
295,0,242,243
296,1,243,254
297,0,244,245
298,0,244,249
299,0,244,264
300,0,246,247
301,0,246,248
302,1,248,251
303,1,248,252
304,0,249,250
305,0,249,267
306,1,251,255
307,0,251,268
308,1,251,269
309,1,251,270
310,1,252,266
311,1,252,270
312,1,253,268
313,1,253,280
314,1,253,261
315,1,254,280
316,1,254,261
317,0,256,268
318,0,256,291
319,1,257,283
320,0,257,294
321,0,258,281
322,0,258,282
323,1,259,295
324,1,260,320
325,1,261,263
326,0,261,280
327,0,262,263
328,1,262,311
329,0,264,275
330,0,264,276
331,1,265,281
332,0,265,270
333,0,265,288
334,0,267,267
335,1,268,269
336,0,268,283
337,1,269,283
338,0,272,273
339,0,274,310
340,0,274,295
341,0,278,279
342,0,278,287
343,0,278,296
344,0,280,289
345,1,282,284
346,0,282,285
347,0,283,289
348,1,284,286
349,1,284,324
350,1,284,288
351,0,284,285
352,0,285,286
353,1,285,343
354,1,285,345
355,1,285,334
356,1,285,330
357,1,286,288
358,1,288,316
359,0,289,290
360,0,290,297
361,1,290,298
362,1,291,304
363,1,291,329
364,0,292,293
365,1,294,336
366,1,294,329
367,1,297,311
368,1,297,309
369,0,297,320
370,0,298,328
371,0,299,300
372,0,301,302
373,1,303,304
374,1,304,313
375,1,305,306
376,0,305,308
377,1,306,307
378,1,306,308
379,1,307,308
380,1,307,319
381,1,307,320
382,1,307,321
383,1,307,311
384,0,308,317
385,0,308,318
386,1,309,310
387,1,309,319
388,1,310,311
389,0,312,313
390,0,313,314
391,1,314,315
392,1,314,316
393,1,315,316
394,0,315,322
395,1,317,318
396,0,317,351
397,1,318,325
398,0,318,323
399,1,319,319
400,0,320,323
401,0,321,323
402,1,322,383
403,0,322,384
404,1,323,325
405,0,324,330
406,1,325,326
407,0,327,328
408,1,329,337
409,0,329,338
410,0,330,344
411,1,331,332
412,0,331,333
413,1,332,342
414,0,333,338
415,0,333,340
416,0,334,335
417,0,334,346
418,1,336,364
419,1,336,337
420,1,337,367
421,1,337,355
422,0,338,339
423,0,339,355
424,0,339,356
425,0,340,341
426,0,340,349
427,1,341,342
428,0,342,368
429,0,342,376
430,0,343,344
431,1,344,347
432,0,344,348
433,0,345,346
434,1,345,347
435,1,346,350
436,1,347,354
437,1,348,352
438,0,348,353
439,0,349,365
440,0,349,368
441,1,350,374
442,0,350,379
443,1,351,357
444,0,351,358
445,1,351,359
446,1,352,380
447,1,352,362
448,0,353,362
449,1,353,363
450,1,354,360
451,0,354,361
452,1,355,369
453,0,356,365
454,0,356,370
455,1,357,372
456,0,357,393
457,1,360,431
458,1,360,432
459,1,362,385
460,1,362,371
461,1,363,363
462,1,363,371
463,1,364,388
464,1,364,367
465,0,365,366
466,1,366,370
467,0,366,381
468,1,367,390
469,1,367,378
470,0,368,382
471,1,369,370
472,0,369,378
473,1,371,389
474,1,372,373
475,1,372,377
476,1,374,375
477,0,374,376
478,0,375,376
479,0,375,387
480,1,378,381
481,0,379,400
482,0,379,421
483,1,380,397
484,0,380,385
485,0,381,405
486,0,381,406
487,0,382,409
488,1,382,402
489,0,383,392
490,1,383,398
491,0,384,392
492,1,384,388
493,1,385,413
494,0,386,387
495,0,387,391
496,1,388,395
497,1,388,390
498,0,389,413
499,1,389,444
500,1,390,395
501,1,390,396
502,1,392,394
503,1,393,429
504,1,393,430
505,1,394,395
506,1,394,396
507,1,394,414
508,1,395,396
509,0,396,412
510,1,397,418
511,1,397,446
512,1,398,399
513,1,399,422
514,0,400,401
515,0,400,402
516,0,401,423
517,0,401,441
518,1,402,410
519,0,402,420
520,1,403,404
521,1,403,426
522,1,403,437
523,0,405,437
524,0,405,411
525,0,406,411
526,1,407,408
527,0,407,427
528,0,409,410
529,1,410,417
530,0,411,447
531,0,412,425
532,0,412,426
533,1,413,442
534,1,414,434
535,1,414,454
536,1,415,416
537,1,415,418
538,1,415,419
539,1,417,447
540,0,417,456
541,1,418,432
542,0,421,441
543,1,421,431
544,1,422,433
545,1,422,434
546,0,423,424
547,0,424,459
548,0,424,453
549,0,425,426
550,1,427,428
551,1,429,435
552,1,429,436
553,0,430,436
554,1,430,430
555,0,431,450
556,0,432,440
557,1,434,438
558,1,435,443
559,1,436,443
560,1,437,439
561,1,439,451
562,1,439,452
563,0,440,450
564,0,440,446
565,1,441,453
566,1,442,445
567,1,442,449
568,1,444,449
569,1,446,463
570,0,447,448
571,0,448,452
572,0,448,457
573,1,449,463
574,0,450,462
575,0,452,455
576,1,453,462
577,0,456,458
578,1,457,460
579,1,457,461
580,1,460,464
581,1,462,465
582,1,463,466
583,1,465,467
584,1,466,467
585,1,466,468
586,1,468,468
