source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,6d15b2c96304c8f430f71d88,江南蟹壳皇(新民桥店),广济路新民桥菜市场,江苏省,苏州市,姑苏区,13122410528,unknown,
baidu,750ec165e9e1a5324c3a59d7,松鹤楼(山塘街店),山塘街198号(近广济路),江苏省,苏州市,姑苏区,18051222262,unknown,
baidu,da7ab8584528b368b9bd6354,北浩弄清真牛肉包子店,虎丘街道北浩弄33号(近山塘街地铁站),江苏省,苏州市,姑苏区,13405001264,unknown,
baidu,ebeaf76a850186a2990050ff,山塘老街牛荘(农发新民桥菜场店),山塘街新民桥菜市场2楼200号(山塘街地铁站3号口旁),江苏省,苏州市,姑苏区,"13222216527,15501581816",unknown,
baidu,18aa9c3fdc03e324a8175add,柏玛头饭店,老阊门北码头民国风情街73号,江苏省,苏州市,姑苏区,(0512)67289707,unknown,
baidu,1290d20b82458c9d09a8d475,星月轩,北浩弄永余弄33号,江苏省,苏州市,姑苏区,13814886734,unknown,
baidu,95b73131db5fc3fa4354d791,蜜雪冰城(山塘街店),山塘街174号,江苏省,苏州市,姑苏区,18018161351,unknown,
baidu,3e431c9f5ca7e49a260bd070,马栋佩烧卖(广济路店),广济路236号新民桥菜市场内一楼A7、A8号,江苏省,苏州市,姑苏区,13328002506,unknown,
baidu,91079d5275e72a09c51e5101,鑫震源·苏式大虾生煎(新民桥店),广济路238号,江苏省,苏州市,姑苏区,13646210854,unknown,
baidu,5e03cd884e9f8c29744ff157,长城大厦-餐饮,江苏省苏州市姑苏区广济路233号,江苏省,苏州市,姑苏区,,unknown,
baidu,403d68c74f87c5a82ce67be3,丹凤楼食府,广济南路238号万家邻里山塘街生活中心,江苏省,苏州市,姑苏区,13914047511,unknown,
baidu,b0e22ef3b9acc5e881a12e93,义昌福包子(新民桥店),广济路新民桥菜场(山塘街地铁站3号口旁),江苏省,苏州市,姑苏区,18362681596,unknown,
baidu,7d3f0b39e6a3c482d518b791,北京老吴烤鸭店(新民桥店),广济路新民桥菜场一楼A3号,江苏省,苏州市,姑苏区,18912778488,unknown,
baidu,0430d11ef9647e635a3ac8d5,浮山茉香·绣球花冰淇淋(山塘街店),苏州市山塘街180号,江苏省,苏州市,姑苏区,18962189536,unknown,
baidu,1aa3b25525f3cc69018972b1,王氏林记(万家邻里新民桥菜市场店),广济路236号122、123室,江苏省,苏州市,姑苏区,15268251821,unknown,
baidu,13897c0cf8852c66c42ba1fe,远香府书房菜(北码头店),金阊街道惠济桥东南北码头200号,江苏省,苏州市,姑苏区,13912799352,unknown,
baidu,207994a4b71a904193114c53,陆振兴(新民桥店),广济路236号,江苏省,苏州市,姑苏区,15370030600,unknown,
baidu,f8d3d8570df246e3eb12e423,苏州市立医院(北区)-食堂,江苏省苏州市姑苏区市立医院(北区)10号楼,江苏省,苏州市,姑苏区,,unknown,
baidu,423ac3506a98f668774ff1f2,小闵盐水鹅(新民桥店),新民桥菜场一楼西侧(山塘街地铁站3号口旁),江苏省,苏州市,姑苏区,15195604818,unknown,
baidu,94450d3bdbaf6200fb2d6135,裕兴记(山塘街店),苏州市山塘街186号,江苏省,苏州市,姑苏区,13671828845,unknown,
baidu,d6700021fdfeca91704b871f,荣阳楼(山塘街店),山塘街329号,江苏省,苏州市,姑苏区,(0512)65529665,unknown,
