degree,closeness,betweenness,straightness,information,avg_neighbor_deg,clustering,local_efficiency,redundancy,node_id
1,0.00045062678840018295,0.0,0.009753425674297092,0.0003075421772211416,3.0,0.0,0.0,0.0,0
3,0.0006035166000486085,0.004965682626312744,0.012365998580918941,0.0003772749879076527,1.6666666666666667,0.0,0.0,0.0,1
1,0.000556201612813679,0.0,0.012038501105896935,0.00030754217722114065,3.0,0.0,0.0,0.0,2
3,0.0006663770690434865,0.0074299181344579515,0.012889973312178048,0.00048695294147665133,3.6666666666666665,0.0008241867816071304,0.0,0.3333333333333333,3
3,0.00063397954033079,0.006880013230794675,0.011317249588450422,0.0005661114268565602,3.3333333333333335,0.0,0.0,0.0,7
4,0.000676405707688295,0.003340775655337799,0.012038231306582188,0.0005976663517780195,4.25,0.000550943611020996,0.0,0.16666666666666666,8
2,0.0006329445916209803,0.005540395269990905,0.0119600476775183,0.0005072598484754236,3.5,0.0,0.0,0.0,9
4,0.000639285636360287,0.015554452989332673,0.010731793910133408,0.000628739054883659,3.5,0.0,0.0,0.0,10
4,0.0006729788402413578,0.010903001736541802,0.012680341275259494,0.0005526299600085354,3.25,0.0,0.0,0.0,11
3,0.0006664080078899876,0.0026213511949061442,0.01365975700343828,0.0004779867526262274,2.6666666666666665,0.0,0.0,0.0,12
1,0.0006012111260687518,0.0,0.013017311474951103,0.0003713181682119605,3.0,0.0,0.0,0.0,13
5,0.0006869223416053874,0.01710907136359878,0.01149454044722406,0.0006422250857237411,4.0,0.0006379350536977059,0.0,0.2,14
3,0.0006482392129717834,0.016220127346398744,0.010989164697132884,0.0005915940135430076,3.3333333333333335,0.0,0.0,0.0,15
3,0.0006852693027966869,0.0008475977838418921,0.011472143764100808,0.0006120133079467867,3.6666666666666665,0.0,0.0,0.0,16
3,0.0006497739683019744,0.005250971636483917,0.011274744846390778,0.000534263903978643,2.3333333333333335,0.0,0.0,0.0,19
3,0.000664459041370616,0.014520797155379147,0.011082922470269216,0.0006065692494304669,3.0,0.0,0.0,0.0,20
3,0.0006562317331599196,0.014611758868767057,0.010365956721358692,0.0006390750696866604,3.3333333333333335,0.0,0.0,0.0,21
3,0.0006860112745314234,0.007822707351360291,0.011273766678654517,0.0005920394726740102,3.0,0.0,0.0,0.0,22
