node_id_1,node_id_2,edge_id
0,36,0
0,82,1
1,249,2
1,95,3
2,91,4
2,311,5
2,532,6
3,257,7
3,84,8
3,364,9
4,88,10
4,284,11
5,501,12
6,90,13
6,527,14
6,529,15
7,534,16
7,6,17
8,159,18
8,290,19
9,23,20
9,219,21
10,14,22
10,11,23
11,10,24
11,129,25
11,28,26
12,15,27
13,282,28
13,281,29
14,156,30
14,10,31
14,29,32
15,105,33
15,27,34
15,343,35
16,17,36
16,24,37
16,128,38
17,247,39
17,16,40
17,348,41
18,19,42
19,20,43
19,236,44
19,66,45
20,144,46
20,74,47
21,20,48
21,236,49
22,138,50
22,78,51
23,77,52
23,237,53
24,16,54
24,129,55
24,32,56
24,124,57
25,106,58
25,185,59
25,26,60
26,31,61
26,342,62
26,25,63
27,32,64
27,28,65
27,15,66
28,12,67
28,29,68
29,110,69
29,109,70
30,51,71
30,385,72
31,212,73
31,26,74
31,35,75
32,27,76
32,31,77
32,24,78
33,49,79
33,266,80
34,52,81
34,344,82
34,268,83
35,123,84
35,31,85
35,124,86
35,54,87
36,82,88
36,127,89
36,229,90
37,38,91
37,42,92
38,37,93
38,39,94
39,137,95
39,483,96
39,38,97
40,41,98
40,264,99
41,42,100
42,43,101
42,48,102
43,479,103
43,484,104
44,46,105
44,45,106
45,283,107
45,137,108
46,47,109
46,26,110
47,48,111
47,43,112
48,49,113
48,52,114
49,50,115
49,265,116
50,186,117
50,264,118
50,266,119
51,52,120
51,47,121
52,34,122
52,51,123
53,92,124
53,205,125
54,263,126
54,125,127
54,35,128
55,89,129
55,83,130
55,370,131
56,372,132
58,354,133
58,401,134
59,410,135
59,94,136
61,151,137
61,64,138
62,148,139
62,81,140
63,417,141
63,60,142
64,141,143
64,234,144
66,72,145
66,65,146
67,66,147
67,20,148
68,303,149
68,69,150
69,424,151
69,235,152
70,71,153
70,475,154
71,475,155
71,165,156
72,299,157
73,184,158
73,75,159
74,449,160
74,21,161
75,276,162
75,73,163
76,9,164
76,79,165
77,76,166
78,8,167
78,474,168
78,138,169
79,22,170
79,78,171
80,313,172
81,152,173
81,250,174
81,82,175
82,36,176
82,81,177
82,152,178
82,253,179
83,55,180
83,381,181
84,4,182
84,383,183
84,3,184
85,382,185
85,370,186
85,154,187
86,88,188
86,371,189
86,284,190
87,346,191
87,2,192
88,83,193
88,89,194
88,371,195
89,286,196
89,85,197
89,370,198
90,93,199
90,539,200
90,6,201
91,351,202
91,2,203
91,310,204
92,53,205
92,564,206
92,550,207
93,7,208
93,533,209
94,537,210
94,536,211
94,535,212
95,1,213
95,272,214
95,528,215
96,421,216
96,526,217
97,133,218
97,102,219
98,101,220
98,140,221
99,98,222
99,97,223
100,99,224
100,285,225
101,100,226
102,133,227
102,294,228
103,338,229
103,161,230
104,15,231
104,107,232
105,104,233
105,224,234
106,25,235
106,103,236
107,109,237
107,223,238
107,108,239
107,226,240
108,109,241
108,110,242
109,107,243
109,12,244
110,156,245
111,245,246
112,275,247
112,145,248
113,144,249
113,452,250
114,465,251
114,113,252
115,276,253
115,73,254
115,442,255
116,439,256
116,114,257
117,291,258
117,131,259
118,280,260
118,160,261
118,136,262
119,120,263
119,122,264
119,561,265
120,344,266
120,345,267
121,266,268
121,267,269
122,267,270
122,569,271
122,119,272
123,345,273
123,35,274
123,384,275
123,344,276
124,35,277
124,24,278
125,124,279
125,17,280
126,300,281
126,144,282
126,70,283
127,128,284
127,229,285
127,10,286
128,127,287
128,16,288
128,129,289
129,24,290
129,11,291
130,112,292
130,225,293
131,218,294
131,143,295
132,14,296
133,102,297
133,238,298
133,293,299
134,130,300
134,361,301
134,143,302
136,295,303
136,118,304
136,496,305
137,308,306
137,39,307
138,473,308
139,115,309
139,21,310
140,277,311
140,246,312
140,245,313
141,63,314
141,420,315
142,68,316
143,146,317
143,293,318
143,134,319
144,434,320
144,126,321
145,295,322
145,341,323
146,145,324
146,130,325
147,389,326
148,274,327
149,61,328
150,426,329
150,151,330
150,425,331
151,150,332
151,302,333
151,234,334
152,230,335
153,507,336
153,254,337
154,287,338
155,270,339
155,263,340
155,262,341
156,14,342
156,157,343
157,132,344
157,158,345
158,219,346
158,159,347
159,78,348
159,9,349
160,13,350
160,195,351
161,162,352
161,224,353
161,105,354
162,161,355
162,25,356
163,164,357
164,285,358
164,99,359
165,298,360
165,72,361
166,174,362
166,171,363
167,298,364
167,170,365
168,176,366
168,169,367
169,168,368
169,180,369
169,181,370
170,183,371
170,167,372
170,173,373
171,166,374
171,183,375
171,172,376
172,171,377
173,174,378
173,170,379
173,180,380
174,173,381
174,178,382
174,182,383
174,166,384
175,178,385
175,179,386
176,168,387
176,177,388
177,176,389
177,179,390
177,182,391
177,178,392
178,174,393
178,175,394
178,177,395
179,177,396
179,175,397
180,182,398
180,169,399
180,173,400
181,297,401
181,169,402
182,177,403
182,180,404
182,174,405
183,170,406
183,171,407
184,73,408
184,22,409
185,46,410
185,197,411
185,45,412
186,194,413
186,187,414
187,571,415
187,121,416
188,192,417
188,189,418
189,260,419
189,199,420
189,566,421
190,394,422
190,287,423
190,364,424
191,396,425
191,192,426
192,193,427
193,187,428
193,194,429
195,196,430
195,198,431
195,296,432
196,185,433
196,485,434
197,309,435
197,196,436
198,13,437
198,195,438
199,368,439
199,261,440
199,377,441
200,562,442
200,551,443
201,203,444
201,202,445
202,201,446
202,203,447
202,204,448
203,208,449
203,202,450
204,207,451
204,205,452
204,202,453
205,54,454
205,204,455
206,207,456
207,204,457
207,206,458
207,208,459
208,53,460
208,207,461
209,384,462
210,30,463
210,386,464
211,386,465
212,210,466
212,387,467
213,387,468
214,232,469
214,217,470
215,214,471
216,217,472
216,232,473
217,218,474
217,363,475
218,134,476
218,362,477
219,220,478
220,157,479
220,108,480
221,23,481
222,240,482
222,221,483
223,222,484
224,225,485
224,112,486
224,161,487
225,226,488
225,104,489
226,243,490
226,107,491
226,361,492
227,228,493
227,526,494
227,539,495
228,418,496
228,227,497
229,127,498
229,289,499
230,95,500
230,231,501
231,142,502
232,241,503
233,153,504
233,87,505
234,64,506
234,303,507
234,151,508
235,301,509
235,126,510
236,18,511
237,242,512
238,292,513
238,135,514
239,240,515
239,223,516
240,214,517
240,241,518
241,242,519
241,221,520
242,237,521
243,215,522
243,239,523
244,102,524
244,98,525
245,244,526
245,246,527
245,111,528
246,118,529
246,245,530
247,17,531
247,248,532
248,347,533
249,248,534
249,247,535
250,423,536
250,251,537
251,250,538
252,253,539
252,82,540
253,314,541
254,84,542
254,255,543
255,506,544
255,383,545
255,256,546
256,360,547
257,365,548
257,233,549
258,376,550
258,259,551
258,393,552
259,189,553
259,258,554
260,557,555
260,261,556
261,260,557
261,199,558
261,346,559
262,546,560
262,155,561
262,263,562
263,54,563
263,155,564
264,50,565
264,265,566
264,40,567
265,264,568
265,41,569
266,121,570
266,33,571
266,50,572
267,121,573
267,122,574
267,268,575
268,33,576
268,267,577
269,155,578
269,270,579
270,1,580
271,419,581
272,231,582
272,95,583
272,271,584
273,80,585
273,274,586
274,113,587
274,273,588
275,112,589
276,139,590
277,140,591
277,101,592
278,277,593
279,280,594
279,160,595
280,278,596
280,320,597
280,118,598
281,45,599
281,288,600
282,279,601
282,319,602
283,307,603
283,281,604
284,256,605
284,86,606
284,383,607
285,163,608
286,3,609
286,4,610
286,364,611
287,154,612
287,190,613
287,382,614
288,197,615
288,309,616
289,8,617
289,290,618
290,132,619
290,289,620
291,135,621
292,131,622
292,291,623
293,143,624
293,292,625
294,146,626
294,293,627
295,294,628
295,244,629
296,195,630
296,496,631
296,494,632
297,71,633
297,429,634
298,167,635
298,165,636
298,297,637
299,298,638
300,126,639
300,301,640
300,425,641
301,150,642
301,302,643
302,69,644
302,303,645
303,68,646
303,304,647
303,234,648
304,142,649
304,305,650
305,272,651
305,271,652
306,283,653
306,307,654
307,282,655
308,137,656
308,318,657
308,317,658
309,198,659
310,510,660
310,509,661
310,312,662
311,200,663
311,542,664
311,512,665
312,58,666
312,350,667
313,252,668
313,314,669
314,148,670
314,313,671
315,317,672
316,317,673
316,319,674
316,318,675
317,316,676
317,308,677
317,315,678
318,316,679
318,306,680
319,316,681
320,280,682
321,322,683
322,321,684
322,341,685
322,326,686
323,336,687
323,324,688
323,333,689
324,326,690
324,323,691
324,337,692
325,337,693
326,324,694
326,327,695
326,322,696
327,328,697
327,336,698
327,326,699
328,329,700
328,329,701
328,327,702
329,328,703
329,328,704
329,336,705
330,334,706
330,339,707
330,340,708
331,334,709
331,333,710
331,340,711
332,339,712
333,335,713
333,331,714
333,323,715
334,331,716
334,330,717
334,335,718
335,333,719
335,339,720
335,336,721
335,334,722
336,323,723
336,327,724
336,335,725
336,329,726
337,325,727
337,324,728
337,338,729
338,103,730
338,340,731
338,337,732
339,335,733
339,332,734
339,330,735
340,338,736
340,330,737
340,331,738
341,136,739
341,322,740
342,27,741
342,343,742
343,162,743
343,342,744
344,34,745
344,120,746
344,123,747
345,201,748
346,87,749
346,261,750
346,541,751
346,377,752
347,0,753
347,348,754
348,347,755
348,128,756
349,354,757
349,352,758
349,353,759
350,508,760
350,312,761
350,353,762
351,508,763
351,153,764
352,355,765
352,501,766
352,349,767
353,355,768
353,350,769
353,349,770
354,397,771
354,349,772
355,352,773
355,353,774
355,357,775
356,507,776
356,358,777
356,357,778
357,355,779
357,358,780
357,356,781
358,356,782
358,357,783
358,500,784
359,360,785
359,86,786
360,5,787
360,359,788
361,362,789
361,226,790
361,134,791
362,215,792
362,361,793
363,117,794
364,375,795
364,286,796
364,3,797
364,382,798
364,190,799
365,374,800
365,257,801
365,366,802
365,375,803
366,365,804
366,367,805
366,374,806
367,368,807
367,377,808
367,366,809
368,392,810
368,367,811
369,370,812
370,89,813
370,369,814
370,85,815
370,390,816
370,55,817
371,381,818
371,88,819
371,86,820
371,380,821
372,359,822
372,373,823
373,380,824
373,380,825
373,372,826
374,365,827
374,393,828
374,366,829
375,365,830
375,364,831
375,376,832
376,190,833
376,375,834
377,233,835
377,367,836
377,346,837
378,534,838
378,543,839
378,531,840
379,155,841
379,543,842
380,373,843
380,373,844
380,371,845
381,371,846
381,83,847
381,389,848
382,286,849
382,364,850
382,85,851
383,284,852
383,84,853
383,255,854
384,123,855
384,209,856
384,478,857
384,387,858
385,30,859
385,476,860
385,386,861
385,478,862
386,210,863
386,211,864
386,387,865
386,385,866
387,212,867
387,213,868
387,384,869
387,386,870
388,308,871
389,381,872
389,147,873
390,370,874
391,395,875
392,258,876
392,393,877
393,258,878
393,374,879
393,392,880
394,191,881
394,395,882
395,391,883
395,394,884
395,396,885
396,259,886
396,395,887
397,57,888
397,400,889
398,415,890
398,402,891
399,57,892
399,400,893
400,409,894
400,397,895
400,406,896
400,399,897
401,59,898
401,403,899
402,398,900
402,407,901
402,409,902
402,408,903
403,404,904
403,401,905
403,405,906
404,403,907
404,405,908
404,406,909
405,407,910
405,404,911
405,403,912
406,400,913
406,407,914
406,404,915
407,405,916
407,402,917
407,406,918
408,402,919
408,409,920
409,400,921
409,402,922
409,408,923
410,413,924
410,412,925
411,60,926
411,414,927
412,414,928
412,413,929
412,410,930
413,411,931
413,412,932
414,412,933
414,411,934
415,416,935
415,59,936
416,415,937
417,535,938
417,418,939
418,90,940
418,417,941
419,96,942
419,420,943
420,304,944
420,419,945
421,63,946
421,422,947
422,421,948
423,68,949
423,424,950
424,62,951
424,423,952
425,300,953
425,427,954
425,430,955
425,150,956
426,149,957
426,427,958
427,425,959
427,428,960
427,426,961
428,427,962
428,430,963
428,432,964
429,430,965
429,300,966
430,429,967
