node_id_1,node_id_2,edge_id
0,32,0
0,21,1
1,0,2
1,541,3
2,524,4
2,157,5
3,485,6
3,484,7
3,157,8
4,6,9
5,111,10
6,149,11
6,137,12
6,606,13
6,4,14
8,93,15
8,596,16
9,592,17
9,581,18
9,94,19
10,191,20
10,394,21
11,80,22
11,245,23
12,35,24
12,32,25
13,134,26
13,17,27
13,15,28
14,17,29
14,545,30
14,19,31
15,13,32
15,16,33
16,15,34
16,135,35
17,13,36
17,14,37
17,534,38
18,19,39
18,174,40
18,540,41
19,18,42
19,547,43
19,14,44
20,29,45
20,10,46
21,20,47
21,35,48
22,27,49
22,92,50
23,298,51
23,39,52
24,36,53
25,24,54
25,47,55
25,41,56
26,334,57
26,337,58
27,24,59
27,435,60
28,30,61
28,47,62
29,68,63
30,40,64
30,369,65
31,267,66
31,330,67
32,170,68
33,39,69
33,343,70
34,205,71
34,237,72
34,325,73
35,20,74
35,29,75
36,22,76
36,49,77
37,378,78
37,333,79
37,380,80
38,414,81
38,37,82
38,574,83
39,331,84
39,23,85
40,436,86
40,25,87
41,49,88
41,46,89
41,25,90
42,238,91
42,320,92
43,350,93
43,466,94
43,48,95
44,329,96
44,355,97
45,466,98
45,132,99
46,362,100
46,350,101
46,41,102
47,25,103
47,28,104
47,361,105
48,363,106
48,103,107
48,43,108
48,529,109
49,363,110
49,41,111
49,36,112
50,60,113
50,99,114
51,61,115
51,52,116
52,593,117
52,53,118
53,59,119
53,73,120
54,573,121
54,555,122
55,593,123
55,586,124
55,584,125
56,58,126
56,176,127
57,70,128
58,59,129
59,53,130
59,50,131
60,90,132
62,56,133
63,62,134
63,60,135
64,65,136
64,82,137
65,57,138
65,62,139
66,67,140
66,72,141
67,69,142
68,70,143
68,71,144
69,72,145
69,399,146
70,12,147
71,66,148
71,65,149
72,68,150
72,66,151
74,10,152
74,75,153
75,74,154
75,411,155
75,404,156
76,88,157
76,83,158
77,84,159
77,414,160
77,418,161
78,87,162
78,64,163
78,89,164
79,419,165
79,447,166
79,85,167
79,421,168
80,416,169
80,544,170
81,452,171
81,451,172
81,419,173
81,424,174
82,87,175
82,76,176
83,418,177
83,434,178
83,76,179
84,77,180
84,431,181
84,443,182
85,401,183
85,395,184
85,79,185
85,407,186
86,456,187
86,88,188
86,458,189
87,78,190
87,82,191
87,417,192
88,67,193
88,86,194
89,90,195
89,97,196
89,78,197
90,89,198
90,92,199
91,100,200
91,94,201
92,22,202
92,529,203
93,100,204
93,8,205
93,582,206
94,51,207
94,9,208
95,96,209
95,101,210
95,596,211
96,529,212
96,95,213
96,595,214
97,78,215
97,89,216
98,99,217
99,64,218
99,98,219
100,93,220
100,596,221
100,91,222
101,95,223
101,530,224
102,114,225
102,103,226
103,48,227
103,102,228
103,45,229
104,108,230
104,115,231
105,110,232
105,106,233
106,109,234
106,130,235
107,114,236
107,110,237
107,113,238
108,112,239
109,110,240
109,113,241
110,107,242
110,105,243
110,109,244
111,106,245
111,124,246
112,530,247
113,107,248
113,539,249
113,122,250
114,115,251
114,107,252
114,108,253
115,114,254
115,103,255
116,126,256
116,118,257
117,123,258
117,120,259
118,131,260
118,116,261
118,127,262
119,31,263
119,135,264
120,121,265
120,129,266
121,120,267
121,123,268
122,130,269
122,113,270
122,128,271
123,139,272
123,141,273
124,129,274
124,111,275
125,122,276
125,102,277
126,116,278
126,5,279
127,117,280
127,118,281
128,122,282
128,125,283
129,131,284
130,124,285
130,121,286
131,118,287
131,126,288
132,125,289
132,33,290
133,607,291
133,531,292
134,13,293
134,147,294
135,16,295
135,134,296
136,146,297
136,606,298
136,579,299
137,6,300
137,141,301
138,139,302
138,137,303
139,138,304
139,531,305
140,142,306
141,4,307
141,140,308
142,117,309
143,539,310
144,539,311
145,148,312
146,147,313
146,136,314
146,615,315
147,155,316
147,146,317
147,163,318
148,579,319
148,146,320
149,6,321
150,156,322
150,604,323
150,536,324
151,154,325
151,158,326
151,165,327
152,536,328
152,537,329
152,158,330
153,7,331
153,578,332
154,168,333
154,151,334
155,534,335
155,147,336
155,164,337
157,482,338
157,3,339
157,2,340
158,151,341
158,152,342
158,518,343
159,604,344
159,601,345
159,520,346
160,477,347
160,549,348
161,158,349
161,506,350
161,501,351
162,601,352
162,602,353
163,145,354
164,520,355
164,155,356
164,533,357
165,504,358
165,166,359
165,472,360
166,165,361
166,154,362
167,169,363
167,168,364
167,576,365
168,167,366
168,599,367
169,513,368
169,167,369
170,543,370
170,171,371
171,170,372
172,173,373
172,17,374
173,183,375
173,545,376
174,18,377
174,0,378
175,551,379
175,176,380
176,73,381
176,58,382
177,280,383
177,185,384
178,251,385
178,209,386
178,184,387
179,180,388
179,212,389
179,182,390
180,179,391
180,227,392
180,226,393
180,259,394
181,225,395
181,259,396
182,217,397
182,179,398
182,249,399
183,215,400
183,224,401
184,178,402
184,253,403
184,216,404
185,209,405
185,207,406
185,177,407
186,207,408
186,199,409
186,187,410
187,208,411
187,186,412
188,263,413
188,194,414
188,189,415
189,181,416
189,188,417
190,229,418
190,235,419
190,191,420
191,193,421
191,190,422
192,241,423
192,235,424
192,242,425
193,189,426
193,194,427
194,229,428
194,188,429
194,195,430
194,193,431
195,194,432
195,263,433
195,196,434
196,233,435
196,195,436
196,230,437
197,213,438
197,233,439
197,199,440
198,239,441
198,201,442
198,242,443
199,186,444
199,232,445
199,197,446
200,201,447
200,232,448
200,237,449
201,200,450
201,198,451
201,204,452
201,202,453
202,203,454
202,201,455
202,231,456
203,204,457
203,202,458
203,264,459
204,203,460
204,201,461
204,233,462
205,300,463
205,206,464
206,205,465
207,186,466
207,185,467
207,208,468
