FID,label,node_start,node_end
0,0,0,1
1,0,0,2
2,0,1,16
3,1,1,17
4,0,2,3
5,1,3,7
6,1,3,8
7,0,4,5
8,1,4,6
9,0,5,32
10,0,5,37
11,0,5,34
12,0,6,34
13,1,6,12
14,0,7,9
15,1,7,10
16,1,8,17
17,1,8,20
18,0,9,18
19,1,9,20
20,1,10,14
21,0,10,18
22,1,11,12
23,1,11,13
24,0,12,44
25,1,12,15
26,1,13,15
27,0,15,45
28,1,16,21
29,0,16,19
30,1,17,19
31,0,18,33
32,0,19,22
33,1,19,20
34,1,19,23
35,0,21,30
36,0,21,23
37,1,22,23
38,1,23,33
39,1,24,25
40,1,24,26
41,1,25,36
42,0,25,80
43,0,25,52
44,1,26,52
45,0,26,53
46,1,27,28
47,1,27,29
48,1,28,69
49,1,28,51
50,1,29,35
51,0,29,51
52,0,30,38
53,0,30,50
54,0,31,32
55,1,31,41
56,0,31,37
57,1,33,49
58,1,34,43
59,0,34,44
60,1,35,36
61,0,36,56
62,1,37,42
63,0,37,43
64,0,38,39
65,0,38,40
66,1,39,54
67,1,40,46
68,0,40,47
69,0,40,48
70,1,41,53
71,1,41,83
72,0,41,42
73,1,42,83
74,1,43,61
75,0,43,62
76,1,44,45
77,0,45,49
78,1,46,59
79,0,46,60
80,1,48,54
81,1,48,55
82,0,49,50
83,1,50,57
84,1,50,58
85,0,51,81
86,0,52,66
87,0,53,66
88,1,54,55
89,0,54,63
90,1,55,64
91,0,56,81
92,0,56,80
93,1,59,98
94,1,59,99
95,1,60,67
96,0,60,68
97,1,61,110
98,1,61,121
99,0,61,122
100,1,62,67
101,1,62,77
102,1,63,65
103,0,63,63
104,1,64,68
105,1,64,106
106,0,65,65
107,0,66,100
108,1,66,101
109,1,67,70
110,0,69,104
111,0,70,102
112,0,70,103
113,1,71,72
114,1,71,73
115,1,71,74
116,1,73,78
117,0,73,79
118,1,74,75
119,0,74,82
120,1,74,79
121,0,75,76
122,1,75,75
123,0,76,111
124,0,76,82
125,1,77,127
126,1,77,128
127,0,77,136
128,1,78,85
129,1,78,86
130,0,79,87
131,1,79,88
132,0,79,86
133,1,80,105
134,0,80,100
135,1,81,84
136,0,82,87
137,1,83,101
138,1,83,110
