node_id_1,node_id_2,edge_id
0,5,0
0,230,1
0,233,2
1,45,3
1,50,4
2,19,5
2,1,6
3,176,7
3,256,8
3,6,9
3,175,10
4,181,11
4,322,12
4,164,13
5,236,14
5,224,15
5,53,16
5,0,17
6,180,18
6,3,19
6,181,20
6,298,21
7,67,22
7,53,23
7,188,24
8,29,25
8,94,26
8,30,27
9,32,28
9,76,29
9,257,30
10,33,31
10,198,32
10,102,33
11,33,34
11,13,35
11,14,36
12,134,37
12,200,38
12,315,39
12,317,40
13,14,41
13,11,42
13,38,43
14,101,44
14,13,45
14,11,46
15,97,47
15,200,48
15,135,49
15,34,50
16,37,51
16,26,52
16,25,53
17,104,54
19,18,55
20,21,56
20,118,57
21,22,58
21,20,59
21,35,60
22,28,61
22,21,62
22,121,63
23,135,64
23,40,65
23,137,66
24,39,67
24,25,68
26,16,69
26,24,70
26,101,71
27,17,72
28,97,73
28,22,74
29,56,75
29,8,76
29,138,77
30,260,78
30,95,79
31,29,80
31,61,81
32,9,82
32,57,83
32,31,84
33,11,85
33,10,86
33,32,87
34,100,88
35,21,89
36,101,90
36,37,91
36,122,92
37,16,93
37,118,94
37,36,95
38,13,96
38,127,97
38,126,98
39,24,99
40,41,100
40,23,101
41,40,102
42,267,103
42,251,104
42,253,105
42,235,106
43,223,107
43,237,108
44,51,109
45,46,110
45,47,111
46,1,112
46,19,113
47,49,114
47,45,115
47,52,116
48,45,117
48,51,118
49,47,119
49,252,120
49,220,121
50,48,122
50,198,123
51,44,124
51,48,125
51,54,126
52,47,127
52,54,128
52,267,129
53,7,130
53,5,131
53,219,132
54,206,133
54,52,134
54,51,135
55,2,136
56,315,137
56,29,138
56,312,139
57,59,140
57,32,141
57,81,142
58,59,143
59,58,144
59,57,145
59,115,146
60,128,147
60,114,148
60,115,149
61,62,150
61,312,151
61,31,152
62,61,153
62,111,154
62,63,155
63,64,156
63,62,157
63,110,158
64,63,159
64,65,160
64,311,161
65,105,162
65,107,163
65,64,164
66,108,165
66,110,166
66,109,167
67,216,168
67,7,169
67,68,170
67,275,171
68,69,172
68,215,173
68,67,174
69,68,175
70,71,176
70,188,177
70,190,178
71,289,179
71,255,180
71,70,181
72,229,182
72,176,183
72,73,184
73,90,185
73,255,186
73,72,187
74,259,188
74,213,189
74,96,190
75,282,191
75,76,192
75,194,193
76,9,194
76,211,195
76,75,196
77,175,197
77,242,198
77,244,199
78,240,200
78,248,201
78,244,202
79,249,203
79,248,204
80,112,205
80,82,206
80,81,207
81,113,208
81,57,209
81,80,210
82,131,211
82,130,212
82,80,213
83,249,214
83,226,215
84,148,216
84,178,217
85,89,218
85,155,219
85,303,220
86,156,221
86,158,222
87,162,223
87,88,224
87,160,225
88,164,226
88,161,227
88,87,228
88,171,229
89,85,230
89,158,231
89,165,232
90,91,233
90,298,234
90,73,235
91,255,236
91,90,237
91,186,238
92,290,239
92,287,240
92,299,241
93,300,242
93,290,243
93,94,244
94,8,245
94,184,246
94,93,247
95,300,248
95,30,249
95,192,250
96,302,251
96,191,252
96,74,253
97,15,254
97,28,255
97,98,256
98,99,257
98,97,258
98,133,259
99,105,260
99,134,261
99,98,262
100,34,263
100,15,264
101,14,265
101,36,266
101,26,267
102,17,268
102,55,269
103,102,270
103,33,271
104,103,272
105,65,273
105,99,274
105,106,275
106,105,276
106,311,277
106,313,278
107,130,279
107,65,280
107,108,281
108,309,282
108,66,283
108,107,284
109,310,285
109,111,286
109,66,287
110,111,288
110,66,289
110,63,290
111,110,291
111,109,292
111,62,293
112,80,294
112,113,295
112,309,296
113,81,297
113,112,298
113,310,299
114,125,300
114,60,301
114,115,302
115,60,303
115,59,304
115,114,305
116,128,306
116,131,307
116,117,308
117,116,309
118,20,310
118,37,311
118,119,312
119,124,313
119,118,314
119,120,315
120,199,316
120,119,317
120,128,318
121,132,319
121,129,320
121,22,321
122,127,322
122,124,323
122,123,324
122,36,325
123,125,326
123,124,327
123,122,328
124,119,329
124,123,330
124,122,331
125,127,332
125,114,333
125,123,334
126,38,335
127,125,336
127,122,337
127,38,338
128,60,339
128,116,340
128,120,341
129,130,342
129,121,343
129,199,344
130,82,345
130,107,346
130,129,347
131,116,348
131,82,349
131,199,350
132,121,351
133,134,352
133,200,353
133,98,354
134,99,355
134,12,356
134,133,357
135,23,358
135,15,359
135,136,360
136,137,361
136,317,362
136,135,363
137,136,364
137,141,365
137,23,366
137,138,367
138,139,368
138,137,369
139,147,370
139,150,371
140,143,372
140,141,373
140,145,374
141,320,375
141,137,376
141,140,377
142,320,378
142,143,379
143,144,380
143,140,381
143,142,382
144,143,383
144,145,384
144,318,385
145,140,386
145,150,387
145,146,388
145,144,389
146,145,390
147,149,391
148,155,392
148,84,393
148,153,394
148,183,395
149,147,396
149,318,397
149,150,398
150,151,399
150,145,400
150,139,401
150,149,402
151,150,403
152,84,404
152,153,405
153,154,406
153,152,407
153,148,408
154,153,409
154,155,410
155,85,411
155,148,412
155,154,413
155,303,414
156,86,415
156,157,416
156,167,417
157,156,418
157,163,419
157,159,420
158,86,421
158,159,422
158,89,423
159,158,424
159,165,425
159,157,426
160,166,427
160,161,428
160,87,429
161,88,430
161,160,431
162,87,432
162,304,433
162,167,434
163,304,435
163,157,436
163,164,437
164,88,438
164,4,439
164,163,440
164,168,441
165,159,442
165,303,443
165,89,444
166,160,445
167,162,446
167,156,447
167,304,448
168,169,449
168,164,450
168,171,451
169,168,452
169,172,453
170,171,454
170,172,455
171,170,456
171,88,457
171,168,458
172,169,459
172,170,460
173,242,461
173,232,462
174,256,463
174,322,464
175,77,465
175,3,466
175,228,467
176,72,468
176,3,469
176,228,470
177,305,471
177,184,472
177,178,473
178,8,474
178,177,475
179,305,476
179,182,477
179,181,478
180,296,479
180,6,480
180,297,481
180,308,482
181,4,483
181,179,484
181,6,485
182,179,486
182,306,487
182,308,488
183,148,489
184,94,490
184,261,491
184,177,492
185,187,493
185,293,494
185,298,495
186,287,496
186,91,497
186,187,498
187,185,499
187,186,500
187,291,501
188,7,502
188,70,503
188,189,504
189,224,505
189,190,506
189,188,507
190,189,508
190,247,509
190,70,510
191,299,511
191,286,512
191,288,513
191,96,514
192,302,515
192,95,516
192,258,517
193,280,518
193,194,519
193,211,520
193,272,521
194,195,522
194,193,523
194,75,524
195,283,525
195,281,526
195,194,527
196,285,528
196,215,529
196,213,530
197,198,531
197,217,532
197,262,533
198,197,534
198,10,535
198,50,536
199,129,537
199,120,538
199,131,539
200,15,540
200,12,541
200,133,542
201,202,543
201,262,544
201,204,545
202,201,546
203,209,547
203,217,548
203,208,549
204,205,550
204,201,551
204,210,552
205,204,553
205,212,554
205,257,555
206,54,556
206,268,557
206,208,558
207,208,559
207,254,560
207,271,561
208,206,562
208,266,563
208,203,564
208,207,565
209,203,566
210,204,567
211,76,568
211,193,569
211,212,570
212,205,571
212,211,572
212,218,573
213,74,574
213,289,575
213,196,576
214,216,577
214,281,578
214,215,579
215,68,580
215,214,581
215,196,582
216,277,583
216,67,584
216,214,585
217,218,586
217,203,587
217,197,588
218,264,589
218,217,590
218,266,591
218,212,592
219,53,593
219,235,594
219,276,595
220,49,596
220,221,597
220,237,598
221,220,599
222,237,600
222,223,601
222,238,602
223,43,603
223,222,604
224,5,605
224,189,606
224,225,607
225,226,608
225,224,609
225,227,610
226,230,611
226,83,612
226,225,613
227,225,614
228,176,615
228,175,616
228,240,617
229,72,618
229,247,619
229,240,620
230,231,621
230,0,622
230,226,623
231,230,624
231,246,625
232,173,626
232,245,627
233,238,628
233,234,629
233,0,630
234,233,631
235,236,632
235,219,633
235,42,634
236,239,635
236,5,636
236,235,637
237,222,638
237,220,639
237,43,640
238,239,641
238,233,642
238,222,643
239,251,644
239,236,645
239,238,646
240,78,647
240,228,648
240,229,649
241,243,650
241,245,651
241,242,652
242,77,653
242,173,654
242,241,655
243,241,656
243,244,657
244,243,658
244,78,659
244,77,660
245,241,661
245,232,662
246,231,663
247,190,664
247,248,665
247,229,666
248,247,667
248,79,668
248,78,669
249,79,670
249,83,671
249,250,672
250,249,673
251,252,674
251,239,675
251,42,676
252,49,677
252,251,678
252,267,679
253,268,680
253,254,681
253,42,682
254,253,683
254,276,684
254,207,685
255,91,686
255,71,687
255,73,688
256,3,689
256,174,690
257,10,691
257,205,692
258,260,693
258,192,694
258,259,695
259,284,696
259,74,697
259,258,698
260,9,699
260,258,700
261,321,701
261,292,702
261,184,703
262,201,704
262,263,705
262,197,706
263,262,707
264,218,708
264,265,709
264,270,710
265,264,711
265,271,712
265,266,713
266,208,714
266,218,715
266,265,716
267,42,717
267,52,718
267,252,719
268,253,720
268,206,721
268,269,722
269,268,723
270,272,724
270,271,725
270,264,726
271,270,727
271,265,728
271,207,729
271,273,730
272,270,731
272,193,732
272,273,733
273,271,734
273,274,735
273,272,736
274,280,737
274,278,738
274,273,739
275,276,740
275,67,741
275,277,742
276,275,743
276,254,744
276,219,745
277,278,746
277,216,747
277,275,748
278,274,749
278,277,750
278,279,751
279,278,752
280,193,753
280,274,754
280,281,755
281,195,756
281,280,757
281,214,758
282,75,759
282,284,760
282,283,761
283,195,762
283,285,763
283,282,764
284,259,765
284,282,766
284,285,767
285,196,768
285,283,769
285,284,770
286,191,771
287,92,772
287,186,773
287,288,774
288,191,775
288,287,776
288,289,777
289,213,778
289,71,779
289,288,780
290,92,781
290,93,782
290,291,783
291,187,784
291,292,785
291,290,786
292,261,787
292,291,788
292,295,789
293,185,790
293,297,791
293,294,792
294,293,793
295,292,794
295,297,795
295,296,796
296,180,797
296,321,798
296,295,799
297,293,800
297,180,801
297,295,802
298,90,803
298,6,804
298,185,805
299,191,806
299,301,807
299,92,808
300,95,809
300,93,810
300,301,811
301,299,812
301,302,813
301,300,814
302,96,815
302,192,816
302,301,817
303,85,818
303,155,819
303,165,820
304,163,821
304,162,822
304,167,823
305,179,824
305,306,825
305,177,826
306,182,827
306,305,828
306,307,829
307,321,830
307,308,831
307,306,832
308,180,833
308,182,834
308,307,835
309,108,836
309,310,837
309,112,838
310,109,839
310,309,840
310,113,841
311,314,842
311,64,843
311,106,844
312,314,845
312,61,846
312,56,847
313,314,848
313,106,849
313,315,850
314,312,851
314,311,852
314,313,853
315,12,854
315,56,855
315,313,856
316,317,857
317,316,858
317,12,859
317,136,860
318,149,861
318,144,862
319,320,863
320,141,864
320,142,865
320,319,866
321,261,867
321,307,868
321,296,869
322,174,870
322,323,871
322,4,872
323,322,873
