source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,fc7ae63912ef70856318098c,东关街美食广场,东关街302号,江苏省,扬州市,广陵区,(0514)87090999,unknown,
baidu,74c933fb9d6563479e82ead6,共和春(甘泉路店),甘泉路79号,江苏省,扬州市,广陵区,15105276392,unknown,
baidu,3590f94259695093fea7786c,太函春,湾子街155号,江苏省,扬州市,广陵区,"(0514)87866348,13621804144",unknown,
baidu,43cf275e618102e7e5e965e0,清真鸿兴民族饭店·烤鸡·简餐,国庆路292号,江苏省,扬州市,广陵区,"13390669563,19996626717",unknown,
baidu,983db7da4aa8061c4251c0af,冶春(东关街店),东关街270-3号,江苏省,扬州市,广陵区,(0514)85587977,unknown,
baidu,e75d1b72ac540c998bb988e1,粗茶淡饭(东关街店),东关街207号,江苏省,扬州市,广陵区,13222665833,unknown,
baidu,c256a9d2982f961172455b20,教场美食巷子(国庆路店),国庆路119号,江苏省,扬州市,广陵区,,unknown,
baidu,2c21f135c5bf7b604bfc8dad,毛牌楼(刘家人店),广陵路336号（人民商场东行100米）,江苏省,扬州市,广陵区,(0514)87358768,unknown,
baidu,d6df91c1a09b8417f6b91697,教场咸货火锅(国庆路店),国庆路教场119号,江苏省,扬州市,广陵区,18352760480,unknown,
baidu,f32a5a3587316a1b35b06c0b,茴香阁,国庆路东圈门54号,江苏省,扬州市,广陵区,18061833590,unknown,
baidu,02bbdea92daf68f85e17c360,未可营地·烧烤·酒馆(皮市街店),皮市街北口,江苏省,扬州市,广陵区,13013701317,unknown,
baidu,124a6ecd716a6ce66c3e1b7c,壶园美食·淮扬菜(东圈门店),东圈门52号,江苏省,扬州市,广陵区,13179774228,unknown,
baidu,2d994ab9d72fb8cd455726c4,扬州小酒店,莲花街坊12栋,江苏省,扬州市,广陵区,13773412986,unknown,
baidu,893287f347506e438f1a8963,双东酒店(东关街店),江苏省扬州市广陵区文昌中路366号琼花观西侧,江苏省,扬州市,广陵区,(0514)87327727,unknown,
baidu,eb6c68c57ab08a3486420e6a,刘记光大火锅鸡(国庆路店),国庆路100-4号,江苏省,扬州市,广陵区,18252735867,unknown,
baidu,01581bbf383cca006c476065,扬大酸奶,东圈门与五谷巷交叉口正东方向34米,江苏省,扬州市,广陵区,,unknown,
baidu,886f629907b48c7a2afc48e1,二当家牛肉串串火锅(广陵区国庆路店),东关街道国庆路教场119号(教场秦淮坊103),江苏省,扬州市,广陵区,13951184717,unknown,
baidu,8a825ef95d42c0aed7851f5d,独一灶铜火锅鸡(东关街国庆路店),国庆路119号-4,江苏省,扬州市,广陵区,(0514)82223387,unknown,
baidu,ec809337373b19132efaa7c2,曹疯子重庆火锅(国庆路东关街店),国庆路119号3幢105室,江苏省,扬州市,广陵区,(0514)87798111,unknown,
baidu,f0d2db1cb33e961a8605bff3,荟友园老火锅,国庆路119号7号楼113、114、115,江苏省,扬州市,广陵区,13375284868,unknown,
baidu,8388b6c70da2d6512cb17e6f,富临壶园(东关街店),文昌中路东圈门22号(长乐客栈西侧),江苏省,扬州市,广陵区,(0514)87822277,unknown,
baidu,1fbbfd807768053214948ef0,青莯_Percher Coffee Shop(皮市街店),"皮市街131号2楼（皮市街游客中心对面那栋楼,绕过公厕右转门在后面上二楼）",江苏省,扬州市,广陵区,13151117587,unknown,
baidu,0f3379214a7deffa86420ee3,luckincoffee瑞幸咖啡(扬州皮市街店),皮市街小吃中心一层4号,江苏省,扬州市,广陵区,"13800138000,13900139000",unknown,
baidu,a82eba887e7e21f7246e9872,时座西式简餐(皮市街店),皮市街131号田家炳中学向南100米,江苏省,扬州市,广陵区,13291389926,unknown,
baidu,4fafc50421d75bbaef74f8c4,小富豪餐馆(东圈门店),皮市街与文昌中路交叉口北80米,江苏省,扬州市,广陵区,(0514)82852098,unknown,
