source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,c3f76ea1b3f5f090cb29159f,汉人街大巴扎,后滩路东城区就业市场,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,"15309990095,15352753578",unknown,
baidu,05970ac58715b0f8bf48428c,恺得迩美食城,前进街201号,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,15509990790,unknown,
baidu,246364817ec978539d95de29,汉人街美食,新疆维吾尔自治区伊犁哈萨克自治州伊宁市后滩路汉人街大巴扎内,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,df68068afeb3e7fe631809ca,莫宜侃美食农家院,果园街与新光街交叉口南40米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,15999287072,unknown,
baidu,56666527380765008505bf73,友丽宫美食馆,红旗路126号（阿尔屯对面）,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,(0999)8058777,unknown,
baidu,c7bd4a3b5646a3b5f723108a,Muzqokka冰顶美食,果园街九巷与果园街十一巷交叉口东南200米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,f4c04671f555c85ee6e96504,阿布力孜抓饭,红旗大道胜利南路人民广场东南侧约70米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,13565237835,unknown,
baidu,67ed2721c782bdf91e1d1108,额冉美食农家乐,果园街与阿依墩街四巷交叉口南20米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,17599663663,unknown,
baidu,a9fecba3697b2b219f9d683a,千串烤肉店,阿依墩街021号,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,13999397104,unknown,
baidu,d03f735724b3d2c55b10930a,艾山江水煎包店,喀赞其街道光明街51号,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,13899743641,unknown,
baidu,4103c430d5d2aa7d43ab9af6,艾孜买提烤肉店,伊犁哈萨克自治州伊宁市前进街伊宁市第三十一小学西北侧,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,3df5706184d077123d9a5ebf,无双土鸡肉餐厅,伊犁街伊宁市人民医院西南侧约150米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,15981739194,unknown,
baidu,33cfabacd0e74d82fe0eb06a,哈力木拉提烤肉店,幸福花园北,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,19209997376,unknown,
baidu,81800dcfc5f72e78ae080fec,馕王(伊宁店),斯大林东路18号伊犁铜锣湾F1层,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,18197993333,unknown,
baidu,cbb36c943e86a75c0ba8d4b4,艾山江玫瑰花鸡汤(喀赞其店),前进街92号,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,14799975868,unknown,
baidu,886c4f7835bdb96d5e0d020b,益洲宴,伊犁河路201号益洲宴宴会厅,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,f3606566db57064eb05c6a30,迪亚奈提冰淇淋,伊犁街四巷与伊犁街交叉口西160米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,18194949902,unknown,
baidu,b27b6ff37c0fbe45f21937da,安阿纳美食城,红旗路与红旗街交叉口北140米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,6471c0ccc25aa5ad71455be8,伊宁市迪雅仁美食厅,伊犁哈萨克自治州伊宁市前进街伊宁市第三十一小学南侧约40米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,7388dffd7e8f01f2d3ff2365,艾勒喀斯尔快餐,琼科瑞克街道新华东路114号(近人民医院),新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,(0999)6788388,unknown,
baidu,7b5736b6a101e08bcac3dbf1,家常特色拌面烤肉馆,伊犁哈萨克自治州伊宁市喀什街伊宁市第四中学西北侧约80米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,4c5fdfc42e09d88a30169bb0,呼勒佳酒店餐饮,新华西路58号,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,"(0999)8024917,18139230890",unknown,
baidu,1544ffa3f9c424b0e115f9ad,古院美食,前进街53号,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,be8ecafd25e8413d9fec2b59,阿吾拉力,胜利南路与前进街交叉口南10米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,17309999945,unknown,
baidu,e6ed07ca7128fc29fbf0cb98,亥散江烤肉店,阿依墩街50号,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,13999382825,unknown,
baidu,0a36cfe7556ae5b47e29bd5d,买买提风掠小吃店,解放南路伊犁迪亚尔住宅小区西侧约150米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,573ba21ba309cb653210af48,香漫庭快餐厅,新疆维吾尔自治区伊犁哈萨克自治州伊宁市新光街40号,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,18099409027,unknown,
baidu,22105d72584e65f2ae045793,茶湖辣餐厅,光明街25号-002室,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,(0999)8022120,unknown,
baidu,7d0a0f15c9b9be8c40e192d4,吾顿美食城,解放南路与光明街交叉口东北40米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,f51d367a3733d25e441a32a7,玛尔玛热餐厅,新华东路3号,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,13999398488,unknown,
baidu,28b6413ba107cddbe115f95e,辣润串精品肥牛火锅(红旗路店),喀赞其街道红旗路62号,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,18509992015,unknown,
baidu,799d953b3c679a1b00ec01ae,活气缸子肉汤馆,解放南路伊犁迪亚尔住宅小区西侧约170米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,d26c3bb8b7fc7698cac3db96,祖宗三代木炭烤鸡,伊犁哈萨克自治州伊宁市新光街星光小区(新光街)西北侧约60米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,18599354109,unknown,
baidu,1e82f8a9e7f0ed7f354aae72,莱辣丽餐吧,阿依墩街与阿依墩街四巷交叉口东20米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,8468deda19e469d582a12efd,全城热辣(汉人街店),新华东路与红旗路交叉口北20米路西,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,15599655559,unknown,
baidu,09b05319e94e90b4940319a2,格兰特尔大盘鸡,红旗路与新华东路交叉口西北80米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,13199999906,unknown,
baidu,151b4e3f2d31c7776849f3b6,海尔巴格戈鲁巴音乐餐吧,斯大林东路6号,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,13199990393,unknown,
baidu,aefe87d13655fe4a2bb97c35,馕炕烤肉,解放南路与光明街交叉口东20米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,18197952363,unknown,
baidu,ea9d3f16e6ed7eeb2fb96d7a,蓝墙手工冰淇淋,新疆维吾尔自治区伊犁哈萨克自治州伊宁市果园街民安住宅小区西南侧约80米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,18094949024,unknown,
baidu,e336bab71a6707f32de67b42,莱滋滋秘方,红旗路26号红旗宾馆2号楼,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,8212134a9e690cbeab059d90,不品尝真后悔薄皮包子王,新华东路与喀什街交叉口西40米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,423093dfb0a53ba000ec0121,蜜悦糕点坊,新华东路伊宁市人民医院西侧约210米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,c288e886322c4dfac61b756b,特色馕包肉,阿依墩街与解放南路交叉口东140米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,de2c46d2451e2bd2f60e77b8,辣风芹酱香米粉(汉人街店),新华东路243号永和商厦地1层,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,18699985261,unknown,
baidu,66276469e1d82bce03ff2d44,吾祖尔美食,红旗路与新华东路交叉口南120米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,13364812477,unknown,
baidu,fe8fb5f4f17966074107c125,冰爱莲粽子果汁奶皮刨冰店,喀赞其街道红旗路伊宁市人民医院西侧约170米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
baidu,4ffe301f30009fed26e0a052,茶喜玛冰淇淋,前进街八巷与前进街交叉口东20米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,13999396437,unknown,
baidu,f4892881c22131811ef74d02,伊蓝酱香炒米粉,光明街33号（顺着老新华医院往下走50米第二个路口右转再走50米即到）,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,13679943481,unknown,
baidu,ff824d7826c785023010af80,肯德基(伊宁友好店),解放南路铜锣湾商业区B区肯德基餐厅,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,(0999)8031005,unknown,
baidu,d3b999e8bd6594aa28b97ca8,富辣瘾汉堡店,前进街79号,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,18699900737,unknown,
baidu,48ddf43e3a00a2cc88f15dc6,蜜雪冰城(汉人街店),喀赞其民俗风情街(现名美居商贸城)市场一楼临街商铺M-05门面,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,18139355426,unknown,
baidu,50f77c7dfb856f1243ab9a90,艾沙江薄皮包子馆,解放南路55号解放南路清真寺,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,18699911151,unknown,
baidu,301e017d71e4e0963be4a6b0,敏燕包子店,喀瓒其街伊美雅苑西南侧约70米,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,unknown,
