node_id_1,node_id_2,edge_id
0,59,0
0,62,1
0,25,2
1,26,3
1,38,4
1,40,5
1,53,6
2,7,7
2,88,8
2,19,9
2,79,10
3,15,11
3,71,12
3,16,13
4,71,14
5,72,15
5,4,16
6,34,17
6,12,18
7,13,19
7,2,20
7,52,21
7,73,22
8,31,23
8,34,24
8,50,25
9,31,26
9,51,27
9,88,28
9,74,29
10,56,30
10,69,31
11,216,32
11,14,33
11,83,34
11,87,35
12,15,36
12,6,37
13,7,38
13,16,39
13,51,40
13,65,41
14,11,42
15,34,43
15,3,44
15,12,45
16,48,46
16,72,47
16,13,48
16,3,49
17,54,50
17,53,51
18,50,52
19,2,53
19,41,54
19,64,55
20,95,56
20,21,57
20,70,58
21,22,59
21,20,60
21,96,61
22,68,62
22,174,63
22,21,64
23,194,65
23,174,66
23,197,67
24,178,68
24,33,69
24,177,70
25,61,71
25,70,72
26,1,73
26,27,74
26,30,75
27,26,76
28,67,77
28,29,78
28,65,79
28,68,80
29,5,81
29,28,82
30,73,83
30,67,84
31,9,85
31,8,86
31,48,87
32,46,88
32,121,89
32,164,90
33,24,91
33,179,92
34,15,93
34,8,94
34,6,95
35,36,96
36,35,97
36,37,98
37,36,99
37,40,100
37,39,101
38,41,102
38,1,103
38,39,104
39,40,105
39,38,106
39,37,107
40,39,108
40,37,109
40,1,110
41,19,111
41,38,112
41,42,113
42,41,114
42,63,115
43,139,116
44,216,117
45,47,118
46,200,119
46,197,120
46,32,121
46,199,122
47,45,123
47,61,124
48,16,125
48,31,126
48,51,127
49,50,128
50,18,129
50,8,130
50,49,131
51,9,132
51,13,133
51,48,134
52,7,135
52,55,136
53,1,137
53,54,138
54,10,139
55,64,140
56,55,141
56,52,142
57,24,143
57,177,144
57,178,145
58,95,146
58,59,147
59,0,148
59,69,149
60,108,150
60,58,151
60,62,152
61,25,153
61,47,154
61,62,155
62,0,156
62,60,157
63,64,158
63,17,159
64,63,160
64,82,161
64,19,162
65,13,163
65,66,164
65,28,165
66,65,166
66,73,167
67,29,168
67,28,169
68,22,170
68,28,171
68,173,172
69,70,173
69,10,174
69,59,175
70,20,176
70,25,177
70,69,178
71,3,179
71,4,180
71,72,181
72,16,182
72,5,183
72,66,184
73,30,185
73,7,186
73,26,187
74,9,188
74,80,189
74,81,190
74,86,191
75,84,192
75,83,193
75,77,194
76,77,195
76,81,196
76,79,197
77,78,198
77,76,199
77,75,200
78,206,201
78,77,202
78,79,203
79,2,204
79,76,205
79,78,206
80,74,207
80,86,208
80,84,209
81,76,210
81,89,211
81,74,212
82,206,213
83,75,214
83,85,215
83,11,216
84,80,217
84,85,218
84,75,219
85,83,220
85,84,221
85,86,222
86,74,223
86,80,224
86,85,225
87,11,226
88,2,227
88,9,228
88,91,229
89,90,230
89,91,231
89,81,232
90,89,233
91,89,234
91,92,235
91,88,236
92,91,237
93,202,238
93,204,239
93,94,240
94,93,241
95,20,242
95,97,243
95,58,244
96,146,245
96,21,246
96,97,247
97,95,248
97,145,249
97,96,250
98,104,251
98,149,252
98,159,253
99,105,254
99,151,255
99,151,256
100,122,257
100,158,258
100,120,259
100,147,260
101,161,261
101,134,262
101,111,263
102,148,264
102,123,265
102,146,266
103,105,267
103,104,268
103,107,269
104,98,270
104,145,271
104,103,272
105,103,273
105,152,274
105,99,275
106,107,276
106,147,277
106,152,278
107,148,279
107,106,280
107,144,281
107,103,282
108,139,283
108,161,284
108,60,285
109,152,286
109,166,287
109,150,288
110,165,289
110,140,290
110,118,291
111,135,292
111,112,293
111,101,294
112,113,295
112,114,296
112,111,297
113,112,298
113,114,299
113,125,300
114,115,301
114,112,302
114,113,303
114,132,304
115,114,305
116,137,306
116,171,307
116,131,308
117,138,309
117,119,310
117,140,311
118,110,312
118,171,313
118,163,314
119,117,315
120,121,316
120,155,317
120,100,318
121,120,319
121,173,320
121,32,321
122,100,322
122,123,323
122,123,324
123,102,325
123,122,326
123,122,327
124,125,328
125,124,329
125,126,330
125,113,331
126,125,332
126,129,333
126,127,334
127,132,335
127,131,336
127,126,337
128,129,338
129,128,339
129,126,340
129,131,341
130,133,342
130,133,343
130,131,344
131,116,345
131,127,346
131,130,347
131,129,348
132,127,349
132,114,350
132,133,351
133,130,352
133,130,353
133,132,354
134,135,355
134,101,356
134,162,357
135,136,358
135,111,359
135,134,360
136,135,361
136,150,362
136,159,363
137,116,364
137,137,365
137,137,366
138,117,367
138,156,368
138,155,369
139,108,370
139,43,371
139,163,372
140,117,373
140,110,374
140,142,375
141,142,376
142,141,377
142,143,378
142,140,379
143,142,380
144,107,381
144,146,382
144,145,383
145,104,384
145,97,385
145,144,386
145,160,387
146,102,388
146,96,389
146,144,390
147,148,391
147,106,392
147,153,393
147,100,394
148,107,395
148,102,396
148,147,397
149,150,398
149,151,399
149,98,400
150,149,401
150,109,402
150,136,403
151,149,404
151,99,405
151,99,406
152,105,407
152,109,408
152,106,409
153,166,410
153,147,411
153,165,412
154,164,413
155,157,414
155,138,415
155,120,416
156,138,417
156,157,418
156,158,419
157,156,420
157,155,421
157,158,422
158,156,423
158,100,424
158,157,425
159,160,426
159,98,427
159,136,428
160,159,429
160,162,430
160,145,431
161,101,432
161,108,433
161,162,434
162,160,435
162,161,436
162,134,437
163,164,438
163,139,439
163,118,440
164,163,441
164,32,442
164,154,443
165,110,444
165,153,445
165,167,446
166,153,447
166,167,448
166,109,449
167,166,450
167,168,451
167,165,452
168,167,453
168,169,454
168,170,455
169,168,456
170,168,457
171,118,458
171,172,459
171,116,460
172,171,461
173,68,462
173,121,463
173,174,464
174,23,465
174,22,466
174,173,467
175,204,468
175,183,469
176,178,470
177,57,471
177,24,472
178,57,473
178,176,474
179,33,475
179,194,476
179,184,477
180,198,478
180,191,479
180,184,480
181,187,481
181,182,482
181,190,483
182,186,484
182,183,485
182,181,486
183,182,487
183,188,488
183,175,489
184,180,490
184,179,491
184,188,492
185,187,493
185,191,494
185,186,495
186,182,496
186,187,497
186,185,498
187,181,499
187,185,500
187,186,501
188,184,502
188,183,503
188,189,504
189,188,505
190,191,506
190,181,507
190,198,508
191,190,509
191,185,510
191,180,511
192,205,512
193,195,513
193,195,514
193,196,515
194,23,516
194,195,517
194,179,518
195,194,519
195,193,520
195,193,521
196,197,522
196,198,523
196,193,524
196,199,525
197,196,526
197,23,527
197,46,528
198,180,529
198,196,530
198,190,531
199,201,532
199,196,533
199,46,534
200,46,535
200,218,536
200,201,537
201,199,538
201,217,539
201,200,540
202,93,541
202,218,542
202,203,543
203,205,544
203,217,545
203,202,546
204,93,547
204,175,548
204,205,549
205,203,550
205,192,551
205,204,552
206,78,553
206,82,554
206,207,555
207,208,556
207,206,557
207,210,558
207,209,559
208,210,560
208,209,561
208,207,562
209,208,563
209,207,564
209,211,565
210,208,566
210,207,567
210,211,568
211,212,569
211,210,570
211,209,571
212,211,572
212,213,573
212,213,574
213,214,575
213,212,576
213,212,577
214,213,578
215,42,579
215,216,580
216,44,581
216,11,582
216,215,583
217,218,584
217,201,585
217,203,586
218,217,587
218,200,588
218,202,589
