FID,label,node_start,node_end
0,1,0,1
1,1,1,26
2,1,1,27
3,1,2,3
4,0,2,4
5,0,2,11
6,0,2,5
7,0,4,5
8,1,4,6
9,1,4,7
10,1,5,12
11,0,5,13
12,0,5,14
13,0,7,9
14,1,7,10
15,1,7,22
16,0,8,9
17,1,8,18
18,0,8,21
19,1,11,12
20,0,11,13
21,1,12,16
22,1,12,15
23,0,13,14
24,0,13,15
25,0,15,17
26,1,16,24
27,1,16,17
28,1,16,25
29,1,18,19
30,1,18,20
31,1,19,20
32,1,19,28
33,0,20,21
34,0,21,29
35,1,22,46
36,1,22,108
37,0,23,24
38,1,23,25
39,1,23,30
40,0,25,31
41,1,26,34
42,1,26,35
43,1,27,31
44,1,27,49
45,0,30,31
46,0,30,38
47,0,30,39
48,0,31,42
49,1,32,33
50,1,33,36
51,1,33,37
52,1,34,51
53,1,34,69
54,1,35,74
55,0,35,81
56,1,36,67
57,0,36,74
58,0,38,50
59,1,38,42
60,0,39,50
61,1,39,42
62,1,39,71
63,0,40,41
64,0,40,52
65,0,40,53
66,1,43,44
67,1,43,57
68,0,43,58
69,1,44,45
70,1,46,47
71,1,46,50
72,0,47,48
73,0,48,50
74,1,49,89
75,1,49,90
76,0,54,55
77,0,54,56
78,0,55,56
79,0,55,60
80,0,55,59
81,0,56,59
82,0,56,60
83,1,56,61
84,1,56,62
85,0,57,65
86,1,57,58
87,1,58,73
88,0,59,75
89,0,60,73
90,0,60,82
91,1,61,75
92,1,62,84
93,1,62,82
94,1,62,85
95,1,63,64
96,0,63,65
97,0,63,66
98,1,64,69
99,0,64,70
100,0,65,76
101,1,66,76
102,0,66,70
103,1,67,68
104,1,67,72
105,1,69,77
106,0,70,116
107,1,71,118
108,1,72,79
109,1,72,80
110,0,73,97
111,0,74,78
112,1,76,83
113,1,77,128
114,0,77,129
115,1,78,86
116,0,78,87
117,0,79,94
118,1,79,89
119,1,80,94
120,1,80,98
121,0,81,91
122,0,81,92
123,0,81,93
124,1,82,88
125,0,82,99
126,1,83,104
127,1,84,101
128,1,85,101
129,0,86,109
130,1,86,110
131,0,87,110
132,1,87,120
133,1,87,121
134,1,89,100
135,0,90,102
136,0,90,103
137,1,94,98
138,0,95,96
139,0,95,124
140,1,95,102
141,1,98,100
142,1,100,123
143,0,100,120
144,1,102,160
145,1,104,105
146,0,104,116
147,0,104,117
148,1,105,106
149,1,105,107
150,0,108,125
151,0,109,114
152,0,109,115
153,1,110,122
154,1,111,111
155,1,112,113
156,0,113,151
157,0,116,119
158,1,117,137
159,1,117,154
160,0,118,124
161,0,118,125
162,0,119,154
163,0,119,153
164,1,119,165
165,0,120,136
166,0,121,135
167,0,121,136
168,0,122,126
169,1,122,127
170,1,123,130
171,1,123,131
172,0,126,137
173,1,127,142
174,0,128,140
175,1,128,141
176,0,129,151
177,0,129,152
178,1,130,132
179,1,130,133
180,1,130,131
181,1,130,134
182,0,130,136
183,1,130,145
184,0,131,136
185,1,131,145
186,1,133,134
187,0,135,138
188,1,135,139
189,1,136,139
190,1,137,150
