edge,edge_betweenness,edge_length,edge_embedness,straightness
"(31200894, 8958237037)",0.015285384003951925,0.010349715972022874,0.0,0.9806152672178937
"(31200894, 8958237027)",0.016410458529770085,0.0036158409522348955,0.0,0.9931871615304378
"(31200894, 8958237028)",0.014965443812758786,0.07330489561609814,0.0,0.8699253703922417
"(8958237037, 31201008)",0.08900104017342213,0.1852048098707689,0.0,0.6994702148696933
"(8958237037, 7826226113)",0.03173179401450873,0.0028104171837963986,0.0,0.9947009249401617
"(8958237037, 7826226115)",0.03133062415787281,0.0,0.0,1.0
"(8958237027, 7826226105)",0.005765434330205866,0.015094975535772824,0.0,0.9718453765308772
"(8958237027, 7826226107)",0.0027562305500634272,0.009574357963224497,0.0,0.9820552181594926
"(8958237027, 8958237025)",0.02983220375708627,0.08594509128881489,0.0,0.8490902982493785
"(8958237028, 1976153500)",0.07846042216805711,0.0035659514047065746,0.0,0.9932808641748923
"(8958237028, 7826226106)",0.03640203859247866,0.01248985943039265,0.0,0.9766509164785179
"(8958237028, 7826226110)",0.02742926147119875,0.00902127736637922,0.0,0.9830835731369024
"(31200908, 1976153500)",0.09056216495069913,0.0022183262855190356,0.0,0.9958151190463328
"(31200908, 1976153494)",0.017084313302704976,0.07661149629937698,0.0,0.8644326427558242
"(31200908, 340259298)",0.1149233596056738,0.41718100989332546,0.0,0.42498513783635966
"(1976153494, 340259262)",0.00307370959961049,0.010678250369238083,0.0,0.9800057257034714
"(340259298, 340259287)",0.03856935226959616,0.07447211460322255,0.0,0.8679829927551687
"(340259298, 733859059)",0.21227077382982537,0.13276025311509557,0.0,0.7755766209273233
"(340259298, 2701612164)",0.07844783909523867,0.09463681547029347,0.0,0.8350144944871024
"(31201008, 733859830)",0.06842135805186379,0.11418424876410647,0.0,0.8040808058078817
"(31201008, 2701612164)",0.0668380245715432,0.22636418557699436,0.0,0.6438830570442664
"(733859830, 733859003)",0.020635966404847113,0.2489721291822833,0.0,0.6147690538087979
"(733859830, 733859715)",0.07665779000594983,0.07696895994109049,0.0,0.8638406581736657
"(2701612164, 733859850)",0.005036492961277499,0.059759838528723755,0.0,0.8927461052122301
"(31201272, 1362315804)",0.05832377567240872,0.011558924119031486,0.0,0.9783735214559219
"(31201272, 12652373929)",0.0879925488138764,0.4218586899523714,0.0,0.42029799307618887
"(31201272, 31201274)",0.05455924870320946,0.2604999938404656,0.0,0.6002899333388364
"(1362315804, 733859261)",0.0407625799825771,0.05260275143600266,0.0,0.9050166661491255
"(1362315804, 1362315806)",0.09766489403936585,0.26179452650419155,0.0,0.5986790385622188
"(12652373929, 12543078091)",0.042701650724215445,0.40035508850999996,0.0,0.44208305097011064
"(12652373929, 12652373914)",0.031391364395364885,0.09804354559839554,0.0,0.8295521194871094
"(31201274, 675649996)",0.10350033778468234,0.1560022007922951,0.0,0.741078499699524
"(31201274, 31201275)",0.16674672106591526,0.08531444010561723,0.0,0.8501194832426333
"(675649996, 675649985)",0.04297537528310871,0.26754769973976883,0.0,0.5915561628052406
"(675649996, 675649994)",0.056094741347154295,0.06146135411103739,0.0,0.8898507317527398
"(31201275, 733859059)",0.2402846767508669,0.27690809337060895,0.0,0.5800923554254923
"(31201275, 1362315807)",0.3586211119028314,0.011481162791694598,0.0,0.9785175391078473
"(31201275, 266111550)",0.055278097105435686,0.08893581490401785,0.0,0.8442241965127126
"(733859059, 733858818)",0.01893351869671185,0.08936769188523616,0.0,0.8435234878384723
