edge,edge_betweenness,edge_length,edge_embedness,straightness
"(31194136, 266111656)",0.05469186829145553,0.034547143280039945,0.0,0.9265904614036549
"(31194136, 733788139)",0.12157642512006261,0.03473812495660136,0.0,0.926201064783642
"(31194136, 266111658)",0.0647346630122014,0.08766411667877283,0.0,0.8245785362445537
"(266111656, 733859194)",0.01071888592771529,0.061785102958228345,0.0,0.872750737289979
"(266111656, 733859920)",0.06314442600051226,0.0890869436820518,0.0,0.8220092485007042
"(266111656, 266111657)",0.10095596997488468,0.08721705075902125,0.0,0.8253874883251043
"(733788139, 31194143)",0.14963334987254878,0.17302959799606268,0.0,0.6834109120780801
"(733788139, 733788207)",0.11021289706943853,0.05600562247867478,0.0,0.8838960455413387
"(266111658, 6131080440)",0.016704884885324792,0.005125829747273975,0.0,0.9887214420759561
"(266111658, 266111657)",0.0462691597221637,0.03342973753021008,0.0,0.9288722416188328
"(31194141, 9507815683)",0.12870804886600068,0.012676444292932725,0.5,0.9723593440234026
"(31194141, 8742615446)",0.35812871120733614,0.017894837230412467,0.0,0.9612227162840556
"(31194141, 260329790)",0.08721809657774193,0.4453547662545434,0.0,0.36000162016194553
"(31194141, 12587107297)",0.26035363784756155,0.07936327659154956,0.5,0.8397292787865627
"(9507815683, 534448231)",0.8302724882124428,0.9908967696632417,0.0,0.004132236726987057
"(9507815683, 12587107297)",0.7020015772849361,0.09203744711108088,0.5,0.8167067845243638
"(8742615446, 511195502)",0.34769262787932015,0.0689656377588252,0.0,0.8591046343497534
"(8742615446, 6019807330)",0.0045640922816265455,0.06516075501568132,0.0,0.8663080862640185
"(8742615446, 6094971138)",0.0045640922816265455,0.1675274862377718,0.0,0.6917765854822371
"(260329790, 12587107271)",0.15282290928519385,0.009330587680778003,0.0,0.9795731814576202
"(260329790, 12587107284)",0.09352774785719159,0.005720149619887854,0.0,0.9874227561235746
"(12587107297, 31194142)",1.0,0.007991168430669915,0.0,0.9824773061398052
"(12587107297, 12587107284)",0.268362766697462,0.5273703675769443,0.0,0.28814598020313664
"(31194142, 733788527)",0.061666453730317004,0.17873000681048365,0.0,0.67484059694208
"(31194142, 733788552)",0.20096400206612738,0.054480472331237706,0.0,0.8868616508981613
"(31194142, 533627836)",0.7917340910116801,0.04517713613396869,0.0,0.9051771372212244
"(733788527, 533627841)",0.017838824725792332,0.09519365104618344,0.0,0.811072343512577
"(733788527, 733788546)",0.042609553499507125,0.07538469104275873,0.0,0.8470901950506061
"(733788552, 733788252)",0.09215800601425826,0.08038543016695365,0.0,0.8378486180060216
"(733788552, 6094979043)",0.11125621018409163,0.0940992321288117,0.0,0.8130217062389328
"(533627836, 6095049170)",0.7764973318209669,0.0682768794980719,0.0,0.8604040447643592
"(533627836, 533627843)",0.04460095913829609,0.2509779210380512,0.0,0.5740975201210338
"(31194143, 266111655)",0.35661321995267536,0.03639441804035547,0.0,0.9228312665021868
"(31194143, 733788662)",0.17482130728138573,0.09220299108655519,0.0,0.8164102911931386
"(31194143, 733789081)",0.018304444242515414,0.12545417069609166,0.5,0.7589533023708409
"(31194143, 10274394484)",0.25782935997148493,0.12788550593273296,0.5,0.754909570478719
