edge,edge_betweenness,edge_length,edge_embedness,straightness
"(347598565, 7013410957)",0.04273821158198185,0.576449330590215,0.0,0.28153484102140586
"(347598565, 7727450341)",0.1385522148379166,0.44651656042495197,0.0,0.39797941226078903
"(347598565, 347599077)",0.10893564198821792,0.1307234726640898,0.0,0.7800453003050419
"(7013410957, 7013410968)",0.07716725398813466,0.2512061881354333,0.0,0.6138543088721393
"(7727450341, 7727450338)",0.35262132303375565,0.0067882856720096075,0.0,0.9873466439353752
"(7727450341, 7727450342)",0.13534673604984004,0.009470300584523231,0.0,0.9823884608669868
"(7727450341, 5579780754)",0.25979305231926464,0.4066428769614369,0.0,0.4376301431461974
"(347599077, 1066615206)",0.05433333254720993,0.6277505724929381,0.0,0.24026531399577394
"(747760537, 6896602935)",0.16299999764162976,0.41953827024434565,0.0,0.42458541779964976
"(747760537, 5174995877)",0.10873677729096058,0.13193884103576764,0.0,0.7782119933122907
"(747760537, 6294449504)",0.1760021624836752,0.42210824070887143,0.0,0.42201137909750736
"(6896602935, 5174995420)",0.10893564198821792,0.10581709126599659,0.0,0.8184010167595153
"(1066632086, 12095407388)",0.10893564198821792,0.06485064960218782,0.0,0.8849304790038325
"(1066632086, 7315237367)",0.21831324895852605,0.44944817073403887,0.0,0.3951425671779441
"(1066632086, 9918755517)",0.29150186176098075,0.5444692547686381,0.0,0.30853121784591037
"(12095407388, 1066632273)",0.05433333254720993,0.16312361182035012,0.0,0.7323388292992349
"(1066632122, 1066632384)",0.2957143639687762,0.027406533255611147,0.0,0.949814380012999
"(1066632122, 5595517640)",0.15705659045555248,0.03300323727367892,0.0,0.9398536142897428
"(1066632122, 6953151682)",0.3770312711211089,0.33721640587071355,0.0,0.5117670628224379
"(1066632384, 11057186284)",0.10220295357094883,0.009909640704659403,0.0,0.9815784616453815
"(1066632384, 5174995771)",0.24425154125926934,0.0,0.0,1.0
"(5595517640, 7814354026)",0.1327802786525257,0.27558128722210806,0.0,0.583665788526779
"(5595517640, 11057186286)",0.19774509974366208,0.04212037864102479,0.0,0.9238288275579478
"(6953151682, 1066632183)",0.34645458242263655,0.03255650357269558,0.0,0.9406452072935355
"(6953151682, 7814354025)",0.07026820206976779,0.02461399291777084,0.0,0.9548201362093144
"(1066632127, 6896602854)",0.045195450394290536,0.010425161991083894,1.0,0.9806287963073398
"(1066632127, 9948901959)",0.06928336975528224,0.1546478383851446,1.0,0.7445885609757525
"(1066632127, 1066632600)",0.08593845781523343,0.004370207425884851,0.0,0.9918367674591727
"(6896602854, 6572840746)",0.3036106254423478,0.2028492220455667,0.0,0.6769814624791098
"(6896602854, 7309101835)",0.3534094226843261,0.004351330980560012,0.0,0.9918718935482544
"(6896602854, 9948901959)",0.22479614617682447,0.15148358928112413,1.0,0.7492028664265237
"(9948901959, 5595517703)",0.2733106572038416,0.5324391962578771,0.0,0.3189533364069104
"(1066632146, 12095407393)",0.019943669325658605,0.050699703553842485,1.0,0.9089729324695766
"(1066632146, 9918755518)",0.10621870279621158,0.6553126146694306,0.0,0.21906537639148255
"(1066632146, 1066632305)",0.038836475301033756,0.12342088752486008,1.0,0.7911348962290885
"(12095407393, 1066632305)",0.01468992656478202,0.18145993078444703,1.0,0.7063745772849779
"(12095407393, 6896603310)",0.06041376375404336,0.4184108423319518,0.0,0.4257173047826823
"(9918755518, 9918755517)",0.10658890070707501,0.008797672643217524,0.0,0.9836297638562812
"(9918755518, 6953156268)",0.08054849790300356,0.009028605446054935,0.0,0.9832034248808222
"(1066632183, 5595517696)",0.36755573002827846,0.053505234081133626,0.0,0.9041611304844824
"(1066632183, 6953151677)",0.07169614768321231,0.02609730737327265,0.0,0.9521582490404772
"(5595517696, 9919501843)",0.4472621497956888,0.04123175592298919,0.0,0.925379864672578
"(5595517696, 6953151674)",0.1055953681686651,0.05572277385351613,0.0,0.9003737395450023
"(6953151677, 6953151669)",0.07174197095366568,0.08547585525682955,0.0,0.8508804390445239
"(6953151677, 6953151674)",0.14022436110197872,0.0500296636104877,0.0,0.9101254752425041
"(6953151677, 7814354025)",0.08602512482128521,0.030943203011587275,0.0,0.9435089243114284
"(11057186284, 11057186277)",0.14298383501599946,0.031867334564297814,0.0,0.9418675662037366
"(11057186284, 11057186286)",0.07922033231571592,0.04110103515337295,0.0,0.9256082263129666
"(1066632600, 6953156268)",0.08916059594365677,0.31616945446453604,0.0,0.5356357559977937
"(1066632600, 7309101835)",0.04018619172890648,0.01021896505937758,0.0,0.9810085391997808
"(1879448068, 12095407346)",0.9269558931103766,0.7703913673224256,0.0,0.13714959089840298
"(1879448068, 5579780768)",0.520857957784293,0.0842785880593958,1.0,0.8528257057714014
"(1879448068, 5579780754)",0.3837280236585449,0.09092052302457179,1.0,0.8420818105911783
"(12095407346, 1879448075)",0.9823907500798069,0.10214220779610751,0.0,0.8241902504689194
"(12095407346, 12095407357)",0.05433333254720993,0.45066527033713777,0.0,0.3939678771520187
"(5579780768, 5579780754)",0.04403770825277575,0.003585155750887916,1.0,0.9932986012517773
"(5579780768, 7727450337)",0.5212317502771822,0.0032453081055691915,0.0,0.9939320479886042
"(1879448075, 11016383296)",0.29631427754446,0.24414556725873132,1.0,0.6227970808230165
