edge,edge_betweenness,edge_length,edge_embedness,straightness
"(251184970, 7093587935)",0.3403034027459074,0.0006138684411710669,0.0,0.9988197183328079
"(251184970, 7093587930)",0.1236254734074518,0.14566877593174812,0.0,0.7530022354958793
"(251184970, 7452868342)",0.3087495925025387,0.1379782154234624,0.0,0.7645682183811221
"(7093587935, 7093587921)",0.11034980342576164,0.16982768908192755,0.0,0.7175932063950679
"(7093587935, 12422122793)",0.2967140772609818,0.14238613214009216,0.0,0.7579213012577861
"(7093587930, 251185828)",0.1031548603804062,0.037819321138080134,0.5,0.9296998241341402
"(7093587930, 12416110048)",0.032187156607772584,0.06951078470355244,0.5,0.87434488129319
"(7452868342, 584836466)",0.39558278299313626,0.02319036339449913,0.0,0.9563224244417939
"(7452868342, 823250845)",0.5314212548310889,0.14349765794894603,0.0,0.7562527220381386
"(251185820, 251185830)",0.21015004160568718,0.013678559669986658,0.0,0.9740137536976035
"(251185820, 7452868357)",0.3596269683499961,0.13731295981131697,0.0,0.7655755626057698
"(251185820, 823250868)",0.519309717036447,0.12696907514250963,0.0,0.781381064024152
"(251185830, 251185824)",0.23063013517919068,0.12956203083588647,0.0,0.7773936797249568
"(251185830, 7452868393)",0.15100788835619222,0.07953887653087932,0.0,0.8574578378834443
"(7452868357, 251185827)",0.33450737458059543,0.022573491669975614,0.0,0.9574605301466533
"(7452868357, 823250824)",0.13033196539161349,0.03439612732974087,0.0,0.9358670424863793
"(823250868, 251185828)",0.3361289781112277,0.11127472032923438,0.0,0.8058851731975027
"(823250868, 823250845)",0.5494226051855855,0.23888549614284485,0.0,0.6235173900382217
"(823250868, 7452868388)",0.18018252035084806,0.0572677159097868,0.0,0.895364744889151
"(251185824, 251185827)",0.26718198069467247,0.016935406544518458,0.0,0.9679217701112891
"(251185824, 251185952)",0.35615957606223786,0.020405826275380345,0.0,0.9614698903152318
"(251185827, 251185825)",0.45997822750235917,0.15125040101302226,0.0,0.7446982238566833
"(251185952, 7452868364)",0.37600207423913545,0.15072631164162997,0.0,0.7454747353960163
"(251185952, 251185956)",0.3365951143136934,0.1562607280438355,0.0,0.737307891100097
"(251185825, 7452868209)",0.13396342841397785,0.05673368345951267,0.0,0.8962918969479087
"(251185825, 7452868211)",0.44141662078426175,0.048766930300589054,0.0,0.9102271844187307
"(7452868209, 7452868207)",0.12993745921322258,0.0168380139734471,0.0,0.9681034208951739
"(7452868209, 12416109888)",0.05114990883019322,0.03294281395233256,0.0,0.9384967752632759
"(7452868211, 7452868206)",0.36086779316140605,0.0035733031690855896,0.0,0.9931483495208457
"(7452868211, 7452868210)",0.05114990883019322,0.03394477418014943,0.0,0.93668302131626
"(251185828, 12416110048)",0.15140153440255913,0.04773252228672569,0.5,0.9120509602503425
"(251185828, 7093564572)",0.18881509101733632,0.044059361457896636,0.0,0.9185542114617722
