edge,edge_betweenness,edge_length,edge_embedness,straightness
"(431389726, 746694629)",0.030838323353293413,0.32692641394475863,0.0,0.5154998651581454
"(746694629, 1986767193)",0.7304858772298897,0.11921046030645657,0.0,0.7924616521114477
"(746694629, 746695448)",0.760326196591167,0.13117243196542458,0.0,0.773911625487491
"(431389789, 431389806)",1.0,0.783702245323011,0.0,0.1248291167097097
"(431389789, 7986080833)",0.5532934131736528,0.124636544025925,0.3333333333333333,0.7840010993115122
"(431389789, 2607734239)",0.42754491017964075,0.125251091143081,0.3333333333333333,0.7830477190683972
"(431389806, 2353357837)",0.6847154903479756,0.128362706028905,0.0,0.7782355177604257
"(431389806, 746695448)",0.5539461382762288,0.06675271846294285,0.0,0.8784224142133341
"(431389806, 2360536458)",0.2625149268562445,0.10308455379694362,0.0,0.8180679018849372
"(431389806, 12615421361)",0.23114461885419985,0.16888833250959434,0.0,0.7177698701073587
"(7986080833, 2607733880)",0.2788942010556953,0.15524420995402766,0.0,0.7376805690844068
"(7986080833, 2607734239)",0.006277918151678933,0.010321162308598092,0.3333333333333333,0.9802195768075167
"(7986080833, 5988044460)",0.265444534651505,0.4125090373945499,0.0,0.4239698958111334
"(2353357837, 2353007337)",0.2921105129900042,0.10967843177324553,0.0,0.807512878458886
"(2353357837, 2353357841)",0.18540346380166725,0.17036242791333275,0.0,0.7156449699379988
"(2353357837, 2607748269)",0.6379062238493376,0.35430658895938133,0.0,0.48501997605696456
"(746695448, 2353007337)",0.700237592164987,0.12945439890200902,0.0,0.7765531023575888
"(746695448, 4344312760)",0.246798794186519,0.08602867939850206,0.0,0.8459285248579695
"(2360536458, 2353568940)",0.13975033158790648,0.03168105376414648,0.0,0.9404612157559064
"(2360536458, 2353568958)",0.12224313818250952,0.01356099205356758,0.0,0.974088211260907
"(12615421361, 12615421359)",0.19826038731727347,0.05362010781167108,0.0,0.9011991183833282
"(12615421361, 12615421362)",0.030838323353293413,0.08670562633137702,0.0,0.8448070736869483
"(432479641, 12615356095)",0.012791971003048871,0.017597934303253352,0.0,0.9664994513301897
"(432479641, 778221367)",0.024964603759514023,0.14093579700620124,0.0,0.7590428279832018
"(12615356095, 3526040646)",0.0383088493342984,0.13415921230750985,0.0,0.769337398108458
"(778221367, 12262788296)",0.030838323353293413,0.013734870638930708,0.0,0.9737601836770166
"(778221367, 778221821)",0.08324803689324653,0.07020348077222666,0.0,0.8725246231904096
"(432479730, 2353631995)",0.017609045977309487,0.09162562498168592,0.3333333333333333,0.8366957392309715
"(432479730, 2353019209)",0.21068073435214163,0.09087724335233244,0.3333333333333333,0.8379251198593906
"(432479730, 2353568945)",0.2393676246408289,0.11571761154022187,0.0,0.7979488147216098
"(2353631995, 2353019209)",0.034860279441117754,0.16356229805835268,0.3333333333333333,0.7254896572270515
"(2353631995, 2353568946)",0.05407677070102211,0.11793282897101837,0.0,0.7944650290561898
"(2353631995, 2353568948)",0.030615576206893504,0.06697843197854816,0.0,0.8780355464534837
"(2353019209, 778220615)",0.2299621714778905,0.2586412126168188,0.0,0.596990883567605
"(2353568945, 2353568946)",0.02802785122395897,0.05423021408184054,0.0,0.9001291818146576
"(2353568945, 12615421390)",0.2796754613483663,0.09430047896408313,0.0,0.8323146304562395
"(746694307, 12615421563)",0.08051344281134701,0.10222240309679125,0.0,0.8194567546038451
"(746694307, 4144303295)",0.5031558403339852,0.18912273603399612,0.0,0.6890368383747404
"(746694307, 2353581867)",0.5692847189404087,0.1449630831150818,0.0,0.7529792472202028
"(12615421563, 778220615)",0.05336773422851267,0.055735867352116754,0.0,0.8974936990802237
"(12615421563, 12615421566)",0.030838323353293413,0.11769316611779113,0.0,0.7948413102578967
"(4144303295, 746694949)",0.3001933861215301,0.024489501098458443,0.0,0.9536738969744887
"(4144303295, 3526061227)",0.22092153604878145,0.5892811749994038,0.0,0.26481419961181296
"(2353581867, 778221293)",0.6248146115361697,0.07739962325696456,0.0,0.8603396736369882
"(2353581867, 2353581878)",0.09186674270506603,0.16713627245647925,0.0,0.7203020433432668
"(1986767193, 778221293)",0.6405238856286761,0.06671530334049207,0.0,0.8784865577209495
"(1986767193, 2353568982)",0.12193803950540492,0.05250806598962192,0.0,0.9031522869310246
"(746694707, 5773169761)",0.20013632990429425,0.01989441916387146,0.0,0.9622075501605334
"(746694707, 4144296481)",0.09161676646706587,0.041366483003814646,0.0,0.9229369971288021
"(746694707, 746694949)",0.30253153948513284,0.05907575125859132,0.0,0.8916726940414973
"(5773169761, 3526040644)",0.08954766291592646,0.0633385521431151,0.0,0.8842930181691052
"(5773169761, 5773169759)",0.08813357716800825,0.10401953344730637,0.0,0.8165640343048508
"(4144296481, 4144296485)",0.030838323353293413,0.06475124747659798,0.0,0.8818596251034974
"(4144296481, 4144296487)",0.030838323353293413,0.01779624644803236,0.0,0.966128110530373
"(746694949, 778221531)",0.09405971024983008,0.09822037882600648,0.0,0.8259305352905635
"(778221531, 778220615)",0.29175433930673494,0.22122933800053918,0.0,0.6452939405994076
"(778221531, 4144302035)",0.05703592814371257,0.08553241018899385,0.3333333333333333,0.8467514947919197
"(778221531, 4144302402)",0.16616768294912013,0.03248122870466929,0.3333333333333333,0.9390017554270517
"(746695046, 3526040646)",0.020880327257572752,0.016172477538952717,0.0,0.9691726205144349
"(746695046, 3526040644)",0.035356046149459294,0.15149485652048905,0.0,0.7432298935827779
"(746695046, 778221821)",0.016512305060209263,0.08530658494714867,0.0,0.8471262180000557
"(3526040646, 3526040648)",0.06348640630826273,0.023277549985858032,0.0,0.9559176768846267
"(3526040644, 3526061148)",0.030838323353293413,0.27822049025461193,0.0,0.5727807239609422
"(778221821, 5773169759)",0.1492114397578474,0.18483116856277235,0.0,0.6950534472740906
"(778221821, 12262788295)",0.030838323353293413,0.07369826449269734,0.0,0.8665878822656823
"(2353007337, 2360598482)",0.7573966353008269,0.23504196100044397,0.0,0.6271376425965137
"(4344312760, 2353568935)",0.20992254668152918,0.03503909711423197,0.0,0.934350574588223
"(4344312760, 4344312765)",0.030838323353293413,0.08410817408488139,0.0,0.8491172565755392
"(778220615, 778221626)",0.09207776546474158,0.18561658279164317,0.0,0.6939492515178545
"(778221626, 2353581878)",0.08142921408265723,0.022459992282749777,0.0,0.9574340985138893
"(778221626, 2353568948)",0.0494992482567333,0.011781899028051364,0.0,0.9774505897478534
"(778221293, 2353581863)",0.06036072875893239,0.03677287142629999,0.0,0.9312101412582457
"(2353581863, 2353568963)",0.02928746403297295,0.09913211182636857,0.0,0.8244517918775487
"(2353581863, 2353568981)",0.02655889519661974,0.022474828197503596,0.0,0.9574065603480116
"(4144302035, 12615421562)",0.030838323353293413,0.03820749212164662,0.0,0.9286190056407806
"(4144302035, 4144302402)",0.004341317365269461,0.11271627755357728,0.3333333333333333,0.8026897219318933
"(4144302402, 4144302403)",0.1444610961227725,0.03411914552595598,0.0,0.936020915011582
"(2353581878, 2353581884)",0.05541490071804441,0.026135095376761477,0.0,0.9506352252335166
"(2353568948, 2353581886)",0.06134472397196943,0.018496706618530145,0.0,0.9648175777042597
"(5773169759, 4144302403)",0.09446109612277243,0.005772808621594795,0.0,0.9888896627075782
"(2353568982, 2353568980)",0.06260331069462807,0.015458755676878884,0.0,0.9705137070773757
"(2353568982, 2353568981)",0.036049157097061274,0.06419060778781352,0.0,0.8828246112445459
"(2178722078, 2607734239)",0.21363080398630038,0.4117354160272218,0.0,0.42474990686829517
"(2178722078, 5988044460)",0.01723567948875162,0.007825456686868265,0.0,0.9849678346782813
"(2178722078, 2356800121)",0.05901198222717188,0.011763457364463067,0.0,0.9774855013196595
"(2178722078, 11160972423)",0.1443201909409698,0.4722724105866859,0.0,0.3660788201795282
"(2607734239, 12065279981)",0.20083026713049992,0.19532503504059437,0.0,0.6804135999096987
"(5988044460, 7986080834)",0.061644119461693514,0.011934009622296427,0.0,0.977162677411103
"(5988044460, 5444145112)",0.19381681093893766,0.20222741646807377,0.0,0.6709159028586572
"(2360598482, 2353645305)",0.6786541203307668,0.12974876067812097,0.0,0.7760999836892499
"(2360598482, 2360598483)",0.15119760479041916,0.04268649528558387,0.0,0.9205722810204872
"(2353007340, 2353007350)",0.6335329341317365,0.042161598530137026,0.0,0.9215119268608135
"(2353007340, 2353628535)",0.6092814371257486,0.07683553662775201,0.0,0.8612892939196151
"(2353007350, 3168044295)",0.2061469917308243,0.052777433443299944,0.0,0.9026788199635452
"(2353007350, 2356142420)",0.47393997718847986,0.09341608354302423,0.0,0.8337609401417837
"(2353628535, 2353628534)",0.030838323353293413,0.09893045995263383,0.0,0.8247786531052443
"(2353628535, 2353628537)",0.559880239520958,0.09714124847355818,0.0,0.8276837678323158
"(3168044295, 2356787681)",0.21992229826062154,0.041989559316673676,0.0,0.9218200965902115
"(2356142420, 2356095499)",0.534813230681494,0.10189820680332813,0.0,0.8199795366384143
"(2356142420, 2356142421)",0.030838323353293413,0.1477424032355461,0.0,0.748818033622505
"(2356142420, 2356787694)",0.05738023952095808,0.04314079064145674,0.0,0.9197597382281656
"(2353007354, 2353407751)",0.032261667141906675,0.22227708624491946,0.0,0.6439030965121867
"(2353007354, 12262788297)",0.01785904381712766,0.10080509243900868,0.0,0.8217443705247139
"(2353407751, 12262789703)",0.02928062705757319,0.18705427876622827,0.0,0.691931603767942
"(2353407751, 2607748287)",0.08093850178431014,0.18204627596086845,0.0,0.6989798322710846
"(12262788297, 2353422779)",0.046309242985889676,0.3239884745776342,0.0,0.5188415645533799
"(12262788297, 12262789703)",0.017931237092913728,0.2445544936801745,0.0,0.614855636255973
"(2353007355, 2607748287)",0.08666056332223998,0.1523304387496616,0.0,0.7419902199603636
"(2353007355, 2353645310)",0.2908188385134488,0.07099202066872758,0.0,0.8711819177801475
"(2353007355, 2607748269)",0.2859614852878321,0.32793758420333835,0.0,0.5143529802691361
"(2607748287, 2607748277)",0.045726469970482,0.33099347796320266,0.0,0.5108970036910239
"(2353645310, 2356787681)",0.27331693755346465,0.12415690515927724,0.0,0.7847458711382871
"(2353645310, 2356787704)",0.13252186103982547,0.0529426853525035,0.0,0.9023884692753777
"(2607748269, 2353645306)",0.324988119000095,0.11055125730947415,0.0,0.8061245599386013
