edge,edge_betweenness,edge_length,edge_embedness,straightness
"(4246979958, 4967410517)",0.04241039581180844,0.021507776728445692,0.0,0.9654991682216305
"(4246979958, 4967410506)",0.03714100012074746,0.0038713466858531663,0.0,0.993721572684584
"(4967410517, 4967410507)",0.08183169036184466,0.04632663235765752,0.0,0.9268085066714039
"(4246979961, 8017337905)",0.18951961325850014,0.1914353887040949,0.0,0.7220742097905349
"(4246979961, 5257633207)",0.24483960604406063,0.013236427728563729,0.0,0.9786583347367087
"(4246979961, 8017337934)",0.11735110599422974,0.01929519385263559,0.0,0.969006055287619
"(8017337905, 8017336997)",0.14353894754279317,0.016210675890314174,0.0,0.9739109779871674
"(8017337905, 8017337907)",0.194996912762479,0.286111942339155,0.0,0.6054931086503353
"(5257633207, 8017337926)",0.3943233776286638,0.019296260644668866,0.0,0.9690043621378626
"(5257633207, 8017337904)",0.37009706157614575,0.1945212086662592,0.0,0.7180803195698708
"(4965126474, 8017337010)",0.5546564276180095,0.21088808146771446,0.0,0.6971249105942743
"(4965126474, 5257633208)",0.9038635025378232,0.01053907946435943,0.0,0.9829788951475986
"(4965126474, 8017337003)",0.22246373552285295,0.3327110186125156,0.0,0.5523109885603907
"(4965126474, 8017337893)",0.538406077834946,0.16037627060779253,0.0,0.7630536592972775
"(8017337010, 8017337005)",0.05480050496194163,0.3377423694283883,0.0,0.5467219973336994
"(8017337010, 8017337883)",0.486533474131833,0.09496035294098913,0.0,0.8542813436668787
"(5257633208, 4967410943)",1.0,0.32543758685349256,0.0,0.5604422390551248
"(5257633208, 8017337000)",0.43110026672432566,0.3085337855311584,0.0,0.5795792672904079
"(5257633208, 5257633209)",0.5745465548858294,0.3298595969711076,0.0,0.5554913920638583
"(8017337003, 5257633209)",0.16983783477842723,0.00896586586754809,0.0,0.9855055342529042
"(8017337003, 4967410955)",0.1175036482340091,0.09371385929374938,0.0,0.8560881685531732
"(4965126476, 5257635824)",0.06767827322253663,0.010476696871569442,0.0,0.9830789898004066
"(4965126476, 8017337914)",0.024814159847900526,0.1377364783696804,0.5,0.7938486465106617
"(4965126476, 8017337917)",0.012013584794508623,0.12765300502416002,0.5,0.8078243946271051
"(5257635824, 5260598868)",0.43432341172022637,0.2879936238969751,0.0,0.6032946902167842
"(5257635824, 5260598882)",0.15349059587815195,0.9639321095802947,0.0,0.022498431232063337
"(5257635824, 8017337919)",0.05480050496194163,0.2714555665556992,0.0,0.6227680049091315
"(5257635824, 8017337922)",0.32854626292290184,0.40380535750744406,0.0,0.4759430312772577
"(8017337914, 8017337939)",0.07167868205870799,0.2594669578477908,0.0,0.6371011839274232
"(8017337914, 8017337917)",0.039487636759533214,0.19422740298168706,0.5,0.7184599917049905
"(4965136048, 8017337785)",0.1925027767831886,0.15847586993230278,0.0,0.7656080952333304
"(4965136048, 8017338087)",0.11778612625894107,0.2342343425606612,0.0,0.6678812184765353
"(4965136048, 8017337044)",0.11630429921049036,0.16735799392594425,0.0,0.7537163414148514
"(4965136048, 5260599029)",0.15734165368835012,0.23012491723998083,0.0,0.6729745546110851
"(8017337785, 5260599027)",0.24530378547997514,0.19049884078580037,0.0,0.7232890833015345
"(8017337785, 8017337784)",0.09071447034643225,0.35921109849182714,0.0,0.5231966830669993
"(8017338087, 8017337045)",0.09442259309390062,0.18651446310094333,0.0,0.7284717987212913
"(8017338087, 8017338032)",0.10981263277787445,0.28584355687476276,0.0,0.6058070283340079
"(8017338087, 8017338090)",0.07948755528454873,0.2354188311544016,0.0,0.6664173688744148
"(8017337044, 8017338075)",0.05321167750081928,0.18254230329533824,0.0,0.7336617072738947
"(8017337044, 8017337045)",0.04162776691588247,0.23598370320861187,0.0,0.6657199378511384
"(5260599029, 5260599026)",0.43890593677451184,0.3137824999789603,0.0,0.573600902933508
"(5260599029, 5260599031)",0.4888241733666614,0.4067559711163124,0.0,0.4728905987737214
"(5260599029, 8017338032)",0.10252180518253008,0.14879807688242166,0.0,0.7787027761912528
"(4965136049, 4967410935)",0.5878107116401261,0.36400991489057166,0.0,0.5180085602653426
"(4965136049, 5260599024)",0.2694221541639568,0.2826104425890776,0.0,0.609595712290255
"(4965136049, 4967410948)",0.2035717095024931,0.2889066538756953,0.0,0.6022295528347211
"(4965136049, 8017337781)",0.1985006484240441,0.3726252601069316,0.0,0.508757686568745
"(4967410935, 4967410934)",0.7675384656890963,0.032363433297828904,0.0,0.9484311275576746
"(4967410935, 8017337792)",0.1658365743481567,0.39026348178246084,1.0,0.49006839824858084
"(4967410935, 8017337795)",0.38581519152042326,0.36039823137434696,0.5,0.5219108767711206
"(4967410935, 5257633211)",0.06780577326628166,0.4614303552932139,0.5,0.4179119968352243
"(5260599024, 8017337797)",0.12692925552982992,0.16527285241203293,0.0,0.7564972549651982
"(5260599024, 8017337782)",0.14806881177758624,0.34811378633052736,0.0,0.5352922572436748
"(4967410948, 8017337815)",0.26172167666433255,0.16983481764008157,0.0,0.7504215719884682
"(4967410948, 8017337797)",0.6847889535288462,0.5395410878008422,0.0,0.3442454205293741
"(4967410948, 8017337795)",0.6710499160242794,0.3498162328538208,0.0,0.5334277176053693
"(8017337781, 5260599023)",0.09139365225389146,0.14540459540312645,0.0,0.78332879794373
