edge,edge_betweenness,edge_length,edge_embedness,straightness
"(2656512446, 7407642710)",0.48943586739406103,0.1275761641155952,0.0,0.7568514795370085
"(2656512446, 7408949924)",0.5450242404517787,0.4022956190471653,0.0,0.40343853756676384
"(7407642710, 2656512458)",0.27971521159830626,0.45937933366780703,0.0,0.348821002055477
"(7407642710, 7407642700)",0.18701947496837934,0.09408267892818002,0.0,0.8142259667653299
"(7408949924, 2656513002)",0.8701851530707074,0.3608002994259671,0.0,0.4464128711500404
"(7408949924, 5137278867)",0.5348094657264253,1.0,0.0,0.0
"(7408949924, 7408949919)",0.4872824968989358,0.06740820924115487,0.0,0.8629645018892725
"(7408949924, 7407642553)",0.1088874970539607,0.24357118925897883,0.0,0.585679273430506
"(2656512458, 5137278873)",0.11495618690692691,0.11281686118340643,0.0,0.7816347441851399
"(2656512458, 2656512471)",0.27435113872779887,0.09669395703957866,0.0,0.8096046414985542
"(5137278873, 4190025173)",0.06678779527669876,0.28483010301881867,0.0,0.5333404637599659
"(5137278873, 7407642700)",0.05921812017844679,0.46296411410412036,0.0,0.34555135566687684
"(2656512471, 2656512473)",0.13024268217596685,0.0028724048738569398,0.0,0.9937111097659839
"(2656512471, 11113402200)",0.13245393726287255,0.4502601908783816,0.0,0.3572206744199036
"(2656512471, 7408949893)",0.0688859838676028,0.24542897257010865,0.0,0.5832366838161769
"(2656512473, 7408949894)",0.06305465453703836,0.24392621876986606,0.0,0.5852118353178628
"(2656512473, 3729486714)",0.1542577352351659,0.1359713887697368,0.0,0.743090542002525
"(2656512473, 2656512919)",0.29951472797721235,0.5122514700727778,0.0,0.30236040929585006
"(11113402200, 11113402192)",0.09759708836560177,0.22586853198119725,1.0,0.6093834650267483
"(11113402200, 2656512919)",0.07028081212032605,0.05200438821447638,1.0,0.8924442329581114
"(7408949894, 7408949893)",0.0,0.004845594210908623,0.0,0.9894158886131202
"(3729486714, 3729486659)",0.06678779527669876,0.05998397155333312,0.0,0.8770463431204891
"(2656512919, 3095536627)",0.33334687402623464,0.15781648579388527,0.0,0.7083735462669563
"(2656512919, 7407642576)",0.06980775610857504,0.08476382678051567,0.0,0.8309318713537582
"(2656512919, 11113402192)",0.21550877273876237,0.1331629544628612,1.0,0.7476674039511347
"(3095536627, 2656513016)",0.18066429420974503,0.06763427833287149,0.0,0.8625393402271223
"(3095536627, 7407642573)",0.11251781834262259,0.10937690374952581,0.0,0.7875222517109801
"(3095536627, 7407642588)",0.3117520761962521,0.1260413833123139,0.0,0.7593931794463441
"(7407642576, 7407642573)",0.020071149283281554,0.11168126809067179,0.0,0.7835735898419671
"(11113402192, 7407642584)",0.36861025915612156,0.04675713518814582,0.0,0.902721459272175
"(2656512967, 7407642584)",0.4805228201605094,0.15760088925562274,0.0,0.7087087170904945
"(2656512967, 2656513002)",0.8499122455909386,0.20232323075927358,0.0,0.6421641685371801
"(2656512967, 7408949909)",0.7703226959244835,0.2491309478675574,0.0,0.5783943247424319
"(2656512967, 7407642580)",0.26017694243389844,0.07373732918790282,0.0,0.851141406972557
"(7407642584, 7407642585)",0.1203738443019699,0.06460164987922108,0.0,0.868260501819528
"(2656513002, 2656513076)",1.0,0.22141299734828296,0.0,0.6154745926324888
"(2656513002, 7407642552)",0.33149904828507193,0.23581344093588044,0.0,0.5959706123118185
"(7408949909, 7408949902)",0.13451049424518252,0.11345812217276294,0.0,0.7805419425489751
"(7408949909, 7408949911)",0.19011963206949514,0.08583297489159157,0.0,0.8289980470280711
"(7408949909, 7408949915)",0.37512492067491066,0.12376002947657792,0.0,0.7631862849234717
"(7407642580, 7407642586)",0.15933921504892143,0.06938686606221812,0.0,0.859250506257666
"(7407642580, 7407642585)",0.10549682058871754,0.16009933139342258,0.0,0.7048334938392261
"(2656513076, 2656513061)",0.9477685792435975,0.20117136895106957,0.0,0.6438060427424512
"(2656513076, 2656513104)",0.5903312947193613,0.2356574368747165,0.0,0.5961790945221799
"(2656513076, 7408949921)",0.5318195202327431,0.10854680849556263,0.0,0.7889493909989963
"(7407642552, 2656513104)",0.28175898241169844,0.22297268025679448,0.0,0.6133365282203799
"(7407642552, 7407642555)",0.15244931022682534,0.002886317046684259,0.0,0.9936807550952231
"(7407642552, 7407642553)",0.10748158263670177,0.3698667565753153,0.0,0.43677063533519395
"(2656513016, 7770041387)",0.14524838799761922,0.07025580161256216,0.0,0.8576246172456577
"(2656513016, 7407642572)",0.09733299059358387,0.14845131119734778,0.0,0.7230682292674143
"(2656513016, 3095536610)",0.1775319514651775,0.09709515338884625,0.0,0.8088969154329123
"(7770041387, 2656513073)",0.1009071933900215,0.0737761613672396,0.0,0.8510693746729243
"(7770041387, 7770041389)",0.09739191542770397,0.09339798164073328,0.0,0.8154420137193975
"(7407642572, 7407642579)",0.013132954932629478,0.06118969200914987,0.0,0.87474354556808
"(3095536610, 7770041389)",0.1922564549154345,0.06825009879713993,0.0,0.8613822632560656
"(3095536610, 7407642588)",0.16459126778275007,0.07054772028785283,0.0,0.8570791001079147
"(3095536610, 3729486403)",0.20857094179246985,0.06810661120467006,0.0,0.86165172393435
"(2656513061, 7407642586)",0.3482456433238981,0.062156060269576034,0.0,0.8729023513965415
"(2656513061, 7770041392)",0.5406590116809457,0.0681639057023153,0.0,0.8615441182065102
"(2656513061, 3729486403)",0.3403643202107346,0.08238883252847158,0.0,0.8352437676434249
"(7407642586, 7407642588)",0.2890334937853661,0.16087451710582498,0.0,0.7036350880617609
"(7770041392, 2656513106)",0.3955665044972917,0.07520739163273628,0.0,0.848418779560793
"(7770041392, 7770041390)",0.14422864485450607,0.08144527866513325,0.0,0.836963027171998
"(3729486403, 7770041390)",0.15185993950420654,0.06766209692488483,0.0,0.8624870373059721
"(2656513073, 7770041401)",0.05714497420830864,0.0011398201177161842,0.0,0.997499290964568
"(7770041401, 3095536609)",0.08063428287938086,0.07793805198797497,0.0,0.843384721878436
"(7770041401, 7770041393)",0.04690316681931321,0.21447624941147878,0.0,0.6250606647578106
"(2656513104, 7407642556)",0.17349796571094148,0.003028311634533491,1.0,0.9933709977633404
"(2656513104, 3095556360)",0.5289284211363625,0.15973194474762317,1.0,0.7054021108189307
"(7408949921, 2656513140)",0.2372727946822611,0.026079312133072106,1.0,0.944439561850383
"(7408949921, 2656513151)",0.23086533935642053,0.029651855834391196,1.0,0.937089339158722
"(7407642556, 2656513168)",0.18729770858707606,0.22413973733074563,0.0,0.6117408051339687
"(7407642556, 7407642555)",0.10472561770791525,0.222892086688929,0.0,0.6134468541222502
"(7407642556, 3095556360)",0.13690423988482658,0.16174345808723603,1.0,0.702293955253212
"(2656513106, 2656513144)",0.27138087118723847,0.15590732155404663,0.0,0.7113466426751759
"(2656513106, 3729486377)",0.21965517764825107,0.07697271563573516,0.0,0.8451609064845707
"(2656513106, 7770041403)",0.270364755120191,0.13148991295490559,0.0,0.7504065703189329
"(2656513144, 2656513140)",0.07672304913780235,0.02480323058077308,1.0,0.9470797949876624
"(2656513144, 2656513166)",0.1999714165328944,0.02594273114380573,1.0,0.9447217762818085
"(3729486377, 3095536609)",0.13705968662900206,0.0718706290474381,0.0,0.8546113408760511
"(3729486377, 3729486367)",0.20518103719560188,0.1280812527534575,0.0,0.7560167897199631
"(3729486377, 7770041390)",0.19429955775695099,0.07485807549561771,0.0,0.8490649336012548
"(7770041403, 3729486692)",0.06678779527669876,0.0816070236387035,0.0,0.8366680586864711
"(7770041403, 7770041402)",0.11340934883957701,0.030230862222815628,0.0,0.9359037927175974
"(2656513140, 2656513151)",0.016815677487120092,0.02425517738831691,1.0,0.948216131766222
"(2656513140, 2656513166)",0.13403919108953435,0.024986769665011056,1.0,0.9466995675107934
"(2656513151, 2656513174)",0.13476536464131966,0.01220062302670207,1.0,0.9735817151122662
"(2656513151, 2656513180)",0.06141112065892969,0.0305857699716497,1.0,0.9351778838247798
"(2656513174, 2656513166)",0.023466606206541656,0.034207504349655166,1.0,0.9278040588675824
"(2656513174, 2656513205)",0.11569805960171582,0.045709948449104386,1.0,0.9047871214656961
"(2656513174, 2656513180)",0.0477255331089823,0.023591769670627802,1.0,0.9495935850982395
"(2656513180, 3095536577)",0.08771878061920318,0.1047975164901685,0.0,0.795426746426942
"(2656513166, 2656513205)",0.25903946987259574,0.04733216511751145,1.0,0.9015892496927866
"(2656513168, 5137278888)",0.07564031190171855,0.22133783929344236,0.0,0.6155777811389836
"(2656513168, 2656513254)",0.10955207139856589,0.22439818366034361,0.0,0.6113879054369579
"(2656513168, 2656513273)",0.07483474428504228,0.16026579092928245,0.0,0.7045759968036029
"(5137278888, 5137278867)",0.1451503104560785,0.2247937702231669,0.0,0.6108480786082308
"(5137278888, 7407642555)",0.07921962310365102,0.22514838662005382,0.0,0.6103645029326383
"(5137278888, 7407956348)",0.11007885111860351,0.124174688574511,0.0,0.7624955086008272
"(2656513254, 2656513217)",0.06678779527669876,0.23176266946738835,0.0,0.6014037772187742
"(2656513254, 5137278867)",0.2256278348454531,0.22306961270819925,0.0,0.6132038579975692
"(2656513254, 2656513331)",0.09557268495283967,0.1607928293509999,0.0,0.7037612861204356
"(2656513273, 11113402169)",0.03636795345180146,0.11024708642870101,0.0,0.786028881960908
"(2656513273, 3095536596)",0.0727676976398288,0.12137233646187713,0.0,0.7671755677392332
"(2656513205, 7407642595)",0.3228005495488167,0.002920302518351413,0.0,0.9936066071617213
"(3095536577, 7407642603)",0.1846334547666714,0.14467028128516826,0.0,0.7290805314076029
"(3095536577, 3095556360)",0.2819167054560994,0.0675754537901759,0.0,0.8626499493699138
"(7407642595, 7407642599)",0.13109591312778368,0.0,0.0,1.0
"(7407642595, 7407642597)",0.124957066157518,0.02144985631538978,0.0,0.9540554634644809
"(5137278867, 7407642611)",0.06678779527669876,0.19136886096131017,0.0,0.6579276875274235
"(5137278867, 7407642613)",0.06678779527669876,0.1918584758196644,0.0,0.6572159466478295
"(5137278867, 7407642554)",0.026915279920796346,0.7609987637339705,0.0,0.12507438544527735
"(2656513331, 11113402169)",0.0277844546708304,0.10792442446221377,0.0,0.7900210707361243
"(3095536596, 7407642605)",0.03422256534946014,0.14178706468274985,0.0,0.7336964647609329
"(3095536596, 3095556360)",0.1390982577868307,0.10094337504929018,0.0,0.8021393077046367
"(7407642603, 7407642602)",0.3013969316438958,0.07907972572054772,0.0,0.8412889224160044
"(7407642603, 7407642604)",0.17935489497211507,0.06917242625495396,0.0,0.8596522309546765
