edge,edge_betweenness,edge_length,edge_embedness,straightness
"(667335799, 2593564528)",0.12225889270184985,0.047663248225858046,0.5,0.9226225742659396
"(667335799, 12528269397)",0.1409706460689968,0.054055136805070916,0.0,0.9126115166940864
"(667335799, 12528269398)",0.1884170781982466,0.015783636655330294,0.0,0.9738304090391743
"(667335799, 4318997584)",0.16244981626740335,0.03677457383252535,0.5,0.9398708584221764
"(667335799, 12528269400)",0.4155482053372967,0.028660250641712064,0.0,0.9528863203949511
"(2593564528, 4318997585)",0.09209630400812391,0.03414078210712725,0.5,0.9440801968399467
"(2593564528, 4318997584)",0.0029264674512082403,0.031300945672826826,0.5,0.9486352755863782
"(2593564528, 12528269396)",0.012064491991629013,0.030323901221380217,0.5,0.9502064090933432
"(12528269397, 12528269387)",0.0266824089336665,0.011806984021278876,0.0,0.9803715943887897
"(12528269397, 12528269396)",0.03350090364835304,0.03511239586805332,0.0,0.9425256554894896
"(12528269397, 3254726163)",0.10274089968969298,0.6904923218414811,0.0,0.21104217434928096
"(12528269398, 9953972049)",0.14110059367640002,0.07671901681781487,0.0,0.877777616364532
"(12528269398, 12528269388)",0.0266824089336665,0.04207069847644701,0.0,0.9314506672242808
"(12528269398, 12528269389)",0.0266824089336665,0.017400667965389454,0.0,0.9711804950621216
"(770080575, 10798822069)",0.0266824089336665,0.014689016720795117,0.0,0.9756274745561152
"(10798822069, 770254192)",0.1101592959285832,1.0,0.0,0.0
"(10798822069, 4438812999)",0.06184477628213354,0.30927874630703106,0.0,0.57132531712917
"(770080716, 10798822046)",0.049013917823940885,0.10321606906453604,0.0,0.838316837404743
"(770080716, 4240865089)",0.37826646400390423,0.45622186466055015,0.0,0.41564653271036767
"(770080716, 10672049058)",0.14386347613247358,0.012222795117717577,0.0,0.979685995628627
"(770080716, 10800535798)",0.36369045614032164,0.9122486839594797,0.0,0.05428780390425602
"(10798822046, 4438813039)",0.02845088605122603,0.39905275882679,0.0,0.47332051084830684
"(10798822046, 11531370317)",0.02245736899524481,0.010478849716936543,0.0,0.9825640146946246
"(4240865089, 4438813039)",0.021651884785172097,0.021030412989156675,0.0,0.9652530342675434
"(4240865089, 4240865090)",0.33786113849185334,0.051739787951508985,0.0,0.9162281942400905
"(770254192, 9928306261)",0.299445168109974,0.7302608061598265,0.0,0.18061607260756232
"(770254192, 9308470309)",0.15659191395266198,0.07319519492524748,0.0,0.8831269109148154
"(770254192, 9953972049)",0.1458707405414029,0.6496763378657263,0.0,0.24345134447443437
"(9928306261, 9928306259)",0.30248317419189863,0.0669387650738768,0.0,0.8926844560357315
"(9928306261, 9928306263)",0.06760621598912986,0.12942182840793004,0.0,0.8005679085987727
"(9308470309, 9308470301)",0.13134042284824568,0.8680448801120245,0.0,0.08317159262031472
"(9953972049, 9953972050)",0.07954219697891118,0.06264861975993803,0.0,0.8992830426080823
"(773538307, 11531370316)",0.031008998083439446,0.07831466093569618,0.0,0.8753633264247026
"(773538307, 4438813018)",0.024598526290130217,0.06913601308631902,0.0,0.8893190661116386
"(11531370316, 4438812999)",0.04122272521352691,0.06158996578714511,0.0,0.9009169869340073
"(11531370316, 11531370318)",0.04233422504088362,0.025598963870596913,0.0,0.9578331068370121
"(4438813018, 4438813006)",0.010058377017486101,0.1381792420329838,0.5,0.7882255843438942
"(4438813018, 4438813012)",0.03190916697929132,0.09144008272861819,0.5,0.8556899498863152
"(778890588, 12197088544)",0.12328750429685535,0.016353598811321184,0.5,0.9728957285661578
"(778890588, 12197088542)",0.056569491078136136,0.013729345984336625,0.0,0.9772051573837287
"(778890588, 12197088545)",0.12785241274428708,0.016635887810966202,0.5,0.972433066687772
"(778890588, 4331763582)",0.1398987077230593,0.226889556138239,0.5,0.6703405315625595
"(778890588, 9928281384)",0.043086130068788836,0.02713470148479292,0.5,0.9553489697168176
"(12197088544, 9753366470)",0.1870531307779738,0.21571696654376046,0.0,0.6845086112412232
"(12197088544, 12197088541)",0.049546231268098505,0.01563770665922789,0.0,0.9740698340717308
