edge,edge_betweenness,edge_length,edge_embedness,straightness
"(1974198821, 1974198904)",0.08432079303380315,0.08461846300996129,0.0,0.855901023910675
"(1974198821, 1974198899)",0.9387617174685069,0.09895347669702667,0.0,0.833324310980861
"(1974198821, 4400926546)",0.8303398401996339,0.4109961311609564,0.0,0.44036393454910355
"(1974198899, 4400610412)",1.0,0.3453632030365326,0.0,0.5099861260069889
"(4400926546, 4400926544)",0.3890650161317635,0.1626529415438696,0.0,0.7386735645655129
"(4400926546, 4400926548)",0.40373573731944956,0.44114404763928866,0.0,0.41023019651699844
"(4400610412, 9835606159)",0.576969542689729,0.04705662202888717,0.0,0.9174860310750583
"(4400610412, 11954807071)",0.6876984487203538,0.27515705076986563,0.0,0.5912363773901301
"(1974199050, 4400926537)",0.0019730995492036794,0.15316076490470937,0.0,0.7522201940090296
"(1974199050, 1974199093)",0.02511770230626287,0.4361142562547163,0.0,0.415181262474737
"(4400926537, 4400926532)",0.027944937044809697,0.020038207076014815,0.0,0.9640958782625889
"(4400926537, 4400926525)",0.07563048491769349,0.014823607966412758,0.0,0.9733269285390912
"(1974199093, 5583433594)",0.16064504889235418,0.17846694223572265,0.0,0.7165139212681375
"(5583433594, 4400926525)",0.08574060333137172,0.4230788203223229,0.0,0.4281539521424689
"(5583433594, 4400926548)",0.12466413549735966,0.1805492426189864,1.0,0.7136334095529068
"(5583433594, 4400926549)",0.22713167518221472,0.3211509793637048,1.0,0.5371696173644352
"(2216949386, 4400926575)",0.5329502083675913,0.45548140994639336,0.0,0.3962806054750792
"(2216949386, 4400926520)",0.4742216915136184,0.4421371368027612,0.0,0.4092561982905116
"(4400926575, 4593841974)",0.21935596479222483,0.045405556119904426,0.0,0.9202771018755377
"(4400926575, 4400926577)",0.4657791005293162,0.47433279184821425,0.0,0.37829886143663
"(4400926520, 4400926549)",0.4521357535514406,0.23286131041841643,0.0,0.6439822174636182
"(2216949432, 4593841974)",0.17458174510526436,0.38538317645734416,0.0,0.4668553742550761
"(2216949432, 4053698639)",0.182612995273329,0.32423819370276075,0.0,0.5336560588142657
"(4053698639, 3256172824)",0.23682393390776554,0.7793974914669253,0.0,0.1345058611238008
"(3256172824, 4400926598)",0.20361989696597044,0.18705018534839138,0.0,0.7046954019594728
"(3256172824, 4400926552)",0.4360913430848051,1.0,0.0,0.0
"(4400926598, 9821347577)",0.04905141450556561,0.2562335529274468,0.0,0.614461115806303
"(4400926598, 4593841988)",0.22657480055104026,0.12776669064847895,0.0,0.7894007279210588
"(4400926552, 4400610416)",0.3713041866965796,0.32721949044338433,0.0,0.5302763736226026
"(4400926552, 9591694844)",0.32141053394286956,0.5032934206941396,0.0,0.3514417132326885
"(9835606159, 9591694840)",0.49892039332917326,0.0907184667581773,0.0,0.8462334460329315
"(9835606159, 9835606160)",0.08432079303380315,0.06716200434200639,0.0,0.8840741052917215
"(11954807071, 9821347580)",0.4632908471290318,0.3400346050950906,0.0,0.5158961106925125
"(11954807071, 9996882657)",0.3734457990841311,0.20557394112204777,0.0,0.6796752975758291
"(11954807071, 11954807072)",0.37834473130921276,0.1418685786203032,0.0,0.7685820608963732
"(4400610416, 4906257149)",0.17608010780910333,0.3388536861447646,0.0,0.5172113537420441
"(4400610416, 4400926592)",0.19029890820303877,0.35485846490913747,0.0,0.49955414415872584
"(4906257149, 4906257148)",0.08432079303380315,0.028915757842654564,0.0,0.9485582153635213
"(4906257149, 9591694845)",0.05260224402386494,0.34016044564715125,0.0,0.5157560739258154
"(4400926592, 9591694841)",0.30454588642071717,0.13663932782450694,0.0,0.7762514440393826
"(4400926592, 4400926593)",0.08432079303380315,0.17989560986643516,0.0,0.7145366759877435
"(4400926592, 9591694845)",0.05775557522444069,0.3269604634358867,0.0,0.5305694966858127
"(4400926549, 4400926548)",0.17766973471939773,0.5111272904712097,1.0,0.34433146081829114
"(4400926525, 4400926544)",0.1320500173483478,0.01791551169408655,0.0,0.9678441381477374
"(4400926544, 4400926532)",0.13414387899930755,0.018201286033764755,0.0,0.9673387671658249
"(9591694844, 4400926557)",0.2478879262506984,0.13312310536513483,0.0,0.7814418353141929
"(9591694844, 9821347579)",0.12083299448780495,0.2683828255326116,0.0,0.5994823855643765
"(9591694844, 9821347581)",0.18038761538199533,0.06618908635346349,0.0,0.8856668438078794
"(4400926557, 11954807072)",0.25443988141520146,0.05620990022355539,0.0,0.9021439659296641
"(4400926557, 9835606150)",0.07696571285249378,0.2693299028289774,0.0,0.598325026386015
"(11954807072, 9821347582)",0.13092486006019197,0.0,0.0,1.0
"(9835606150, 9821347579)",0.0879037279961591,0.1354658022492627,0.0,0.7779807177501319
"(9835606150, 9821347580)",0.16009387827408308,0.13819339892412733,0.0,0.7739660163544452
"(9835606150, 9835606151)",0.14831590648743465,0.2808196871619348,0.0,0.5844006743555094
"(4400926577, 4593841988)",0.3006365189484864,0.3154612091393328,1.0,0.5436822173371454
"(4400926577, 9821347576)",0.15007665378483262,0.16777378810738278,1.0,0.7314425041620763
