edge,edge_betweenness,edge_length,edge_embedness,straightness
"(858406816, 4663769922)",0.3269873328172142,0.007665775470357427,0.0,0.9856281107920253
"(858406816, 2381169045)",0.24394698972918163,0.32121097586224906,0.0,0.528200757215435
"(858406816, 3079585434)",0.10343537244914722,0.07511114447277485,0.0,0.8670836293220421
"(858406816, 4665798078)",0.046911466830098295,0.008063912139061328,0.0,0.984886983764679
"(4663769922, 4665798083)",0.06778231203500926,0.008293788311943804,0.0,0.9844593085755727
"(4663769922, 2381169031)",0.39092808659387596,0.13367629568759418,0.0,0.7744389745499071
"(4663769922, 5470235265)",0.057451284013698756,0.04956061773070442,0.0,0.9103926404433382
"(2381169045, 4663769912)",0.10590450892846748,0.006785978216690735,0.0,0.987267690180582
"(2381169045, 3077733938)",0.15948241770074195,0.10727071501334276,0.0,0.815121504183432
"(2381169045, 858407215)",0.17854392111444156,0.25489440746945335,0.0,0.6076362848416907
"(858406868, 3079585033)",0.03656762937959077,0.037753093910683454,0.0,0.9310489041652823
"(858406868, 2285706868)",0.04941627496893628,0.05674551356089826,0.0,0.8980249960083465
"(858406868, 3079567448)",0.02021527020646474,0.10676525676698827,0.0,0.8159172438628388
"(3079585033, 2285718556)",0.1050857792965649,0.2173197550705592,0.0,0.6561231964627993
"(3079585033, 6096862864)",0.10379292487004338,0.22764083335772603,0.0,0.6425367030741261
"(858407215, 9432172065)",0.017209194900795134,0.006951949797054094,0.0,0.9869581928130041
"(858407215, 8410554901)",0.18686682029706816,0.12204363590615797,0.0,0.7921491437502765
"(858407215, 3653043718)",0.1506332134103807,0.027684646987516673,0.0,0.9489965967007835
"(9432172065, 2381169044)",0.033132614577805836,0.17413768353520012,0.0,0.7153053805632668
"(9432172065, 8410554902)",0.08760583879878572,0.12165165911307883,0.0,0.7927516581206188
"(9432172065, 4663769912)",0.09291973592042835,0.25285246426114527,0.0,0.6102033708775266
"(8410554901, 2381169068)",0.05684661821323517,0.0352854023570943,0.0,0.9354189582955228
"(8410554901, 1866832165)",0.20688578746118558,0.026341989269755485,0.0,0.9514136622083786
"(3653043718, 3653043719)",0.04819609638877098,0.00741631052092856,0.0,0.9860927522236674
"(3653043718, 3077748933)",0.04324397428949232,0.4610067142138511,0.0,0.38248856416243343
"(858408008, 2285727435)",0.7331578399902499,0.012167047963803586,0.0,0.9772792305704928
"(858408008, 9432157113)",0.8634270183213313,0.2327125877773216,0.0,0.635935930102285
"(858408008, 2381169018)",0.7336333545339947,0.28473326008147515,0.0,0.5709708725013681
"(858408008, 4665798036)",0.9269232065883279,0.010500456042139873,0.0,0.9803626901752299
"(2285727435, 4665798088)",0.8244987291784194,0.18193886464594525,0.0,0.7043245815580598
"(2285727435, 4665797977)",0.4811569818537504,0.01106943349624484,0.0,0.9793089759981548
"(2285727435, 5470235871)",0.2479748553210148,0.1721292743603759,0.0,0.718153732107466
"(9432157113, 2381169015)",0.30672996541571257,0.00984508304719566,0.0,0.9815777115355717
"(9432157113, 2381169023)",0.3212678198086471,0.23491166527448784,0.0,0.6330891640476611
"(9432157113, 4663431346)",0.49074838402385945,0.4688603320191455,0.0,0.3750600897417968
"(858409657, 2285718556)",0.19737091521701486,0.0905748424845126,0.0,0.8417553109875772
"(858409657, 5613702014)",0.04819609638877098,0.05518529881406953,0.0,0.9006978736232375
"(858409657, 2285718610)",0.23659470356974222,0.18883806448322524,0.0,0.694721913870354
"(858409657, 2381169028)",0.3183888922037817,0.3686870953178325,0.0,0.4756602490729118
"(2285718556, 2285727471)",0.08759276578133347,0.01883819777223001,0.0,0.9650263821238882
"(2285718610, 2285718647)",0.14724675820070826,0.09202768648178682,0.0,0.8394086983864903
