edge,edge_betweenness,edge_length,edge_embedness,straightness
"(999098064, 4145309808)",0.29916972303670697,0.008830695628606002,0.0,0.9839522113482669
"(999098064, 2306249549)",0.7662625231947576,0.2477976618992723,0.0,0.6238090658927119
"(999098064, 4145409424)",0.416053814117797,0.010377247980682413,0.0,0.9811657206275692
"(999098064, 9869483822)",0.3631847269944757,0.20959027615017983,0.0,0.6732126476142322
"(4145309808, 4151435310)",0.1560411493521819,0.0112318412702485,0.0,0.9796290051890485
"(4145309808, 12443020286)",0.14884906471766784,0.1302177164206721,0.0,0.7848892881143236
"(4145309808, 12443031867)",0.03640271798577767,0.14558029377007348,0.0,0.762249015049169
"(2306249549, 4159417435)",0.25728061069810404,0.006197255351694372,0.0,0.988713384491464
"(2306249549, 12139484003)",0.248652928846863,0.12855280975750863,0.0,0.7873742629476993
"(2306249549, 2000868338)",1.0,0.45965720283319594,0.0,0.3910448039035462
"(999098148, 2569596319)",0.048640053070538945,0.009995763089396096,0.0,0.9818523989030514
"(999098148, 4159417478)",0.0485081901028844,0.008210074114905676,0.0,0.9850724113519274
"(999098148, 4159418067)",0.055651810347217924,0.008340297181482133,0.0,0.9848372682144014
"(2569596319, 5085687889)",0.03933747314031935,0.006312183574838677,0.0,0.988505165657602
"(2569596319, 4159418018)",0.08674160272060964,0.00710681566081407,0.0,0.9870665886481764
"(999098177, 12141060196)",0.06041744220381298,0.11676964948002859,0.0,0.8051404280456939
"(999098177, 4145409264)",0.058297241565726333,0.010395450562201697,0.0,0.9811329665040048
"(999098177, 2495881908)",0.07992313669527099,0.1879254056790142,0.0,0.7024311565489024
"(999098177, 12139689137)",0.046033177975614306,0.07459157906791244,0.0,0.8714188200235895
"(12141060196, 12139689135)",0.024819283128299736,0.005305951457912564,0.0,0.9903295296022391
"(12141060196, 12141060185)",0.05216455959468409,0.3369346190391153,0.0,0.518076966430054
"(4145409264, 4145409214)",0.15159244704724445,0.18797939562240065,0.0,0.7023572120569026
"(4145409264, 12139689138)",0.058314348589098286,0.07503559076216403,0.0,0.8706983354170676
"(2495881908, 12139426261)",0.056688483508865406,0.11227587177019649,0.0,0.8119997505907027
"(2495881908, 4145409214)",0.08804870920610165,0.018713182919280143,0.0,0.9662679008019779
"(999098285, 2493341523)",0.19029759495686716,0.13006546285469872,0.0,0.7851162781768545
"(999098285, 9918352088)",0.1580762088984773,0.16081754203436663,0.0,0.7402969274522399
"(2493341523, 2306249613)",0.26996690346065405,0.400439619264834,0.0,0.449915626299813
"(2493341523, 12139163272)",0.1158263353290515,0.195219531132406,0.0,0.6924928349677
"(9918352088, 9918352103)",0.031030976303463274,0.04056139060585652,1.0,0.9281682463379783
"(9918352088, 9918352101)",0.11280379440682031,0.045321367673863376,1.0,0.9200444300835612
"(2000868338, 4145409228)",0.678338366891234,0.005454121728913448,0.0,0.9900606967121204
"(2000868338, 12141139407)",0.5573645670566029,0.1844674023803485,0.0,0.707179209165049
"(2000868338, 4159418083)",0.7471472345180378,0.004036391454301797,0.0,0.9926356605418745
"(4145409228, 11597197819)",0.5657419575070408,0.14843285987288632,0.0,0.7581017285050474
"(4145409228, 4159417437)",0.3350774146103252,0.004544411299261217,0.0,0.9917122709044655
"(4145409228, 12141139409)",0.2390796296329794,0.19497203785266617,0.0,0.6928283485212766
"(12141139407, 2493341472)",0.4061583236868941,0.10352060828582066,0.0,0.8254992474210866
"(12141139407, 12141139408)",0.12923816647254013,0.06813194119291273,0.0,0.881957568603384
"(2000868362, 2569596556)",0.2008087624125575,0.22034307983198143,0.0,0.6590408601650571
"(2000868362, 2569596525)",0.07261177889576582,0.23073994017062743,0.0,0.6455401928735506
"(2000868362, 2569596401)",0.07617697263216557,0.5697866129506178,0.0,0.2920133134058201
"(2000868362, 2569596550)",0.17251458575380815,0.39483283722664403,0.0,0.4557155791466084
"(2569596556, 2569596513)",0.6039957524672428,0.43728077564139584,0.0,0.41279085109509267
"(2569596556, 4218203360)",0.5049899464757692,1.0,0.0,0.0
"(2569596525, 2569596505)",0.10480276687240948,0.281975362553908,0.0,0.5817688371377587
"(2569596525, 2569596484)",0.059136328939178834,0.14180446496787782,0.0,0.767765652672326
"(4159417435, 2306249662)",0.10636925898826771,0.08576980338203236,0.0,0.8534312131597185
"(4159417435, 12443031867)",0.06152743544685865,0.09759353440337121,0.0,0.8347411299607174
"(4159417435, 9917444452)",0.13366428325189877,0.14958914296593342,0.0,0.7564256115687614
"(12139484003, 12139484001)",0.0485081901028844,0.27802049977503157,0.0,0.5865343011469498
"(12139484003, 12139513706)",0.17064984750861306,0.08788299568844248,0.0,0.8500657251085636
"(2306249599, 4218203334)",0.18695777887484577,0.01519873602640673,0.0,0.9725240115267182
"(2306249599, 3138728662)",0.06264447679963123,0.2977193346300113,0.0,0.5630467909561091
"(2306249599, 4159417476)",0.12757242543617542,0.19957628013323248,0.0,0.6866059960005643
"(2306249599, 4159418045)",0.04207660959312462,0.0024315836371180334,0.0,0.9955577082396124
"(4218203334, 4218203322)",0.3190676198581607,0.3047173842480835,0.0,0.5548504599205587
"(4218203334, 4218203351)",0.12593202798409145,0.0029503182630911053,0.0,0.9946123418677245
"(4218203334, 2569596374)",0.4375921152857835,0.07221558873571755,0.0,0.8752827886595433
"(3138728662, 3138728727)",0.04225886154404052,0.02856014864114073,0.0,0.9489292205889687
"(3138728662, 4218203322)",0.044097958684308394,0.002172943730756792,0.0,0.9960293695677845
"(2306249613, 4163649881)",0.2041168622537154,0.00486768069616614,0.0,0.9911250923995673
"(2306249613, 2306249678)",0.3857358667200199,0.2861019406177007,0.0,0.5768234307803204
"(4163649881, 2569596342)",0.1495516202630489,0.20549244323206142,0.0,0.6786703417778814
"(4163649881, 4159418018)",0.2813448776115107,0.5969036563775042,0.0,0.2694872859996214
"(4163649881, 4163650139)",0.3181306585107166,0.2863390997526043,0.0,0.5765400448781177
"(2306249662, 9917444440)",0.08742814031686838,0.04380921465301941,0.0,0.922618492409964
"(2306249662, 12443031865)",0.023864922058320116,0.0962705811386838,0.0,0.8368154679163516
"(9917444440, 4218233231)",0.16373248667019377,0.036943587686439516,0.0,0.9343844093426564
"(9917444440, 9917444438)",0.08873485730591835,0.1854764678913163,0.0,0.7057912577039266
"(9917444440, 9917444452)",0.15603469627395428,0.22712762178259455,0.0,0.6502086697573048
"(12443031865, 12443020288)",0.023387693100112687,0.07244495537337746,0.0,0.8749091524552118
"(12443031865, 12443031867)",0.02764818633396646,0.11048801657372566,0.0,0.8147417825754599
