edge,edge_betweenness,edge_length,edge_embedness,straightness
"(265739853, 833668188)",0.00963014995602519,0.004158774058955026,0.0,0.99111298159489
"(265739853, 5868813768)",0.007814353031287668,0.07516124722252415,0.0,0.8514289881706238
"(265739853, 4508903393)",0.011705978216811696,0.10894705463209983,0.0,0.7920639003015721
"(265739853, 7535568653)",0.008912197547254386,0.07162175291746053,0.0,0.857894310064901
"(833668188, 8332945604)",0.019441657177933606,0.1490085699706137,0.0,0.7267643484489895
"(833668188, 5868813767)",0.0066338582401110815,0.0744152331464595,0.0,0.8527876514238187
"(5868813768, 5868813767)",0.008056709343466617,0.0037077429893175667,0.0,0.992072722414253
"(4508903393, 803318164)",0.013570519135953583,0.05815730498678125,0.0,0.8829385097635009
"(4508903393, 5868813761)",0.005416434247454018,0.07841048227046288,0.0,0.8455362662713773
"(265739854, 7500036856)",0.004585179498624614,0.0037571193028360633,0.5,0.9919676072519732
"(265739854, 8332945605)",0.02246416311856227,0.07012256835021333,0.0,0.8606474049564066
"(265739854, 5868813763)",0.015930969909231586,0.08815122207544927,0.0,0.8281097952917675
"(265739854, 5872725987)",0.03938839573402945,0.002465035708435258,0.5,0.9947221799375923
"(7500036856, 5872725987)",0.06920807057791593,0.004310953664485153,0.5,0.9907893843446065
"(7500036856, 5868813769)",0.03963289972225569,0.09673145465047255,0.0,0.8130498927584554
"(7500036856, 8332945604)",0.030426066193375335,0.07004297049441274,0.0,0.8607938230929872
"(8332945605, 8332945604)",0.0008008407973286815,0.004121238476603158,0.0,0.9911928151714597
"(8332945605, 7535568653)",0.011556052595441886,0.07580698217865274,0.0,0.8502546836039567
"(266775136, 266775144)",0.020177675664949254,0.026965571701385797,0.0,0.9438387312620383
"(266775136, 4508902861)",0.06349006725783267,0.13264701306577914,0.0,0.7528041004004761
"(266775136, 3212050740)",0.09294390044586916,0.1221352515803977,0.0,0.7699861346566608
"(266775144, 5872726009)",0.03650836661249007,0.00604778994808781,0.0,0.9871040946031426
"(266775144, 4508902844)",0.043130326446214055,0.13364526159024726,0.0,0.7511910901119934
"(4508902861, 4508902844)",0.01591802914978908,0.029545266410865006,0.0,0.9386421186107666
"(4508902861, 11771983403)",0.027873497227808287,0.07626580087855608,0.0,0.8494212687086496
"(4508902861, 4508903069)",0.01162769299709168,0.21532293532822336,0.0,0.6292504902893058
"(5872726009, 5398296537)",0.02016785138275254,0.09358532343510391,0.0,0.8185408525322203
"(5872726009, 7426090049)",0.036599328659272984,0.03172621558266417,0.0,0.9342719005972308
"(4508902844, 7834433490)",0.04622716972014498,0.08965114830594394,0.0,0.8254577575763485
"(430312146, 3023686573)",0.027240452017492315,0.08134964494569626,0.0,0.8402404929510653
"(430312146, 4580786320)",0.05020555374157636,0.13142101987970978,0.0,0.7547895020576559
"(430312146, 4580784832)",0.01337990947830964,0.05687461098560527,0.0,0.8853622406592161
"(430312146, 5398296848)",0.023852619702310285,0.021232555593271127,0.0,0.9554949943422408
"(3023686573, 4580786282)",0.008727336987183578,0.062118404603064115,0.0,0.8754957913361993
"(3023686573, 4400766697)",0.01162769299709168,0.12178210471725706,0.0,0.7705696845239897
"(3023686573, 5398296849)",0.007227844436031418,0.02082517366704249,0.0,0.956328973932118
"(4580786320, 559944468)",0.038756753937849976,0.08692011063337815,0.0,0.8302927394274915
"(4580786320, 4580786291)",0.03080320984578025,0.18406119840919613,0.0,0.6736940156743498
"(4580784832, 1446611175)",0.031321814795792345,0.16246222420323353,0.0,0.705969864891366
"(4580784832, 4580786282)",0.0188773630903299,0.08135898187993534,0.0,0.8402237217388018
"(5398296848, 5398296849)",0.009423812163897913,0.08131032440385813,0.0,0.8403111250027125
"(5398296848, 5868813701)",0.020576272496181085,0.15834698490620974,0.0,0.7122728729703026
"(559944468, 4580786292)",0.07729800804180938,0.175791923524665,0.0,0.6858937450987219
"(559944468, 3001466719)",0.06523831694632065,0.03936700945055943,0.0,0.919126214814023
"(4580786292, 3023686576)",0.028409026358973487,0.1852561147854149,0.0,0.671946930127707
"(4580786292, 4580786291)",0.07331499286821355,0.0843676869662433,0.0,0.8348364768024559
"(4580786292, 5868813703)",0.1468546449557984,0.07111229191185534,0.0,0.8588288995791153
"(3001466719, 1423186282)",0.016022204890224222,0.025243001251767466,0.0,0.9473253710138387
"(3001466719, 5398296844)",0.046291946449378694,0.022355377272411228,0.0,0.9532003227201542
"(559944494, 9331930774)",0.07168857108878086,0.06108485632427192,0.0,0.8774316849027385
"(559944494, 10015237270)",0.05118075731791541,0.07270455359060886,0.0,0.8559112965695356
"(559944494, 4484963752)",0.06268050121390858,0.17693463982422133,0.0,0.6841964296348536
"(9331930774, 4484963787)",0.01152842566342258,0.024668849227590814,0.0,0.9484904846359545
"(9331930774, 9331930779)",0.05814933227383859,0.28067025242000415,0.0,0.5441370182056927
"(10015237270, 8017520049)",0.03236847352587268,0.062282272061701394,0.0,0.8751892519337209
"(10015237270, 10015237276)",0.01162769299709168,0.0250039408270677,0.0,0.9478103096103634
"(4484963752, 4483338483)",0.02796224397042946,0.06753371873996837,0.0,0.8654222467590946
"(4484963752, 5868813746)",0.09630438054487998,0.1664385845856617,0.0,0.699927035229711
"(566834114, 7831953816)",0.021163819266047913,0.05948081426606018,0.0,0.8804446549395677
"(566834114, 7996503187)",0.036541364476294004,0.06663142434570818,0.0,0.8670926186846524
"(566834114, 10097943983)",0.10110332090391906,0.3412515172452141,0.0,0.4734229309761969
"(566834114, 4380951306)",0.10518890418316819,0.03511493067491448,0.0,0.9275232479142063
"(7831953816, 7996503189)",0.009685805243851096,0.0642331533772616,0.0,0.8715480725046209
"(7996503187, 7996503190)",0.015440567936517376,0.12444059315965832,0.0,0.7661868890844457
"(7996503187, 7996503189)",0.00967792740306716,0.08187994175605852,0.0,0.8392884822006602
"(10097943983, 4485169571)",0.16361102247271558,0.11021281093400326,0.0,0.7899192275461747
"(10097943983, 10097943973)",0.07926466488507954,0.26424227719259086,0.0,0.5646126717510066
"(4380951306, 4380951301)",0.050952316180172326,0.025597802832824975,0.5,0.9466061256040644
"(4380951306, 4380951303)",0.05577749366033404,0.053756470697781895,0.5,0.8912821792375841
"(566899807, 4484963769)",0.03432576523022668,0.10631328009412497,0.0,0.7965443089760739
"(566899807, 4508902878)",0.02438819246388108,0.1979641221218563,0.0,0.6536080583884006
"(4484963769, 11162325728)",0.1766455814819495,0.012194988942619108,0.0,0.9741770548859016
"(4484963769, 7426090014)",0.14819730048417637,0.024985331250708526,0.0,0.947848070335476
"(4508902878, 5398296547)",0.01887490836283192,0.00657677026883434,0.0,0.9859845781867667
"(566899856, 5868813763)",0.03989993686666063,0.08396070967190418,0.0,0.8355632072946133
"(566899856, 5872726006)",0.050022992568980774,0.002552989311167174,0.0,0.9945344147906976
"(566899856, 5121496930)",0.04559077238382458,0.04166397532478745,0.0,0.9146226746676562
"(566899856, 5868813749)",0.0280312367214612,0.1651757062940547,0.0,0.7018411947611118
"(5868813763, 5868813762)",0.034529603901211986,0.15300165744238875,0.0,0.7205354999982765
"(5872726006, 4508903454)",0.02550552423947287,0.0760802824635723,0.0,0.8497581539059958
"(5872726006, 5872725987)",0.12967292799363497,0.17498175607015712,0.0,0.6870993595661343
"(5872726006, 5872723379)",0.15108866730378037,0.16523417669698892,0.0,0.7017524675477356
"(5121496930, 1282714460)",0.021093229178314663,0.08451219603548048,0.0,0.834578578923623
"(5121496930, 5867168569)",0.03520980787937908,0.3070531319659354,0.0,0.5124479162612251
"(566899871, 3510548309)",0.025915811184675053,0.021778369401247676,0.0,0.9543788133132132
"(566899871, 1315251435)",0.10284981309764422,0.060779734430426655,0.0,0.8780040156499561
"(566899871, 8332945591)",0.055375050222735804,0.06860377529158898,0.0,0.8634454602142394
"(566899871, 7834575229)",0.11661200207414468,0.1717192066595658,0.0,0.6919733260906168
"(3510548309, 1282714386)",0.021575555863093315,0.03668386281732449,0.0,0.9244157591066999
"(3510548309, 5398296527)",0.01410662585014533,0.15552076299899886,0.0,0.716630838454779
"(1315251435, 1315251491)",0.052034961740356385,0.024318883776493175,0.0,0.9492013939651143
"(1315251435, 9125534494)",0.109502140253424,0.07189092320163801,0.0,0.8574009334437211
"(8332945591, 4095734591)",0.04218705996022241,0.016578546517412602,0.0,0.9650680832245623
"(8332945591, 8332945590)",0.01162769299709168,0.023742822373070634,0.0,0.9503727979395741
"(566899874, 5398296529)",0.03293603292265677,0.19518049665473575,0.0,0.6575877305964571
"(566899874, 4484965210)",0.033070307102731254,0.3517248021015134,0.0,0.4619078704904433
"(566899874, 3212040828)",0.16065659120075138,0.01994527593941194,0.0,0.9581328735848791
"(566899874, 1282714360)",0.1788470163033291,0.2601332529315698,0.0,0.56982704040906
"(5398296529, 4484965208)",0.019557246770067753,0.06475028721062233,0.0,0.8705854231095717
"(5398296529, 5398296532)",0.00821332789750552,0.13399952877777951,0.0,0.7506194206925402
"(4484965210, 3212040827)",0.04372685243067622,0.05553350756030303,0.0,0.8879035102504008
"(4484965210, 9331930779)",0.05732519861035236,0.01115602276437059,0.0,0.9763492718717107
"(3212040828, 3212040827)",0.05373524635735819,0.3933320601177343,0.0,0.418045211963448
"(3212040828, 5398296542)",0.1461181908260422,0.04738751568628526,0.0,0.9034987541037902
"(3212040828, 5868813760)",0.061249387822036296,0.1605206923073315,0.0,0.708937303972648
"(566899930, 5872723373)",0.05860997873073601,0.09855335563927808,0.0,0.8098863999528483
"(566899930, 803412123)",0.07184181664840106,0.10259257318448221,0.0,0.8029150170793175
"(566899930, 803320699)",0.08575607114527672,0.027025793826909922,0.0,0.9437170779758132
"(566899930, 9125534494)",0.11899214793242668,0.1243319964718812,0.0,0.7663654637358627
"(5872723373, 9125534495)",0.02134319601906456,0.08427384957434092,0.0,0.8350039853049955
"(5872723373, 653812602)",0.03864339301684493,0.1122148867236078,0.0,0.7865382155577378
"(803412123, 653812602)",0.08407546713216857,0.10068446807549282,0.0,0.806201044385402
"(803412123, 3510548319)",0.06375841094133376,0.026626165350153736,0.0,0.9445246629679079
"(803412123, 3721939226)",0.02963495198496941,0.1717970448013585,0.0,0.6918566877640532
"(566899933, 5872726005)",0.010185969687192067,0.002357220652069687,0.0,0.9949523972705004
"(566899933, 653812578)",0.00594316804761359,0.0690187693213199,0.0,0.8626800243755595
"(566899933, 4580786860)",0.004820340651516443,0.0898099576127425,0.0,0.8251774493033738
"(5872726005, 5872723380)",0.06886858490683173,0.06925792840829437,0.0,0.8622392139897334
"(5872726005, 803320699)",0.08006815095329146,0.1183731197163846,0.0,0.7762241918084313
"(653812578, 5868813749)",0.0052859694799711355,0.03645528805597876,0.0,0.9248678151341638
