edge,edge_betweenness,edge_length,edge_embedness,straightness
"(317003603, 1419796852)",0.47586381817197215,0.012576837448636807,0.0,0.9776391972157867
"(317003603, 1419796816)",0.8174646555103202,0.4809091049455592,0.0,0.37542563213278574
"(317003603, 317116256)",0.6860030677290431,0.2565266052869918,0.0,0.6174384592703849
"(317003603, 4360488929)",0.8796178739221813,0.3147207134332698,0.0,0.5480339384859644
"(1419796852, 1270140840)",0.929132575506947,0.5342990929633943,0.0,0.3267716620075286
"(1419796852, 3731201012)",0.5454477447576553,0.28799544521004633,0.0,0.5792581857836219
"(1419796816, 1419796812)",0.7745331175661894,0.06589434148983064,0.5,0.8875669735067231
"(1419796816, 1419796859)",0.04367362662992493,0.051169562039911874,0.5,0.9117083427299577
"(317116256, 8202663572)",0.0323266123878512,0.15262395626276104,0.0,0.7556093882026916
"(317116256, 5874445866)",0.56484746263011,0.045993670423713974,0.0,0.9203238842421771
"(317116256, 5874445868)",0.23483125151245132,0.04818318319649351,0.0,0.9166709851159064
"(8202663572, 8202663573)",0.01863874987193224,0.05489730936233448,0.0,0.905545434770962
"(317407286, 5875253765)",0.15702250888468963,0.15555048283516548,0.0,0.7514394025980559
"(317407286, 1880509259)",0.1468913733188541,0.21869930976947546,0.0,0.6654888306858827
"(317407286, 5875253772)",0.07040565887599813,0.05312861881461523,0.0,0.9084651536101137
"(5875253765, 7385526983)",0.3299203590942647,0.02033204952440019,0.0,0.9640704579711064
"(5875253765, 5875253770)",0.18489576594304108,0.03293387576266923,0.0,0.9423699808594611
"(1880509259, 317408037)",0.08777348035452516,0.10872261129128662,0.0,0.8203094124063007
"(1880509259, 5875253704)",0.060582712241533165,0.05623204181013194,0.0,0.9033472933419762
"(317408037, 5875253710)",0.004993895485957332,0.052706742886802146,0.0,0.9091627429910782
"(317408037, 5875253709)",0.08780251618529218,0.05358307831527021,0.0,0.9077141885252346
"(5875253710, 5875253704)",0.024012057924940333,0.11022793863116333,0.0,0.8180221147583522
